demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,635.2275447909642,3062
global,global,1,living,1752.8068470846035,3660
global,global,2,living,2210.3404509364723,2731
global,global,3,living,1242.962309762315,2685
global,global,4,living,2135.6825635419946,3294
global,global,5,living,1324.9681497356034,2857
global,global,6,living,2374.8679620917433,2097
global,global,7,living,920.5868984893082,3083
global,global,8,living,1819.9085952054866,2829
global,global,0,biodiversity,1443.7189668948931,2914
global,global,1,biodiversity,1734.4460195469906,2288
global,global,2,biodiversity,1647.9662379969454,2663
global,global,3,biodiversity,1935.9584417780825,2844
global,global,4,biodiversity,1803.704996321307,2856
global,global,5,biodiversity,62.70716773061218,2392
global,global,6,biodiversity,1876.086452840432,2871
global,global,7,biodiversity,2287.0439822840926,1728
global,global,8,biodiversity,2068.3755757926915,2994
global,global,0,safety,2112.687916609658,763
global,global,1,safety,802.3466726059337,1562
global,global,2,safety,1365.8832496652085,1592
global,global,3,safety,1111.5555923810743,1570
global,global,4,safety,1938.7542985740045,1836
global,global,5,safety,1719.544603687173,1757
global,global,6,safety,1838.5571799107756,1865
global,global,7,safety,297.5549295302549,1261
global,global,8,safety,160.7599148467568,1246
gender,man,0,living,882.752195800294,1605
gender,man,1,living,1761.1559220075296,1908
gender,man,2,living,1956.79731189805,1341
gender,man,3,living,1737.4269055150462,1382
gender,man,4,living,1385.3008567228503,1644
gender,man,5,living,1987.6313145861131,1455
gender,man,6,living,2031.1439342274987,1123
gender,man,7,living,755.2329680760206,1537
gender,man,8,living,847.0054285560652,1437
gender,man,0,biodiversity,1592.1637445039703,1448
gender,man,1,biodiversity,1800.2165140773482,1116
gender,man,2,biodiversity,1185.7610054349502,1349
gender,man,3,biodiversity,1936.904291739092,1442
gender,man,4,biodiversity,1269.240827433393,1382
gender,man,5,biodiversity,1048.8412432720045,1279
gender,man,6,biodiversity,1748.5967643752033,1453
gender,man,7,biodiversity,1872.4562048026978,933
gender,man,8,biodiversity,2001.4172648238743,1544
gender,man,0,safety,1892.9180510432361,389
gender,man,1,safety,1050.5631086347162,810
gender,man,2,safety,1551.5400149119273,840
