demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1448.2952590477607,2512
global,global,1,living,2379.674673682216,1898
global,global,2,living,2211.7187565135437,2965
global,global,3,living,102.06708139229386,1306
global,global,4,living,-248.29881326181993,1856
global,global,5,living,843.7059515034236,2706
global,global,6,living,1642.4395352089907,2827
global,global,7,living,2037.541518419477,2400
global,global,8,living,1600.9394643478968,2732
global,global,0,biodiversity,1604.092936908715,2644
global,global,1,biodiversity,2304.3574845242065,2482
global,global,2,biodiversity,2126.3807873330206,1527
global,global,3,biodiversity,654.0831677910675,2065
global,global,4,biodiversity,1752.3061818662895,2323
global,global,5,biodiversity,1029.7509188871452,2247
global,global,6,biodiversity,868.9095743499145,1613
global,global,7,biodiversity,1858.8646335576348,2757
global,global,8,biodiversity,-647.7563145399969,1550
global,global,0,safety,1127.7179512075381,2711
global,global,1,safety,1946.1557746195879,2800
global,global,2,safety,1280.2319667458962,3555
global,global,3,safety,2270.497046575086,2302
global,global,4,safety,473.57268729163167,2136
global,global,5,safety,2077.5713897657265,1386
global,global,6,safety,-877.2583594214533,2286
global,global,7,safety,466.39724606816264,2612
global,global,8,safety,1022.9712907737053,3102
gender,man,0,living,1844.036387660649,1252
gender,man,1,living,2009.7775887091068,975
gender,man,2,living,2020.1120175180345,1521
gender,man,3,living,422.82392406546535,631
gender,man,4,living,875.5857503857882,984
gender,man,5,living,650.2505266259997,1357
gender,man,6,living,1261.9165999821364,1393
gender,man,7,living,1762.3410263983328,1267
gender,man,8,living,1210.8319194661865,1396
gender,man,0,biodiversity,1726.2543784752013,1318
gender,man,1,biodiversity,1952.5876816234975,1222
gender,man,2,biodiversity,2002.636783926938,679
gender,man,3,biodiversity,851.8839522342206,1104
gender,man,4,biodiversity,917.0905075264913,1179
gender,man,5,biodiversity,1403.6912938117387,1165
gender,man,6,biodiversity,1321.1990836423129,848
gender,man,7,biodiversity,1688.4509508118401,1400
gender,man,8,biodiversity,760.5509939409169,843
gender,man,0,safety,1943.0349015078064,1376
gender,man,1,safety,1682.4821553319946,1497
gender,man,2,safety,1912.2729524922584,1881
gender,man,3,safety,1790.4503361007373,1190
gender,man,4,safety,626.8623780547214,1064
gender,man,5,safety,2058.8048781236853,670
gender,man,6,safety,1029.7892439263278,1242
gender,man,7,safety,207.85835969732037,1358
gender,man,8,safety,1522.7172614996966,1612
gender,woman,0,living,864.235246006389,1044
gender,woman,1,living,2016.7776749593531,741
gender,woman,2,living,1446.3026511131723,1205
gender,woman,3,living,1338.5737348104249,584
gender,woman,4,living,707.8981466584128,787
gender,woman,5,living,1683.6945774035091,1121
gender,woman,6,living,1729.1313722551604,1129
gender,woman,7,living,1283.0570804012068,923
gender,woman,8,living,1947.0768508220153,1060
gender,woman,0,biodiversity,1520.7213878752302,1134
gender,woman,1,biodiversity,1943.7619746513865,1039
gender,woman,2,biodiversity,1838.2620641872284,607
gender,woman,3,biodiversity,1674.32921897236,786
gender,woman,4,biodiversity,1888.7787256555487,832
gender,woman,5,biodiversity,1271.1228228534846,935
gender,woman,6,biodiversity,1031.2181648511596,619
gender,woman,7,biodiversity,1494.9793843227114,1128
gender,woman,8,biodiversity,1129.6072465767622,668
gender,woman,0,safety,1108.8390093815206,1103
gender,woman,1,safety,1841.8963348068653,1097
gender,woman,2,safety,255.96667702956893,1386
gender,woman,3,safety,1957.2456789889295,908
gender,woman,4,safety,1397.8219431633706,858
gender,woman,5,safety,1899.1371154215622,566
gender,woman,6,safety,276.08301749646597,952
gender,woman,7,safety,1430.9807442557446,1016
gender,woman,8,safety,1506.9265099269896,1240
gender,other,0,living,1429.8526281759462,10
