demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,-138.85155841768506,1719
global,global,1,living,851.8376437250192,2502
global,global,2,living,1323.699321599493,2529
global,global,3,living,1854.765138683338,2743
global,global,4,living,2124.7842876170675,1638
global,global,5,living,1798.003257185591,2474
global,global,6,living,2228.180222083738,1875
global,global,7,living,870.5496669052012,2379
global,global,8,living,1683.1349590049374,2913
global,global,0,biodiversity,1909.7213673695983,2726
global,global,1,biodiversity,869.4814995201265,2073
global,global,2,biodiversity,1414.3789439618054,2687
global,global,3,biodiversity,2159.4027066306953,2195
global,global,4,biodiversity,990.0211472364339,2609
global,global,5,biodiversity,-48.31164411625432,2555
global,global,6,biodiversity,2316.2380566399,2214
global,global,7,biodiversity,738.6415702120137,2847
global,global,8,biodiversity,217.91799774643042,1438
global,global,0,safety,1281.5364035143498,2372
global,global,1,safety,1951.4238065679071,2300
global,global,2,safety,1073.2479445175177,2723
global,global,3,safety,1832.6997169085496,2183
global,global,4,safety,1140.2046414846836,2419
global,global,5,safety,2074.7739896099733,2563
global,global,6,safety,2242.22306688116,1742
global,global,7,safety,368.9531042207701,2091
global,global,8,safety,647.9675741102877,2791
gender,man,0,living,1241.5129681458798,1009
gender,man,1,living,1310.9520186720933,1241
gender,man,2,living,1643.283208832151,1296
gender,man,3,living,1552.5122007993423,1413
gender,man,4,living,1897.745119741719,874
gender,man,5,living,1411.0009537749208,1248
gender,man,6,living,2010.97656451113,958
gender,man,7,living,842.2732482243563,1159
gender,man,8,living,1935.7707912489145,1440
gender,man,0,biodiversity,1924.046692093972,1439
gender,man,1,biodiversity,775.606421539479,1008
gender,man,2,biodiversity,1891.819594952107,1428
gender,man,3,biodiversity,1737.3854171972848,1157
gender,man,4,biodiversity,1252.5853194712981,1325
gender,man,5,biodiversity,1449.9131250795929,1346
gender,man,6,biodiversity,2088.0171140996085,1115
gender,man,7,biodiversity,1706.558022373261,1391
gender,man,8,biodiversity,1405.1831832726507,771
gender,man,0,safety,1657.9580427179073,1175
gender,man,1,safety,1940.3304520070412,1176
gender,man,2,safety,2063.3408852491566,1393
gender,man,3,safety,1747.3385148119978,1101
gender,man,4,safety,525.5753145900666,1193
gender,man,5,safety,1807.5733048760305,1308
gender,man,6,safety,1966.9869287942943,907
gender,man,7,safety,1437.5938454381164,1162
gender,man,8,safety,922.0822306564692,1391
gender,woman,0,living,499.66140152934895,628
gender,woman,1,living,1592.8404646304173,1055
gender,woman,2,living,1410.5150717276101,989
gender,woman,3,living,1891.4928300403278,1085
gender,woman,4,living,1875.2606729929525,639
gender,woman,5,living,1705.274524359028,954
gender,woman,6,living,1803.9285581038494,772
gender,woman,7,living,1785.7337429349072,994
gender,woman,8,living,1496.132699308302,1178
gender,woman,0,biodiversity,1745.9964580350536,1089
gender,woman,1,biodiversity,1902.6047395474095,884
gender,woman,2,biodiversity,1688.6677537332896,1084
gender,woman,3,biodiversity,2029.5011928076499,873
gender,woman,4,biodiversity,1371.260534092758,1071
gender,woman,5,biodiversity,1203.336707578556,1007
gender,woman,6,biodiversity,1957.8127457879773,941
gender,woman,7,biodiversity,1402.9320095951841,1224
gender,woman,8,biodiversity,499.4437532353246,531
gender,woman,0,safety,1382.84808304953,944
gender,woman,1,safety,1496.8448512859914,919
gender,woman,2,safety,801.8496835024622,1107
gender,woman,3,safety,1643.760787870799,907
gender,woman,4,safety,1778.6152951820034,961
gender,woman,5,safety,1861.4054796663304,1006
gender,woman,6,safety,2012.033901083472,714
gender,woman,7,safety,508.7640152761612,778
gender,woman,8,safety,1324.6596293834646,1134
gender,other,0,living,1559.9999102510053,11
gender,other,1,living,1511.2309120572068,21
gender,other,2,living,1523.655929771785,16
gender,other,3,living,1451.8387490869288,10
gender,other,4,living,1547.999846494799,6
gender,other,5,living,1462.4469853277683,15
gender,other,6,living,1477.6027811797971,10
gender,other,7,living,1535.995724934466,11
gender,other,8,living,1425.0670088522882,12
gender,other,0,biodiversity,1492.0716221221157,21
gender,other,1,biodiversity,1523.2014308704065,16
gender,other,2,biodiversity,1455.3251584928048,12
gender,other,3,biodiversity,1567.6806464787448,15
gender,other,4,biodiversity,1442.5742886838111,13
gender,other,5,biodiversity,1476.2788643960855,16
gender,other,6,biodiversity,1503.28561323345,18
gender,other,7,biodiversity,1513.7256148138347,21
gender,other,8,biodiversity,1548.2461025657562,16
gender,other,0,safety,1479.7744762523294,10
gender,other,1,safety,1499.9967615960904,6
gender,other,2,safety,1463.8555442273455,13
gender,other,3,safety,1511.9968697123868,7
gender,other,4,safety,1550.3671136689636,8
gender,other,5,safety,1451.9543164023023,10
gender,other,6,safety,1489.229542448507,9
gender,other,7,safety,1523.9969742191481,6
gender,other,8,safety,1535.9970752368813,9
age,younger,0,living,1111.024427233326,588
age,younger,1,living,822.6437979485255,727
age,younger,2,living,1605.0470081289752,713
age,younger,3,living,1900.9008353946872,725
age,younger,4,living,1857.6663350274714,412
age,younger,5,living,555.8328638939473,677
age,younger,6,living,1329.9051543203218,515
age,younger,7,living,1171.132178943413,661
age,younger,8,living,1488.3651667900363,776
age,younger,0,biodiversity,1450.8794992640053,802
age,younger,1,biodiversity,1778.8707538173576,623
age,younger,2,biodiversity,1574.034064118951,815
age,younger,3,biodiversity,1741.1755292326732,659
age,younger,4,biodiversity,1251.6166792727086,778
age,younger,5,biodiversity,1162.3342046187192,701
age,younger,6,biodiversity,1989.989265500734,608
age,younger,7,biodiversity,1686.3417647906974,838
age,younger,8,biodiversity,1377.2116383116206,438
age,younger,0,safety,1259.0263078077685,646
age,younger,1,safety,2007.7862044076307,608
age,younger,2,safety,1727.9847136683584,660
age,younger,3,safety,1046.2168678652047,620
age,younger,4,safety,1324.9571064416834,636
age,younger,5,safety,1546.1063900518766,674
age,younger,6,safety,1489.467273482503,518
age,younger,7,safety,1215.0350286773607,607
age,younger,8,safety,1392.2284505074088,757
age,middle,0,living,655.7510838002936,654
age,middle,1,living,1506.198742832993,1055
age,middle,2,living,261.6819459636026,1009
age,middle,3,living,1660.5576550281753,1158
age,middle,4,living,1432.8993690928737,686
age,middle,5,living,1757.8267804445584,1059
age,middle,6,living,2008.790959858223,827
age,middle,7,living,1822.0423395567825,1032
age,middle,8,living,1703.755263433789,1242
age,middle,0,biodiversity,1732.140605088939,1209
age,middle,1,biodiversity,1112.218703075491,892
age,middle,2,biodiversity,1869.9735190600675,1149
age,middle,3,biodiversity,2013.1941068698281,895
age,middle,4,biodiversity,1048.5261428360348,1078
age,middle,5,biodiversity,1639.2485057538297,1130
age,middle,6,biodiversity,1944.8936751624262,912
age,middle,7,biodiversity,1763.6395948518023,1215
age,middle,8,biodiversity,1187.402395587334,574
age,middle,0,safety,1807.989072667232,963
age,middle,1,safety,1433.5073800225205,978
age,middle,2,safety,1337.2192035203889,1236
age,middle,3,safety,1762.755416572593,960
age,middle,4,safety,1492.8013483057748,988
age,middle,5,safety,1652.0708616652632,1123
age,middle,6,safety,2043.0757288307054,746
age,middle,7,safety,1589.7454350917778,847
age,middle,8,safety,764.4785551654594,1131
age,older,0,living,1417.7384288275591,399
age,older,1,living,1750.079564793004,530
age,older,2,living,1699.2230634293055,573
age,older,3,living,1434.740656218768,624
age,older,4,living,1355.6505640366133,422
age,older,5,living,1908.7302466922004,477
age,older,6,living,1651.3823111075308,394
age,older,7,living,1501.250587730433,470
age,older,8,living,916.139633889843,603
age,older,0,biodiversity,1883.8744512857393,530
age,older,1,biodiversity,1378.9386560299695,387
age,older,2,biodiversity,1779.1430028051864,555
age,older,3,biodiversity,1655.1885334994927,482
age,older,4,biodiversity,1719.818833767199,545
age,older,5,biodiversity,1342.372658379786,532
age,older,6,biodiversity,1693.1816682332574,548
age,older,7,biodiversity,1614.716939682217,581
age,older,8,biodiversity,925.1841352408958,302
age,older,0,safety,1644.5011251945539,516
age,older,1,safety,1043.3997774348768,509
age,older,2,safety,1383.5072254672493,608
age,older,3,safety,1855.2607335172902,428
age,older,4,safety,1800.2117601796986,532
age,older,5,safety,1256.6117534211844,505
age,older,6,safety,1753.1950434469713,361
age,older,7,safety,994.5220719436583,481
age,older,8,safety,1428.878027933168,634
ethnicity,white,0,living,464.12382444987594,1468
ethnicity,white,1,living,1502.578667563755,2008
ethnicity,white,2,living,1044.8130868200803,1971
ethnicity,white,3,living,1550.701452377424,2166
ethnicity,white,4,living,2076.066712870602,1299
ethnicity,white,5,living,1928.3802511679223,1941
ethnicity,white,6,living,2148.422495262168,1479
ethnicity,white,7,living,1339.5113935321335,1862
ethnicity,white,8,living,1806.686203460758,2276
ethnicity,white,0,biodiversity,2221.6704538964764,2132
ethnicity,white,1,biodiversity,1029.5016975835158,1603
ethnicity,white,2,biodiversity,1325.4828255173047,2170
ethnicity,white,3,biodiversity,2095.7236731862813,1784
ethnicity,white,4,biodiversity,1133.986231423596,2024
ethnicity,white,5,biodiversity,642.8041643524917,2048
ethnicity,white,6,biodiversity,2187.9910963497555,1763
ethnicity,white,7,biodiversity,1726.885283355102,2216
ethnicity,white,8,biodiversity,208.7306922548596,1092
ethnicity,white,0,safety,1580.9850900013691,1821
ethnicity,white,1,safety,1958.5398410986702,1820
ethnicity,white,2,safety,1363.4606867098541,2201
ethnicity,white,3,safety,1991.4585834856662,1792
ethnicity,white,4,safety,1476.0426418499978,1896
ethnicity,white,5,safety,2066.7015822896037,2028
ethnicity,white,6,safety,2216.130531883804,1391
ethnicity,white,7,safety,836.4699641517283,1694
ethnicity,white,8,safety,756.7559632813246,2215
ethnicity,other,0,living,1305.7028984791827,128
ethnicity,other,1,living,1479.100493305227,219
ethnicity,other,2,living,1691.5875288388281,231
ethnicity,other,3,living,1633.0556852554123,245
ethnicity,other,4,living,1598.5709577847815,152
ethnicity,other,5,living,1166.482510469685,201
ethnicity,other,6,living,1685.8105522731134,190
ethnicity,other,7,living,1549.295013119759,221
ethnicity,other,8,living,1509.015743643879,239
ethnicity,other,0,biodiversity,1102.414759249431,303
ethnicity,other,1,biodiversity,1583.0937725107644,219
ethnicity,other,2,biodiversity,1658.6952276505085,234
ethnicity,other,3,biodiversity,1835.08314151321,171
ethnicity,other,4,biodiversity,1414.929128711437,281
ethnicity,other,5,biodiversity,1270.9260658581347,201
ethnicity,other,6,biodiversity,1485.0828747403207,238
ethnicity,other,7,biodiversity,1433.3498159875069,314
ethnicity,other,8,biodiversity,1374.6858971351078,157
ethnicity,other,0,safety,1405.5689924593669,227
ethnicity,other,1,safety,1620.087535965072,188
ethnicity,other,2,safety,1494.8431977170978,227
ethnicity,other,3,safety,1235.9157256811543,155
ethnicity,other,4,safety,1686.459321251343,184
ethnicity,other,5,safety,1728.7310298092884,187
ethnicity,other,6,safety,1519.109682259799,181
ethnicity,other,7,safety,1217.8185520925426,173
ethnicity,other,8,safety,1593.3970872146522,214
education,sixteen,0,living,1564.9266432976526,124
education,sixteen,1,living,1322.3266260236926,147
education,sixteen,2,living,1427.266678092216,144
education,sixteen,3,living,1394.9393959000347,164
education,sixteen,4,living,1270.2317230738854,133
education,sixteen,5,living,1467.0178336991232,151
education,sixteen,6,living,1666.6272446877554,120
education,sixteen,7,living,1621.8644755419818,154
education,sixteen,8,living,1719.0265568024668,185
education,sixteen,0,biodiversity,1621.8760419755831,157
education,sixteen,1,biodiversity,1281.7418331919607,115
education,sixteen,2,biodiversity,1708.083915691381,131
education,sixteen,3,biodiversity,1487.7392528095056,138
education,sixteen,4,biodiversity,1658.424889265993,174
education,sixteen,5,biodiversity,1375.9554449491793,172
education,sixteen,6,biodiversity,1521.9254289734442,140
education,sixteen,7,biodiversity,1557.5748620450297,165
education,sixteen,8,biodiversity,1118.5639597839577,132
education,sixteen,0,safety,1541.7398230760564,159
education,sixteen,1,safety,1577.8730000926082,161
education,sixteen,2,safety,1504.6631160182042,158
education,sixteen,3,safety,1649.1583844671106,150
education,sixteen,4,safety,1433.8875584506952,179
education,sixteen,5,safety,1612.8187110112333,178
education,sixteen,6,safety,1675.583131545763,94
education,sixteen,7,safety,1474.1482893571417,166
education,sixteen,8,safety,1292.8421466380214,181
education,eighteen,0,living,1282.317746096412,318
education,eighteen,1,living,1465.6512191174154,413
education,eighteen,2,living,1722.2844877325672,401
education,eighteen,3,living,1514.0668527282246,484
education,eighteen,4,living,1110.9263328247357,315
education,eighteen,5,living,1675.2961237051206,382
education,eighteen,6,living,1748.1313742012696,354
education,eighteen,7,living,1780.3553588546736,391
education,eighteen,8,living,1495.4025038864183,464
education,eighteen,0,biodiversity,1624.7016756390653,388
education,eighteen,1,biodiversity,1435.990787570227,360
education,eighteen,2,biodiversity,1497.0277401997412,468
education,eighteen,3,biodiversity,1857.2009638397572,333
education,eighteen,4,biodiversity,1331.25367341295,448
education,eighteen,5,biodiversity,910.8609203457844,475
education,eighteen,6,biodiversity,1706.859115572917,339
education,eighteen,7,biodiversity,1362.7461184860601,496
education,eighteen,8,biodiversity,1584.7938995399634,255
education,eighteen,0,safety,1805.442104486607,378
education,eighteen,1,safety,1775.8144991967217,367
education,eighteen,2,safety,1623.1066991496655,493
education,eighteen,3,safety,1428.985010623574,371
education,eighteen,4,safety,1349.1823941870493,410
education,eighteen,5,safety,1653.4569269066967,393
education,eighteen,6,safety,1499.057921568929,281
education,eighteen,7,safety,1463.0417361258744,386
education,eighteen,8,safety,1550.6436679668523,479
education,older,0,living,359.03849110487135,1187
education,older,1,living,1109.3208446480435,1728
education,older,2,living,1163.0338960193687,1724
education,older,3,living,1721.1938779136751,1814
education,older,4,living,2038.5312135767974,1044
education,older,5,living,1456.4064980174674,1647
education,older,6,living,1981.0997505273401,1239
education,older,7,living,1188.9312187017454,1598
education,older,8,living,1339.1290252109818,1937
education,older,0,biodiversity,2138.521886782755,1979
education,older,1,biodiversity,1414.5668766239703,1418
education,older,2,biodiversity,1965.5745858629843,1903
education,older,3,biodiversity,2170.417650958463,1545
education,older,4,biodiversity,995.8735955680006,1757
education,older,5,biodiversity,1713.730889157813,1699
education,older,6,biodiversity,2091.5347033225016,1570
education,older,7,biodiversity,2012.1125659899371,1948
education,older,8,biodiversity,217.81101284377263,923
education,older,0,safety,1764.4255707353036,1568
education,older,1,safety,1470.2393066955,1545
education,older,2,safety,1115.9522263624997,1833
education,older,3,safety,1897.452245168041,1475
education,older,4,safety,1318.4702392894555,1551
education,older,5,safety,1936.377872799065,1718
education,older,6,safety,2138.124944350864,1235
education,older,7,safety,879.5345429625008,1359
education,older,8,safety,1073.3006752059146,1836
income,lower,0,living,1712.8908959945336,256
income,lower,1,living,1771.702529908132,390
income,lower,2,living,1359.1935095906144,444
income,lower,3,living,1550.3713141341211,406
income,lower,4,living,1448.902595294657,329
income,lower,5,living,1283.1522549733197,379
income,lower,6,living,1637.6291502475117,332
income,lower,7,living,1669.1013070044892,397
income,lower,8,living,1525.981857812991,463
income,lower,0,biodiversity,1625.6708905505316,475
income,lower,1,biodiversity,1278.757328484623,347
income,lower,2,biodiversity,1442.3801711166072,468
income,lower,3,biodiversity,1884.687405496519,379
income,lower,4,biodiversity,1348.8568151954632,510
income,lower,5,biodiversity,1539.2308163413097,497
income,lower,6,biodiversity,1416.9473808866724,417
income,lower,7,biodiversity,1696.6352021327982,433
income,lower,8,biodiversity,1585.33526867535,290
income,lower,0,safety,1688.8243452459587,405
income,lower,1,safety,1780.004405268629,398
income,lower,2,safety,1222.676109005934,431
income,lower,3,safety,937.8698519997388,354
income,lower,4,safety,1449.8830282055953,401
income,lower,5,safety,1486.3646531742909,431
income,lower,6,safety,1827.9164158921103,292
income,lower,7,safety,1123.4777143607257,374
income,lower,8,safety,1326.1618550226895,422
income,middle,0,living,1085.5131018718469,605
income,middle,1,living,1123.3447442937354,785
income,middle,2,living,1483.198650854953,728
income,middle,3,living,1626.131503774213,841
income,middle,4,living,1780.909608754131,466
income,middle,5,living,543.5476652233177,685
income,middle,6,living,1865.3751527624947,532
income,middle,7,living,1445.7355632826152,724
income,middle,8,living,1920.2730649146363,840
income,middle,0,biodiversity,1741.1012687382718,805
income,middle,1,biodiversity,1440.287095656444,639
income,middle,2,biodiversity,1540.3531395822936,844
income,middle,3,biodiversity,1865.2813102939112,610
income,middle,4,biodiversity,1368.8313648566084,743
income,middle,5,biodiversity,790.0385250871809,687
income,middle,6,biodiversity,1966.9167903604032,689
income,middle,7,biodiversity,1409.3136835346857,839
income,middle,8,biodiversity,1263.8687815560318,430
income,middle,0,safety,1254.6880002331884,683
income,middle,1,safety,1830.4350107809946,658
income,middle,2,safety,1518.2279873290129,817
income,middle,3,safety,1939.1468155772425,595
income,middle,4,safety,1013.6966811989365,703
income,middle,5,safety,1501.144855605886,702
income,middle,6,safety,1659.368149442787,459
income,middle,7,safety,967.8110673653276,616
income,middle,8,safety,1207.1192807992556,809
income,higher,0,living,518.8412641188792,514
income,higher,1,living,1777.3652420000483,735
income,higher,2,living,1129.2158655757341,708
income,higher,3,living,1376.8061415202426,796
income,higher,4,living,1861.4639695882338,440
income,higher,5,living,1802.7988055460055,757
income,higher,6,living,1713.7407267807712,568
income,higher,7,living,713.4776732586014,686
income,higher,8,living,1663.2478944342913,862
income,higher,0,biodiversity,1671.3679705220816,851
income,higher,1,biodiversity,1539.211656140286,591
income,higher,2,biodiversity,1754.7994831367835,785
income,higher,3,biodiversity,1229.6913676866816,689
income,higher,4,biodiversity,1491.729778461663,742
income,higher,5,biodiversity,1821.0216868542636,737
income,higher,6,biodiversity,1924.2647629126002,624
income,higher,7,biodiversity,1623.1185319931217,879
income,higher,8,biodiversity,443.39283367992095,358
income,higher,0,safety,1600.7166014303643,660
income,higher,1,safety,1155.2840087113243,657
income,higher,2,safety,1784.823606121959,814
income,higher,3,safety,1325.2976873702528,696
income,higher,4,safety,1753.4262208702733,663
income,higher,5,safety,1874.6628309582193,763
income,higher,6,safety,1899.3485353944748,594
income,higher,7,safety,1384.1464548496983,596
income,higher,8,safety,1500.0035130800109,833
movement,yes,0,living,1064.7126622445114,312
movement,yes,1,living,1598.0366891237127,523
