demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,2145.2060267984293,2036
global,global,1,living,-56.16197250649719,1635
global,global,2,living,940.2980735883357,2431
global,global,3,living,993.6177409199696,1766
global,global,4,living,1931.4823870087687,1568
global,global,5,living,2245.261051931773,1850
global,global,6,living,1616.158840000683,2245
global,global,7,living,1255.1268341843077,1958
global,global,8,living,1518.3035142448748,1789
global,global,0,biodiversity,1844.4449475440338,2614
global,global,1,biodiversity,177.04640463093608,2397
global,global,2,biodiversity,2081.259074276018,2660
global,global,3,biodiversity,2343.3850138227576,2171
global,global,4,biodiversity,1754.8839212666085,2637
global,global,5,biodiversity,1094.559082517955,2181
global,global,6,biodiversity,2017.121179442767,2198
global,global,7,biodiversity,1879.9145933663763,3082
global,global,8,biodiversity,977.2149241740448,2624
global,global,0,safety,1690.445367128497,2342
global,global,1,safety,826.8854773913158,3283
global,global,2,safety,2017.1443561966946,3371
global,global,3,safety,606.842143750687,1869
global,global,4,safety,1673.0561429259533,3224
global,global,5,safety,2360.5433165442396,2290
global,global,6,safety,2254.8305236009032,1757
global,global,7,safety,1335.3862918300324,2428
global,global,8,safety,1934.3179411512485,2894
gender,man,0,living,1734.569621068069,992
gender,man,1,living,533.3181101536395,837
gender,man,2,living,1692.5242046109304,1250
gender,man,3,living,712.7833479684847,901
gender,man,4,living,1760.5145942344723,786
gender,man,5,living,1867.1015508936748,927
gender,man,6,living,1995.0145441856341,1135
gender,man,7,living,1372.1841195794407,863
gender,man,8,living,464.84820097412654,933
gender,man,0,biodiversity,1812.1392951572568,1308
gender,man,1,biodiversity,1538.5291577843109,1285
gender,man,2,biodiversity,461.23163224043896,1344
gender,man,3,biodiversity,1749.7037065967074,1180
gender,man,4,biodiversity,2029.2042443680575,1291
gender,man,5,biodiversity,1693.3344547428012,1221
gender,man,6,biodiversity,1927.004120950348,1054
gender,man,7,biodiversity,1466.945147045406,1565
gender,man,8,biodiversity,1806.002361053776,1390
gender,man,0,safety,386.6335366805117,1230
