demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,2257.8475841867958,1885
global,global,1,living,1511.1403535575514,2415
global,global,2,living,1915.0442001957172,2856
global,global,3,living,-395.45179416529237,1228
global,global,4,living,1987.6662786581232,2366
global,global,5,living,1891.9313674611835,2439
global,global,6,living,726.9880613979642,2157
global,global,7,living,1036.1137269927533,2364
global,global,8,living,606.6588824925327,2860
global,global,0,biodiversity,2112.076078732735,2730
global,global,1,biodiversity,-18.68835877979636,3123
global,global,2,biodiversity,2014.8274481496587,2961
global,global,3,biodiversity,1851.9476797960288,2614
global,global,4,biodiversity,927.5151949517456,2006
global,global,5,biodiversity,2254.5482953624646,1794
global,global,6,biodiversity,-399.3468352532899,2199
global,global,7,biodiversity,1421.0608916569488,2021
global,global,8,biodiversity,826.986931945301,2982
global,global,0,safety,1906.464205219197,2267
global,global,1,safety,821.6843141723014,2058
global,global,2,safety,1029.9837749091453,2829
global,global,3,safety,-159.97529583666253,1860
global,global,4,safety,1696.0982905737555,2697
global,global,5,safety,1793.0348395679198,1465
global,global,6,safety,1526.047159684901,2986
global,global,7,safety,2228.6305358431673,1417
global,global,8,safety,1376.2860569547472,2721
gender,man,0,living,1467.234545618812,1060
gender,man,1,living,1923.116895918583,1243
gender,man,2,living,1467.1328660452514,1484
gender,man,3,living,801.8205519795806,662
gender,man,4,living,2019.089011623228,1140
gender,man,5,living,1694.2632498481235,1254
gender,man,6,living,1564.7045185152795,1197
gender,man,7,living,1801.9200331123504,1159
gender,man,8,living,1661.880845099806,1451
gender,man,0,biodiversity,1871.3891322750742,1361
gender,man,1,biodiversity,1361.076666988316,1621
gender,man,2,biodiversity,2100.5938610384337,1485
gender,man,3,biodiversity,1441.0779995487915,1385
gender,man,4,biodiversity,871.1319210616477,1027
gender,man,5,biodiversity,1970.406513528609,1010
gender,man,6,biodiversity,956.6876433024124,1204
gender,man,7,biodiversity,1495.6838009760759,937
gender,man,8,biodiversity,1753.88642046574,1554
gender,man,0,safety,1819.3721056114389,1180
gender,man,1,safety,1500.0031593732135,1042
gender,man,2,safety,1170.8488881007236,1465
gender,man,3,safety,326.22845707242436,970
gender,man,4,safety,843.9610835645342,1330
gender,man,5,safety,1894.3171034494162,677
gender,man,6,safety,1745.3025231478096,1392
gender,man,7,safety,2005.860617621137,770
gender,man,8,safety,1415.5460864277313,1364
gender,woman,0,living,1958.0737926607792,711
gender,woman,1,living,1479.808390370038,934
gender,woman,2,living,1911.8193224445577,1095
gender,woman,3,living,975.910953526091,535
gender,woman,4,living,900.3594813398475,979
gender,woman,5,living,1731.2621833070452,915
gender,woman,6,living,822.3373289582962,853
gender,woman,7,living,1393.9573267539374,1034
gender,woman,8,living,1129.7596916228617,1164
gender,woman,0,biodiversity,1204.00583263713,1094
gender,woman,1,biodiversity,1659.6724363465266,1248
gender,woman,2,biodiversity,1614.7503348634073,1124
gender,woman,3,biodiversity,1734.749875918761,990
gender,woman,4,biodiversity,1538.5498677157495,819
gender,woman,5,biodiversity,2017.1575271136503,722
