demographic,demographic_value,habitat_id,question_id,mu,rankings
gender,other,1,biodiversity,1567.9554368798952,6
gender,other,4,safety,1448.9516172072754,6
gender,other,5,biodiversity,1477.0268453089732,12
gender,other,3,safety,1464.873590597309,9
gender,other,7,safety,1568.760839169192,6
gender,other,0,safety,1544.889507906097,12
gender,other,1,safety,1503.4649609643461,12
gender,other,5,living,1475.412224083257,18
gender,other,1,living,1535.4504207080818,9
education,eighteen,6,living,1538.8173148790988,484
gender,other,2,living,1547.7885777296804,14
gender,other,6,safety,1522.6235635782368,10
gender,other,3,living,1377.4683956842273,9
gender,other,7,living,1508.1165512100026,17
gender,other,2,safety,1512.0179425541594,9
gender,other,2,biodiversity,1427.2688743865103,8
gender,other,8,living,1526.1933256389173,16
gender,other,4,living,1560.2099159346772,13
gender,other,8,safety,1436.7586785591536,11
gender,other,8,biodiversity,1536.4149268370102,9
gender,other,0,living,1494.3434551327007,21
gender,other,7,biodiversity,1438.8655902175274,7
gender,other,6,living,1466.7558254539922,19
garden,no,4,living,1683.8582467732535,201
gender,other,3,biodiversity,1528.7691452709573,18
gender,other,0,biodiversity,1488.6882346576526,19
gender,other,6,biodiversity,1523.8913671004445,18
education,sixteen,5,safety,1709.7993906301692,88
garden,no,6,living,1085.294974530621,207
ethnicity,other,6,living,1312.122134434281,169
ethnicity,other,5,living,1740.3067617682475,230
ethnicity,other,8,living,1684.4567730217002,212
education,sixteen,6,living,1300.4089068312114,154
garden,no,5,living,1757.8213172745293,223
income,lower,6,living,1619.4085971340116,417
movement,yes,6,living,1554.708636246562,537
movement,yes,0,living,1918.6141170349742,450
ethnicity,other,4,living,1635.5238142969263,205
education,sixteen,5,living,1166.2483440705103,128
income,lower,4,living,1774.8953605064116,373
ethnicity,other,7,living,1662.5608420232186,272
children,yes,5,living,961.0838524932421,372
dog,yes,5,living,592.0151455277423,775
age,younger,5,living,1577.5861657420733,668
movement,yes,8,living,1695.9878528469603,502
movement,yes,5,living,1430.8955529924667,487
children,yes,8,living,1308.5350580587026,372
age,middle,5,living,1449.1104768075913,1115
income,lower,5,living,1457.005647589199,440
education,eighteen,5,living,1725.4109835713903,476
gender,man,5,living,1405.8696687603724,1286
income,higher,5,living,478.3957059917253,724
education,eighteen,4,living,1471.803270053651,473
education,sixteen,0,living,1722.5869751167002,124
age,older,6,living,1514.4978998982629,587
