demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,2245.924688216811,3376
global,global,1,living,1420.6405096191897,2759
global,global,2,living,2041.5721185774348,3200
global,global,3,living,1626.802925686645,2738
global,global,4,living,2338.9724867953523,3312
global,global,5,living,2076.9656446342797,2103
global,global,6,living,2141.2668060395977,2435
global,global,7,living,1048.389137617708,2356
global,global,8,living,2393.13450183342,3349
global,global,0,biodiversity,922.806702626626,1516
global,global,1,biodiversity,2116.1426559696015,2103
global,global,2,biodiversity,632.12270475095,1957
global,global,3,biodiversity,557.4397397828368,1631
global,global,4,biodiversity,1680.3389210115254,2079
global,global,5,biodiversity,1917.0756566809819,2114
global,global,6,biodiversity,2068.3510051265034,1748
global,global,7,biodiversity,1768.2091230371432,2317
global,global,8,biodiversity,2198.535668109877,2193
global,global,0,safety,2202.286037477132,2066
global,global,1,safety,2278.282892595515,2057
global,global,2,safety,1914.6211826267584,2186
global,global,3,safety,991.6845061650275,2232
global,global,4,safety,1279.5073071743734,2347
global,global,5,safety,1341.5572397334151,2852
global,global,6,safety,2000.006427032216,2140
global,global,7,safety,1430.2475923323555,2129
global,global,8,safety,-28.986244042992947,2005
gender,man,0,living,1736.5812704390767,1652
gender,man,1,living,1326.5270477186064,1408
gender,man,2,living,2039.4471823022013,1628
gender,man,3,living,1478.078799614841,1378
gender,man,4,living,1607.842089189435,1657
gender,man,5,living,2131.0301279487935,1121
gender,man,6,living,1578.8491623665993,1266
gender,man,7,living,1830.3088078317137,1225
gender,man,8,living,1432.3030154316677,1733
gender,man,0,biodiversity,1073.4064984178526,739
gender,man,1,biodiversity,1981.3253777145671,1057
gender,man,2,biodiversity,480.87624449243526,1068
gender,man,3,biodiversity,612.049630704675,793
gender,man,4,biodiversity,1611.2324985946964,1049
gender,man,5,biodiversity,1828.3743966132652,1056
gender,man,6,biodiversity,1976.3358097652192,875
gender,man,7,biodiversity,1594.523602259735,1171
gender,man,8,biodiversity,1382.4778636891924,1170
gender,man,0,safety,2014.2790569694146,1007
gender,man,1,safety,1800.5242289503562,994
gender,man,2,safety,954.0513290643252,1109
gender,man,3,safety,1084.6219677105166,1147
gender,man,4,safety,1925.6037301186439,1288
gender,man,5,safety,1762.8415392743746,1539
gender,man,6,safety,1976.5414853546015,1138
gender,man,7,safety,766.2671515866697,1096
gender,man,8,safety,723.2157714698507,1060
gender,woman,0,living,1836.10782742236,1371
gender,woman,1,living,1639.8052370417238,1133
gender,woman,2,living,1431.0307142758588,1325
gender,woman,3,living,1885.2934217801621,1109
gender,woman,4,living,2086.4267083861646,1388
gender,woman,5,living,730.3765694670487,819
gender,woman,6,living,1629.167131625931,931
gender,woman,7,living,855.3829451225849,956
gender,woman,8,living,1940.2212427975714,1338
gender,woman,0,biodiversity,1149.8073612578664,683
gender,woman,1,biodiversity,1241.3336977300246,805
gender,woman,2,biodiversity,1666.2905897874773,762
gender,woman,3,biodiversity,1478.771035865527,697
gender,woman,4,biodiversity,1413.1330565220037,803
gender,woman,5,biodiversity,976.964792734712,835
gender,woman,6,biodiversity,1111.8179081944156,716
gender,woman,7,biodiversity,1865.2080147438628,934
gender,woman,8,biodiversity,1961.5591293289003,863
gender,woman,0,safety,1492.461558315655,834
gender,woman,1,safety,1814.1256178779433,823
gender,woman,2,safety,1977.4373344918029,769
gender,woman,3,safety,1272.070042597558,943
gender,woman,4,safety,-74.44069802454574,893
gender,woman,5,safety,1532.898254616562,1136
gender,woman,6,safety,1845.3251399477344,822
gender,woman,7,safety,1730.659581114911,923
