demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,27.659197986350435,1670
global,global,1,living,1576.375418421637,2458
global,global,2,living,1818.335313541515,2984
global,global,3,living,2085.555448444439,2103
global,global,4,living,689.1253600363159,2453
global,global,5,living,2218.665846235267,2213
global,global,6,living,2004.9296495796202,2248
global,global,7,living,1803.0420619077331,2238
global,global,8,living,1043.2356385053681,2581
global,global,0,biodiversity,1556.263796090401,2793
global,global,1,biodiversity,758.9149373166593,2495
global,global,2,biodiversity,2287.0392654523343,2484
global,global,3,biodiversity,2179.2895261924696,2639
global,global,4,biodiversity,2387.137869943215,1898
global,global,5,biodiversity,431.71600589208356,2848
global,global,6,biodiversity,2140.6903295403135,2932
global,global,7,biodiversity,1496.3940761593853,2455
global,global,8,biodiversity,1630.560820983452,2756
global,global,0,safety,1656.4815519451429,2648
global,global,1,safety,2282.696990406013,1189
global,global,2,safety,880.475216355316,2079
global,global,3,safety,1486.8101849102536,1855
global,global,4,safety,1374.7406366909327,2155
global,global,5,safety,265.26820767648513,1900
global,global,6,safety,355.19977266510034,2727
global,global,7,safety,1746.0939068256994,2315
global,global,8,safety,1974.6878851273786,2184
gender,man,0,living,1509.1947462682197,928
gender,man,1,living,1972.6675320591842,1271
gender,man,2,living,1770.9110491454326,1456
gender,man,3,living,1750.1713132077064,1062
gender,man,4,living,1484.7218502419544,1280
gender,man,5,living,2037.3392336034653,1142
gender,man,6,living,1623.7228139833824,1185
gender,man,7,living,1643.5102607523288,1158
gender,man,8,living,1058.642714659663,1316
gender,man,0,biodiversity,1740.0080926141736,1446
gender,man,1,biodiversity,456.91534850394385,1194
gender,man,2,biodiversity,1908.1474282505358,1283
gender,man,3,biodiversity,1821.7700301372356,1359
gender,man,4,biodiversity,1721.4609543236395,922
gender,man,5,biodiversity,-201.09576685517118,1477
gender,man,6,biodiversity,2083.003880075878,1501
gender,man,7,biodiversity,1762.2201751425393,1253
gender,man,8,biodiversity,1786.2050797699162,1457
gender,man,0,safety,1312.9043779902493,1343
gender,man,1,safety,1989.964985949212,656
gender,man,2,safety,1377.9264520304641,1076
gender,man,3,safety,1921.9455305399392,957
gender,man,4,safety,1660.6147030137895,1083
gender,man,5,safety,-687.579772230586,914
gender,man,6,safety,1160.4851360185048,1444
gender,man,7,safety,1521.967762531236,1174
gender,man,8,safety,1689.849125011372,1087
gender,woman,0,living,408.37524080046063,638
gender,woman,1,living,750.6601901639339,904
gender,woman,2,living,1749.4886741989485,1217
gender,woman,3,living,1503.8031021341335,907
gender,woman,4,living,1287.3176042195016,973
gender,woman,5,living,1916.3144387900277,896
gender,woman,6,living,2000.1159392256984,898
gender,woman,7,living,1660.0386319134877,877
gender,woman,8,living,1758.0772121566415,1050
gender,woman,0,biodiversity,937.7453643469029,1121
gender,woman,1,biodiversity,1577.85844756849,1078
gender,woman,2,biodiversity,1982.1702742184914,949
gender,woman,3,biodiversity,1671.6554518044716,1015
gender,woman,4,biodiversity,1938.1663829692277,802
gender,woman,5,biodiversity,1794.7888938558863,1113
gender,woman,6,biodiversity,1591.8942790432143,1210
gender,woman,7,biodiversity,679.3125127712464,983
gender,woman,8,biodiversity,1554.902175067969,1071
gender,woman,0,safety,1650.1153799412675,1056
gender,woman,1,safety,1987.5379648200294,451
gender,woman,2,safety,1501.5144320251454,881
gender,woman,3,safety,859.1361294228319,719
gender,woman,4,safety,474.5681724809583,900
gender,woman,5,safety,1827.501777684804,803
gender,woman,6,safety,1140.952129016676,1084
gender,woman,7,safety,1441.8247618293856,935
gender,woman,8,safety,1933.8537936832458,937
gender,other,0,living,1513.3475814050607,15
gender,other,1,living,1548.4431460039734,12
gender,other,2,living,1464.0384660689906,7
gender,other,3,living,1452.827305790314,14
gender,other,4,living,1579.9073152493536,11
gender,other,5,living,1510.7415973331651,11
gender,other,6,living,1500.0505844562053,14
gender,other,7,living,1499.4067243298869,16
gender,other,8,living,1425.0135341500945,12
gender,other,0,biodiversity,1478.486837374446,12
gender,other,1,biodiversity,1453.8887606037638,16
gender,other,2,biodiversity,1535.7527588946339,7
gender,other,3,biodiversity,1524.1825196950003,16
gender,other,4,biodiversity,1504.1724248326086,12
gender,other,5,biodiversity,1440.0567566206525,23
gender,other,6,biodiversity,1514.4086634923297,13
gender,other,7,biodiversity,1492.974110445553,17
gender,other,8,biodiversity,1569.3801369981209,10
gender,other,0,safety,1440.0183025983838,7
gender,other,1,safety,1561.5910813769046,11
gender,other,2,safety,1511.9535313070348,11
gender,other,3,safety,1488.8059858659108,15
gender,other,4,safety,1489.665129476121,9
gender,other,5,safety,1536.331689470337,13
gender,other,6,safety,1476.0183000184193,12
gender,other,7,safety,1538.4431053880871,13
gender,other,8,safety,1463.4883876886324,9
age,younger,0,living,1591.536813676595,513
age,younger,1,living,1400.2958989788488,606
age,younger,2,living,1778.741916444753,827
age,younger,3,living,1344.955800958774,611
age,younger,4,living,1644.0304425357176,735
age,younger,5,living,1884.4052307293746,610
age,younger,6,living,1543.3539551029712,661
age,younger,7,living,1624.1884442084252,637
age,younger,8,living,1845.6868915594534,704
age,younger,0,biodiversity,1852.6081717569791,733
age,younger,1,biodiversity,1261.52081713723,707
