demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,2188.0856835343498,3079
global,global,1,living,1943.9069601347596,2356
global,global,2,living,1828.5584956765306,3088
global,global,3,living,2266.874194775322,1224
global,global,4,living,1289.2042488609993,2867
global,global,5,living,1629.1646322575205,2903
global,global,6,living,915.2182593381801,2896
global,global,7,living,1739.488397562256,3432
global,global,8,living,1695.2027633210564,3795
global,global,0,biodiversity,2170.695761702501,1304
global,global,1,biodiversity,2009.5819921998432,2164
global,global,2,biodiversity,790.9972332609732,1975
global,global,3,biodiversity,1456.6100330395705,2342
global,global,4,biodiversity,1919.868757525849,1866
global,global,5,biodiversity,1580.5209410389896,1850
global,global,6,biodiversity,1409.7060214851135,2146
global,global,7,biodiversity,133.07018014390127,1774
global,global,8,biodiversity,1048.6166220201173,2407
global,global,0,safety,1755.2284030364533,2013
global,global,1,safety,2068.429636067417,2332
global,global,2,safety,2265.7844986149603,1540
global,global,3,safety,1678.4522145582757,2538
global,global,4,safety,1371.1796277728604,1558
global,global,5,safety,883.0796414448018,2245
global,global,6,safety,742.1863199756256,2916
global,global,7,safety,602.5386305379376,2148
global,global,8,safety,1492.2553847048964,2542
gender,man,0,living,1723.4423879802644,1557
gender,man,1,living,1912.125324903313,1082
gender,man,2,living,1821.200136421236,1583
gender,man,3,living,2013.3551820161956,589
gender,man,4,living,1707.216478450143,1511
gender,man,5,living,1393.2138574436592,1438
gender,man,6,living,1597.700733625966,1479
gender,man,7,living,1007.8045087828642,1701
gender,man,8,living,1434.859726917639,1888
gender,man,0,biodiversity,1975.937864589449,719
gender,man,1,biodiversity,1760.116847706894,1086
gender,man,2,biodiversity,792.3887918116613,1032
gender,man,3,biodiversity,1517.8862774119923,1231
gender,man,4,biodiversity,1513.96677278663,984
gender,man,5,biodiversity,1870.0197310317308,954
gender,man,6,biodiversity,1428.3837870309517,1058
gender,man,7,biodiversity,945.9182590860613,942
gender,man,8,biodiversity,1416.1816844740147,1304
gender,man,0,safety,1686.6305588402938,989
gender,man,1,safety,1910.9252860730692,1220
gender,man,2,safety,2021.1743315493147,857
gender,man,3,safety,1857.911007090319,1357
gender,man,4,safety,1236.2288155773308,854
gender,man,5,safety,506.9520113564784,1120
gender,man,6,safety,976.358158316619,1544
gender,man,7,safety,843.3829637576653,1103
gender,man,8,safety,1946.97286595864,1242
gender,woman,0,living,2026.6511267901103,1239
gender,woman,1,living,898.0396810883278,964
gender,woman,2,living,1498.3711092750277,1188
gender,woman,3,living,1968.2289136137824,535
gender,woman,4,living,1249.5104061403233,1228
gender,woman,5,living,1701.4509007478373,1110
gender,woman,6,living,1839.450333620411,1227
gender,woman,7,living,1750.111680509384,1441
gender,woman,8,living,1849.359098727207,1512
gender,woman,0,biodiversity,1233.8477100584148,519
gender,woman,1,biodiversity,1626.088502082551,941
gender,woman,2,biodiversity,1540.4182889037631,779
gender,woman,3,biodiversity,1850.0658331437123,859
gender,woman,4,biodiversity,1970.56740629716,749
gender,woman,5,biodiversity,307.2769077729806,751
gender,woman,6,biodiversity,1568.702674954702,839
gender,woman,7,biodiversity,645.6549932830906,658
gender,woman,8,biodiversity,1654.5334756736668,959
gender,woman,0,safety,1109.8818318803353,773
gender,woman,1,safety,1641.0463520426624,979
gender,woman,2,safety,1936.4263078403847,611
gender,woman,3,safety,1285.4586679943188,1013
gender,woman,4,safety,1330.2815535829473,648
gender,woman,5,safety,1894.8358183050586,870
gender,woman,6,safety,1755.7373964662415,1163
gender,woman,7,safety,1081.5933108457934,821
gender,woman,8,safety,1539.9873288298847,1092
gender,other,0,living,1548.0484082286282,8
gender,other,1,living,1536.0346151420786,13
gender,other,2,living,1425.9618770908169,10
gender,other,3,living,1499.9249103310826,12
gender,other,4,living,1559.9995393204767,9
gender,other,5,living,1463.9249172868044,13
gender,other,6,living,1473.982963569405,14
gender,other,7,living,1513.5007810203088,15
gender,other,8,living,1477.9641833229182,10
gender,other,0,biodiversity,1453.5839488699094,16
gender,other,1,biodiversity,1514.793797493142,17
gender,other,2,biodiversity,1440.0014661405005,7
gender,other,3,biodiversity,1526.1372514253742,10
gender,other,4,biodiversity,1547.507728389052,14
gender,other,5,biodiversity,1476.013266115873,14
gender,other,6,biodiversity,1560.001765933338,5
gender,other,7,biodiversity,1489.1695788825198,19
gender,other,8,biodiversity,1504.4116021224893,18
gender,other,0,safety,1465.796940171548,15
gender,other,1,safety,1534.761103827972,9
gender,other,2,safety,1548.288882868502,8
gender,other,3,safety,1452.6218157953685,12
gender,other,4,safety,1500.4028344537976,16
gender,other,5,safety,1560.7504785747453,9
gender,other,6,safety,1440.9249923563698,15
gender,other,7,safety,1513.1371984682003,17
gender,other,8,safety,1488.0689043215075,13
age,younger,0,living,1999.6526270795507,825
age,younger,1,living,1834.249010568018,583
age,younger,2,living,881.6481381934839,789
age,younger,3,living,1630.242449379975,385
age,younger,4,living,1459.6207581952578,880
age,younger,5,living,1231.0432132126798,815
age,younger,6,living,1310.3127003950817,798
age,younger,7,living,1781.2483273858488,942
age,younger,8,living,1595.49289951749,1045
age,younger,0,biodiversity,1827.4501044352696,371
age,younger,1,biodiversity,1694.9309504732382,666
age,younger,2,biodiversity,1531.5217267922376,601
age,younger,3,biodiversity,1768.0175636018882,666
age,younger,4,biodiversity,1791.40032992366,567
age,younger,5,biodiversity,1636.3064381567153,483
age,younger,6,biodiversity,1442.9986705836086,646
age,younger,7,biodiversity,1138.0209755101716,492
age,younger,8,biodiversity,1397.9966711679822,720
age,younger,0,safety,1772.5909474319417,511
age,younger,1,safety,1617.159929289141,651
age,younger,2,safety,1940.9122273536066,459
age,younger,3,safety,1487.1042407955051,706
age,younger,4,safety,797.6301050423949,441
age,younger,5,safety,1121.46056302779,604
age,younger,6,safety,1268.1040775519275,812
age,younger,7,safety,1520.589882318676,580
age,younger,8,safety,1719.2533628002295,744
age,middle,0,living,1594.3035121836394,1343
age,middle,1,living,1422.7670097836344,981
age,middle,2,living,1675.151396925054,1309
age,middle,3,living,1937.877702879245,488
age,middle,4,living,1238.5459563760014,1230
age,middle,5,living,1881.8352745050404,1161
age,middle,6,living,856.5674363705493,1245
age,middle,7,living,1393.16884296519,1516
age,middle,8,living,1377.0061547648236,1585
age,middle,0,biodiversity,1716.3968657002215,561
age,middle,1,biodiversity,1961.3746086197143,905
age,middle,2,biodiversity,1607.950630850747,786
age,middle,3,biodiversity,1223.29801849321,931
age,middle,4,biodiversity,1821.4946139390524,793
age,middle,5,biodiversity,1862.5324751680103,812
age,middle,6,biodiversity,999.1321397548579,801
age,middle,7,biodiversity,886.982451287885,755
age,middle,8,biodiversity,1505.472259298763,1012
age,middle,0,safety,1510.028383342627,829
age,middle,1,safety,1948.6573245534405,1017
age,middle,2,safety,1909.9374987018166,690
age,middle,3,safety,1294.8024700875153,1079
age,middle,4,safety,1663.5975020578117,718
age,middle,5,safety,1795.149879934627,909
age,middle,6,safety,1158.3771922994154,1305
age,middle,7,safety,-0.7877893890531844,909
age,middle,8,safety,1885.486557062641,1078
age,older,0,living,1553.2724778188951,623
age,older,1,living,1638.2252246511748,485
age,older,2,living,1753.4004402998964,675
age,older,3,living,1844.4040945553238,258
age,older,4,living,1623.431853236913,633
age,older,5,living,1052.7604446256119,575
age,older,6,living,1668.3956163366865,673
age,older,7,living,1314.1639670328289,687
age,older,8,living,1735.1950684734475,777
age,older,0,biodiversity,1613.0131934939473,321
age,older,1,biodiversity,1268.254360236896,468
age,older,2,biodiversity,822.7640788750075,421
age,older,3,biodiversity,1785.5222428713635,493
age,older,4,biodiversity,1519.4794695397277,376
age,older,5,biodiversity,1293.7317051260306,411
age,older,6,biodiversity,1861.0642814339117,448
age,older,7,biodiversity,1212.2847152245372,367
age,older,8,biodiversity,1637.775389313665,539
age,older,0,safety,1541.3902085333834,427
age,older,1,safety,1502.2227904324764,546
age,older,2,safety,1830.2774154155109,321
age,older,3,safety,1744.0209572494368,593
age,older,4,safety,1412.6672396858482,355
age,older,5,safety,1584.1396326389802,483
age,older,6,safety,1609.1678287621628,600
age,older,7,safety,1211.9414783320344,447
age,older,8,safety,1788.663629133207,526
ethnicity,white,0,living,1980.9527374656561,2429
ethnicity,white,1,living,1948.463975288897,1795
ethnicity,white,2,living,1871.175965686331,2427
ethnicity,white,3,living,2112.082697928425,918
ethnicity,white,4,living,765.4159753983796,2386
ethnicity,white,5,living,1835.4503425374635,2163
ethnicity,white,6,living,1236.8174900794857,2343
ethnicity,white,7,living,1770.972537700208,2730
ethnicity,white,8,living,1512.0338261470542,2967
ethnicity,white,0,biodiversity,2117.9040193938617,1082
ethnicity,white,1,biodiversity,1957.0886492679626,1741
ethnicity,white,2,biodiversity,1195.5843423123747,1579
ethnicity,white,3,biodiversity,1646.297650105163,1793
ethnicity,white,4,biodiversity,1898.5623262709744,1454
ethnicity,white,5,biodiversity,1802.2668906027411,1475
ethnicity,white,6,biodiversity,1345.761919362121,1636
ethnicity,white,7,biodiversity,1001.0014907919358,1374
ethnicity,white,8,biodiversity,1293.2951692274992,1954
ethnicity,white,0,safety,992.279812147564,1534
ethnicity,white,1,safety,1831.1937098434341,1937
ethnicity,white,2,safety,2236.101299007762,1248
ethnicity,white,3,safety,1578.0281913300253,2047
ethnicity,white,4,safety,1436.5951761659796,1323
ethnicity,white,5,safety,1393.7086823066932,1718
ethnicity,white,6,safety,474.1465244065626,2384
ethnicity,white,7,safety,359.5240984737585,1685
ethnicity,white,8,safety,1760.9159686192368,2038
ethnicity,other,0,living,1590.0966393976346,263
ethnicity,other,1,living,1411.771808849769,197
ethnicity,other,2,living,1225.3108702893996,247
ethnicity,other,3,living,1564.1853737057545,169
ethnicity,other,4,living,1765.6654052430074,233
ethnicity,other,5,living,1678.719664747738,273
ethnicity,other,6,living,1407.515150049003,256
ethnicity,other,7,living,1141.2022901173625,314
ethnicity,other,8,living,1655.7340767788048,330
ethnicity,other,0,biodiversity,1648.564590044004,112
ethnicity,other,1,biodiversity,1513.3142670021548,227
ethnicity,other,2,biodiversity,1092.8684120121861,172
ethnicity,other,3,biodiversity,1732.1227543260704,225
ethnicity,other,4,biodiversity,1660.3034601549873,212
ethnicity,other,5,biodiversity,1273.7916549572965,165
ethnicity,other,6,biodiversity,1595.9570013541584,184
ethnicity,other,7,biodiversity,1396.0243045443065,190
ethnicity,other,8,biodiversity,1486.594894448559,243
ethnicity,other,0,safety,1561.1792820758644,156
ethnicity,other,1,safety,1672.6066759511064,185
ethnicity,other,2,safety,1428.0151069075364,152
ethnicity,other,3,safety,1326.1575939215336,248
ethnicity,other,4,safety,1530.4639755605324,130
ethnicity,other,5,safety,1397.4872561214913,191
ethnicity,other,6,safety,1726.8455847912558,216
ethnicity,other,7,safety,1350.1662776763121,172
ethnicity,other,8,safety,1605.4435124696745,218
education,sixteen,0,living,1390.3200982941398,227
education,sixteen,1,living,1331.8728900671983,154
education,sixteen,2,living,1590.5350143442704,184
education,sixteen,3,living,1657.1688473916101,102
education,sixteen,4,living,1515.1974423849756,186
education,sixteen,5,living,1436.5550234686843,197
education,sixteen,6,living,1616.7627520296248,210
education,sixteen,7,living,1719.800365147353,193
education,sixteen,8,living,1490.5964957736953,267
education,sixteen,0,biodiversity,1539.0099061771627,130
education,sixteen,1,biodiversity,1266.23049503276,147
education,sixteen,2,biodiversity,1324.8391413466352,129
education,sixteen,3,biodiversity,1564.9548632037008,157
education,sixteen,4,biodiversity,1512.6470567332435,112
education,sixteen,5,biodiversity,1404.772079418604,137
education,sixteen,6,biodiversity,1746.7870316341098,110
education,sixteen,7,biodiversity,1473.975853190012,108
education,sixteen,8,biodiversity,1614.7557092376599,152
education,sixteen,0,safety,1162.558066711827,125
education,sixteen,1,safety,1493.6869173409461,160
education,sixteen,2,safety,1583.9500925364914,72
education,sixteen,3,safety,1461.5601308425312,161
education,sixteen,4,safety,1684.3152501904362,108
education,sixteen,5,safety,1527.202682929229,117
education,sixteen,6,safety,1708.4777330672077,157
education,sixteen,7,safety,1083.9147551524934,143
education,sixteen,8,safety,1384.7577874181338,127
education,eighteen,0,living,1506.0031599400459,497
education,eighteen,1,living,1258.1940748763272,381
education,eighteen,2,living,1521.9762225255872,534
education,eighteen,3,living,1838.8419982792548,198
education,eighteen,4,living,1609.524105414945,521
education,eighteen,5,living,1637.2908679912675,495
education,eighteen,6,living,1591.4143223313467,505
education,eighteen,7,living,1402.8238270788052,602
education,eighteen,8,living,1773.3895584329193,597
education,eighteen,0,biodiversity,851.3195374034317,242
education,eighteen,1,biodiversity,1379.8807954149236,325
education,eighteen,2,biodiversity,1668.4202994824652,319
education,eighteen,3,biodiversity,1521.9101840817887,353
education,eighteen,4,biodiversity,1794.727596178448,238
education,eighteen,5,biodiversity,1650.103039868712,315
education,eighteen,6,biodiversity,1414.944504561796,295
education,eighteen,7,biodiversity,1257.9224432101817,321
education,eighteen,8,biodiversity,1693.8644392828385,398
education,eighteen,0,safety,1352.0672250578357,328
education,eighteen,1,safety,1786.6493385147542,430
education,eighteen,2,safety,1749.6755177215914,247
education,eighteen,3,safety,1684.462629572197,399
education,eighteen,4,safety,1177.5569052405447,285
education,eighteen,5,safety,1540.300211696836,395
education,eighteen,6,safety,1499.181479636491,607
education,eighteen,7,safety,1613.0896585562555,363
education,eighteen,8,safety,1722.5604576068079,452
education,older,0,living,2036.6260015880355,2045
education,older,1,living,1958.6770768475048,1503
education,older,2,living,1359.0548463628843,2026
education,older,3,living,2116.40622782454,826
