demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,916.2909459489308,2456
global,global,1,living,1950.4360587782971,1816
global,global,2,living,1455.1754833942612,2239
global,global,3,living,1677.1794430713505,2001
global,global,4,living,666.3709045867347,2242
global,global,5,living,2254.8256226608814,1566
global,global,6,living,1296.1347466528719,2535
global,global,7,living,2090.852643032813,2257
global,global,8,living,170.67094181202472,1442
global,global,0,biodiversity,430.85192970018545,2710
global,global,1,biodiversity,1781.9557382401504,2420
global,global,2,biodiversity,2406.4189442813567,2007
global,global,3,biodiversity,1162.5438774829881,3117
global,global,4,biodiversity,1591.3345736157585,2396
global,global,5,biodiversity,2118.7576055592012,2476
global,global,6,biodiversity,1974.3212188344914,2862
global,global,7,biodiversity,1722.076462556168,3103
global,global,8,biodiversity,1170.1298204170253,2593
global,global,0,safety,1674.318487196798,2356
global,global,1,safety,1205.3827245753812,2392
global,global,2,safety,2270.963141479859,1805
global,global,3,safety,2032.0056355643576,1659
global,global,4,safety,1901.3748970937327,2873
global,global,5,safety,622.162035010647,2248
global,global,6,safety,1787.6183596058086,2893
global,global,7,safety,1357.9463853676518,2405
global,global,8,safety,1857.5151262270506,2431
gender,man,0,living,1760.3223035010503,1248
gender,man,1,living,1957.277648991324,938
gender,man,2,living,1274.6459013096585,1157
gender,man,3,living,764.295988913813,1048
gender,man,4,living,1064.9800479285489,1212
gender,man,5,living,2009.6975016637914,776
gender,man,6,living,1601.5447320953322,1251
gender,man,7,living,1680.0968373778187,1202
gender,man,8,living,1176.347405331478,762
gender,man,0,biodiversity,1554.065422469854,1502
gender,man,1,biodiversity,1765.7020840811713,1277
gender,man,2,biodiversity,2114.664054469742,1010
gender,man,3,biodiversity,-470.976520116165,1570
gender,man,4,biodiversity,1878.6004312513992,1275
gender,man,5,biodiversity,1236.062374716131,1238
gender,man,6,biodiversity,1523.2459435739397,1445
gender,man,7,biodiversity,1535.7366859443248,1633
gender,man,8,biodiversity,1483.2041535823773,1374
gender,man,0,safety,1956.166706468202,1146
gender,man,1,safety,1872.3044660189855,1164
gender,man,2,safety,1774.5886413597207,945
gender,man,3,safety,1531.0021529277747,861
gender,man,4,safety,1939.0242223150715,1373
gender,man,5,safety,405.8630887053533,1193
gender,man,6,safety,1314.619731745824,1399
gender,man,7,safety,1491.3567544608127,1259
gender,man,8,safety,1114.1331270572105,1166
gender,woman,0,living,1001.7510735840364,1029
gender,woman,1,living,1661.9573747885104,761
gender,woman,2,living,1159.4843030100055,889
gender,woman,3,living,1941.5931814621986,842
gender,woman,4,living,1318.2174975397575,861
gender,woman,5,living,1891.0183749361872,686
gender,woman,6,living,1521.4597225355262,1091
gender,woman,7,living,1914.4272440567884,905
gender,woman,8,living,774.0095853447594,620
gender,woman,0,biodiversity,-21.697186810509727,1037
gender,woman,1,biodiversity,945.6359408859738,964
gender,woman,2,biodiversity,1901.0318541301474,866
gender,woman,3,biodiversity,1730.2977217365637,1256
gender,woman,4,biodiversity,1098.3577169341916,979
gender,woman,5,biodiversity,1975.2420279765674,1005
gender,woman,6,biodiversity,1876.7776254121923,1113
gender,woman,7,biodiversity,1239.4444008974908,1261
gender,woman,8,biodiversity,232.08403174715278,1025
gender,woman,0,safety,1389.459437794395,898
gender,woman,1,safety,1299.020088042319,900
gender,woman,2,safety,1853.7954587322015,716
gender,woman,3,safety,1813.268025314554,654
gender,woman,4,safety,1645.5763322113482,1117
gender,woman,5,safety,1947.5152225947425,933
gender,woman,6,safety,1317.2013302038267,1140
gender,woman,7,safety,1621.5988713086215,961
gender,woman,8,safety,1225.051148253209,959
gender,other,0,living,1500.0314430007875,12
gender,other,1,living,1464.000208203222,7
gender,other,2,living,1570.5208170201245,14
gender,other,3,living,1549.1846022739312,10
gender,other,4,living,1523.9565075921005,8
gender,other,5,living,1511.6759615386695,13
gender,other,6,living,1439.8357455793323,15
gender,other,7,living,1489.2573564554336,15
gender,other,8,living,1453.4655778469814,18
gender,other,0,biodiversity,1467.3033945095806,11
gender,other,1,biodiversity,1500.0667873194886,16
gender,other,2,biodiversity,1512.0663237062597,15
gender,other,3,biodiversity,1546.1842077454187,14
gender,other,4,biodiversity,1451.5204354408659,10
gender,other,5,biodiversity,1440.0285847440816,5
gender,other,6,biodiversity,1536.0650049116803,9
gender,other,7,biodiversity,1486.9341641847516,13
gender,other,8,biodiversity,1561.9140959201088,13
gender,other,0,safety,1464.3768506925337,13
gender,other,1,safety,1524.1276709357728,16
gender,other,2,safety,1568.4252698327232,8
gender,other,3,safety,1546.4020839723414,14
gender,other,4,safety,1425.6284187921556,18
gender,other,5,safety,1438.5571190999349,9
gender,other,6,safety,1488.6601980162814,15
gender,other,7,safety,1486.7940604937812,11
gender,other,8,safety,1547.3152074313693,16
age,younger,0,living,1622.1990824038887,710
age,younger,1,living,1826.0105474375036,516
age,younger,2,living,1473.3875777662677,703
age,younger,3,living,1265.5428305493651,559
age,younger,4,living,1667.2722807039308,676
age,younger,5,living,1898.6822263950196,420
age,younger,6,living,1756.9910897997438,760
age,younger,7,living,1384.72608354548,628
age,younger,8,living,1155.8041577543427,402
age,younger,0,biodiversity,127.00163826806401,826
age,younger,1,biodiversity,1931.3780551079906,639
age,younger,2,biodiversity,1797.3127877403929,519
age,younger,3,biodiversity,1359.5283563829514,899
age,younger,4,biodiversity,1675.1665454285405,705
age,younger,5,biodiversity,1472.0797682146517,700
age,younger,6,biodiversity,1782.927298712617,789
age,younger,7,biodiversity,912.5555701675953,889
age,younger,8,biodiversity,1508.6963023716862,792
age,younger,0,safety,1388.399078127859,605
age,younger,1,safety,1637.3030185689042,598
age,younger,2,safety,1847.6741069551106,541
age,younger,3,safety,1812.480456290681,427
age,younger,4,safety,1727.5132744268833,777
age,younger,5,safety,549.8839614879417,588
age,younger,6,safety,1319.908161422272,757
age,younger,7,safety,1438.033658950302,679
age,younger,8,safety,1528.5297369557109,678
age,middle,0,living,1353.0876588927108,1079
age,middle,1,living,1785.7869696209439,810
age,middle,2,living,548.110847552028,860
age,middle,3,living,1869.9912057058878,869
age,middle,4,living,1192.9988864989286,936
age,middle,5,living,1958.52771502796,664
age,middle,6,living,1710.580838164759,1063
age,middle,7,living,1922.8862352879032,920
age,middle,8,living,691.3609534853675,655
age,middle,0,biodiversity,1889.8996003932402,1199
age,middle,1,biodiversity,1925.516050748867,1092
age,middle,2,biodiversity,2011.5231580838913,966
age,middle,3,biodiversity,1402.7816869735523,1297
age,middle,4,biodiversity,910.2867983103857,1002
age,middle,5,biodiversity,1763.9807537730512,989
age,middle,6,biodiversity,1612.4568769842936,1224
age,middle,7,biodiversity,1964.731224065905,1381
age,middle,8,biodiversity,386.6301904007747,1044
age,middle,0,safety,1732.160518684507,931
age,middle,1,safety,772.3649793510953,1026
age,middle,2,safety,1934.710847919727,749
age,middle,3,safety,1863.6975201153703,729
age,middle,4,safety,1892.8845215079311,1153
age,middle,5,safety,680.8316984808583,1034
age,middle,6,safety,1461.441174347778,1155
age,middle,7,safety,1759.128991434735,986
age,middle,8,safety,597.9761380440316,935
age,older,0,living,1153.68150833083,487
age,older,1,living,1786.795547060804,375
age,older,2,living,1807.7881110082437,491
age,older,3,living,1600.0790863053567,467
age,older,4,living,897.5595857626413,456
age,older,5,living,1747.3690765107542,389
age,older,6,living,1344.772948721831,527
age,older,7,living,1446.6934280664516,569
age,older,8,living,1560.9380095519755,337
age,older,0,biodiversity,1189.667004547602,526
age,older,1,biodiversity,835.1443345100743,512
age,older,2,biodiversity,1814.5615731829696,411
age,older,3,biodiversity,1437.1626647537296,643
age,older,4,biodiversity,1777.450679685831,546
age,older,5,biodiversity,1845.0933956182673,557
age,older,6,biodiversity,1062.4062739620201,544
age,older,7,biodiversity,1394.5930162385919,634
age,older,8,biodiversity,1679.946856496331,569
age,older,0,safety,1496.2046169774708,517
age,older,1,safety,1846.4713924671148,455
age,older,2,safety,1787.8091259738403,377
age,older,3,safety,1621.3440067101524,366
age,older,4,safety,1132.4473480056165,564
age,older,5,safety,1660.7196771650795,498
age,older,6,safety,1424.5371362295487,632
age,older,7,safety,1037.828434161781,558
