demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1320.9874438572804,2210
global,global,1,living,2114.193604654613,2227
global,global,2,living,1146.650043261587,2169
global,global,3,living,1205.8444851773227,2916
global,global,4,living,2288.329059138542,2005
global,global,5,living,841.0802437646605,2429
global,global,6,living,1915.7555443651415,2010
global,global,7,living,1448.3786633489394,2339
global,global,8,living,105.82021559778552,1669
global,global,0,biodiversity,2288.670491275814,2494
global,global,1,biodiversity,57.17243364440288,1941
global,global,2,biodiversity,1903.0910705719527,3160
global,global,3,biodiversity,2336.0605796781083,1958
global,global,4,biodiversity,1558.5504175645242,2453
global,global,5,biodiversity,1493.8197586402925,2887
global,global,6,biodiversity,380.5647973907629,1399
global,global,7,biodiversity,1468.3763678611194,3139
global,global,8,biodiversity,1971.8368518961515,3115
global,global,0,safety,324.33573395463003,2728
global,global,1,safety,1769.8180726785245,2528
global,global,2,safety,454.23385975781326,2767
global,global,3,safety,166.9232459173816,1407
global,global,4,safety,1727.6727534635163,2810
global,global,5,safety,1007.9480482822411,2694
global,global,6,safety,1635.0655763237583,2431
global,global,7,safety,1901.4643992832591,1585
global,global,8,safety,2211.4166591908647,1830
gender,man,0,living,1754.0999556015904,1106
gender,man,1,living,1845.7898814956068,1192
gender,man,2,living,1284.1826263235134,1074
gender,man,3,living,985.7484590997183,1384
gender,man,4,living,2023.946895121257,985
gender,man,5,living,1549.5757919048622,1155
gender,man,6,living,1647.1731237388162,1089
gender,man,7,living,1144.0249958068623,1233
gender,man,8,living,1036.4999090080826,858
gender,man,0,biodiversity,2090.773729315491,1269
gender,man,1,biodiversity,1249.539044442344,1055
gender,man,2,biodiversity,1776.7792878898827,1584
gender,man,3,biodiversity,1202.110496533724,999
gender,man,4,biodiversity,450.8110240028436,1216
gender,man,5,biodiversity,1889.9475088122376,1455
gender,man,6,biodiversity,1642.2091222750303,796
gender,man,7,biodiversity,1925.3112456552058,1623
gender,man,8,biodiversity,1858.263051683986,1587
gender,man,0,safety,1150.0157039366482,1396
gender,man,1,safety,1935.616234140668,1286
gender,man,2,safety,890.1956655777134,1414
gender,man,3,safety,938.9594394099588,738
gender,man,4,safety,1781.9162610584128,1458
gender,man,5,safety,-469.51733613406526,1334
gender,man,6,safety,1902.354897012818,1299
gender,man,7,safety,1485.5565425395985,911
gender,man,8,safety,2037.4661562612566,928
gender,woman,0,living,255.035887906503,878
gender,woman,1,living,1999.5639765483695,821
gender,woman,2,living,1465.2934834990713,906
gender,woman,3,living,1373.0505188821046,1232
gender,woman,4,living,1769.1277392190343,837
gender,woman,5,living,1346.1025984608261,1025
gender,woman,6,living,1546.3871569748417,781
gender,woman,7,living,1824.5471442084838,973
gender,woman,8,living,865.2029228220765,705
gender,woman,0,biodiversity,1702.2264496480227,994
gender,woman,1,biodiversity,1370.9256247551673,789
gender,woman,2,biodiversity,1838.770366623386,1216
gender,woman,3,biodiversity,2017.9821499998168,781
gender,woman,4,biodiversity,1969.8295600816048,950
gender,woman,5,biodiversity,1004.9420786511107,1174
gender,woman,6,biodiversity,305.3912066041472,533
gender,woman,7,biodiversity,1158.2579780569656,1306
gender,woman,8,biodiversity,716.4685227024778,1217
gender,woman,0,safety,807.7261010618764,1125
gender,woman,1,safety,1429.7342248050034,1026
gender,woman,2,safety,981.3578228821381,1140
gender,woman,3,safety,1220.2456001289797,625
gender,woman,4,safety,1612.232742932363,1118
gender,woman,5,safety,1878.4758130520988,1064
gender,woman,6,safety,1611.1470597819903,932
gender,woman,7,safety,1958.7599162228366,576
gender,woman,8,safety,1792.7760178071917,744
gender,other,0,living,1426.7063985165528,10
