demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1574.6087149713271,2558
global,global,1,living,1870.8904343205213,2512
global,global,2,living,2274.514918935197,2470
global,global,3,living,2117.2333229788132,2074
global,global,4,living,2358.833153127313,1967
global,global,5,living,1300.3605525936403,2308
global,global,6,living,-368.1298937303305,749
global,global,7,living,2016.6406623422804,2799
global,global,8,living,2189.7477116089135,2187
global,global,0,biodiversity,1463.4068948057431,3204
global,global,1,biodiversity,2039.6390511097297,2259
global,global,2,biodiversity,582.0473908920413,2625
global,global,3,biodiversity,1085.1213156878557,2023
global,global,4,biodiversity,2260.081345375443,2927
global,global,5,biodiversity,1885.4526528504696,1985
global,global,6,biodiversity,2369.924612446187,2729
global,global,7,biodiversity,1467.54522707786,2140
global,global,8,biodiversity,716.1910662988814,2490
global,global,0,safety,2098.156047198354,2399
global,global,1,safety,1813.7105589000898,2414
global,global,2,safety,569.1829424557498,2593
global,global,3,safety,1263.488177339811,2662
global,global,4,safety,2257.8846315879655,2409
global,global,5,safety,-16.501957636961052,1573
global,global,6,safety,1603.077166339062,2239
global,global,7,safety,2302.3116460344154,2180
global,global,8,safety,1957.0295332791839,2825
gender,man,0,living,1325.157320013816,1293
gender,man,1,living,1804.9185476079037,1208
gender,man,2,living,1464.5134816680602,1289
gender,man,3,living,1609.3401335200926,979
gender,man,4,living,2027.7581202889473,939
gender,man,5,living,1729.3826960805404,1223
gender,man,6,living,742.2124902829974,380
gender,man,7,living,1138.3673350474958,1394
gender,man,8,living,1923.6262117474776,1147
gender,man,0,biodiversity,1772.3927721271652,1681
gender,man,1,biodiversity,1606.4888921773252,1221
gender,man,2,biodiversity,1175.0844669528553,1404
gender,man,3,biodiversity,1366.9859798567347,1046
gender,man,4,biodiversity,1666.5380808115915,1492
gender,man,5,biodiversity,2066.628785904739,988
gender,man,6,biodiversity,2027.8836699630908,1409
gender,man,7,biodiversity,1714.6134149593547,1097
gender,man,8,biodiversity,1321.763626260919,1320
gender,man,0,safety,1448.4869233209722,1228
gender,man,1,safety,1631.945673470059,1205
gender,man,2,safety,1782.0048080242639,1391
gender,man,3,safety,1602.300353365188,1377
gender,man,4,safety,1556.4577020453398,1250
gender,man,5,safety,446.91204572836085,847
gender,man,6,safety,1919.3016519633472,1144
gender,man,7,safety,2092.143193138218,1075
gender,man,8,safety,1874.5650903967355,1397
gender,woman,0,living,1128.4361665683596,983
gender,woman,1,living,1777.4834289747025,998
gender,woman,2,living,1992.2301115335758,1005
gender,woman,3,living,1660.2716933685062,845
gender,woman,4,living,1366.492311574609,768
gender,woman,5,living,1743.8772931732506,1006
gender,woman,6,living,927.4936831438611,350
gender,woman,7,living,1536.761658904038,1092
gender,woman,8,living,1897.3679357794622,771
gender,woman,0,biodiversity,1205.851017364408,1311
gender,woman,1,biodiversity,2058.44398541764,806
gender,woman,2,biodiversity,1279.1617976832556,996
gender,woman,3,biodiversity,580.3386306764885,777
gender,woman,4,biodiversity,1889.3141381101457,1167
gender,woman,5,biodiversity,1814.0966377800582,828
gender,woman,6,biodiversity,1649.2370243816108,1117
gender,woman,7,biodiversity,1415.8340282501229,872
gender,woman,8,biodiversity,866.3307604952394,974
gender,woman,0,safety,1859.9929440154615,941
gender,woman,1,safety,1508.743990670871,1026
gender,woman,2,safety,137.08051140993578,1070
gender,woman,3,safety,829.7539571767297,1159
gender,woman,4,safety,2038.750644425306,937
gender,woman,5,safety,683.9320646507381,638
gender,woman,6,safety,1179.8178029428743,939
gender,woman,7,safety,1663.4018342092143,885
gender,woman,8,safety,1469.4905957774326,1207
gender,other,0,living,1500.827614673444,8
gender,other,1,living,1558.0339516368206,11
gender,other,2,living,1546.0552138276887,12
gender,other,3,living,1488.0,7
gender,other,4,living,1512.9299211237465,7
gender,other,5,living,1524.5868942079746,10
gender,other,6,living,1452.0,4
gender,other,7,living,1476.0,8
gender,other,8,living,1435.3999648062322,9
gender,other,0,biodiversity,1454.2750206524033,18
gender,other,1,biodiversity,1518.2347342957578,19
gender,other,2,biodiversity,1560.002507842574,9
gender,other,3,biodiversity,1468.3327283003985,19
