demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1898.3078300159693,2195
global,global,1,living,1684.7912585971962,1521
global,global,2,living,935.0491526376655,1926
global,global,3,living,2209.274214252251,1927
global,global,4,living,847.5578905725579,2101
global,global,5,living,48.543877508702266,1771
global,global,6,living,736.4504312671114,2330
global,global,7,living,1550.290473764452,1857
global,global,8,living,988.3485604502049,2336
global,global,0,biodiversity,1907.5140742885626,2998
global,global,1,biodiversity,2333.50677664375,2081
global,global,2,biodiversity,1609.1077094544964,2609
global,global,3,biodiversity,1858.1722183667698,2712
global,global,4,biodiversity,2216.335515865492,2140
global,global,5,biodiversity,1107.3260112867365,2703
global,global,6,biodiversity,2157.686814140722,3018
global,global,7,biodiversity,-17.45623052549629,1513
global,global,8,biodiversity,1772.3605985635472,2908
global,global,0,safety,629.6771448073305,2384
global,global,1,safety,2176.8435138520827,2603
global,global,2,safety,2256.111732401787,2387
global,global,3,safety,879.5929232517792,3155
global,global,4,safety,1029.8603808300863,2974
global,global,5,safety,2415.208752413634,2485
global,global,6,safety,1349.3652850857002,2553
global,global,7,safety,2033.8609878109464,2424
global,global,8,safety,987.4954992743807,1689
gender,man,0,living,1940.6441485088642,1117
gender,man,1,living,1871.7792220124202,741
gender,man,2,living,1211.6407237365995,1005
gender,man,3,living,1976.2722063672988,1006
gender,man,4,living,1165.3221272255184,1061
gender,man,5,living,36.44218526515583,866
gender,man,6,living,1396.6723538508786,1243
gender,man,7,living,1520.2930354372713,947
gender,man,8,living,666.3070392428023,1104
gender,man,0,biodiversity,2083.356203577476,1559
gender,man,1,biodiversity,1364.5709217529304,1116
gender,man,2,biodiversity,1525.0765864283073,1293
gender,man,3,biodiversity,1795.656794133691,1418
gender,man,4,biodiversity,2026.6960376471889,1058
gender,man,5,biodiversity,1722.6264827762557,1385
gender,man,6,biodiversity,1895.7446946383975,1519
gender,man,7,biodiversity,137.51119479189745,777
gender,man,8,biodiversity,1768.158001381871,1477
gender,man,0,safety,1522.3337636686822,1235
gender,man,1,safety,1734.1501782876753,1366
gender,man,2,safety,1374.6768037298418,1222
gender,man,3,safety,1649.8534259363125,1647
gender,man,4,safety,261.0426769972668,1514
gender,man,5,safety,2050.338590119588,1290
gender,man,6,safety,1337.0827543660862,1348
gender,man,7,safety,2086.5794801289826,1216
gender,man,8,safety,1266.2762576972389,894
gender,woman,0,living,1427.9188524209824,897
gender,woman,1,living,1782.9055269076237,658
gender,woman,2,living,1616.6190674498919,739
gender,woman,3,living,1960.199708572241,785
gender,woman,4,living,1581.373202303817,886
gender,woman,5,living,1528.5588254579911,796
gender,woman,6,living,1298.798047764711,886
gender,woman,7,living,1763.2349883154366,771
gender,woman,8,living,1917.7735083808848,934
gender,woman,0,biodiversity,1502.7191165005645,1212
gender,woman,1,biodiversity,2025.4863419557084,820
gender,woman,2,biodiversity,1005.5657682383304,1041
gender,woman,3,biodiversity,1701.4633929135591,987
gender,woman,4,biodiversity,1880.380384211623,883
gender,woman,5,biodiversity,979.5545241987921,1106
gender,woman,6,biodiversity,1612.084083464992,1187
gender,woman,7,biodiversity,1195.9421809225898,681
gender,woman,8,biodiversity,1700.584871090972,1135
gender,woman,0,safety,1004.1334847802988,1008
gender,woman,1,safety,1815.7881893759773,985
gender,woman,2,safety,2031.3545422834104,963
gender,woman,3,safety,342.18517387150524,1211
gender,woman,4,safety,1905.737266414134,1254
gender,woman,5,safety,1788.4115970105997,988
gender,woman,6,safety,1449.5126002850561,1004
gender,woman,7,safety,1241.6930721291853,965
gender,woman,8,safety,863.1061560122916,686
gender,other,0,living,1500.338794558865,20
gender,other,1,living,1535.79087485886,13
gender,other,2,living,1469.7531603775903,19
gender,other,3,living,1486.8319224946279,17
gender,other,4,living,1561.86537527393,9
gender,other,5,living,1439.8462807947276,9
gender,other,6,living,1451.919171102668,8
gender,other,7,living,1548.1500652950406,8
gender,other,8,living,1514.847237876097,21
gender,other,0,biodiversity,1536.4065485678184,9
gender,other,1,biodiversity,1526.186726005834,12
gender,other,2,biodiversity,1570.7670545837182,10
gender,other,3,biodiversity,1523.2074489205083,14
gender,other,4,biodiversity,1452.0430488990073,10
gender,other,5,biodiversity,1486.7669858424958,11
