demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,2483.6485551293017,2643
global,global,1,living,1839.0085718458388,2965
global,global,2,living,1940.587306980862,2437
global,global,3,living,1902.9897462805168,2676
global,global,4,living,1430.1160461162385,2861
global,global,5,living,1548.3737625390552,3193
global,global,6,living,816.3224579170114,1974
global,global,7,living,2150.0486664327073,2014
global,global,8,living,2308.6650680975954,2737
global,global,0,biodiversity,1580.1637535442014,2679
global,global,1,biodiversity,1110.488543568154,2547
global,global,2,biodiversity,2284.017019178017,2228
global,global,3,biodiversity,2239.8362526065384,1834
global,global,4,biodiversity,851.4207569358588,1590
global,global,5,biodiversity,737.2116504506878,2220
global,global,6,biodiversity,1150.7471543538907,2217
global,global,7,biodiversity,1915.6522075172709,1759
global,global,8,biodiversity,638.1373057665683,2184
global,global,0,safety,2129.2214779570954,1898
global,global,1,safety,2224.705404146068,1797
global,global,2,safety,1282.5211289572671,2949
global,global,3,safety,1645.3989610174294,2196
global,global,4,safety,1902.1291281580454,2338
global,global,5,safety,749.053121557698,1776
global,global,6,safety,1774.277389545485,2495
global,global,7,safety,1322.936395079898,2352
global,global,8,safety,1339.1821518400857,2741
gender,man,0,living,1550.7174273801538,1388
gender,man,1,living,2093.0521240069957,1409
gender,man,2,living,1863.218589703174,1204
gender,man,3,living,1747.0166499718814,1346
gender,man,4,living,1588.639219194039,1499
gender,man,5,living,1170.7205481342364,1629
gender,man,6,living,535.8738676884464,1020
gender,man,7,living,1945.9530533594045,1046
gender,man,8,living,1415.11903634935,1467
gender,man,0,biodiversity,1973.8483754072092,1409
gender,man,1,biodiversity,916.1330371749577,1285
gender,man,2,biodiversity,1729.184353736794,1143
gender,man,3,biodiversity,2008.951968328518,898
gender,man,4,biodiversity,1119.360370680459,803
gender,man,5,biodiversity,1688.7808861477424,1118
gender,man,6,biodiversity,1796.3862941300094,1148
gender,man,7,biodiversity,1826.6662555012329,914
gender,man,8,biodiversity,1609.3056152122458,1138
gender,man,0,safety,2093.5357786464624,968
gender,man,1,safety,1703.817116196814,993
gender,man,2,safety,1541.3712439692124,1554
gender,man,3,safety,1108.860904907161,1167
gender,man,4,safety,1833.8495163352418,1154
gender,man,5,safety,591.0112370086135,906
gender,man,6,safety,1637.3012128293442,1268
gender,man,7,safety,1898.6372700555407,1176
gender,man,8,safety,1510.4900023774696,1374
gender,woman,0,living,1701.8034406797954,1033
gender,woman,1,living,343.18221255706015,1236
gender,woman,2,living,1513.5132340167188,995
gender,woman,3,living,1257.7732862881953,1079
gender,woman,4,living,1893.432695989674,1101
gender,woman,5,living,1346.9534293985732,1247
gender,woman,6,living,1385.6379331016176,864
gender,woman,7,living,1990.84470925838,762
gender,woman,8,living,1783.3576181159958,1049
gender,woman,0,biodiversity,1367.149899786941,1075
gender,woman,1,biodiversity,1608.0470564471768,1029
gender,woman,2,biodiversity,1817.9903888756257,909
gender,woman,3,biodiversity,1781.7508556786822,704
gender,woman,4,biodiversity,1033.178070685132,645
gender,woman,5,biodiversity,910.0699507898643,926
gender,woman,6,biodiversity,973.8689981900046,927
gender,woman,7,biodiversity,1931.8191468599762,599
gender,woman,8,biodiversity,1061.141894416987,902
gender,woman,0,safety,1866.9831959399191,821
gender,woman,1,safety,1947.5245413636724,696
gender,woman,2,safety,1492.0860969660275,1203
gender,woman,3,safety,1783.5028553800694,896
gender,woman,4,safety,1826.604218632741,975
gender,woman,5,safety,1188.861140373962,733
gender,woman,6,safety,1727.3529436758247,992
gender,woman,7,safety,487.6308425637808,974
gender,woman,8,safety,1127.6587090892533,1096
gender,other,0,living,1514.0611256437346,13
gender,other,1,living,1439.7364467194707,15
gender,other,2,living,1526.505057863811,16
gender,other,3,living,1477.3054116845599,10
gender,other,4,living,1536.971289083914,17
gender,other,5,living,1477.905650805343,12
gender,other,6,living,1501.5301650214606,14
gender,other,7,living,1572.0449317120679,12
gender,other,8,living,1468.5706246269217,19
gender,other,0,biodiversity,1488.8133199647923,11
gender,other,1,biodiversity,1512.8276128931377,11
gender,other,2,biodiversity,1462.7550889323202,11
gender,other,3,biodiversity,1559.9999994694238,7
gender,other,4,biodiversity,1464.7754147276155,9
gender,other,5,biodiversity,1499.9995063594042,12
gender,other,6,biodiversity,1524.0573833419362,8
gender,other,7,biodiversity,1546.395953310375,12
gender,other,8,biodiversity,1440.5180537344488,9
gender,other,0,safety,1489.6461167913415,11
gender,other,1,safety,1550.7253567049254,14
gender,other,2,safety,1395.801028076864,10
gender,other,3,safety,1530.2495496660292,17
gender,other,4,safety,1466.545368879345,13
gender,other,5,safety,1475.9873088756044,12
gender,other,6,safety,1524.6084087165225,16
gender,other,7,safety,1561.558975552298,7
gender,other,8,safety,1499.0664620041596,20
age,younger,0,living,1953.2567011248266,736
age,younger,1,living,1785.6366058449391,813
age,younger,2,living,1586.2260770096361,629
age,younger,3,living,1683.3718249725753,696
age,younger,4,living,1336.1603045658949,835
age,younger,5,living,1623.9506532626542,861
age,younger,6,living,1294.229559194912,672
age,younger,7,living,1902.9534805219992,587
age,younger,8,living,1404.1816617241388,799
age,younger,0,biodiversity,1796.0737000254999,744
age,younger,1,biodiversity,1906.1431763037394,672
age,younger,2,biodiversity,1386.645276748117,630
age,younger,3,biodiversity,1750.5436736454128,457
age,younger,4,biodiversity,1286.89970401043,475
age,younger,5,biodiversity,1073.4990728621021,615
age,younger,6,biodiversity,1443.6647337664238,635
age,younger,7,biodiversity,1544.305178742764,487
age,younger,8,biodiversity,985.6458200555046,613
age,younger,0,safety,1695.9781395902978,578
age,younger,1,safety,1581.0844214752797,513
age,younger,2,safety,1178.9754571829149,890
age,younger,3,safety,1141.9473558837828,588
age,younger,4,safety,1666.6458738677932,629
age,younger,5,safety,1334.4373343611046,517
age,younger,6,safety,1837.867341111052,693
age,younger,7,safety,1886.976565194339,662
age,younger,8,safety,1707.8897981595421,756
age,middle,0,living,1873.337628188562,1145
age,middle,1,living,1755.7323791075164,1259
age,middle,2,living,1846.988895406104,1050
age,middle,3,living,1983.240365720277,1119
age,middle,4,living,1698.9312309959416,1220
age,middle,5,living,739.4807657293712,1332
age,middle,6,living,961.5872722938443,826
age,middle,7,living,445.426677008326,797
age,middle,8,living,1926.8294510673945,1172
age,middle,0,biodiversity,1624.7052115069407,1122
age,middle,1,biodiversity,603.1159501335101,1054
