demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,420.1554151422363,2423
global,global,1,living,1600.830771357276,2214
global,global,2,living,1694.2460345017914,2270
global,global,3,living,1155.8686690680893,2089
global,global,4,living,1944.6953888698604,2377
global,global,5,living,2084.2855651549357,2292
global,global,6,living,2358.4875666122553,2290
global,global,7,living,2002.153607916835,2826
global,global,8,living,1363.6303994022476,2263
global,global,0,biodiversity,2114.3649992040823,2572
global,global,1,biodiversity,451.53000086929865,3048
global,global,2,biodiversity,2386.13032957887,2322
global,global,3,biodiversity,1761.4677534570258,3165
global,global,4,biodiversity,1169.2923502536312,3236
global,global,5,biodiversity,2228.5595698251464,2162
global,global,6,biodiversity,2046.6026639213126,3118
global,global,7,biodiversity,1370.5687097291298,3149
global,global,8,biodiversity,1836.3354816883439,3152
global,global,0,safety,2024.856135748454,1473
global,global,1,safety,2134.669993135462,1663
global,global,2,safety,470.29804836424336,2129
global,global,3,safety,-57.7396480088768,1647
global,global,4,safety,1733.549701787084,1419
global,global,5,safety,1495.5996168988859,1685
global,global,6,safety,314.8242259546834,2277
global,global,7,safety,993.9923135567768,1955
global,global,8,safety,1029.107237064933,2084
gender,man,0,living,1820.8009944107284,1205
gender,man,1,living,1903.4701976257477,1131
gender,man,2,living,-13.53169971655569,1134
gender,man,3,living,1253.765178856232,1033
gender,man,4,living,1685.744748827404,1283
gender,man,5,living,1866.3472459734269,1122
gender,man,6,living,2031.3418823754118,1165
gender,man,7,living,1198.1682751188318,1478
gender,man,8,living,1530.8930604159373,1179
gender,man,0,biodiversity,2079.4682621386423,1239
gender,man,1,biodiversity,1721.6374402310698,1488
gender,man,2,biodiversity,1652.6611319955005,1217
gender,man,3,biodiversity,604.0604593009336,1565
gender,man,4,biodiversity,713.4138186335084,1591
gender,man,5,biodiversity,1847.4857302077967,1091
gender,man,6,biodiversity,1980.3041839720293,1641
gender,man,7,biodiversity,1479.9184998960334,1629
gender,man,8,biodiversity,1699.9573077132304,1521
gender,man,0,safety,2012.4472053811685,825
gender,man,1,safety,1973.4379209000315,877
gender,man,2,safety,1190.7861984980166,1089
gender,man,3,safety,1001.3646550946333,819
gender,man,4,safety,1522.3797880907812,807
gender,man,5,safety,1699.6284766151775,894
gender,man,6,safety,936.7358761544966,1222
gender,man,7,safety,1044.0476155060273,1038
gender,man,8,safety,1767.7440852326774,1141
gender,woman,0,living,-163.87001896129848,989
gender,woman,1,living,578.2162977370708,903
gender,woman,2,living,1987.034496097849,983
gender,woman,3,living,1590.4584744991243,883
gender,woman,4,living,1908.905085920671,904
gender,woman,5,living,1543.641633920243,936
gender,woman,6,living,1442.6708807751836,963
gender,woman,7,living,1252.7803722530937,1131
gender,woman,8,living,1138.3158749940853,914
gender,woman,0,biodiversity,1528.4614718830637,1035
gender,woman,1,biodiversity,800.2644375395477,1312
gender,woman,2,biodiversity,2041.5115917659,869
gender,woman,3,biodiversity,1587.6545605992449,1294
gender,woman,4,biodiversity,1495.7507147154372,1338
gender,woman,5,biodiversity,1764.0956969979236,873
gender,woman,6,biodiversity,957.5774278951264,1233
gender,woman,7,biodiversity,1243.809018272091,1236
gender,woman,8,biodiversity,862.2372901432783,1288
gender,woman,0,safety,1799.9945935836915,555
gender,woman,1,safety,1621.0482717267785,653
gender,woman,2,safety,986.0962108849972,864
gender,woman,3,safety,1270.5432435890798,715
gender,woman,4,safety,1912.5318565648886,496
gender,woman,5,safety,1451.0364712162066,655
gender,woman,6,safety,1744.5354025934519,872
gender,woman,7,safety,1140.5547192450992,779
gender,woman,8,safety,924.394635600663,795
gender,other,0,living,1424.7731527363771,10
gender,other,1,living,1453.3569597299718,16
gender,other,2,living,1549.59474108158,14
gender,other,3,living,1567.7412280998874,12
gender,other,4,living,1477.007131542672,12
gender,other,5,living,1488.2605502028143,11
gender,other,6,living,1525.6596530865468,10
gender,other,7,living,1513.6907651762847,15
gender,other,8,living,1501.911947969137,18
gender,other,0,biodiversity,1537.793447114739,19
gender,other,1,biodiversity,1511.6931284885327,11
gender,other,2,biodiversity,1453.0382036036183,10
gender,other,3,biodiversity,1572.1988582818096,14
gender,other,4,biodiversity,1475.526004105825,14
gender,other,5,biodiversity,1499.6551145562387,18
gender,other,6,biodiversity,1557.9818549313961,17
gender,other,7,biodiversity,1465.1038571087063,21
gender,other,8,biodiversity,1430.7326451491522,18
gender,other,0,safety,1500.00052893814,10
gender,other,1,safety,1488.015296058829,9
gender,other,2,safety,1439.9994143404842,11
gender,other,3,safety,1535.9709051678701,11
gender,other,4,safety,1463.9999804473612,5
gender,other,5,safety,1475.9999811001392,8
gender,other,6,safety,1560.3994975378544,7
gender,other,7,safety,1512.0005112791825,9
gender,other,8,safety,1523.5862106785385,8
age,younger,0,living,1749.9197024165494,610
age,younger,1,living,1070.821691758695,622
age,younger,2,living,1612.39662169615,576
age,younger,3,living,1550.2935465604542,537
age,younger,4,living,1690.6375425511794,649
age,younger,5,living,1835.1224293044827,572
age,younger,6,living,1705.4530458489785,639
age,younger,7,living,1770.0576844999464,760
age,younger,8,living,1527.1090896270416,625
age,younger,0,biodiversity,1991.5199448739827,756
age,younger,1,biodiversity,1757.6556769601798,842
age,younger,2,biodiversity,1626.2583764593937,674
age,younger,3,biodiversity,1458.5828163260699,907
age,younger,4,biodiversity,923.5789191629106,847
age,younger,5,biodiversity,1536.994754639487,630
age,younger,6,biodiversity,1711.4012674167427,975
age,younger,7,biodiversity,1934.3180807896376,916
age,younger,8,biodiversity,1436.951734209879,849
age,younger,0,safety,1908.3635814605536,485
age,younger,1,safety,1709.7410592790666,456
age,younger,2,safety,1212.9292740892852,622
age,younger,3,safety,1392.6463015122765,493
age,younger,4,safety,1679.2849043508622,431
age,younger,5,safety,1493.4113295484576,468
age,younger,6,safety,1533.5001170826993,650
age,younger,7,safety,1190.8966440669692,554
age,younger,8,safety,1757.702524514793,637
age,middle,0,living,629.2579406151967,1028
age,middle,1,living,1761.6948891453633,967
age,middle,2,living,1491.767047548526,1008
age,middle,3,living,1299.4656291081685,890
age,middle,4,living,1727.2443237250748,973
age,middle,5,living,1566.363688909983,934
age,middle,6,living,1793.7473744536283,996
age,middle,7,living,2033.7883568904267,1155
age,middle,8,living,1481.9245164330887,1017
age,middle,0,biodiversity,1502.6536780967951,1062
age,middle,1,biodiversity,1682.1724492131482,1281
age,middle,2,biodiversity,1888.9674525160244,985
age,middle,3,biodiversity,1762.480055746074,1351
age,middle,4,biodiversity,1293.070856785837,1410
age,middle,5,biodiversity,2035.4005603492983,907
age,middle,6,biodiversity,1651.2933779205507,1270
age,middle,7,biodiversity,684.6756819847333,1332
age,middle,8,biodiversity,1401.505129175335,1308
age,middle,0,safety,1500.3257369503008,631
age,middle,1,safety,2025.128294092789,702
age,middle,2,safety,1559.2266327230527,893
age,middle,3,safety,905.1299612034038,710
age,middle,4,safety,1705.4985642461038,531
age,middle,5,safety,1458.9100417640418,698
age,middle,6,safety,1524.772462458853,960
age,middle,7,safety,861.0110235046417,878
age,middle,8,safety,1118.7021613476484,871
age,older,0,living,1403.0362160305808,555
age,older,1,living,1579.6374960159797,446
age,older,2,living,1839.444708561732,548
age,older,3,living,1707.452863236518,494
age,older,4,living,1746.3802705085075,572
age,older,5,living,1488.1165154205903,555
age,older,6,living,1804.1211928211922,495
