demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,983.801891133968,1667
global,global,1,living,2165.3063184159605,1427
global,global,2,living,407.8308979899152,1665
global,global,3,living,1356.0285729118716,2342
global,global,4,living,1940.309606403518,1298
global,global,5,living,1732.8571286479093,1758
global,global,6,living,82.01265118365924,2242
global,global,7,living,1883.3995914981044,2014
global,global,8,living,1169.020764795914,2265
global,global,0,biodiversity,2355.3330767194298,2061
global,global,1,biodiversity,2143.266091765052,2319
global,global,2,biodiversity,1342.2371415164184,2843
global,global,3,biodiversity,1558.170922717875,2409
global,global,4,biodiversity,1902.8321115479075,2556
global,global,5,biodiversity,1945.1509056294706,2844
global,global,6,biodiversity,1808.0858237284442,3000
global,global,7,biodiversity,469.1702316758923,2584
global,global,8,biodiversity,2201.8799363975327,2882
global,global,0,safety,1948.7996938144986,3197
global,global,1,safety,2283.1835372460027,3120
global,global,2,safety,435.5316610829088,1623
global,global,3,safety,1405.5310588257394,2585
global,global,4,safety,1438.6071768673207,2753
global,global,5,safety,2372.917337403733,2038
global,global,6,safety,849.1577161609882,2321
global,global,7,safety,-2.56135639049052,2675
global,global,8,safety,2045.391764186858,2812
gender,man,0,living,1459.8668231465017,900
gender,man,1,living,2045.273236518082,679
gender,man,2,living,1058.1710143877544,886
gender,man,3,living,389.44721767443866,1151
gender,man,4,living,1695.7663063510256,687
gender,man,5,living,1781.7714937243504,864
gender,man,6,living,1347.2495672753373,1184
gender,man,7,living,1638.7094415999318,1028
gender,man,8,living,1304.1541221148188,1177
gender,man,0,biodiversity,1922.4409252139922,1106
gender,man,1,biodiversity,2080.1961222763034,1150
gender,man,2,biodiversity,1730.4144801124278,1433
gender,man,3,biodiversity,1617.9454841270974,1233
gender,man,4,biodiversity,1771.9478105701244,1356
gender,man,5,biodiversity,1984.646406557448,1484
gender,man,6,biodiversity,741.7833323650909,1495
gender,man,7,biodiversity,717.2811848877909,1358
gender,man,8,biodiversity,1719.0247173712155,1463
gender,man,0,safety,789.7418867230087,1632
gender,man,1,safety,1900.4233652185853,1568
gender,man,2,safety,528.5214729653271,879
gender,man,3,safety,1663.168608653787,1285
gender,man,4,safety,1320.1926674382196,1436
