demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,116.32378450183674,1441
global,global,1,living,1773.7673913825538,2362
global,global,2,living,1414.3514799846052,2185
global,global,3,living,1578.2317695873444,2520
global,global,4,living,2343.305007106755,2285
global,global,5,living,271.02752040005254,1707
global,global,6,living,2126.0146748612096,2197
global,global,7,living,1999.7749465317686,2383
global,global,8,living,2240.587137181666,1878
global,global,0,biodiversity,1672.3406246685597,2964
global,global,1,biodiversity,2271.9156083601288,2699
global,global,2,biodiversity,2356.4910556783634,2280
global,global,3,biodiversity,944.3239905431036,2225
global,global,4,biodiversity,1976.6729252307698,3090
global,global,5,biodiversity,1865.228310952143,2796
global,global,6,biodiversity,2192.955390545865,3009
global,global,7,biodiversity,1172.3376849556087,2628
global,global,8,biodiversity,1946.559146750723,3165
global,global,0,safety,1927.3084084593866,2036
global,global,1,safety,1455.152760384741,2304
global,global,2,safety,1195.2733094999862,2248
global,global,3,safety,293.7256778263587,2230
global,global,4,safety,2093.49603303439,1864
global,global,5,safety,538.3142231167767,1639
global,global,6,safety,2378.573974176029,2260
global,global,7,safety,1506.5373241038606,2533
global,global,8,safety,1691.7155785663533,2372
gender,man,0,living,1110.5618737897576,735
gender,man,1,living,1817.656125818639,1237
gender,man,2,living,1584.178833166001,1124
gender,man,3,living,778.0750916699645,1292
gender,man,4,living,1952.4389724058324,1126
gender,man,5,living,713.7686611086838,930
gender,man,6,living,1893.8654480838895,1095
gender,man,7,living,1960.9275821003876,1189
gender,man,8,living,1739.8968250729054,968
gender,man,0,biodiversity,1413.4687261897218,1569
gender,man,1,biodiversity,1798.7274445354528,1253
gender,man,2,biodiversity,1933.2384424459274,1187
gender,man,3,biodiversity,1605.9304366549122,1198
gender,man,4,biodiversity,1902.8211695498564,1665
gender,man,5,biodiversity,1972.0509562890757,1430
gender,man,6,biodiversity,2052.834769980881,1532
gender,man,7,biodiversity,1496.394108837158,1347
gender,man,8,biodiversity,879.9179020491181,1665
gender,man,0,safety,2057.520160092744,990
gender,man,1,safety,1849.8937628957074,1139
gender,man,2,safety,1471.1691277959842,1160
gender,man,3,safety,1368.166888320004,1194
gender,man,4,safety,1763.2412603011069,967
gender,man,5,safety,887.8429649662958,736
gender,man,6,safety,1904.950337029021,1223
gender,man,7,safety,1347.1848469021331,1263
gender,man,8,safety,1668.8853335775468,1210
gender,woman,0,living,1186.2671245420572,625
gender,woman,1,living,1383.7954717724683,910
gender,woman,2,living,1347.3284278766441,912
gender,woman,3,living,1844.2369918871284,944
gender,woman,4,living,1416.9297028250583,925
gender,woman,5,living,1647.1534810576482,669
gender,woman,6,living,2003.3809637068214,853
gender,woman,7,living,1579.6431452289928,1020
gender,woman,8,living,1809.54061565652,768
gender,woman,0,biodiversity,1465.6193389170617,1211
gender,woman,1,biodiversity,1820.8817747951932,1157
gender,woman,2,biodiversity,1934.982745796217,873
gender,woman,3,biodiversity,815.9436679653427,885
gender,woman,4,biodiversity,1298.1574920967903,1300
gender,woman,5,biodiversity,1066.4563338349628,1104
gender,woman,6,biodiversity,1516.1033528149212,1203
gender,woman,7,biodiversity,1869.6008145151363,1094
gender,woman,8,biodiversity,2070.761842485724,1331
gender,woman,0,safety,1457.8505940846233,850
gender,woman,1,safety,1612.9091406993987,903
