demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1494.2246991527534,2682
global,global,1,living,2240.0266292671654,2478
global,global,2,living,914.8720344889712,1822
global,global,3,living,1751.8267647195391,2625
global,global,4,living,804.2014803900133,2868
global,global,5,living,2337.777950137224,2214
global,global,6,living,1913.1456006234919,2714
global,global,7,living,1397.3012622439828,2514
global,global,8,living,1538.4643884332734,2995
global,global,0,biodiversity,1230.5231480177606,2887
global,global,1,biodiversity,1802.5954205288228,1878
global,global,2,biodiversity,2165.623551711371,1796
global,global,3,biodiversity,545.022553085185,1772
global,global,4,biodiversity,809.9446906389671,2553
global,global,5,biodiversity,459.026545056271,2298
global,global,6,biodiversity,1994.8373987328412,1889
global,global,7,biodiversity,1112.1080945383987,2208
global,global,8,biodiversity,1904.9525758408154,1903
global,global,0,safety,1187.0096713613984,2626
global,global,1,safety,1651.9960592725017,2377
global,global,2,safety,-199.76172474792747,2022
global,global,3,safety,2367.2908813971017,2290
global,global,4,safety,2153.7144864093034,2185
global,global,5,safety,1677.5136367592493,2532
global,global,6,safety,134.69570849233048,1956
global,global,7,safety,1827.299167989556,2424
global,global,8,safety,1421.5011624637202,2792
gender,man,0,living,1511.979035960227,1404
gender,man,1,living,2020.5546727000967,1178
gender,man,2,living,1711.7362363455231,976
gender,man,3,living,1958.7522265831053,1351
gender,man,4,living,1087.7450116201219,1549
gender,man,5,living,1782.4958528092343,1201
gender,man,6,living,1563.1969437460898,1413
gender,man,7,living,-154.61502194106532,1281
gender,man,8,living,1873.848273706854,1507
gender,man,0,biodiversity,1433.9873843037153,1428
gender,man,1,biodiversity,1358.0362552811903,975
gender,man,2,biodiversity,1857.0526135041016,957
gender,man,3,biodiversity,-36.13638949112907,919
gender,man,4,biodiversity,983.4248093997307,1184
gender,man,5,biodiversity,648.08796345216,1125
gender,man,6,biodiversity,1887.922002452337,921
gender,man,7,biodiversity,1587.5980406934877,1133
gender,man,8,biodiversity,1987.1883466248491,900
gender,man,0,safety,1627.8607027462529,1350
gender,man,1,safety,978.7588821151405,1296
gender,man,2,safety,1216.3761647324377,1072
gender,man,3,safety,2065.5015704595,1061
gender,man,4,safety,1712.2131510086306,1126
gender,man,5,safety,1243.5994143847267,1315
gender,man,6,safety,1041.927332463203,1089
gender,man,7,safety,1677.9050463463223,1230
