demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1840.9772986830944,2604
global,global,1,living,2364.3269680142294,3317
global,global,2,living,2518.1463953044968,3263
global,global,3,living,2248.654677179437,3310
global,global,4,living,2420.6990142533714,3656
global,global,5,living,2096.673896473371,3817
global,global,6,living,2275.2254454786316,3425
global,global,7,living,1670.45780605976,3197
global,global,8,living,1645.0851379916107,2745
global,global,0,biodiversity,1705.7245910455629,1835
global,global,1,biodiversity,1503.7513317259848,1420
global,global,2,biodiversity,923.3107030474798,1699
global,global,3,biodiversity,-239.7617651742225,1517
global,global,4,biodiversity,1355.5568002419507,2007
global,global,5,biodiversity,1210.2064199184263,1837
global,global,6,biodiversity,2171.373876592796,1179
global,global,7,biodiversity,842.1465484485474,1953
global,global,8,biodiversity,2074.999575292464,1751
global,global,0,safety,283.70928431850575,1988
global,global,1,safety,2361.9827693208968,2421
global,global,2,safety,393.4164697650559,1569
global,global,3,safety,2159.8440422930357,2018
global,global,4,safety,456.18602247082157,2133
global,global,5,safety,1324.9100808937287,2138
global,global,6,safety,1621.698522611064,2036
global,global,7,safety,2229.312086960371,2153
global,global,8,safety,2094.3403664049183,2312
gender,man,0,living,768.7037085870332,1363
gender,man,1,living,1919.11622203085,1694
gender,man,2,living,518.013856483856,1607
gender,man,3,living,2000.0786883113756,1657
gender,man,4,living,2082.7337513837374,1886
gender,man,5,living,1642.2518991389063,1869
gender,man,6,living,1131.6331134608822,1723
gender,man,7,living,2017.7247121295156,1579
gender,man,8,living,1314.3282696713986,1352
gender,man,0,biodiversity,1754.2484834156132,1003
gender,man,1,biodiversity,1098.2327843214557,763
gender,man,2,biodiversity,262.5677269864273,863
gender,man,3,biodiversity,1336.5629720840457,901
gender,man,4,biodiversity,1653.988934594336,1052
gender,man,5,biodiversity,1518.4551133627651,978
gender,man,6,biodiversity,1955.3223679259013,605
gender,man,7,biodiversity,1795.069480944534,1083
gender,man,8,biodiversity,1975.982710394146,866
gender,man,0,safety,1832.298291865366,1099
gender,man,1,safety,1943.9623376725408,1222
gender,man,2,safety,1154.1688506873772,765
gender,man,3,safety,1676.05356096084,1014
gender,man,4,safety,164.47231323189183,1072
gender,man,5,safety,1534.2134098756003,1085
gender,man,6,safety,1785.651882347332,1070
gender,man,7,safety,2045.1958860642894,1082
gender,man,8,safety,2009.2561444707103,1171
gender,woman,0,living,2017.6450624849017,1054
gender,woman,1,living,1812.6356334969414,1258
gender,woman,2,living,1879.440942291601,1305
gender,woman,3,living,-541.9381257033845,1290
gender,woman,4,living,1231.280659718345,1450
gender,woman,5,living,1706.308987653383,1621
gender,woman,6,living,1135.6960742999283,1459
gender,woman,7,living,720.1074487144876,1333
gender,woman,8,living,943.156807641111,1172
gender,woman,0,biodiversity,1934.8496373904065,707
gender,woman,1,biodiversity,1836.3491513701895,534
gender,woman,2,biodiversity,1615.5657799882852,757
gender,woman,3,biodiversity,310.33100749758853,541
gender,woman,4,biodiversity,928.8698713295147,748
gender,woman,5,biodiversity,1166.113480581096,772
gender,woman,6,biodiversity,1455.0231571656473,516
gender,woman,7,biodiversity,839.5892751484765,801
gender,woman,8,biodiversity,1575.5678147506542,690
gender,woman,0,safety,-284.67657647828946,749
gender,woman,1,safety,1923.2613097280785,944
gender,woman,2,safety,1304.8107906244322,651
gender,woman,3,safety,1815.0447024197067,798
gender,woman,4,safety,1534.505743070385,837
gender,woman,5,safety,1737.0756454100751,895
gender,woman,6,safety,1041.2340905464423,795
gender,woman,7,safety,1953.704838347702,879
gender,woman,8,safety,1707.6033962284441,912
gender,other,0,living,1520.481871205783,21
gender,other,1,living,1484.7763884491014,27
gender,other,2,living,1560.5573622042243,27
gender,other,3,living,1586.1109295504677,15
gender,other,4,living,1537.697417701536,21
gender,other,5,living,1415.3989849381605,19
gender,other,6,living,1459.9188011705842,21
gender,other,7,living,1496.9015698901192,18
gender,other,8,living,1441.2891148508186,9
gender,other,0,biodiversity,1452.0731000632131,8
gender,other,1,biodiversity,1475.6588814436031,6
gender,other,2,biodiversity,1439.9978967002564,11
gender,other,3,biodiversity,1558.352606594792,7
gender,other,4,biodiversity,1524.0,8
gender,other,5,biodiversity,1499.8716035312814,10
gender,other,6,biodiversity,1536.0,5
gender,other,7,biodiversity,1523.9957133972725,8
gender,other,8,biodiversity,1485.9299021810307,15
