demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1555.4446462660835,3003
global,global,1,living,1161.7472350054925,2312
global,global,2,living,2388.25908523787,1967
global,global,3,living,1475.511408524968,2350
global,global,4,living,276.2348263895659,1847
global,global,5,living,-13.137679012784524,1348
global,global,6,living,2198.5734936865892,2753
global,global,7,living,2071.706812577301,1950
global,global,8,living,725.9566342675191,2294
global,global,0,biodiversity,2240.5125204250153,1715
global,global,1,biodiversity,1636.288840371285,2754
global,global,2,biodiversity,1326.9305031779875,2280
global,global,3,biodiversity,1269.893819284773,2560
global,global,4,biodiversity,2096.3436652514397,2601
global,global,5,biodiversity,-656.9580080454215,878
global,global,6,biodiversity,2173.786397067771,2246
global,global,7,biodiversity,2015.1624852488078,2945
global,global,8,biodiversity,1241.9023427350526,2241
global,global,0,safety,678.3524852424596,2471
global,global,1,safety,1808.8752843753828,2913
global,global,2,safety,2264.7031557028236,2192
global,global,3,safety,1433.1281571693337,3629
global,global,4,safety,2072.9821418682027,2009
global,global,5,safety,2168.6275595301495,1774
global,global,6,safety,1094.9124883257823,3090
global,global,7,safety,801.7578064857178,2713
global,global,8,safety,653.6294201306599,2465
gender,man,0,living,1599.8508102787318,1497
gender,man,1,living,1683.044080328101,1190
gender,man,2,living,1819.9021666295896,1077
gender,man,3,living,1978.4519780305368,1175
gender,man,4,living,337.6128800082231,952
gender,man,5,living,322.9818588929631,741
gender,man,6,living,1906.5556499998563,1397
gender,man,7,living,2017.0127576637485,931
gender,man,8,living,1653.2161465863824,1200
gender,man,0,biodiversity,1872.3886649058597,837
gender,man,1,biodiversity,760.6509539902987,1433
gender,man,2,biodiversity,1802.949400102789,1162
gender,man,3,biodiversity,1695.2011019755853,1372
gender,man,4,biodiversity,2000.4212692223216,1369
gender,man,5,biodiversity,385.281785698469,453
gender,man,6,biodiversity,1431.69502689473,1135
gender,man,7,biodiversity,2057.1666816517677,1487
gender,man,8,biodiversity,1326.8293449203115,1184
gender,man,0,safety,1033.2270287624822,1258
gender,man,1,safety,1534.4325106384522,1457
gender,man,2,safety,2051.268479576236,1087
gender,man,3,safety,1638.9812690745548,1814
gender,man,4,safety,1869.8699632205164,1007
gender,man,5,safety,1991.990780032176,958
gender,man,6,safety,594.596708280363,1601
gender,man,7,safety,621.2122147822535,1403
gender,man,8,safety,1430.8262516720797,1247
gender,woman,0,living,1495.0772111843582,1162
gender,woman,1,living,1512.8250317524291,971
gender,woman,2,living,1922.9831962715355,722
gender,woman,3,living,1052.3736345550092,979
gender,woman,4,living,1550.0225707396028,779
gender,woman,5,living,1398.833388291528,560
gender,woman,6,living,1829.7496961862917,1041
gender,woman,7,living,1971.2340611511688,729
gender,woman,8,living,840.1414878459957,903
gender,woman,0,biodiversity,1846.6548011908844,649
gender,woman,1,biodiversity,1546.621213736904,1162
gender,woman,2,biodiversity,1726.061639525432,924
gender,woman,3,biodiversity,293.3737327469034,993
gender,woman,4,biodiversity,1354.8045501799118,1019
gender,woman,5,biodiversity,978.3971230343404,398
