demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1963.825939916608,2373
global,global,1,living,1901.3298777336647,2876
global,global,2,living,1787.9718859666414,2800
global,global,3,living,1493.2894648244226,2262
global,global,4,living,2074.082691253088,2999
global,global,5,living,642.1548968712785,2089
global,global,6,living,2329.040920687018,2104
global,global,7,living,2092.718785801532,2152
global,global,8,living,2121.261415287074,2685
global,global,0,biodiversity,1755.7121446862477,2681
global,global,1,biodiversity,1428.1270324566894,2539
global,global,2,biodiversity,2301.7128811454068,2541
global,global,3,biodiversity,524.8998671453637,2122
global,global,4,biodiversity,223.20579629320162,2350
global,global,5,biodiversity,2206.689225960787,2386
global,global,6,biodiversity,991.8253481511939,2336
global,global,7,biodiversity,2094.271175531622,2298
global,global,8,biodiversity,1814.982499331589,2665
global,global,0,safety,678.3126663347786,2651
global,global,1,safety,508.49542088997487,1647
global,global,2,safety,2261.798479578062,1854
global,global,3,safety,2163.0649306647138,1828
global,global,4,safety,850.3306353527622,1797
global,global,5,safety,1855.4021894051627,2229
global,global,6,safety,1742.1843861611067,2429
global,global,7,safety,603.2365503356262,2225
global,global,8,safety,1579.21977507148,2382
gender,man,0,living,1998.0542861429524,1126
gender,man,1,living,1980.8463176038938,1485
gender,man,2,living,1935.5337408919634,1419
gender,man,3,living,1014.3905038203914,1162
gender,man,4,living,1854.7048867218532,1497
gender,man,5,living,1073.3139095409117,1080
gender,man,6,living,1810.2345880136518,1074
gender,man,7,living,1591.340835910934,1108
gender,man,8,living,1429.0504160550538,1351
gender,man,0,biodiversity,1953.5444490639513,1343
gender,man,1,biodiversity,1789.6679505974894,1290
gender,man,2,biodiversity,1933.4277121965024,1364
gender,man,3,biodiversity,1465.2846742774177,1070
gender,man,4,biodiversity,1132.0932959785055,1241
gender,man,5,biodiversity,1292.156265178388,1237
gender,man,6,biodiversity,436.32568170908564,1225
gender,man,7,biodiversity,1690.5934663104472,1166
gender,man,8,biodiversity,2076.2940894060644,1344
gender,man,0,safety,1867.768778380949,1473
gender,man,1,safety,975.5040208640377,852
gender,man,2,safety,1916.0367078777383,980
gender,man,3,safety,1933.1582472263826,976
gender,man,4,safety,698.6773323467588,924
gender,man,5,safety,1994.9530790854408,1034
gender,man,6,safety,1610.624234883405,1258
gender,man,7,safety,1672.5403768663803,1135
gender,man,8,safety,1740.5852541652137,1210
gender,woman,0,living,1932.642580570822,900
gender,woman,1,living,1290.1378563491555,1161
gender,woman,2,living,186.03289658190366,1069
gender,woman,3,living,1733.7613049134868,1015
gender,woman,4,living,1778.1259642783978,1204
gender,woman,5,living,1568.817929226519,888
gender,woman,6,living,1893.5968377569873,895
gender,woman,7,living,1863.91316903426,846
gender,woman,8,living,700.3688802500359,1078
gender,woman,0,biodiversity,1416.7490130168353,1099
gender,woman,1,biodiversity,1223.0219739815716,1030
gender,woman,2,biodiversity,1864.7380105651796,992
gender,woman,3,biodiversity,1451.2474682107306,886
gender,woman,4,biodiversity,1064.8222112871047,953
gender,woman,5,biodiversity,1993.1178126171947,930
gender,woman,6,biodiversity,1730.9067608464863,955
gender,woman,7,biodiversity,1649.5586502065555,873
