demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1616.8798427242696,2055
global,global,1,living,1486.0650603723238,2002
global,global,2,living,1929.7083660302014,1212
global,global,3,living,2147.861159248966,1265
global,global,4,living,1147.4182681904535,2026
global,global,5,living,549.6560993877749,1474
global,global,6,living,1320.365370257515,2195
global,global,7,living,376.16581509950197,1719
global,global,8,living,410.0174292414315,2000
global,global,0,biodiversity,1229.9396946839686,3157
global,global,1,biodiversity,677.2129553387877,2026
global,global,2,biodiversity,2321.3885796712566,2841
global,global,3,biodiversity,1567.7146050886158,3495
global,global,4,biodiversity,2104.870358341241,3339
global,global,5,biodiversity,2199.488984292885,2744
global,global,6,biodiversity,1491.6278298799025,3069
global,global,7,biodiversity,1707.5840720182512,2548
global,global,8,biodiversity,1842.0745550551724,2671
global,global,0,safety,2004.9303052981425,2218
global,global,1,safety,1913.6034470633108,3037
global,global,2,safety,1810.6583518380785,2801
global,global,3,safety,559.7070268581027,2071
global,global,4,safety,1056.3482554349293,1799
global,global,5,safety,2086.467791337468,2426
global,global,6,safety,2345.7914861005142,2425
global,global,7,safety,1708.1088009597474,2588
global,global,8,safety,206.17156144086965,2097
gender,man,0,living,1157.452874254172,1048
gender,man,1,living,1815.1878393913591,1058
gender,man,2,living,1927.7052984529168,608
gender,man,3,living,1849.4825100537607,619
gender,man,4,living,1266.1504508675462,1076
gender,man,5,living,1226.7439079984294,766
gender,man,6,living,1707.057190181402,1151
gender,man,7,living,325.3789496601431,848
gender,man,8,living,838.1241412865622,1018
gender,man,0,biodiversity,1572.0403856806545,1659
gender,man,1,biodiversity,503.7410870423407,1027
gender,man,2,biodiversity,1807.2984894431465,1425
gender,man,3,biodiversity,1465.047625665252,1739
gender,man,4,biodiversity,1323.5351858266606,1771
gender,man,5,biodiversity,1719.3465146801057,1469
gender,man,6,biodiversity,2142.048896398639,1464
gender,man,7,biodiversity,1853.2774397876467,1233
gender,man,8,biodiversity,1107.8478191651218,1369
gender,man,0,safety,1536.2290425354938,1137
gender,man,1,safety,1419.2801267176117,1529
gender,man,2,safety,1562.4736620815877,1449
gender,man,3,safety,1912.9814630757094,1114
gender,man,4,safety,1845.2645298281689,1019
