demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1452.534004100619,2720
global,global,1,living,1345.1218636300594,3419
global,global,2,living,-78.04144577899908,2795
global,global,3,living,2418.9532703116947,2749
global,global,4,living,1857.4939449318015,3188
global,global,5,living,2010.1691966981796,3438
global,global,6,living,2338.144316427065,2881
global,global,7,living,1106.0081851257398,2138
global,global,8,living,1397.4792950917579,2186
global,global,0,biodiversity,1881.6319238245546,3140
global,global,1,biodiversity,934.7181054181265,2834
global,global,2,biodiversity,1568.4222794537675,2587
global,global,3,biodiversity,1378.00865577463,2721
global,global,4,biodiversity,717.8940938023592,2814
global,global,5,biodiversity,1478.1158690955683,2144
global,global,6,biodiversity,2310.111993953861,1733
global,global,7,biodiversity,2173.59007448361,2188
global,global,8,biodiversity,1001.8297565913398,2577
global,global,0,safety,1458.417625135717,1925
global,global,1,safety,2088.264038372244,1718
global,global,2,safety,-50.314467548254434,1203
global,global,3,safety,2179.186795262874,1888
global,global,4,safety,1947.9674391678384,1996
global,global,5,safety,1027.147901058753,1848
global,global,6,safety,1704.830466489866,1836
global,global,7,safety,1582.4403195894638,1655
global,global,8,safety,161.70390352345936,979
gender,man,0,living,1786.1067250642018,1328
gender,man,1,living,2065.3413384973946,1817
gender,man,2,living,1156.9880338114156,1468
gender,man,3,living,2152.584366011797,1365
gender,man,4,living,1771.2546156827875,1662
gender,man,5,living,1878.8785826276387,1729
gender,man,6,living,1674.6715324728011,1530
gender,man,7,living,1320.8518727602336,1074
gender,man,8,living,883.3615778178313,1169
gender,man,0,biodiversity,1264.5162996014994,1641
gender,man,1,biodiversity,1781.5565998674508,1416
gender,man,2,biodiversity,1882.3455376050013,1332
gender,man,3,biodiversity,1744.0356302334199,1329
gender,man,4,biodiversity,694.0626041689167,1431
gender,man,5,biodiversity,1711.6100841261014,1191
gender,man,6,biodiversity,2025.5518933355806,819
gender,man,7,biodiversity,1949.3023038859308,1075
gender,man,8,biodiversity,709.1609909557703,1300
gender,man,0,safety,1094.4930798109274,998
gender,man,1,safety,1915.540437923044,870
gender,man,2,safety,725.7405826920963,605
gender,man,3,safety,2023.0198133853578,999
gender,man,4,safety,1833.2366827149558,1008
gender,man,5,safety,1695.0679489485694,934
gender,man,6,safety,1721.0201989494328,971
gender,man,7,safety,1180.1951970736716,857
gender,man,8,safety,912.943044785302,506
gender,woman,0,living,1020.4522635778779,1104
gender,woman,1,living,1630.9227729359407,1346
gender,woman,2,living,1048.8553079258663,1170
gender,woman,3,living,1425.6769809724892,1095
gender,woman,4,living,1931.585530377161,1230
gender,woman,5,living,1201.9245721194973,1394
gender,woman,6,living,1955.35999272178,1148
gender,woman,7,living,1218.9348389481625,908
gender,woman,8,living,1840.745624839071,785
gender,woman,0,biodiversity,1984.72533133989,1303
gender,woman,1,biodiversity,1293.758274365537,1179
gender,woman,2,biodiversity,850.9947465016115,942
gender,woman,3,biodiversity,1645.5502864488753,1168
gender,woman,4,biodiversity,1847.5848198759686,1163
gender,woman,5,biodiversity,1566.8610208443565,767
gender,woman,6,biodiversity,1596.6509917093867,757
gender,woman,7,biodiversity,1903.8885983081175,948
gender,woman,8,biodiversity,2045.7504462454788,1015
gender,woman,0,safety,1969.0552421695224,793
gender,woman,1,safety,1697.2081885452196,663
gender,woman,2,safety,1349.7743006561184,487
gender,woman,3,safety,1855.5328794284828,740
gender,woman,4,safety,1238.4784928684498,815
gender,woman,5,safety,607.3043526057379,786
gender,woman,6,safety,1514.1320846463318,748
gender,woman,7,safety,1624.2757483331752,648
gender,woman,8,safety,585.9142654288108,366
gender,other,0,living,1426.7360127160964,12
gender,other,1,living,1489.1989277782995,11
gender,other,2,living,1547.0564888023755,12
gender,other,3,living,1572.3647206713101,10
gender,other,4,living,1452.457655581262,12
gender,other,5,living,1511.0615204019625,19
gender,other,6,living,1547.3932791550524,18
gender,other,7,living,1486.5721904193704,11
gender,other,8,living,1460.5920360719128,13
gender,other,0,biodiversity,1515.417664541175,21
gender,other,1,biodiversity,1467.6622931848058,21
gender,other,2,biodiversity,1487.8562287970371,17
gender,other,3,biodiversity,1548.017386290795,8
gender,other,4,biodiversity,1535.4482339897493,13
gender,other,5,biodiversity,1452.2227528626277,14
gender,other,6,biodiversity,1439.8688371398396,7
gender,other,7,biodiversity,1500.3339293805027,10
gender,other,8,biodiversity,1559.228567538046,7
gender,other,0,safety,1525.9813942457608,12
gender,other,1,safety,1488.341716576577,11
gender,other,2,safety,1462.9058570458733,19
gender,other,3,safety,1439.9649969225675,9
gender,other,4,safety,1514.9376372271774,11
gender,other,5,safety,1502.492626859868,10
gender,other,6,safety,1477.3974678088582,12
gender,other,7,safety,1538.438433786649,7
gender,other,8,safety,1558.4726631699514,11
age,younger,0,living,421.31650838961343,669
age,younger,1,living,1775.8175363283488,998
age,younger,2,living,1282.6004232189534,839
age,younger,3,living,1918.1178224249902,757
age,younger,4,living,1817.2748449465485,907
age,younger,5,living,1740.5387958289539,965
age,younger,6,living,1941.1621839974905,885
age,younger,7,living,1564.4005261670277,610
age,younger,8,living,963.2426343234372,648
age,younger,0,biodiversity,1673.3847213968943,876
age,younger,1,biodiversity,1445.2789101944686,784
age,younger,2,biodiversity,1500.734286968988,719
age,younger,3,biodiversity,1916.021456277381,785
age,younger,4,biodiversity,1339.345209411104,805
age,younger,5,biodiversity,1382.044533394757,621
age,younger,6,biodiversity,1867.9605656316846,462
age,younger,7,biodiversity,1720.4542710500675,590
age,younger,8,biodiversity,920.6111718168086,706
age,younger,0,safety,1771.3446648917234,543
age,younger,1,safety,1420.0006673367943,448
age,younger,2,safety,663.2351832396967,323
age,younger,3,safety,1825.0250744590226,521
age,younger,4,safety,1687.1957064023002,558
age,younger,5,safety,1719.1629531673918,542
age,younger,6,safety,1665.670766482482,508
age,younger,7,safety,1596.4429051764232,445
age,younger,8,safety,1136.4671578711343,268
age,middle,0,living,1705.6628435357543,1191
age,middle,1,living,1555.6001306709534,1499
age,middle,2,living,1178.4340397079827,1200
age,middle,3,living,1960.3603274404738,1150
age,middle,4,living,1817.6329863952815,1319
age,middle,5,living,1792.430227170161,1479
age,middle,6,living,2070.2782934093193,1214
age,middle,7,living,1736.1283101392632,882
age,middle,8,living,1905.7848057691424,890
age,middle,0,biodiversity,1250.9994766096772,1372
age,middle,1,biodiversity,1512.735313839372,1218
age,middle,2,biodiversity,1755.8441421691352,1027
age,middle,3,biodiversity,1787.6092912242302,1145
age,middle,4,biodiversity,1859.8705323084434,1193
age,middle,5,biodiversity,1447.2567139097137,859
age,middle,6,biodiversity,2012.302064571549,704
age,middle,7,biodiversity,1882.2090253497322,931
age,middle,8,biodiversity,1588.877357378201,1037
age,middle,0,safety,1577.4501964430772,841
