demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,895.0774601765669,1332
global,global,1,living,2099.181733590702,2510
global,global,2,living,1052.9321808070506,1760
global,global,3,living,1783.868430538192,2502
global,global,4,living,1817.4615325925884,2319
global,global,5,living,2353.01182760241,2674
global,global,6,living,1583.7968945903885,2201
global,global,7,living,2260.085164243471,2147
global,global,8,living,1954.737967456558,2327
global,global,0,biodiversity,2180.7542390653716,3037
global,global,1,biodiversity,1542.3847685168591,3026
global,global,2,biodiversity,2282.868445660697,2304
global,global,3,biodiversity,2406.9668323920064,2737
global,global,4,biodiversity,2356.3418055876723,3147
global,global,5,biodiversity,1855.599839951056,2316
global,global,6,biodiversity,2323.47666505198,3201
global,global,7,biodiversity,2248.621616487152,3033
global,global,8,biodiversity,244.12076187030652,1605
global,global,0,safety,2034.211269208395,1807
global,global,1,safety,2277.3500760924408,1847
global,global,2,safety,1818.0671086252594,2426
global,global,3,safety,1352.5306573422238,1529
global,global,4,safety,1842.2921853981031,2163
global,global,5,safety,999.7763126221541,2175
global,global,6,safety,647.595031448204,2496
global,global,7,safety,1880.6546642989479,2684
global,global,8,safety,2162.1096596464977,1995
gender,man,0,living,1599.6060365916583,747
gender,man,1,living,1931.7101302066246,1310
gender,man,2,living,1633.0376269827275,917
gender,man,3,living,2082.724615203957,1280
gender,man,4,living,1236.3235220761362,1125
gender,man,5,living,1777.5261387051532,1426
gender,man,6,living,1426.062169067359,1103
gender,man,7,living,1977.1752582479462,1073
gender,man,8,living,1652.6291863462675,1195
gender,man,0,biodiversity,1988.0058702791946,1498
gender,man,1,biodiversity,1481.2978245176118,1498
gender,man,2,biodiversity,2080.696093700187,1248
gender,man,3,biodiversity,1537.3535494419173,1468
gender,man,4,biodiversity,2150.232454615014,1585
gender,man,5,biodiversity,1768.927504781895,1194
gender,man,6,biodiversity,1341.7568193991528,1598
gender,man,7,biodiversity,1718.0552117575821,1520
gender,man,8,biodiversity,1133.6640683193148,895
gender,man,0,safety,1550.1746664691354,966
gender,man,1,safety,1925.766839834888,911
gender,man,2,safety,1245.2057832543376,1221
gender,man,3,safety,1888.3633507736272,814
gender,man,4,safety,1849.8176442684164,1109
gender,man,5,safety,813.5782212089665,1091
gender,man,6,safety,1571.1014120691898,1254
gender,man,7,safety,1703.8976664366419,1414
gender,man,8,safety,1989.1932268256933,964
gender,woman,0,living,805.8701681303104,497
gender,woman,1,living,1841.9076630660998,1014
gender,woman,2,living,1047.6667326219945,681
gender,woman,3,living,1490.7364342130143,1005
gender,woman,4,living,1536.9854298446535,982
gender,woman,5,living,1955.007412064585,1014
gender,woman,6,living,1593.386441164159,916
gender,woman,7,living,1665.4685170225769,863
gender,woman,8,living,1977.175953335349,946
gender,woman,0,biodiversity,1823.4092234970674,1282
gender,woman,1,biodiversity,1788.8328046014615,1315
gender,woman,2,biodiversity,1332.650594631177,905
gender,woman,3,biodiversity,2008.3900591311506,1087
gender,woman,4,biodiversity,2029.070637730709,1249
gender,woman,5,biodiversity,1677.9052659698464,961
gender,woman,6,biodiversity,1784.9456884108042,1243
gender,woman,7,biodiversity,1892.9411892300832,1158
gender,woman,8,biodiversity,1172.4276576804186,656
gender,woman,0,safety,1902.0727335090776,689
gender,woman,1,safety,1723.7569097884586,727
gender,woman,2,safety,1871.0340883196427,940
gender,woman,3,safety,971.8178953210743,600
gender,woman,4,safety,1622.6851884172481,908
gender,woman,5,safety,1201.4451271372636,842
gender,woman,6,safety,1576.671805562138,1080
gender,woman,7,safety,1272.5692145850064,1095
gender,woman,8,safety,1859.6072066728962,813
gender,other,0,living,1501.7198201484402,12
gender,other,1,living,1487.710701839561,13
gender,other,2,living,1548.700783370688,14
gender,other,3,living,1475.969762800104,6
gender,other,4,living,1451.980075714712,12
gender,other,5,living,1512.2028292253,11
gender,other,6,living,1567.5448320181063,6
gender,other,7,living,1534.0638071863907,17
gender,other,8,living,1408.9776437355197,13
gender,other,0,biodiversity,1441.274281071701,13
gender,other,1,biodiversity,1475.431306506589,16
gender,other,2,biodiversity,1514.3984167934782,11
gender,other,3,biodiversity,1531.9875096261349,13
gender,other,4,biodiversity,1466.1817698935904,15
gender,other,5,biodiversity,1500.5835482174714,14
gender,other,6,biodiversity,1462.2106797117192,11
gender,other,7,biodiversity,1575.208287089057,8
gender,other,8,biodiversity,1535.998839075599,13
gender,other,0,safety,1487.2569784737823,15
gender,other,1,safety,1424.4659439045186,6
gender,other,2,safety,1535.109152474846,23
gender,other,3,safety,1455.0912924157224,10
gender,other,4,safety,1523.8930127074598,16
gender,other,5,safety,1574.7827184290225,8
gender,other,6,safety,1478.3951054966033,14
gender,other,7,safety,1524.887788644291,18
gender,other,8,safety,1500.0794812913705,10
age,younger,0,living,1360.5970381497764,413
age,younger,1,living,1557.8445607009878,724
age,younger,2,living,1764.7932947129668,527
age,younger,3,living,1325.5413163164797,725
age,younger,4,living,1055.618109523257,670
age,younger,5,living,1902.478052797529,721
age,younger,6,living,1721.5786341017413,527
age,younger,7,living,1848.0968955066244,581
age,younger,8,living,1481.3165262494467,704
age,younger,0,biodiversity,1839.7624885446064,822
age,younger,1,biodiversity,1058.2126849052224,742
age,younger,2,biodiversity,1803.380562107248,725
age,younger,3,biodiversity,1458.108883197214,779
age,younger,4,biodiversity,1793.7445310681485,916
age,younger,5,biodiversity,1123.140222134619,678
age,younger,6,biodiversity,1762.1042926584414,865
age,younger,7,biodiversity,1972.9325117977728,834
age,younger,8,biodiversity,1582.4011277537368,531
age,younger,0,safety,1755.9749510857448,533
age,younger,1,safety,890.8990229788335,472
age,younger,2,safety,1579.4162700986672,705
age,younger,3,safety,1626.1545342067968,452
age,younger,4,safety,1558.0268347684596,632
age,younger,5,safety,1508.2757366946278,624
age,younger,6,safety,995.3654777885833,659
age,younger,7,safety,1893.3647186998867,701
age,younger,8,safety,1832.0813934932514,520
age,middle,0,living,1463.95182046707,568
age,middle,1,living,1363.1669831441745,1109
age,middle,2,living,655.0561062187388,718
age,middle,3,living,1557.2280820309386,1051
age,middle,4,living,1975.6624462261138,995
age,middle,5,living,719.6885762163507,1163
age,middle,6,living,1486.3578696602322,980
age,middle,7,living,1933.8777906444607,882
age,middle,8,living,1333.0559320696586,966
age,middle,0,biodiversity,1662.804215221971,1270
age,middle,1,biodiversity,1777.4595647066647,1401
age,middle,2,biodiversity,1688.291207928817,949
age,middle,3,biodiversity,1509.3187622090397,1186
age,middle,4,biodiversity,2080.0474753216,1253
age,middle,5,biodiversity,2019.641174201978,991
age,middle,6,biodiversity,582.7708684871574,1324
age,middle,7,biodiversity,1567.8670319306136,1248
age,middle,8,biodiversity,730.0958564418418,648
age,middle,0,safety,1622.2047761253511,805
age,middle,1,safety,1879.126166295233,778
age,middle,2,safety,1394.1477979536742,985
age,middle,3,safety,863.0343679339485,604
age,middle,4,safety,2025.9072079677685,920
age,middle,5,safety,368.7036848007527,768
age,middle,6,safety,1431.5702677918848,1067
age,middle,7,safety,1518.8861237104184,1230
age,middle,8,safety,1789.9022902931495,889
age,older,0,living,1290.4795037509784,276
age,older,1,living,1784.3248370884592,497
age,older,2,living,1635.8669263657143,357
age,older,3,living,1835.5143556460393,508
age,older,4,living,567.9113648648232,439
age,older,5,living,1555.6596613685363,565
age,older,6,living,1219.9129730350867,516
age,older,7,living,1256.2411833879057,481
age,older,8,living,1711.5193290562413,483
age,older,0,biodiversity,1752.5473909285654,695
age,older,1,biodiversity,1758.4047088371105,673
age,older,2,biodiversity,1336.371033558143,480
age,older,3,biodiversity,1833.0948188837294,601
age,older,4,biodiversity,1280.8926597221352,675
age,older,5,biodiversity,1732.7908408862677,495
age,older,6,biodiversity,1817.0083159421401,651
age,older,7,biodiversity,1214.4218085305858,598
age,older,8,biodiversity,1440.1654499156998,378
age,older,0,safety,1756.7883519559136,324
age,older,1,safety,1744.345970771982,391
age,older,2,safety,1735.4745284291384,477
age,older,3,safety,1608.4663518801815,370
age,older,4,safety,932.984943209369,472
age,older,5,safety,1396.649065954163,553
age,older,6,safety,1676.2686071932608,619
age,older,7,safety,1260.4801966681712,586
age,older,8,safety,1548.0201345359592,368
ethnicity,white,0,living,1136.354969405995,1052
ethnicity,white,1,living,2093.997949982089,2008
ethnicity,white,2,living,923.728633520855,1374
ethnicity,white,3,living,1213.1737503345778,1958
ethnicity,white,4,living,1813.6868901998075,1842
ethnicity,white,5,living,2160.606006568863,2150
ethnicity,white,6,living,646.1512084187646,1786
ethnicity,white,7,living,2213.362828578892,1673
ethnicity,white,8,living,1638.9718090197418,1855
ethnicity,white,0,biodiversity,1805.295045310012,2464
ethnicity,white,1,biodiversity,975.08357003823,2432
ethnicity,white,2,biodiversity,2230.7104723175544,1849
ethnicity,white,3,biodiversity,1790.37794775798,2215
ethnicity,white,4,biodiversity,1932.9590985375012,2486
ethnicity,white,5,biodiversity,2210.903897431862,1883
ethnicity,white,6,biodiversity,1768.8155118907332,2490
ethnicity,white,7,biodiversity,2052.4167436286148,2284
ethnicity,white,8,biodiversity,1282.8364954216163,1315
ethnicity,white,0,safety,1908.7593188707071,1459
ethnicity,white,1,safety,1571.358293626594,1429
ethnicity,white,2,safety,1912.9488402353,1840
ethnicity,white,3,safety,1181.3539758733489,1194
ethnicity,white,4,safety,1716.0302990272492,1770
ethnicity,white,5,safety,1164.1433675521787,1698
ethnicity,white,6,safety,1551.2138951924946,2038
ethnicity,white,7,safety,1404.206173463164,2160
ethnicity,white,8,safety,2152.0983279874413,1456
ethnicity,other,0,living,1177.1787026952302,148
ethnicity,other,1,living,1013.9233826325542,223
ethnicity,other,2,living,1654.1594094886934,159
ethnicity,other,3,living,1349.0846572882983,258
ethnicity,other,4,living,1451.2914587325756,208
ethnicity,other,5,living,1556.7079219927227,224
ethnicity,other,6,living,1694.7864064995977,162
ethnicity,other,7,living,1736.9332814992692,193
ethnicity,other,8,living,1526.8855944765055,201
ethnicity,other,0,biodiversity,1541.6354856610076,230
ethnicity,other,1,biodiversity,1621.6408693495034,280
ethnicity,other,2,biodiversity,1270.0551699849952,208
ethnicity,other,3,biodiversity,1432.547967921968,258
ethnicity,other,4,biodiversity,1553.4536773294371,261
ethnicity,other,5,biodiversity,1681.192398723243,198
ethnicity,other,6,biodiversity,1649.127464172271,234
ethnicity,other,7,biodiversity,1675.4018188494413,292
ethnicity,other,8,biodiversity,1557.2030927334376,179
ethnicity,other,0,safety,1549.1786013352382,146
ethnicity,other,1,safety,1678.3416920383988,132
ethnicity,other,2,safety,1586.3552460035667,228
ethnicity,other,3,safety,1552.9610319075466,184
ethnicity,other,4,safety,1721.2642002197867,177
ethnicity,other,5,safety,1282.4031504104494,169
ethnicity,other,6,safety,1434.650594421768,215
ethnicity,other,7,safety,1483.0509493534191,267
ethnicity,other,8,safety,1381.580238383263,246
education,sixteen,0,living,1458.664492557418,102
education,sixteen,1,living,1276.3890947056086,148
education,sixteen,2,living,1370.760208086041,95
education,sixteen,3,living,1502.5208575997763,176
education,sixteen,4,living,1638.0026146847213,141
education,sixteen,5,living,1518.3128473963006,204
education,sixteen,6,living,1559.9969488415647,141
education,sixteen,7,living,1611.7309666112953,159
education,sixteen,8,living,1687.6234234002593,120
education,sixteen,0,biodiversity,1542.386366477365,200
education,sixteen,1,biodiversity,1465.3606162523224,182
education,sixteen,2,biodiversity,1312.566644285393,165
education,sixteen,3,biodiversity,1779.043250771689,166
education,sixteen,4,biodiversity,1571.3421831516382,200
education,sixteen,5,biodiversity,1600.6949478447195,165
education,sixteen,6,biodiversity,1186.9527625106361,202
education,sixteen,7,biodiversity,1543.8521502990181,130
education,sixteen,8,biodiversity,1363.3112730644089,124
education,sixteen,0,safety,1650.3480221455568,120
education,sixteen,1,safety,1374.4489199601226,134
education,sixteen,2,safety,1685.8040891080848,128
education,sixteen,3,safety,1594.4643389749228,99
education,sixteen,4,safety,1412.875959832074,172
education,sixteen,5,safety,1615.726409426739,153
education,sixteen,6,safety,1526.7439134454632,181
education,sixteen,7,safety,1220.854399616685,147
education,sixteen,8,safety,1448.2332027926936,118
education,eighteen,0,living,1614.0806806525209,238
education,eighteen,1,living,1661.5045824731283,457
education,eighteen,2,living,1141.162875389167,280
education,eighteen,3,living,1831.296339211107,325
education,eighteen,4,living,1486.2645795328215,383
education,eighteen,5,living,1523.6684338910256,440
education,eighteen,6,living,1185.84682776179,422
education,eighteen,7,living,1554.265195275179,397
education,eighteen,8,living,1686.851173802701,376
education,eighteen,0,biodiversity,1773.4908002883649,508
education,eighteen,1,biodiversity,1379.582594893968,528
education,eighteen,2,biodiversity,1690.4732141095412,381
education,eighteen,3,biodiversity,1218.1757548340943,455
education,eighteen,4,biodiversity,1265.9681037562839,478
education,eighteen,5,biodiversity,1841.9793634291693,361
education,eighteen,6,biodiversity,1518.7431187384204,591
education,eighteen,7,biodiversity,1399.147897051286,486
education,eighteen,8,biodiversity,1583.1870829264267,318
education,eighteen,0,safety,1618.3760163676602,330
education,eighteen,1,safety,1676.5809417987523,298
education,eighteen,2,safety,1695.2450635723676,358
education,eighteen,3,safety,1390.1713030455157,281
education,eighteen,4,safety,1120.111051875973,383
education,eighteen,5,safety,1155.8261486302852,385
education,eighteen,6,safety,1242.2045225978393,415
education,eighteen,7,safety,1725.1444559279805,450
education,eighteen,8,safety,1766.2659497068603,318
education,older,0,living,454.74710630515256,897
education,older,1,living,2072.343168845533,1706
education,older,2,living,1322.481157887505,1217
education,older,3,living,1606.7786537160673,1772
education,older,4,living,1566.0422346972732,1578
education,older,5,living,1979.0568767465345,1773
education,older,6,living,1716.0915170239932,1431
education,older,7,living,2105.586480011411,1369
education,older,8,living,1359.6872792130691,1633
education,older,0,biodiversity,1998.94241450025,2047
education,older,1,biodiversity,2217.7294588197924,2074
education,older,2,biodiversity,1829.591858231662,1589
education,older,3,biodiversity,1988.706913266325,1912
education,older,4,biodiversity,2064.050581638983,2141
education,older,5,biodiversity,1093.4072536561453,1615
education,older,6,biodiversity,1927.7392169678187,2035
education,older,7,biodiversity,2182.537357830849,2038
education,older,8,biodiversity,850.4991679547951,1101
education,older,0,safety,1740.8823175757384,1194
education,older,1,safety,1931.7301833401625,1196
education,older,2,safety,1565.070661960146,1662
education,older,3,safety,1039.2936759244972,1020
education,older,4,safety,2125.3230927489226,1453
education,older,5,safety,1202.2194555049407,1386
education,older,6,safety,1254.00601101736,1721
education,older,7,safety,1859.823983535798,1892
education,older,8,safety,2006.0698940132245,1328
income,lower,0,living,1198.276194717867,230
income,lower,1,living,1538.2009769939461,417
income,lower,2,living,1470.0840550040318,318
income,lower,3,living,1383.0750060110793,425
income,lower,4,living,1592.3426268366618,379
income,lower,5,living,1615.6595463819665,429
income,lower,6,living,1691.5872316445018,354
income,lower,7,living,1511.526765588607,402
income,lower,8,living,1860.5495294922653,352
income,lower,0,biodiversity,1324.7028788370474,505
income,lower,1,biodiversity,1594.5177729749528,504
income,lower,2,biodiversity,1017.8581758878454,391
income,lower,3,biodiversity,1680.3338442966724,495
income,lower,4,biodiversity,1755.4309443976254,514
income,lower,5,biodiversity,1376.6399325369694,395
income,lower,6,biodiversity,1642.75342409712,541
income,lower,7,biodiversity,1847.6656119799604,452
income,lower,8,biodiversity,1002.741741830714,257
income,lower,0,safety,1813.3492903693339,257
income,lower,1,safety,1728.0948677507604,323
income,lower,2,safety,1692.9650909972597,416
income,lower,3,safety,1248.272687123888,287
income,lower,4,safety,991.897554716125,375
income,lower,5,safety,1542.3691835347768,420
income,lower,6,safety,1581.274970184048,497
income,lower,7,safety,1090.6589226109522,423
income,lower,8,safety,1602.366394337432,362
income,middle,0,living,1815.4980702111538,418
income,middle,1,living,1877.3739286784944,713
income,middle,2,living,1153.1511121194774,463
income,middle,3,living,1436.5064909196676,670
income,middle,4,living,1048.5376237754922,667
income,middle,5,living,1713.1899848088685,778
income,middle,6,living,1577.3865808109406,699
income,middle,7,living,1760.556856249771,630
income,middle,8,living,1794.083047650079,740
income,middle,0,biodiversity,1524.198610622375,942
income,middle,1,biodiversity,1854.350811606726,890
income,middle,2,biodiversity,1893.3654335126357,750
income,middle,3,biodiversity,1639.82075301928,764
income,middle,4,biodiversity,1908.0820026179858,902
income,middle,5,biodiversity,1820.8262884881428,679
income,middle,6,biodiversity,1666.2676390165277,929
income,middle,7,biodiversity,1216.3229696197716,825
income,middle,8,biodiversity,1632.5743145887964,559
income,middle,0,safety,1718.5443001331046,547
income,middle,1,safety,1361.7915226142593,522
income,middle,2,safety,1781.6514927036512,638
income,middle,3,safety,1608.051518202731,452
income,middle,4,safety,1511.0752705652812,690
income,middle,5,safety,1287.742577077491,652
income,middle,6,safety,1892.9051654904933,688
income,middle,7,safety,1672.230898464223,821
income,middle,8,safety,1635.260159017954,506
income,higher,0,living,828.6601992370253,376
income,higher,1,living,1722.8954171644236,749
income,higher,2,living,1644.7951278899832,548
income,higher,3,living,1760.892061635661,806
income,higher,4,living,1795.9287667524782,674
income,higher,5,living,1705.131005898198,807
income,higher,6,living,961.6608252434727,580
income,higher,7,living,1916.215155865127,574
income,higher,8,living,1170.0858140412734,708
income,higher,0,biodiversity,2019.8540124651556,854
income,higher,1,biodiversity,1797.7653193519086,927
income,higher,2,biodiversity,1359.2543413081837,632
income,higher,3,biodiversity,1831.1000876498797,849
income,higher,4,biodiversity,1674.4219078045458,937
income,higher,5,biodiversity,1767.2554942558213,715
income,higher,6,biodiversity,1504.2728160953432,894
income,higher,7,biodiversity,1697.852162306628,913
income,higher,8,biodiversity,1190.840028134069,475
income,higher,0,safety,1624.154444295189,529
income,higher,1,safety,1709.178014989105,508
income,higher,2,safety,1012.7577474085666,739
income,higher,3,safety,1072.0127808343607,441
income,higher,4,safety,1947.6338665187216,592
income,higher,5,safety,510.55369312034367,537
income,higher,6,safety,1399.420999819917,751
income,higher,7,safety,1663.0952849203939,863
income,higher,8,safety,1778.888905506924,620
movement,yes,0,living,1363.9817315131759,264
movement,yes,1,living,1474.91568797544,472
movement,yes,2,living,1596.5854785709091,332
movement,yes,3,living,1695.4560123382632,450
movement,yes,4,living,1828.6329175569642,387
movement,yes,5,living,1665.2061280155413,537
movement,yes,6,living,1447.0210097762451,467
movement,yes,7,living,1177.7698816771892,403
movement,yes,8,living,1741.8071714848354,422
movement,yes,0,biodiversity,1815.7533737202548,531
movement,yes,1,biodiversity,1509.1407171718572,617
movement,yes,2,biodiversity,1449.2482225895894,472
movement,yes,3,biodiversity,1616.4983483521514,540
movement,yes,4,biodiversity,1433.254622306967,585
movement,yes,5,biodiversity,1899.1995165762073,445
movement,yes,6,biodiversity,1474.4174440630566,652
movement,yes,7,biodiversity,1571.4590269600267,538
movement,yes,8,biodiversity,1431.3782754908248,358
movement,yes,0,safety,1718.3472457181763,372
