demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,2386.87180326959,2452
global,global,1,living,2155.7926854547086,2351
global,global,2,living,1856.9662601782866,2508
global,global,3,living,2488.2435381638534,2703
global,global,4,living,1985.4240841713752,2727
global,global,5,living,2123.5459245971174,2796
global,global,6,living,2322.559578388111,3269
global,global,7,living,1191.5064565203932,2064
global,global,8,living,1451.7256309276256,2482
global,global,0,biodiversity,1690.850420195219,2175
global,global,1,biodiversity,1169.847965829944,2573
global,global,2,biodiversity,1482.9612526686408,2245
global,global,3,biodiversity,2247.3743878828573,1678
global,global,4,biodiversity,1925.0972942172218,2603
global,global,5,biodiversity,18.337710185331623,898
global,global,6,biodiversity,1798.01333547311,1620
global,global,7,biodiversity,1127.4482210219196,1397
global,global,8,biodiversity,2143.1511568818005,2735
global,global,0,safety,2141.4460289617323,2801
global,global,1,safety,1981.2768570497944,2624
global,global,2,safety,2031.3399424952106,2990
global,global,3,safety,1962.5382982001138,2330
global,global,4,safety,1763.0292858315227,2446
global,global,5,safety,2259.205236934623,1960
global,global,6,safety,770.2027321715883,2122
global,global,7,safety,1725.731358514882,2641
global,global,8,safety,2356.769639152304,2110
gender,man,0,living,2015.2569361634446,1197
gender,man,1,living,1580.661891917679,1228
gender,man,2,living,841.7208503591844,1209
gender,man,3,living,1908.0478848851687,1347
gender,man,4,living,1699.781820378102,1383
gender,man,5,living,1661.9688632124414,1379
gender,man,6,living,1762.0853380118183,1717
gender,man,7,living,1464.386737238302,1072
gender,man,8,living,1948.0209472316506,1258
gender,man,0,biodiversity,1729.4246718219044,1086
gender,man,1,biodiversity,1700.3325342512885,1320
gender,man,2,biodiversity,1870.9534468905324,1180
gender,man,3,biodiversity,1937.1998164878287,768
gender,man,4,biodiversity,1952.6899113843492,1387
gender,man,5,biodiversity,900.3914834612358,495
gender,man,6,biodiversity,1611.577735682413,861
gender,man,7,biodiversity,1380.5687619207008,725
gender,man,8,biodiversity,1659.0477383032985,1490
gender,man,0,safety,2048.566198503537,1450
gender,man,1,safety,1860.0693319558209,1353
gender,man,2,safety,1518.9626904456866,1515
gender,man,3,safety,2062.3862816580972,1158
gender,man,4,safety,1492.0979462254586,1217
gender,man,5,safety,1974.4741151978951,983
gender,man,6,safety,1161.2349186676645,1153
gender,man,7,safety,1552.8409237653784,1397
gender,man,8,safety,1769.3720824836862,1096
gender,woman,0,living,1965.521254919541,1033
gender,woman,1,living,1514.852899370468,983
gender,woman,2,living,1759.7590472144855,970
gender,woman,3,living,1783.0214291850205,1113
gender,woman,4,living,1906.5280957152256,1125
gender,woman,5,living,1873.4650992669522,1135
