demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1781.6303740767369,2146
global,global,1,living,1529.460566873552,2047
global,global,2,living,1090.2617472113002,2784
global,global,3,living,1946.8387408299304,2328
global,global,4,living,919.8336596292364,2022
global,global,5,living,2064.6647909488856,1747
global,global,6,living,1384.4262175516121,2522
global,global,7,living,1629.5528087139637,2599
global,global,8,living,2211.788862600401,1501
global,global,0,biodiversity,940.6591021420224,2444
global,global,1,biodiversity,493.5140697147095,2912
global,global,2,biodiversity,1694.2978418657858,2851
global,global,3,biodiversity,1596.285884363371,2702
global,global,4,biodiversity,1238.7934638363997,3445
global,global,5,biodiversity,2096.668554505642,3233
global,global,6,biodiversity,2000.3356315502547,2894
global,global,7,biodiversity,2236.5242851732955,2858
global,global,8,biodiversity,2423.6184547906773,3157
global,global,0,safety,768.5701969305944,2352
global,global,1,safety,1976.847085329335,1351
global,global,2,safety,1013.0774472887674,1894
global,global,3,safety,1575.1159542674875,2328
global,global,4,safety,124.78835719741551,1552
global,global,5,safety,1888.0401999127778,1444
global,global,6,safety,2172.502161482607,1680
global,global,7,safety,1081.3719804194611,2330
global,global,8,safety,1061.5556420660691,2177
gender,man,0,living,1988.808487973173,1066
gender,man,1,living,942.2344745490695,1057
gender,man,2,living,1311.8021998369472,1387
gender,man,3,living,1162.715440015765,1091
gender,man,4,living,1032.6528275378168,963
gender,man,5,living,1892.1498289712506,915
gender,man,6,living,1724.4878774776216,1247
gender,man,7,living,1611.516053726282,1306
gender,man,8,living,1811.6459768310167,774
gender,man,0,biodiversity,1374.5937619832719,1299
gender,man,1,biodiversity,1040.8661822422612,1492
gender,man,2,biodiversity,1302.0494475900452,1470
gender,man,3,biodiversity,1855.0688395795185,1355
gender,man,4,biodiversity,1609.353175431344,1756
gender,man,5,biodiversity,1808.7490238699725,1744
gender,man,6,biodiversity,2009.1058818014012,1511
gender,man,7,biodiversity,2160.2648407269703,1461
gender,man,8,biodiversity,1541.3837662738747,1684
gender,man,0,safety,1362.786967492771,1254
gender,man,1,safety,1500.4688392536746,753
gender,man,2,safety,1876.9868920037827,1001
gender,man,3,safety,1565.6063929507175,1171
gender,man,4,safety,1247.3610477590962,920
gender,man,5,safety,1817.5845218749462,735
gender,man,6,safety,1920.8440330814435,796
gender,man,7,safety,925.9744669480161,1181
gender,man,8,safety,1116.0772480116711,1035
gender,woman,0,living,855.5566583252495,820
gender,woman,1,living,1258.7959045285984,773
gender,woman,2,living,1637.7943858332349,1067
gender,woman,3,living,1837.8017341356115,941
gender,woman,4,living,1382.2641940430751,765
gender,woman,5,living,1702.596628406468,641
gender,woman,6,living,1767.800873326987,1025
gender,woman,7,living,1547.0805658661238,1012
gender,woman,8,living,1938.3695609581098,626
gender,woman,0,biodiversity,681.09016844712,905
gender,woman,1,biodiversity,1633.809119466465,1271
gender,woman,2,biodiversity,2040.4133546863798,1153
gender,woman,3,biodiversity,1747.4783616515017,1117
gender,woman,4,biodiversity,1329.7217638952975,1410
gender,woman,5,biodiversity,2007.120667860423,1332
gender,woman,6,biodiversity,1805.1949561157192,1196
gender,woman,7,biodiversity,1195.4334093780024,1225
gender,woman,8,biodiversity,1932.687506375615,1259
gender,woman,0,safety,744.300469958396,883
gender,woman,1,safety,1935.4419140435532,499
gender,woman,2,safety,-62.97355539115879,689
gender,woman,3,safety,1704.977885007692,1016
gender,woman,4,safety,1031.5476465725774,590
gender,woman,5,safety,1691.348241325968,579
gender,woman,6,safety,1733.0230292469137,769
gender,woman,7,safety,1644.636881978172,981
gender,woman,8,safety,1586.878605165073,924
gender,other,0,living,1537.2133622399306,15
gender,other,1,living,1500.3857475664865,8
gender,other,2,living,1525.5991098064171,12
gender,other,3,living,1557.548205763807,5
gender,other,4,living,1475.9153194327705,8
gender,other,5,living,1440.087605179673,5
gender,other,6,living,1461.5511303762503,9
gender,other,7,living,1488.0,7
gender,other,8,living,1512.771495132973,7
gender,other,0,biodiversity,1439.8872811943222,9
gender,other,1,biodiversity,1494.4620876643519,25
gender,other,2,biodiversity,1586.842860662448,23
gender,other,3,biodiversity,1508.3690035953346,29
gender,other,4,biodiversity,1472.2501616536308,23
gender,other,5,biodiversity,1464.0206457547433,19
gender,other,6,biodiversity,1451.057082824031,22
gender,other,7,biodiversity,1558.13168482405,7
gender,other,8,biodiversity,1536.4720659706925,19
gender,other,0,safety,1476.4419309492753,12
gender,other,1,safety,1559.9999862489537,5
gender,other,2,safety,1454.4181797773017,8
gender,other,3,safety,1487.6295819397783,11
gender,other,4,safety,1464.4429194027443,9
gender,other,5,safety,1512.0000147525154,7
gender,other,6,safety,1535.9995881153843,13
gender,other,7,safety,1513.9905172961844,13
gender,other,8,safety,1503.2228633074878,8
age,younger,0,living,1920.6735491397487,544
age,younger,1,living,1605.0092653126148,569
age,younger,2,living,1159.9804636930303,763
age,younger,3,living,1564.7222745998265,678
age,younger,4,living,523.6474271973683,552
age,younger,5,living,1321.1751571060881,494
age,younger,6,living,1685.1999623129368,711
age,younger,7,living,1193.3672281914626,675
age,younger,8,living,1717.2923393560295,366
age,younger,0,biodiversity,340.8319121165053,617
age,younger,1,biodiversity,1666.868540447447,849
age,younger,2,biodiversity,1836.403527784964,866
age,younger,3,biodiversity,1769.6299060779204,795
age,younger,4,biodiversity,1793.0218499199989,995
age,younger,5,biodiversity,1872.1265672965162,1020
age,younger,6,biodiversity,1691.7198514347297,921
age,younger,7,biodiversity,1939.1503459605508,776
age,younger,8,biodiversity,1627.19078806637,991
age,younger,0,safety,1182.4482301769601,618
age,younger,1,safety,1870.5128833999754,347
age,younger,2,safety,1376.028798025602,525
age,younger,3,safety,1294.4253115884617,633
age,younger,4,safety,1518.9105733450954,480
age,younger,5,safety,1434.603501781234,391
age,younger,6,safety,1812.6522761009696,440
age,younger,7,safety,1255.8355791458262,602
age,younger,8,safety,1598.4032516477032,564
age,middle,0,living,1525.8284044181544,884
age,middle,1,living,1353.9607816239889,784
age,middle,2,living,1395.7849616200522,1127
age,middle,3,living,1743.0108033743813,931
age,middle,4,living,1085.4978638976168,761
age,middle,5,living,1932.7009312004616,736
age,middle,6,living,1456.4811659748245,1061
age,middle,7,living,1570.3378951671414,1071
age,middle,8,living,1956.642881177197,655
age,middle,0,biodiversity,1628.6325647745432,1018
age,middle,1,biodiversity,1515.690108628392,1212
age,middle,2,biodiversity,1150.9975716435406,1205
age,middle,3,biodiversity,1272.6193000294093,1216
age,middle,4,biodiversity,1108.7776837879985,1424
age,middle,5,biodiversity,2088.0640937188837,1371
age,middle,6,biodiversity,1916.1136345547518,1171
age,middle,7,biodiversity,1807.3310866334652,1203
age,middle,8,biodiversity,1965.142800773401,1288
age,middle,0,safety,1657.9567785903798,1025
age,middle,1,safety,1954.2428351558176,620
age,middle,2,safety,1145.6057073685192,819
age,middle,3,safety,1828.5525382645637,1073
age,middle,4,safety,1541.875032463417,696
age,middle,5,safety,1926.348221201096,627
age,middle,6,safety,1527.5240719353465,738
age,middle,7,safety,1107.835989181277,1056
age,middle,8,safety,1092.9320503065571,976
age,older,0,living,1660.3026958152952,469
age,older,1,living,1010.7079255398424,479
age,older,2,living,1702.9515196033321,576
age,older,3,living,901.506859998401,423
age,older,4,living,1623.7358395972976,419
age,older,5,living,1880.7852891296031,331
age,older,6,living,1125.0586830984455,500
age,older,7,living,1315.1431363803342,573
age,older,8,living,1475.739610863519,386
age,older,0,biodiversity,1505.7296366536464,571
age,older,1,biodiversity,1263.2815824664854,716
age,older,2,biodiversity,1874.0010026800203,565
age,older,3,biodiversity,1909.4804833442315,488
age,older,4,biodiversity,1436.7342041764384,754
age,older,5,biodiversity,1385.7417542245926,693
age,older,6,biodiversity,1611.3523961233668,625
age,older,7,biodiversity,1561.9256449158208,696
age,older,8,biodiversity,1655.427013261079,672
age,older,0,safety,1322.519937860902,494
age,older,1,safety,1432.5712928788516,284
age,older,2,safety,1679.6980837864007,351
age,older,3,safety,1820.5810456153822,488
age,older,4,safety,1083.5511914614644,336
age,older,5,safety,1660.2689888811597,303
age,older,6,safety,1529.5219174263718,400
age,older,7,safety,1747.4086476513914,508
age,older,8,safety,1299.7040616577156,428
ethnicity,white,0,living,1613.810095851156,1671
ethnicity,white,1,living,755.5748911788647,1575
ethnicity,white,2,living,1282.5473655221535,2157
ethnicity,white,3,living,1379.9536664256,1779
ethnicity,white,4,living,1571.1047532201783,1479
ethnicity,white,5,living,2022.1358470240732,1337
ethnicity,white,6,living,1163.2398373540573,1952
ethnicity,white,7,living,1221.7416116085099,2013
ethnicity,white,8,living,2130.2690274639244,1209
ethnicity,white,0,biodiversity,-123.58133594738815,1886
ethnicity,white,1,biodiversity,1418.041984437705,2424
ethnicity,white,2,biodiversity,1551.2593081658636,2309
ethnicity,white,3,biodiversity,2059.853730319247,2089
ethnicity,white,4,biodiversity,1588.3131192550711,2710
ethnicity,white,5,biodiversity,1492.9089193385896,2645
ethnicity,white,6,biodiversity,2381.0703183960886,2382
ethnicity,white,7,biodiversity,2033.213852849086,2307
ethnicity,white,8,biodiversity,2246.6890428186566,2532
ethnicity,white,0,safety,1353.0443291589186,1891
ethnicity,white,1,safety,2008.8243969407192,1070
ethnicity,white,2,safety,1052.315225370474,1455
ethnicity,white,3,safety,1679.9150759969045,1916
ethnicity,white,4,safety,-165.9108887902206,1285
ethnicity,white,5,safety,2099.081246644684,1129
ethnicity,white,6,safety,1734.8296481091916,1384
ethnicity,white,7,safety,1243.7604447233834,1872
ethnicity,white,8,safety,562.6573738940203,1702
ethnicity,other,0,living,1717.571985343911,148
ethnicity,other,1,living,1299.6906075776965,177
ethnicity,other,2,living,963.8209288090802,208
ethnicity,other,3,living,1693.1677563241353,175
ethnicity,other,4,living,1206.4806894550038,183
ethnicity,other,5,living,1637.1858839216113,157
ethnicity,other,6,living,1439.1483210408728,219
ethnicity,other,7,living,1606.6449777951875,224
ethnicity,other,8,living,1481.03070978283,137
ethnicity,other,0,biodiversity,1662.4381630607813,232
ethnicity,other,1,biodiversity,1181.5308870339622,252
ethnicity,other,2,biodiversity,1707.383367599,233
ethnicity,other,3,biodiversity,1593.8368383788668,304
ethnicity,other,4,biodiversity,1373.8904666398785,330
ethnicity,other,5,biodiversity,1772.0328206846252,332
ethnicity,other,6,biodiversity,1205.7731297309613,259
ethnicity,other,7,biodiversity,1624.7612816387598,271
ethnicity,other,8,biodiversity,1521.7692374776238,321
ethnicity,other,0,safety,1028.2234828190674,156
ethnicity,other,1,safety,1619.4475244205494,135
ethnicity,other,2,safety,1295.2768392018377,174
ethnicity,other,3,safety,1630.3837670885093,210
ethnicity,other,4,safety,1677.707212993264,170
ethnicity,other,5,safety,1344.4746007466754,139
ethnicity,other,6,safety,1713.5424406682214,141
ethnicity,other,7,safety,1321.5155946558673,208
ethnicity,other,8,safety,1485.9251452667677,185
education,sixteen,0,living,1551.9876082209541,147
education,sixteen,1,living,1504.009260865017,159
education,sixteen,2,living,1687.8996251688598,143
education,sixteen,3,living,1474.0184499444451,130
education,sixteen,4,living,1377.7977504848268,115
education,sixteen,5,living,1591.2698667940685,126
education,sixteen,6,living,1534.711226845291,173
education,sixteen,7,living,1633.7138106545508,147
education,sixteen,8,living,1401.8209695568264,86
education,sixteen,0,biodiversity,1508.1272980504084,161
education,sixteen,1,biodiversity,1248.810427600152,193
education,sixteen,2,biodiversity,1424.4531189486877,171
education,sixteen,3,biodiversity,1279.3443944210585,154
education,sixteen,4,biodiversity,1577.1035080025233,192
education,sixteen,5,biodiversity,1611.8447630348699,207
education,sixteen,6,biodiversity,1716.2238382719431,197
education,sixteen,7,biodiversity,1543.4094623936442,203
education,sixteen,8,biodiversity,1685.7340449778671,180
education,sixteen,0,safety,1502.1005252626542,180
education,sixteen,1,safety,1499.1271304489426,104
education,sixteen,2,safety,1400.1766708950663,138
education,sixteen,3,safety,1305.2197719815852,126
education,sixteen,4,safety,1623.9533366683786,127
education,sixteen,5,safety,1675.6765794656708,110
education,sixteen,6,safety,1637.1666874808368,123
education,sixteen,7,safety,1597.1737851748906,160
education,sixteen,8,safety,1189.3417235121183,120
education,eighteen,0,living,1489.0355865133936,380
education,eighteen,1,living,1203.3566998250399,265
education,eighteen,2,living,1848.5609036051173,398
education,eighteen,3,living,1409.9749474780365,411
education,eighteen,4,living,1541.2392067667072,312
education,eighteen,5,living,1618.9754889986393,330
education,eighteen,6,living,1371.6425315638057,432
education,eighteen,7,living,1586.143447392798,464
education,eighteen,8,living,1674.7315070799493,244
education,eighteen,0,biodiversity,1695.8970535598576,448
education,eighteen,1,biodiversity,1589.678879106249,506
education,eighteen,2,biodiversity,1896.4158494375595,450
education,eighteen,3,biodiversity,1427.0618300199649,493
education,eighteen,4,biodiversity,1249.8317617511068,540
education,eighteen,5,biodiversity,1623.0160464113012,549
education,eighteen,6,biodiversity,1172.1998582685676,485
education,eighteen,7,biodiversity,1320.3163339081043,472
education,eighteen,8,biodiversity,1724.358347312057,523
education,eighteen,0,safety,1341.1051509226645,399
education,eighteen,1,safety,1409.6944082426708,245
education,eighteen,2,safety,1692.972215192124,311
education,eighteen,3,safety,1775.8070616581547,370
education,eighteen,4,safety,1183.5806877713183,299
education,eighteen,5,safety,1751.8923075918403,232
education,eighteen,6,safety,1593.2199471928006,350
education,eighteen,7,safety,1484.970248555485,390
education,eighteen,8,safety,1063.2521613685221,344
education,older,0,living,1862.457457976075,1360
education,older,1,living,1156.2970428241108,1389
education,older,2,living,84.58916375923756,1893
education,older,3,living,1932.2441138301622,1476
education,older,4,living,454.12986288512167,1283
education,older,5,living,1902.7036906961694,1091
education,older,6,living,1750.6527207672698,1650
education,older,7,living,1659.7864802511117,1686
education,older,8,living,2046.0105577772383,1046
education,older,0,biodiversity,-124.68936679488793,1582
education,older,1,biodiversity,1223.1929628513665,2049
education,older,2,biodiversity,1517.5316967548774,1992
education,older,3,biodiversity,2185.404775153207,1826
education,older,4,biodiversity,1087.2041096105397,2423
education,older,5,biodiversity,1472.299982831715,2294
education,older,6,biodiversity,2116.197512828822,2004
education,older,7,biodiversity,1991.8830279417,1982
education,older,8,biodiversity,1874.0226750653844,2226
education,older,0,safety,1581.2547454292755,1538
education,older,1,safety,2051.8974546377376,891
education,older,2,safety,499.0356601256003,1225
education,older,3,safety,1379.639998232958,1669
education,older,4,safety,1133.4842100536105,1078
education,older,5,safety,1671.068589494153,964
education,older,6,safety,1934.3889705683127,1088
education,older,7,safety,792.9886624963546,1596
education,older,8,safety,1285.762563217427,1479
income,lower,0,living,1582.013466963669,389
income,lower,1,living,1537.8021092904776,386
income,lower,2,living,1501.1779851001704,453
income,lower,3,living,963.8901732792576,363
income,lower,4,living,1477.9851909022732,356
income,lower,5,living,1770.5708843371074,271
income,lower,6,living,1011.6922526813074,464
income,lower,7,living,1416.831306630419,451
income,lower,8,living,1803.7521814759293,241
income,lower,0,biodiversity,1286.2362979056854,454
income,lower,1,biodiversity,1041.8119977993297,474
income,lower,2,biodiversity,1844.5584757400427,441
income,lower,3,biodiversity,854.9327955592738,473
income,lower,4,biodiversity,1226.85172133491,546
income,lower,5,biodiversity,1799.3385176342151,535
income,lower,6,biodiversity,1748.593521029257,520
income,lower,7,biodiversity,1321.438657179308,518
income,lower,8,biodiversity,1616.0182437247486,513
income,lower,0,safety,1099.841684603657,383
income,lower,1,safety,1283.0854653832228,261
income,lower,2,safety,820.5252200758631,254
income,lower,3,safety,1803.270146234453,401
income,lower,4,safety,1052.5445703382577,291
income,lower,5,safety,1762.9360947763375,260
income,lower,6,safety,1705.001656900401,307
income,lower,7,safety,1461.0462473583054,394
