demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,804.8737659369881,2308
global,global,1,living,1272.889939039715,2822
global,global,2,living,1528.431695265342,2088
global,global,3,living,2058.174178946834,1513
global,global,4,living,1901.3178221752007,2438
global,global,5,living,1712.0007220519485,2477
global,global,6,living,77.03468098593979,1951
global,global,7,living,2219.031847679289,1914
global,global,8,living,726.3866310795696,2441
global,global,0,biodiversity,779.1422167458034,2463
global,global,1,biodiversity,1847.5802576870897,1900
global,global,2,biodiversity,1269.9571507531516,2207
global,global,3,biodiversity,1754.4937528661587,1838
global,global,4,biodiversity,-566.8849992889885,1369
global,global,5,biodiversity,877.0668420777712,2136
global,global,6,biodiversity,2251.642497534839,1751
global,global,7,biodiversity,1405.9325106922595,2337
global,global,8,biodiversity,329.6122510278361,1563
global,global,0,safety,1708.3884052148371,2446
global,global,1,safety,1493.176826217401,2833
global,global,2,safety,1201.8996040173806,3007
global,global,3,safety,2294.258472651844,3423
global,global,4,safety,1324.8812132283674,2764
global,global,5,safety,2339.739236349167,2444
global,global,6,safety,1066.3973084472138,3221
global,global,7,safety,2159.1399643476598,2790
global,global,8,safety,1782.5722710423192,2856
gender,man,0,living,1359.1544938118934,1218
gender,man,1,living,1446.6337566066945,1472
gender,man,2,living,1505.1047959204911,1090
gender,man,3,living,1706.666922147625,804
gender,man,4,living,2013.434625907566,1219
gender,man,5,living,1772.5443405352016,1336
gender,man,6,living,1339.5009394548033,1063
gender,man,7,living,1948.3746913287307,966
gender,man,8,living,1548.1628746200513,1290
gender,man,0,biodiversity,1680.2071452627165,1283
gender,man,1,biodiversity,1949.0482301134773,942
gender,man,2,biodiversity,684.8683270325257,1156
gender,man,3,biodiversity,1777.6856546273837,894
gender,man,4,biodiversity,1202.5801722237443,706
gender,man,5,biodiversity,1636.0157426001554,1044
gender,man,6,biodiversity,1899.8618494589632,907
gender,man,7,biodiversity,-29.892325249957725,1165
gender,man,8,biodiversity,1346.9638024177575,897
gender,man,0,safety,1487.730689171849,1290
gender,man,1,safety,1156.2118444551347,1437
gender,man,2,safety,573.8600081877944,1584
gender,man,3,safety,1875.7168240551237,1746
gender,man,4,safety,1674.4852361482256,1468
gender,man,5,safety,2140.21899951373,1080
gender,man,6,safety,1513.8959322671387,1616
gender,man,7,safety,1944.7051357308405,1326
gender,man,8,safety,1370.2643562168973,1425
gender,woman,0,living,1156.4942933580273,925
gender,woman,1,living,1569.6444409017959,1127
gender,woman,2,living,1732.4881480180725,834
gender,woman,3,living,1936.1723738213716,643
gender,woman,4,living,1418.956882677578,1004
gender,woman,5,living,1649.3285630768632,917
gender,woman,6,living,1237.4583637602232,814
gender,woman,7,living,1879.3004437812533,777
gender,woman,8,living,1616.701371416035,1015
gender,woman,0,biodiversity,1338.500753627249,963
gender,woman,1,biodiversity,1776.992701868652,848
gender,woman,2,biodiversity,1912.672214538242,802
gender,woman,3,biodiversity,1238.7052272752526,751
gender,woman,4,biodiversity,198.3627007666523,553
gender,woman,5,biodiversity,834.0018973083593,908
gender,woman,6,biodiversity,1804.0158449868281,719
gender,woman,7,biodiversity,1881.0622982983232,973
gender,woman,8,biodiversity,761.7086832377383,605
gender,woman,0,safety,1982.3083637532088,869
gender,woman,1,safety,1766.4196264400446,1163
gender,woman,2,safety,1887.7583613720815,1206
gender,woman,3,safety,1686.5087497233978,1407
gender,woman,4,safety,649.7140065741951,1057
gender,woman,5,safety,1455.2876938632674,950
gender,woman,6,safety,1078.3314396029327,1333
gender,woman,7,safety,1927.0157097072417,1143
gender,woman,8,safety,1557.9034696258086,1162
gender,other,0,living,1537.590494879159,9
gender,other,1,living,1525.9771728999362,12
gender,other,2,living,1502.4454959385641,10
gender,other,3,living,1557.5784955624447,5
gender,other,4,living,1462.4931893390296,11
gender,other,5,living,1498.7847052497057,16
gender,other,6,living,1438.7601974236554,7
gender,other,7,living,1511.87600371584,9
gender,other,8,living,1466.124430265379,7
gender,other,0,biodiversity,1501.9365658375232,14
