demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1299.7680947922483,2951
global,global,1,living,2367.082795069932,2738
global,global,2,living,-123.9400901976496,1796
global,global,3,living,2109.54759504163,2617
global,global,4,living,2145.74575652081,2732
global,global,5,living,1796.9779859527782,2558
global,global,6,living,2266.7145350091737,1784
global,global,7,living,1961.792591881182,2273
global,global,8,living,360.57942941067216,2797
global,global,0,biodiversity,1874.0793101782365,2499
global,global,1,biodiversity,-544.1867885870829,2265
global,global,2,biodiversity,2285.920438938654,2577
global,global,3,biodiversity,2152.975702732386,2547
global,global,4,biodiversity,2271.3555350030306,2065
global,global,5,biodiversity,1349.0549560349505,2255
global,global,6,biodiversity,1731.660870034602,2322
global,global,7,biodiversity,1588.8652480511182,2581
global,global,8,biodiversity,1476.2175432324957,2025
global,global,0,safety,1335.0693145861994,1955
global,global,1,safety,1435.5706213878934,2532
global,global,2,safety,2133.595992931603,1141
global,global,3,safety,1898.6580223927363,2461
global,global,4,safety,1679.0376139759337,2735
global,global,5,safety,2013.3721202707693,2434
global,global,6,safety,-193.7138629838606,1818
global,global,7,safety,2225.8143201537882,2668
global,global,8,safety,615.5187242716293,2174
gender,man,0,living,1685.146872124713,1498
gender,man,1,living,2142.5636480983926,1377
gender,man,2,living,396.8769681657257,910
gender,man,3,living,1606.9498877031103,1331
gender,man,4,living,1412.751994979758,1373
gender,man,5,living,811.5511801068075,1246
gender,man,6,living,1766.4105292559261,845
gender,man,7,living,1813.3987718265428,1225
gender,man,8,living,1584.0760649548583,1435
gender,man,0,biodiversity,1471.99342608919,1335
gender,man,1,biodiversity,1131.7616325396184,1163
gender,man,2,biodiversity,1928.6187756523796,1352
gender,man,3,biodiversity,2090.2871020366065,1332
gender,man,4,biodiversity,1856.906784755065,1053
gender,man,5,biodiversity,1772.1640900996902,1217
gender,man,6,biodiversity,1645.9989388237238,1153
gender,man,7,biodiversity,1797.7072157374125,1273
gender,man,8,biodiversity,1979.3396499729947,1110
gender,man,0,safety,1535.1334563415023,1057
gender,man,1,safety,1381.4971558704415,1330
gender,man,2,safety,1920.554141933858,541
gender,man,3,safety,1421.9141348269864,1293
gender,man,4,safety,1980.8276686390745,1327
gender,man,5,safety,1789.1435583861098,1169
gender,man,6,safety,391.5415676599707,963
gender,man,7,safety,1581.0290424223438,1345
gender,man,8,safety,1340.438395308642,1171
gender,woman,0,living,1133.7322671914696,1214
gender,woman,1,living,1790.1593691458252,1084
gender,woman,2,living,1212.4034710706685,833
gender,woman,3,living,1911.4071183027231,1053
gender,woman,4,living,1953.592828615415,1095
gender,woman,5,living,1932.3957670761397,1060
gender,woman,6,living,1824.189704234339,755
gender,woman,7,living,1425.4056330913202,914
gender,woman,8,living,689.8221771780886,1132
gender,woman,0,biodiversity,1547.5035530823916,935
gender,woman,1,biodiversity,766.206309796013,903
gender,woman,2,biodiversity,2012.8595369453801,1074
gender,woman,3,biodiversity,1203.331659819444,1005
gender,woman,4,biodiversity,1969.2927233048117,799
gender,woman,5,biodiversity,1545.4989111872583,915
gender,woman,6,biodiversity,1579.0796851928126,948
gender,woman,7,biodiversity,1622.3619187959969,1066
gender,woman,8,biodiversity,865.1099922807645,731
gender,woman,0,safety,1580.3445660180123,731
gender,woman,1,safety,1215.6516661843352,979
gender,woman,2,safety,1655.2193968404206,510
gender,woman,3,safety,1849.5299251905153,983
gender,woman,4,safety,1185.523179019625,1112
gender,woman,5,safety,1762.5265407369736,959
gender,woman,6,safety,1477.4244121201757,781
gender,woman,7,safety,2026.333394286023,1034
gender,woman,8,safety,840.1964390767332,863
gender,other,0,living,1546.716379052183,6
gender,other,1,living,1431.0000165689469,14
gender,other,2,living,1465.7936758897686,15
gender,other,3,living,1529.1763846470649,14
gender,other,4,living,1572.0093032131133,14
gender,other,5,living,1498.1600810227685,16
gender,other,6,living,1464.113004373694,17
gender,other,7,living,1485.6467459621852,15
gender,other,8,living,1511.846779399614,13
gender,other,0,biodiversity,1459.4990524546517,13
gender,other,1,biodiversity,1498.1445861134252,10
gender,other,2,biodiversity,1508.6019057005142,13
gender,other,3,biodiversity,1553.2267349134036,15
gender,other,4,biodiversity,1450.2442601253447,12
gender,other,5,biodiversity,1473.7488221909873,12
gender,other,6,biodiversity,1544.9109499052272,18
gender,other,7,biodiversity,1396.677226867978,8
gender,other,8,biodiversity,1584.397639342466,11
gender,other,0,safety,1501.2298878788743,10
gender,other,1,safety,1558.4644984158988,11
gender,other,2,safety,1467.2598697095746,13
gender,other,3,safety,1487.8511768797157,9
gender,other,4,safety,1450.7212260211504,16
gender,other,5,safety,1439.9778332143794,13
gender,other,6,safety,1512.1140568542394,9
gender,other,7,safety,1548.0131712539257,8
gender,other,8,safety,1534.4454354601648,13
age,younger,0,living,1951.3039849894656,795
age,younger,1,living,1163.9489989828348,773
age,younger,2,living,1238.9774486402657,542
age,younger,3,living,1778.1746529787106,698
age,younger,4,living,1488.8976451450824,741
age,younger,5,living,1844.0030351317694,715
age,younger,6,living,1380.4791268130448,574
age,younger,7,living,1298.7300636358655,610
age,younger,8,living,1282.0657901318516,840
age,younger,0,biodiversity,1763.2337664410124,710
age,younger,1,biodiversity,1536.1860295669705,640
age,younger,2,biodiversity,1753.3304033181212,710
age,younger,3,biodiversity,1873.0496467512007,756
age,younger,4,biodiversity,1471.617133571289,559
age,younger,5,biodiversity,1913.7080050877369,671
age,younger,6,biodiversity,1283.889770100897,632
age,younger,7,biodiversity,1148.6219507824178,690
age,younger,8,biodiversity,1662.7746284294456,596
age,younger,0,safety,1744.9864773928039,606
age,younger,1,safety,1592.1541774089844,757
age,younger,2,safety,1811.57615052865,329
age,younger,3,safety,1676.9571059044338,711
age,younger,4,safety,1398.6491200510927,695
age,younger,5,safety,1859.192824778673,622
age,younger,6,safety,905.1534250323514,494
age,younger,7,safety,1238.1748553225575,688
age,younger,8,safety,1340.7323236367718,628
age,middle,0,living,893.6572078720448,1314
age,middle,1,living,1911.354831454822,1123
age,middle,2,living,1699.444907446906,814
age,middle,3,living,1789.2850129970507,1134
age,middle,4,living,1993.3747950262434,1088
age,middle,5,living,1267.7813854039707,1043
age,middle,6,living,1882.2080310042998,713
age,middle,7,living,1733.0649438111116,1020
age,middle,8,living,1230.8228376226737,1175
age,middle,0,biodiversity,1033.719111952598,1065
age,middle,1,biodiversity,970.534104578026,944
age,middle,2,biodiversity,1971.480206457206,1148
age,middle,3,biodiversity,1296.6186693498566,1033
age,middle,4,biodiversity,1919.1440209300217,842
age,middle,5,biodiversity,1321.6311261580477,948
age,middle,6,biodiversity,1521.717554437229,989
age,middle,7,biodiversity,1991.8863019390285,1121
age,middle,8,biodiversity,1119.7591140261277,868
age,middle,0,safety,1103.2272400307477,785
age,middle,1,safety,1210.257361977019,1013
age,middle,2,safety,1790.237263691437,504
age,middle,3,safety,1846.0866171796433,1075
age,middle,4,safety,1719.5663524275826,1146
age,middle,5,safety,1374.568532573829,958
age,middle,6,safety,1814.0593689627246,819
age,middle,7,safety,1952.4628908831069,1131
age,middle,8,safety,1014.5148814795016,935
age,older,0,living,1397.470795738869,607
age,older,1,living,1859.676864149882,574
age,older,2,living,845.6870672362548,393
age,older,3,living,1182.2873052383243,556
age,older,4,living,1547.525141056003,638
age,older,5,living,1420.7488931706944,558
age,older,6,living,1796.4007115056133,325
age,older,7,living,1748.0264959732383,517
age,older,8,living,1676.3012420041077,556
age,older,0,biodiversity,1521.8019989037546,504
age,older,1,biodiversity,1023.7761532575398,489
age,older,2,biodiversity,1629.5508027031262,575
age,older,3,biodiversity,1686.8270575652696,566
age,older,4,biodiversity,1608.7356962368733,464
age,older,5,biodiversity,1662.740992287082,517
age,older,6,biodiversity,1387.4545036575812,487
age,older,7,biodiversity,1719.743710715824,529
age,older,8,biodiversity,1848.944915420406,381
age,older,0,safety,1802.1421059319146,398
age,older,1,safety,1682.9211576530472,541
age,older,2,safety,1724.7229764838708,228
age,older,3,safety,549.1531747545145,485
age,older,4,safety,1698.4132659294962,614
age,older,5,safety,1618.0871324106822,558
age,older,6,safety,689.2178371536259,432
age,older,7,safety,1641.2276274755739,561
age,older,8,safety,1544.7675329853182,475
ethnicity,white,0,living,1852.751455145341,2328
