demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1600.1307329371707,2340
global,global,1,living,182.0004771722991,2285
global,global,2,living,1549.6845110959428,2529
global,global,3,living,2140.2568772195236,1485
global,global,4,living,1962.5694627166413,2151
global,global,5,living,493.3231930449103,1235
global,global,6,living,1414.9948926568472,2632
global,global,7,living,1632.544433487243,2375
global,global,8,living,2091.9212916907304,2332
global,global,0,biodiversity,969.0292827900125,2352
global,global,1,biodiversity,2194.5767458892497,2028
global,global,2,biodiversity,1519.961138696753,2559
global,global,3,biodiversity,1414.0247102329072,2743
global,global,4,biodiversity,2216.8649058097144,1924
global,global,5,biodiversity,745.7081022621094,2952
global,global,6,biodiversity,884.8542942128864,1568
global,global,7,biodiversity,1311.936846827166,2276
global,global,8,biodiversity,1982.253092397871,2480
global,global,0,safety,2283.4012738220385,3096
global,global,1,safety,2035.1728799297182,2535
global,global,2,safety,1904.1148827775241,2418
global,global,3,safety,1157.5632902503453,2385
global,global,4,safety,1360.4575656561021,2475
global,global,5,safety,1779.7196628958673,2747
global,global,6,safety,1575.982953548622,2535
global,global,7,safety,1382.111033278656,2769
global,global,8,safety,2417.028750234804,2094
gender,man,0,living,1605.7689391153385,1189
gender,man,1,living,467.51112309646214,1158
gender,man,2,living,2051.6508832269456,1317
gender,man,3,living,1925.147414950617,787
gender,man,4,living,1724.564975368666,1106
gender,man,5,living,490.7690568284451,631
gender,man,6,living,1305.9095406328788,1419
gender,man,7,living,1865.5589479800617,1223
gender,man,8,living,1229.2916105039385,1214
gender,man,0,biodiversity,-5.210053894160165,1132
gender,man,1,biodiversity,1821.3546313960687,1067
gender,man,2,biodiversity,2001.3639919889908,1321
gender,man,3,biodiversity,1201.6117440991325,1389
gender,man,4,biodiversity,1724.2591827534818,983
gender,man,5,biodiversity,968.6637192292542,1488
gender,man,6,biodiversity,1087.2566177106582,787
gender,man,7,biodiversity,1128.5158011546941,1182
gender,man,8,biodiversity,2036.5014417393772,1257
gender,man,0,safety,1081.542865304331,1555
gender,man,1,safety,1801.6403344704163,1248
gender,man,2,safety,2013.5496645922674,1245
gender,man,3,safety,1639.0119305912776,1331
gender,man,4,safety,1851.6729778444428,1351
gender,man,5,safety,2052.7417391946124,1393
gender,man,6,safety,862.125722126508,1271
gender,man,7,safety,6.6891609005634365,1357
gender,man,8,safety,1539.6403428809272,1023
gender,woman,0,living,1705.9098507497376,938
gender,woman,1,living,1685.3036168878639,918
gender,woman,2,living,1357.463842252757,1007
gender,woman,3,living,1726.5042185445689,627
gender,woman,4,living,1771.7941356029878,803
gender,woman,5,living,1469.2808490258906,555
gender,woman,6,living,1319.2443632050301,1008
gender,woman,7,living,1369.9908361445507,993
gender,woman,8,living,1989.9488959312143,949
gender,woman,0,biodiversity,1713.8191966637467,931
gender,woman,1,biodiversity,1878.9136595549128,835
gender,woman,2,biodiversity,1274.265798106134,977
gender,woman,3,biodiversity,1912.9942090371337,1046
gender,woman,4,biodiversity,1642.4098538631702,822
gender,woman,5,biodiversity,1482.619481552926,1174
gender,woman,6,biodiversity,1533.2942235737632,697
gender,woman,7,biodiversity,1932.813499038643,918
gender,woman,8,biodiversity,1374.3925460848343,986
gender,woman,0,safety,1508.9030300710617,1220
gender,woman,1,safety,1872.0543280112572,973
gender,woman,2,safety,1636.9353585962108,981
gender,woman,3,safety,870.0646740483783,942
gender,woman,4,safety,872.9885175342914,999
gender,woman,5,safety,1602.6670150952489,1153
gender,woman,6,safety,1928.9605458754104,998
gender,woman,7,safety,1957.0462126140105,1116
gender,woman,8,safety,1685.3113688886535,902
gender,other,0,living,1562.3227902041406,11
gender,other,1,living,1512.0458968451396,7
gender,other,2,living,1439.9984709632936,7
gender,other,3,living,1532.9920242382482,13
gender,other,4,living,1501.660754449436,12
gender,other,5,living,1547.9547143892776,12
gender,other,6,living,1452.0412636645938,6
gender,other,7,living,1461.2048964745316,15
gender,other,8,living,1486.9930999965522,13
gender,other,0,biodiversity,1499.2720497039984,14
gender,other,1,biodiversity,1563.0528736973263,13
gender,other,2,biodiversity,1475.5955206418614,14
gender,other,3,biodiversity,1440.8110605977581,9
gender,other,4,biodiversity,1514.1459471280348,11
gender,other,5,biodiversity,1480.959529812991,18
gender,other,6,biodiversity,1536.289432749835,19
gender,other,7,biodiversity,1454.818562998703,12
gender,other,8,biodiversity,1546.1523111016013,14
gender,other,0,safety,1489.6640174094853,17
gender,other,1,safety,1466.9601574771993,13
gender,other,2,safety,1563.613456070987,12
gender,other,3,safety,1559.4427747202244,15
gender,other,4,safety,1510.9638581639542,13
gender,other,5,safety,1390.4241246252789,14
gender,other,6,safety,1523.9908429211337,10
gender,other,7,safety,1439.9482530475473,15
gender,other,8,safety,1532.4731526512928,9
age,younger,0,living,1442.0503502302622,617
age,younger,1,living,919.8710641814904,659
age,younger,2,living,1810.969531868964,721
age,younger,3,living,1777.467528558373,465
age,younger,4,living,1686.1824653000308,603
age,younger,5,living,927.913791922674,370
age,younger,6,living,1458.6541858764874,768
age,younger,7,living,1716.7455307097362,654
age,younger,8,living,1850.960882364312,695
age,younger,0,biodiversity,1459.055430753697,623
age,younger,1,biodiversity,1327.4831734396112,618
age,younger,2,biodiversity,1890.4112177939514,683
age,younger,3,biodiversity,1251.115095826528,729
age,younger,4,biodiversity,1662.3204348159893,523
age,younger,5,biodiversity,1387.0370623400759,831
age,younger,6,biodiversity,1134.8650235688528,431
age,younger,7,biodiversity,1700.1867408844814,660
age,younger,8,biodiversity,1952.770122986078,666
age,younger,0,safety,1884.8306293329956,822
age,younger,1,safety,1841.6017559340737,634
age,younger,2,safety,1537.9491428669498,727
age,younger,3,safety,1757.8300506007092,768
age,younger,4,safety,1150.2381706490532,694
age,younger,5,safety,1656.9805791515894,817
age,younger,6,safety,1277.0361908580512,737
age,younger,7,safety,1223.8975355585667,741
age,younger,8,safety,1857.362273431691,526
age,middle,0,living,1416.81150103393,1009
age,middle,1,living,969.7277189864134,937
age,middle,2,living,801.965161619368,1057
age,middle,3,living,1969.8480979886947,667
age,middle,4,living,1807.9359042468088,828
age,middle,5,living,1136.582728113532,532
age,middle,6,living,1904.4917195304138,1077
age,middle,7,living,1749.6789379449583,1008
age,middle,8,living,1678.8652842361737,1015
age,middle,0,biodiversity,1445.135808784569,973
age,middle,1,biodiversity,1981.9665133017006,897
age,middle,2,biodiversity,1515.0813878499505,1108
age,middle,3,biodiversity,1921.7541620874047,1179
age,middle,4,biodiversity,1836.249788379205,806
age,middle,5,biodiversity,1781.0187999602276,1192
age,middle,6,biodiversity,1297.1568265397489,701
age,middle,7,biodiversity,1686.1254457922976,916
age,middle,8,biodiversity,1593.5335041153226,1082
age,middle,0,safety,660.5411668756366,1310
age,middle,1,safety,1469.376013417945,1061
age,middle,2,safety,1900.3982889812712,1033
age,middle,3,safety,1209.7149119994058,1002
age,middle,4,safety,2026.784738192982,1145
age,middle,5,safety,1845.0313519559909,1140
age,middle,6,safety,1672.7904343444714,987
age,middle,7,safety,1510.9241313016212,1142
age,middle,8,safety,1940.081926013856,944
age,older,0,living,1436.0105045073487,511
age,older,1,living,1465.8291140838332,494
age,older,2,living,1786.6631841915084,551
age,older,3,living,1742.7540894791223,285
age,older,4,living,1583.378872468791,482
age,older,5,living,1695.900797903298,289
age,older,6,living,1330.9480870811096,582
age,older,7,living,1452.0493550628487,562
age,older,8,living,1776.2177814665545,458
age,older,0,biodiversity,1272.918867585276,466
age,older,1,biodiversity,1882.600900051276,397
age,older,2,biodiversity,1470.933039974188,520
age,older,3,biodiversity,1630.1454938994632,527
age,older,4,biodiversity,1390.2608264767853,489
age,older,5,biodiversity,1323.464958415131,650
age,older,6,biodiversity,1739.8042938296855,360
age,older,7,biodiversity,1503.027772068818,526
age,older,8,biodiversity,1652.4586657906564,507
age,older,0,safety,1573.1497722719353,651
age,older,1,safety,1887.7618072421183,526
age,older,2,safety,1860.666337766583,467
age,older,3,safety,1410.5376518369687,512
age,older,4,safety,873.1708290706422,517
age,older,5,safety,1458.8196931839313,595
age,older,6,safety,1654.8338669634886,546
age,older,7,safety,1395.1893987710123,598
age,older,8,safety,1045.3728789752686,460
ethnicity,white,0,living,1564.6544814372976,1850
ethnicity,white,1,living,1342.0828149410897,1773
ethnicity,white,2,living,1654.4447945534553,2001
ethnicity,white,3,living,2079.047168218334,1179
ethnicity,white,4,living,2003.0299600511612,1629
ethnicity,white,5,living,740.8775309603254,987
ethnicity,white,6,living,1695.2968986761286,2107
ethnicity,white,7,living,1805.9711942162053,1940
ethnicity,white,8,living,2138.356943403865,1822
ethnicity,white,0,biodiversity,367.47394048039956,1763
ethnicity,white,1,biodiversity,2195.1346063946075,1636
ethnicity,white,2,biodiversity,1410.6386292310167,1982
ethnicity,white,3,biodiversity,1713.4567790071228,2118
ethnicity,white,4,biodiversity,2072.570339964364,1571
ethnicity,white,5,biodiversity,1037.5225398458806,2359
ethnicity,white,6,biodiversity,1338.8208003979098,1314
ethnicity,white,7,biodiversity,1168.443423907188,1812
ethnicity,white,8,biodiversity,1980.4092608698106,1989
ethnicity,white,0,safety,1499.5080790940046,2436
