demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1124.898853397346,2246
global,global,1,living,2162.8823986298958,1787
global,global,2,living,2079.451568434808,2674
global,global,3,living,1545.8656470876065,2494
global,global,4,living,1626.5355036112658,2401
global,global,5,living,725.5825163435563,2172
global,global,6,living,543.8407719232619,2312
global,global,7,living,1755.9834688549527,2534
global,global,8,living,2334.6308588293323,2662
global,global,0,biodiversity,2133.2398956340885,1891
global,global,1,biodiversity,2016.940262910822,2298
global,global,2,biodiversity,643.6519224838253,2324
global,global,3,biodiversity,72.79586230493081,1598
global,global,4,biodiversity,2260.1916027416178,2527
global,global,5,biodiversity,1917.2529387632474,2822
global,global,6,biodiversity,1234.6968671996942,2505
global,global,7,biodiversity,1824.8863641001346,2040
global,global,8,biodiversity,1342.985941602052,2817
global,global,0,safety,2265.6828397968516,2110
global,global,1,safety,866.6071241284575,2321
global,global,2,safety,2099.9527151012458,2890
global,global,3,safety,2171.9133192831305,2170
global,global,4,safety,1542.9263118293238,2270
global,global,5,safety,940.3558235438162,2381
global,global,6,safety,1868.4244421099731,2394
global,global,7,safety,735.9817674401099,2267
global,global,8,safety,1684.9475580917192,2393
gender,man,0,living,951.7786445587598,1177
gender,man,1,living,1216.0867988139098,953
gender,man,2,living,1735.8937682501175,1273
gender,man,3,living,1951.4869212073113,1242
gender,man,4,living,551.9108779008372,1262
gender,man,5,living,642.58814413336,1104
gender,man,6,living,711.5591945546137,1242
gender,man,7,living,1759.5224797327817,1270
gender,man,8,living,2019.1946457026954,1357
gender,man,0,biodiversity,1943.3638164618146,964
gender,man,1,biodiversity,1365.7180721826057,1150
gender,man,2,biodiversity,1285.7392128580382,1200
gender,man,3,biodiversity,1784.221910502577,834
gender,man,4,biodiversity,1405.7890397812612,1319
gender,man,5,biodiversity,1757.1396664803613,1478
gender,man,6,biodiversity,2047.616146052695,1324
gender,man,7,biodiversity,1735.5085709676357,981
gender,man,8,biodiversity,797.3488174620488,1428
gender,man,0,safety,1953.6355902523756,1059
gender,man,1,safety,1781.771174105359,1171
gender,man,2,safety,1273.0036092254704,1472
gender,man,3,safety,2011.8028857462648,1101
gender,man,4,safety,1078.67032664486,1130
gender,man,5,safety,1699.5380931571278,1236
gender,man,6,safety,1380.5722609239551,1205
gender,man,7,safety,1646.7564840591788,1209
gender,man,8,safety,1624.6810669583479,1283
gender,woman,0,living,1274.9907684532666,915
gender,woman,1,living,1863.643965824797,686
gender,woman,2,living,1331.7188993889247,1125
gender,woman,3,living,1073.87032518995,961
gender,woman,4,living,1923.181403857862,884
gender,woman,5,living,1213.6742609906144,862
gender,woman,6,living,1445.1657151678965,999
gender,woman,7,living,611.0312332354298,948
gender,woman,8,living,1482.2893312666756,1088
gender,woman,0,biodiversity,1931.4310407329308,786
gender,woman,1,biodiversity,1979.47458250767,929
gender,woman,2,biodiversity,660.3087933113903,953
gender,woman,3,biodiversity,271.951211009616,693
gender,woman,4,biodiversity,1363.0531311529728,971
gender,woman,5,biodiversity,1853.9893997163374,1097
gender,woman,6,biodiversity,1191.3635087440643,997
gender,woman,7,biodiversity,1693.8591688422741,887
gender,woman,8,biodiversity,1767.750752663133,1183
gender,woman,0,safety,1695.833242036009,947
gender,woman,1,safety,1132.2887720917154,986
gender,woman,2,safety,2063.9693536061936,1134
gender,woman,3,safety,1285.6929029212176,840
gender,woman,4,safety,1627.7347512579622,899
gender,woman,5,safety,1400.690527384413,939
gender,woman,6,safety,1906.7192673594902,957
gender,woman,7,safety,880.2578525027693,849
gender,woman,8,safety,1498.0037738212952,953
gender,other,0,living,1476.8740154974646,12
gender,other,1,living,1524.0093696755205,8
gender,other,2,living,1511.9424856783423,11
gender,other,3,living,1429.9164073075428,12
gender,other,4,living,1498.1106199180695,12
gender,other,5,living,1451.6123755811514,14
gender,other,6,living,1545.7019718672605,10
gender,other,7,living,1487.4576492884864,13
gender,other,8,living,1570.3414660037467,10
gender,other,0,biodiversity,1563.1106084931503,13
gender,other,1,biodiversity,1475.1517702478302,8
gender,other,2,biodiversity,1536.3425236282985,25
gender,other,3,biodiversity,1547.5593053823557,8
gender,other,4,biodiversity,1504.6227461881454,18
gender,other,5,biodiversity,1487.2587165486107,19
gender,other,6,biodiversity,1428.5125744361703,16
gender,other,7,biodiversity,1516.5877450936403,21
gender,other,8,biodiversity,1454.510458356071,16
gender,other,0,safety,1477.2793515696405,14
gender,other,1,safety,1512.79512409458,11
gender,other,2,safety,1524.0248632571347,6
gender,other,3,safety,1547.6651446929843,8
gender,other,4,safety,1559.6522923040936,13
gender,other,5,safety,1439.988443405266,5
gender,other,6,safety,1476.011170770341,8
gender,other,7,safety,1464.3230411968782,15
gender,other,8,safety,1500.0545301306472,12
age,younger,0,living,1350.9059858982741,675
age,younger,1,living,1661.599561419979,549
age,younger,2,living,1845.5223127655556,732
age,younger,3,living,1483.6340128963213,683
age,younger,4,living,1289.4780670606592,680
age,younger,5,living,1130.6248238750645,560
age,younger,6,living,1548.359405442311,704
age,younger,7,living,1807.158713759115,707
age,younger,8,living,1914.815069660542,700
