demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,2070.548607708633,2027
global,global,1,living,1935.2530236149473,2056
global,global,2,living,2245.263942121633,1604
global,global,3,living,933.9195125974709,2099
global,global,4,living,1219.904396745359,1944
global,global,5,living,2160.2314055839342,2339
global,global,6,living,789.7426282297505,2095
global,global,7,living,1403.6839494725552,2127
global,global,8,living,1264.85250876794,2543
global,global,0,biodiversity,1650.0625493251537,2058
global,global,1,biodiversity,2212.6595180656473,2139
global,global,2,biodiversity,1554.491663719104,1964
global,global,3,biodiversity,1722.5123083283079,2520
global,global,4,biodiversity,640.2003266261187,1085
global,global,5,biodiversity,868.7795714564782,1650
global,global,6,biodiversity,2084.382851145582,2136
global,global,7,biodiversity,1926.9316616991941,1275
global,global,8,biodiversity,1163.7446558493596,1893
global,global,0,safety,997.0428568382904,3024
global,global,1,safety,1898.445771230661,3505
global,global,2,safety,2468.7410978492835,2294
global,global,3,safety,1818.4864273092853,3436
global,global,4,safety,2208.210238427071,3438
global,global,5,safety,2387.4983088703493,3011
global,global,6,safety,1433.17716324328,3687
global,global,7,safety,1459.0559907685524,2147
global,global,8,safety,2172.8837179232464,3204
gender,man,0,living,1981.8976334886986,1068
gender,man,1,living,1949.868044631839,1010
gender,man,2,living,1914.750737073095,792
gender,man,3,living,1526.312201662394,1084
gender,man,4,living,967.6695370441331,967
gender,man,5,living,985.291853988298,1195
gender,man,6,living,1452.0921841836596,1055
gender,man,7,living,1344.4034839291546,1082
gender,man,8,living,1048.6943511537552,1247
gender,man,0,biodiversity,1144.9564875238177,1085
gender,man,1,biodiversity,2004.112300432711,1103
gender,man,2,biodiversity,1498.385799568859,999
gender,man,3,biodiversity,1642.0694629038433,1274
gender,man,4,biodiversity,1508.2984903384759,610
gender,man,5,biodiversity,1616.1803715102374,900
gender,man,6,biodiversity,1830.1990607196158,1134
gender,man,7,biodiversity,1935.7255183751936,683
gender,man,8,biodiversity,1283.0856522980807,1012
gender,man,0,safety,1935.6412475541642,1669
gender,man,1,safety,2105.3405671681585,1795
gender,man,2,safety,2001.9515400626678,1205
