demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1650.9574342552594,2776
global,global,1,living,1852.978689239021,3176
global,global,2,living,1846.8926276817526,2929
global,global,3,living,1224.6598950582356,2912
global,global,4,living,2238.6099311052676,2686
global,global,5,living,2418.0878534218245,2706
global,global,6,living,628.9655375349362,2102
global,global,7,living,1956.027903376444,3119
global,global,8,living,2368.145299048726,2130
global,global,0,biodiversity,1326.3874609098243,2085
global,global,1,biodiversity,1188.0478784663062,2277
global,global,2,biodiversity,643.3834257954281,2134
global,global,3,biodiversity,2236.8651888620157,1781
global,global,4,biodiversity,1596.620419558243,1761
global,global,5,biodiversity,1457.6661697701338,2500
global,global,6,biodiversity,2006.979285865664,1663
global,global,7,biodiversity,560.790871702954,1872
global,global,8,biodiversity,1128.0867693226967,2207
global,global,0,safety,1114.4917839698,2304
global,global,1,safety,1294.8096791873497,2550
global,global,2,safety,1664.1259176897356,2292
global,global,3,safety,2285.0508609435665,2399
global,global,4,safety,1483.6699518742537,2401
global,global,5,safety,1201.6865423146403,2093
global,global,6,safety,2004.7706747816794,2362
global,global,7,safety,-815.59273964731,1806
global,global,8,safety,2171.2094346072854,2277
gender,man,0,living,1916.4221988187346,1421
gender,man,1,living,1227.9150855594867,1601
gender,man,2,living,1997.1376612842625,1488
gender,man,3,living,1441.0110268097558,1455
gender,man,4,living,1199.2742805495686,1320
gender,man,5,living,1560.484883674047,1319
gender,man,6,living,1290.1559139405852,1132
gender,man,7,living,1835.0789370674777,1588
gender,man,8,living,2033.8758407791654,1022
gender,man,0,biodiversity,1870.3557641549498,1038
gender,man,1,biodiversity,1465.7906721053976,1194
gender,man,2,biodiversity,1298.8407757827206,1143
gender,man,3,biodiversity,1807.9355123725866,944
gender,man,4,biodiversity,1828.739286820306,917
gender,man,5,biodiversity,1653.6803870142544,1298
gender,man,6,biodiversity,1979.8491314757403,826
gender,man,7,biodiversity,1254.475082907312,980
gender,man,8,biodiversity,1407.3500187432442,1124
gender,man,0,safety,1295.9055778646048,1244
gender,man,1,safety,1515.1603858274175,1344
gender,man,2,safety,1862.6796378442791,1248
gender,man,3,safety,1339.2046886610046,1251
gender,man,4,safety,924.8045860805107,1174
gender,man,5,safety,1609.24054308262,1043
gender,man,6,safety,1941.0713251368802,1230
gender,man,7,safety,-186.3836661203721,932
gender,man,8,safety,2062.296019211416,1148
gender,woman,0,living,1447.4475010538208,1104
gender,woman,1,living,1738.5332301596397,1280
gender,woman,2,living,473.3769513704194,1170
gender,woman,3,living,1772.3399757913667,1216
gender,woman,4,living,2095.673670471552,1038
gender,woman,5,living,1554.2311668575746,1140
gender,woman,6,living,1351.150694811584,900
gender,woman,7,living,1678.2095421506344,1225
gender,woman,8,living,1699.6881240947355,877
gender,woman,0,biodiversity,679.857889830339,897
gender,woman,1,biodiversity,1497.2132054830759,937
gender,woman,2,biodiversity,1056.1250332006782,829
gender,woman,3,biodiversity,1949.5190103237596,675
gender,woman,4,biodiversity,1761.1397134344486,739
gender,woman,5,biodiversity,1671.0406732855595,989
gender,woman,6,biodiversity,1850.6925184868617,679
gender,woman,7,biodiversity,823.4849070949733,756
gender,woman,8,biodiversity,1403.3461798606893,923
gender,woman,0,safety,1904.8217740227808,830
gender,woman,1,safety,1733.719752889731,1057
gender,woman,2,safety,574.2675537744167,880
gender,woman,3,safety,1934.7393867654891,936
gender,woman,4,safety,1874.2321471713983,966
gender,woman,5,safety,1617.2881745376485,843
gender,woman,6,safety,1297.8790771368629,935
gender,woman,7,safety,966.4599251223008,721
gender,woman,8,safety,1082.2331983201138,926
gender,other,0,living,1489.1153776811145,7
gender,other,1,living,1524.0128279223984,8
gender,other,2,living,1570.265681424514,8
gender,other,3,living,1524.4138095207702,12
gender,other,4,living,1421.6144227254836,12
gender,other,5,living,1543.8708858919724,12
gender,other,6,living,1487.1846235980981,11
gender,other,7,living,1451.8191505294276,12
gender,other,8,living,1477.2086841242726,12
gender,other,0,biodiversity,1479.7238936845015,16
gender,other,1,biodiversity,1512.0324644969319,21
gender,other,2,biodiversity,1559.5998773650315,9
gender,other,3,biodiversity,1500.5751280413976,14
gender,other,4,biodiversity,1551.5872880076272,12
gender,other,5,biodiversity,1490.953820796945,11
gender,other,6,biodiversity,1523.9694628465822,20
gender,other,7,biodiversity,1455.9702186959805,16
gender,other,8,biodiversity,1443.4498786385213,15
gender,other,0,safety,1503.2910372317779,14
gender,other,1,safety,1477.8893264980443,18
gender,other,2,safety,1536.413839875466,11
gender,other,3,safety,1524.0214697398621,10
gender,other,4,safety,1528.2382672007723,18
gender,other,5,safety,1465.6013492327077,11
gender,other,6,safety,1439.9451342051489,9
gender,other,7,safety,1489.0714224639717,11
gender,other,8,safety,1550.4203402193446,8
age,younger,0,living,1078.3948881513577,782
age,younger,1,living,1740.3147958890224,921
age,younger,2,living,1542.4433489325036,780
age,younger,3,living,1751.7554753715654,810
age,younger,4,living,1347.1189384508575,727
age,younger,5,living,1376.9380667924747,754
age,younger,6,living,1228.3064899966073,574
age,younger,7,living,1658.0448351773666,819
age,younger,8,living,1936.7039531046335,543
age,younger,0,biodiversity,1533.0426268791468,602
age,younger,1,biodiversity,1554.6940004347257,606
age,younger,2,biodiversity,1116.298340445852,656
age,younger,3,biodiversity,1415.500969435323,544
age,younger,4,biodiversity,1830.4718635535082,488
age,younger,5,biodiversity,1920.8809459675394,716
age,younger,6,biodiversity,1732.726387579062,461
age,younger,7,biodiversity,1342.891811062506,577
age,younger,8,biodiversity,1393.7471094512653,650
age,younger,0,safety,1306.686958170745,669
age,younger,1,safety,1607.8573126406432,764
age,younger,2,safety,1766.4140688733517,615
age,younger,3,safety,1909.5351449941943,673
age,younger,4,safety,1422.8038763157417,657
age,younger,5,safety,1795.60592227675,582
age,younger,6,safety,1109.2948720416255,670
age,younger,7,safety,688.3627061952195,499
age,younger,8,safety,1695.542828629032,643
age,middle,0,living,1639.4859509520084,1167
age,middle,1,living,981.1065532727436,1361
age,middle,2,living,1822.211933057215,1254
age,middle,3,living,1003.9472539318434,1248
age,middle,4,living,1964.8343071037848,1120
age,middle,5,living,2031.0820585904105,1187
age,middle,6,living,1205.4788240318906,945
age,middle,7,living,1937.4617323313316,1331
age,middle,8,living,887.268019710739,893
age,middle,0,biodiversity,1611.4307646793127,875
age,middle,1,biodiversity,1355.1339848605735,994
age,middle,2,biodiversity,906.495802929316,827
age,middle,3,biodiversity,1934.1487751679476,714
age,middle,4,biodiversity,1627.1157452443288,807
age,middle,5,biodiversity,1805.8240335323533,1027
age,middle,6,biodiversity,1825.179439469612,699
age,middle,7,biodiversity,1285.575569398542,813
age,middle,8,biodiversity,1750.2683444126726,924
age,middle,0,safety,1967.1521946265839,950
age,middle,1,safety,1620.1417946122474,1074
age,middle,2,safety,1746.0826906127477,987
age,middle,3,safety,1882.8452182520944,976
age,middle,4,safety,1859.0669232429277,987
age,middle,5,safety,1534.092510901759,851
age,middle,6,safety,1824.064738805139,1001
age,middle,7,safety,803.3649368075337,779
age,middle,8,safety,1258.4484728382326,957
age,older,0,living,1613.6213540883202,576
age,older,1,living,1153.3124188215093,598
age,older,2,living,1483.8721097705668,620
age,older,3,living,1512.7723064965603,621
age,older,4,living,1849.4628900768525,510
age,older,5,living,1363.5092055323657,517
