demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1616.426255346688,2132
global,global,1,living,2114.5322927042366,1131
global,global,2,living,1681.9750696945528,1884
global,global,3,living,972.1631210122968,2207
global,global,4,living,-11.030142866833707,1571
global,global,5,living,1287.0582485149237,2070
global,global,6,living,1121.2948483627429,2065
global,global,7,living,1817.187964628008,1759
global,global,8,living,1896.7837584286588,1955
global,global,0,biodiversity,1458.4214453060351,2239
global,global,1,biodiversity,1653.3349676790117,2295
global,global,2,biodiversity,2027.359713196009,1837
global,global,3,biodiversity,1879.2300309275129,2374
global,global,4,biodiversity,2080.1946466487852,2541
global,global,5,biodiversity,836.9792092607797,2877
global,global,6,biodiversity,1494.6886850867331,2771
global,global,7,biodiversity,2138.059971767295,1400
global,global,8,biodiversity,985.4251569101312,2458
global,global,0,safety,2088.8020455181177,3078
global,global,1,safety,2503.181292172064,2610
global,global,2,safety,2109.582171886847,2800
global,global,3,safety,2392.2379497559778,3220
global,global,4,safety,1997.1358641910283,3213
global,global,5,safety,2243.8520078616,2954
global,global,6,safety,1878.8932384606562,3109
global,global,7,safety,374.11427052543667,1366
global,global,8,safety,1947.240194296726,3384
gender,man,0,living,1650.9255908648915,1063
gender,man,1,living,1950.5263117623201,603
gender,man,2,living,1550.676517542981,973
gender,man,3,living,1135.8824263282243,1079
gender,man,4,living,925.7150465224865,772
gender,man,5,living,985.1205959715335,1049
gender,man,6,living,560.1666756278447,1089
gender,man,7,living,1710.8598087334167,918
gender,man,8,living,1846.5913081125238,902
gender,man,0,biodiversity,1535.0316960898133,1145
gender,man,1,biodiversity,1256.6995803304937,1252
gender,man,2,biodiversity,1864.856455332218,941
gender,man,3,biodiversity,1681.3406311596202,1209
gender,man,4,biodiversity,1768.2927324032828,1305
gender,man,5,biodiversity,1063.1457707963175,1476
gender,man,6,biodiversity,1984.7720530805962,1410
gender,man,7,biodiversity,1944.142980831836,788
gender,man,8,biodiversity,1734.1838539844296,1220
gender,man,0,safety,2078.340169000709,1629
gender,man,1,safety,1743.5827379872756,1370
gender,man,2,safety,1903.5558890345503,1404
gender,man,3,safety,2030.3884360842687,1608
gender,man,4,safety,1332.6913194335823,1611
gender,man,5,safety,1943.626847362201,1489
gender,man,6,safety,1418.0550025771472,1610
gender,man,7,safety,426.3228413256209,780
gender,man,8,safety,817.5358291322095,1729
gender,woman,0,living,1332.1154555212881,875
gender,woman,1,living,1786.504702838291,473
gender,woman,2,living,1859.4701357812914,725
gender,woman,3,living,1532.0971387207514,899
gender,woman,4,living,928.5121676646826,719
gender,woman,5,living,1413.1139450051926,751
gender,woman,6,living,1745.5382443918609,777
gender,woman,7,living,1884.1157158914664,672
gender,woman,8,living,835.0558359583052,899
gender,woman,0,biodiversity,1018.5254862404399,864
gender,woman,1,biodiversity,1749.3225392593627,969
gender,woman,2,biodiversity,1921.9485016133567,691
gender,woman,3,biodiversity,1219.453886170352,948
gender,woman,4,biodiversity,1840.2820335544131,1005
gender,woman,5,biodiversity,1361.7796409615805,1168
gender,woman,6,biodiversity,1504.1542146218528,1118
gender,woman,7,biodiversity,1717.2627139664542,541
gender,woman,8,biodiversity,519.5075354206806,1012
gender,woman,0,safety,756.0437809045482,1197
gender,woman,1,safety,1977.6271009718414,1029
gender,woman,2,safety,1305.5479892579297,1075
gender,woman,3,safety,1660.1551973471132,1350
gender,woman,4,safety,1450.8153913897524,1277
gender,woman,5,safety,1930.471266232983,1145
gender,woman,6,safety,1856.8739568315998,1335
gender,woman,7,safety,1715.0365520011956,560
gender,woman,8,safety,1893.7730492792086,1394
gender,other,0,living,1475.1466300579043,10
gender,other,1,living,1511.9892603673175,11
gender,other,2,living,1486.5657243943756,15
gender,other,3,living,1449.9342221246018,10
gender,other,4,living,1488.0398019799234,9
gender,other,5,living,1571.0346155957882,8
gender,other,6,living,1532.6692511107028,13
gender,other,7,living,1546.369013480241,8
gender,other,8,living,1426.8211381810092,8
gender,other,0,biodiversity,1499.7267882526944,8
gender,other,1,biodiversity,1439.2309212280384,9
gender,other,2,biodiversity,1559.585699413623,5
gender,other,3,biodiversity,1547.5569417920462,8
gender,other,4,biodiversity,1487.1832684022556,15
gender,other,5,biodiversity,1474.409506536373,10
gender,other,6,biodiversity,1425.9475359803303,10
gender,other,7,biodiversity,1521.9657207067632,14
gender,other,8,biodiversity,1534.0422953134423,15
gender,other,0,safety,1477.4664845588538,20
gender,other,1,safety,1428.52852209717,16
gender,other,2,safety,1556.7563394306662,11
gender,other,3,safety,1535.8499453475952,9
gender,other,4,safety,1461.4458141563177,15
gender,other,5,safety,1497.7440064108443,22
gender,other,6,safety,1515.5316320898164,21
gender,other,7,safety,1579.8821384605826,15
gender,other,8,safety,1445.6197817481711,23
age,younger,0,living,1147.472530050116,542
age,younger,1,living,1662.8391464903116,351
age,younger,2,living,1765.0749275470866,521
age,younger,3,living,1065.471296312124,595
age,younger,4,living,1296.6321560953954,454
age,younger,5,living,1732.0873989007928,604
age,younger,6,living,1589.7752478764346,591
age,younger,7,living,1623.0332517237337,509
age,younger,8,living,1852.4108959205605,495
age,younger,0,biodiversity,1722.298851077043,652
age,younger,1,biodiversity,1176.1952293837985,628
age,younger,2,biodiversity,1921.907810913221,525
age,younger,3,biodiversity,1457.3337285166967,672
age,younger,4,biodiversity,1817.0104680409445,654
age,younger,5,biodiversity,897.2934678767714,806
age,younger,6,biodiversity,1418.0166447791203,801
age,younger,7,biodiversity,1509.6656981882404,483
age,younger,8,biodiversity,818.1507511679602,637
age,younger,0,safety,1722.5112406578187,925
age,younger,1,safety,1592.2005298503664,769
age,younger,2,safety,1767.2563131750987,805
age,younger,3,safety,1353.917749641286,846
age,younger,4,safety,1483.8605626998292,882
age,younger,5,safety,1861.4167032066016,736
age,younger,6,safety,1719.1697527131234,833
age,younger,7,safety,1903.8014555608445,509
age,younger,8,safety,213.41584300342473,957
age,middle,0,living,1358.9668087465154,993
age,middle,1,living,1935.959430584695,465
age,middle,2,living,1686.4229082904424,769
age,middle,3,living,1578.8815833792562,903
age,middle,4,living,219.1380793325098,666
age,middle,5,living,1424.4661673891067,852
age,middle,6,living,869.1376100464526,828
age,middle,7,living,1867.7069543347895,732
age,middle,8,living,1445.552725690308,840
age,middle,0,biodiversity,690.5298917174542,877
age,middle,1,biodiversity,1755.193478483179,1029
age,middle,2,biodiversity,1960.8109169654756,717
age,middle,3,biodiversity,1554.8721311610936,1014
age,middle,4,biodiversity,1435.5288511925025,1078
age,middle,5,biodiversity,1348.5262509659797,1252
age,middle,6,biodiversity,1237.1647815964106,1138
age,middle,7,biodiversity,1864.0472764872725,576
age,middle,8,biodiversity,1209.6915423177227,1047
age,middle,0,safety,1902.3909167073612,1284
age,middle,1,safety,1691.2792305109335,1072
age,middle,2,safety,1065.5226900974417,1146
age,middle,3,safety,2015.3747906873505,1403
age,middle,4,safety,1522.5289493018145,1310
age,middle,5,safety,925.3215875547778,1277
age,middle,6,safety,1605.3451824747258,1425
age,middle,7,safety,783.796741327041,534
age,middle,8,safety,2102.393926652671,1521
age,older,0,living,1847.6967978641048,414
age,older,1,living,1687.5404411771658,270
age,older,2,living,1765.9551693042258,416
age,older,3,living,1568.5483557783953,487
age,older,4,living,1362.2877225665172,377
age,older,5,living,822.5492700734947,343
age,older,6,living,1297.8374489618323,455
age,older,7,living,1496.7585322525701,355
age,older,8,living,1049.346557880308,475
age,older,0,biodiversity,1208.6373447117617,483
age,older,1,biodiversity,1679.438042056976,566
age,older,2,biodiversity,1420.06084305431,400
age,older,3,biodiversity,1362.4547764915724,473
age,older,4,biodiversity,1822.1308384923527,586
age,older,5,biodiversity,1636.6047275993203,593
age,older,6,biodiversity,1803.4420094133268,586
age,older,7,biodiversity,1750.9306828241265,284
age,older,8,biodiversity,1575.3066972167135,559
age,older,0,safety,896.0741025305825,629
age,older,1,safety,1878.533016812512,562
age,older,2,safety,1527.8563222878647,526
age,older,3,safety,1762.4756833949957,695
age,older,4,safety,835.9648875945065,705
age,older,5,safety,1469.9266615139384,622
age,older,6,safety,1565.686322334853,700
age,older,7,safety,873.6948567834469,308
age,older,8,safety,1832.8659095401167,659
ethnicity,white,0,living,1658.5825905007664,1688
ethnicity,white,1,living,2087.032695052054,950
ethnicity,white,2,living,1888.4282227782305,1466
ethnicity,white,3,living,1362.3816676809556,1709
ethnicity,white,4,living,559.1986767262239,1323
ethnicity,white,5,living,1234.0834902772776,1553
ethnicity,white,6,living,985.7969694034554,1646
ethnicity,white,7,living,1932.344379844439,1418
ethnicity,white,8,living,1548.6129661030438,1559
ethnicity,white,0,biodiversity,938.3222764182575,1698
ethnicity,white,1,biodiversity,1589.4455206384391,1924
ethnicity,white,2,biodiversity,2067.134863562917,1406
ethnicity,white,3,biodiversity,1321.849126910304,1846
ethnicity,white,4,biodiversity,1642.6269025418928,1993
ethnicity,white,5,biodiversity,1389.2919454124387,2287
ethnicity,white,6,biodiversity,1728.453439778103,2220
ethnicity,white,7,biodiversity,1969.6914899916608,1115
ethnicity,white,8,biodiversity,-93.28504829420247,1921
ethnicity,white,0,safety,1702.9716057448293,2510
ethnicity,white,1,safety,2104.262367760847,2101
ethnicity,white,2,safety,2281.4940331716734,2102
ethnicity,white,3,safety,2080.1462098095103,2565
ethnicity,white,4,safety,1107.9305694076295,2479
ethnicity,white,5,safety,1930.7994578711612,2224
ethnicity,white,6,safety,1521.7432697156678,2592
ethnicity,white,7,safety,723.4527051325824,1166
ethnicity,white,8,safety,1208.726374582363,2699
ethnicity,other,0,living,1405.5940505859492,179
ethnicity,other,1,living,1639.0332858331185,91
ethnicity,other,2,living,1495.3679712045296,168
ethnicity,other,3,living,1596.3364838131276,187
ethnicity,other,4,living,1108.035835210372,119
ethnicity,other,5,living,1446.6469877934678,185
ethnicity,other,6,living,1558.3538745987642,162
ethnicity,other,7,living,1718.6802536106286,117
ethnicity,other,8,living,1513.4901807637896,176
ethnicity,other,0,biodiversity,1731.8068070590557,230
ethnicity,other,1,biodiversity,1257.1009580061402,217
ethnicity,other,2,biodiversity,1585.26902895871,171
ethnicity,other,3,biodiversity,1529.7356166744717,222
ethnicity,other,4,biodiversity,1712.3160042134089,242
ethnicity,other,5,biodiversity,1391.1198604402584,262
ethnicity,other,6,biodiversity,1311.1745288387563,218
ethnicity,other,7,biodiversity,1637.6518353921774,161
ethnicity,other,8,biodiversity,1421.4130206769598,231
ethnicity,other,0,safety,1511.1554997485848,224
ethnicity,other,1,safety,1709.8061828069897,219
ethnicity,other,2,safety,1576.5926401688955,274
ethnicity,other,3,safety,1545.8369789048825,273
ethnicity,other,4,safety,1404.1267958288051,303
ethnicity,other,5,safety,1627.3591958039453,312
ethnicity,other,6,safety,1669.1364557129089,268
ethnicity,other,7,safety,1332.3539957334203,135
ethnicity,other,8,safety,1687.1014174708896,334
education,sixteen,0,living,1220.9487765406416,109
education,sixteen,1,living,1700.2019444149707,103
education,sixteen,2,living,1639.0145900795235,112
education,sixteen,3,living,1599.0039607250555,118
education,sixteen,4,living,1566.3541269825446,116
education,sixteen,5,living,1459.3651936148462,113
education,sixteen,6,living,1027.958147213639,125
education,sixteen,7,living,1535.437934789718,114
education,sixteen,8,living,1360.4220809474134,112
education,sixteen,0,biodiversity,1542.3393091033608,131
education,sixteen,1,biodiversity,1672.0027258575,176
education,sixteen,2,biodiversity,1392.717985553004,131
education,sixteen,3,biodiversity,1453.4060494803389,165
education,sixteen,4,biodiversity,1191.2256636391078,181
education,sixteen,5,biodiversity,1627.5484827169466,176
education,sixteen,6,biodiversity,1452.209948438296,189
education,sixteen,7,biodiversity,1710.5822440325119,90
education,sixteen,8,biodiversity,1328.3583176075863,169
education,sixteen,0,safety,1457.1167292601424,213
education,sixteen,1,safety,1594.520174673279,188
education,sixteen,2,safety,1656.7840729179507,122
education,sixteen,3,safety,1632.8220309003489,188
education,sixteen,4,safety,1182.9967455266112,155
education,sixteen,5,safety,1545.8175669290088,204
education,sixteen,6,safety,1718.161992157858,196
education,sixteen,7,safety,1281.6042775070991,126
education,sixteen,8,safety,1359.9608995805547,250
education,eighteen,0,living,1696.9704568090683,363
education,eighteen,1,living,1620.9269956213095,185
