demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1761.4756116843364,2424
global,global,1,living,268.41335132605764,1748
global,global,2,living,575.1260374241148,2082
global,global,3,living,1574.4555549016854,2811
global,global,4,living,2327.0995851774596,2726
global,global,5,living,876.6103481859396,2306
global,global,6,living,2073.0148538298117,2250
global,global,7,living,2224.366377112174,2908
global,global,8,living,1245.0974010251757,2401
global,global,0,biodiversity,2127.794444797044,2380
global,global,1,biodiversity,2013.8285943112533,2891
global,global,2,biodiversity,2412.1721019705365,2960
global,global,3,biodiversity,2174.7501151527686,2514
global,global,4,biodiversity,2243.4108625212248,3063
global,global,5,biodiversity,2307.0031637068673,2553
global,global,6,biodiversity,408.3006610924413,1468
global,global,7,biodiversity,1540.33530894759,2773
global,global,8,biodiversity,706.9538914136979,2966
global,global,0,safety,1008.4016535347389,1823
global,global,1,safety,1107.1169104738337,2220
global,global,2,safety,1447.1327846135077,1861
global,global,3,safety,921.0058036438402,2462
global,global,4,safety,1795.123025951192,2273
global,global,5,safety,2271.0071805483803,1304
global,global,6,safety,1746.0259760924896,2007
global,global,7,safety,2178.691786021904,2345
global,global,8,safety,209.65293850846143,1781
gender,man,0,living,1973.0153876473946,1239
gender,man,1,living,176.7184837248328,860
gender,man,2,living,524.5430113235841,1120
gender,man,3,living,1646.9646385800643,1438
gender,man,4,living,2018.536382986093,1412
gender,man,5,living,1322.730075359282,1178
gender,man,6,living,1702.6772545623144,1190
gender,man,7,living,2149.633800208745,1457
gender,man,8,living,1547.7339239989642,1236
gender,man,0,biodiversity,1757.0771595022504,1239
gender,man,1,biodiversity,1945.5955436559482,1392
gender,man,2,biodiversity,2142.3808465996017,1505
gender,man,3,biodiversity,1719.7150925663416,1247
gender,man,4,biodiversity,753.6329298202763,1528
gender,man,5,biodiversity,1477.3123568766612,1264
gender,man,6,biodiversity,1620.1164262943573,820
gender,man,7,biodiversity,1690.4911653732977,1459
gender,man,8,biodiversity,846.7756616020268,1542
gender,man,0,safety,711.5493191536702,957
gender,man,1,safety,1535.0091738010847,1100
gender,man,2,safety,1586.1225656092588,970
gender,man,3,safety,1257.4066567256527,1279
gender,man,4,safety,1960.0628861316686,1115
gender,man,5,safety,1921.2454858365918,706
gender,man,6,safety,56.81017306822703,1024
gender,man,7,safety,2002.7793448538723,1229
gender,man,8,safety,484.3778023445029,918
gender,woman,0,living,1778.3327631120594,971
gender,woman,1,living,1670.2905865925834,730
gender,woman,2,living,993.0061394012287,776
gender,woman,3,living,2007.8964422435758,1125
gender,woman,4,living,1965.0941969828164,1152
gender,woman,5,living,1106.3640053616516,889
gender,woman,6,living,1851.2537294410217,937
gender,woman,7,living,1741.0200069448329,1191
gender,woman,8,living,1460.5339768241831,923
gender,woman,0,biodiversity,1244.237135578218,973
gender,woman,1,biodiversity,1519.2857872695154,1211
gender,woman,2,biodiversity,1966.7696443529105,1210
gender,woman,3,biodiversity,1305.7035641969771,1004
gender,woman,4,biodiversity,1924.1496710568379,1180
gender,woman,5,biodiversity,2038.256491807273,1036
gender,woman,6,biodiversity,630.8503508198128,536
gender,woman,7,biodiversity,866.2878031954226,1033
gender,woman,8,biodiversity,1643.4850882072026,1281
gender,woman,0,safety,1673.8590028244846,766
gender,woman,1,safety,1559.5679878369608,913
gender,woman,2,safety,1834.4198818224427,752
gender,woman,3,safety,912.2261809623109,959
gender,woman,4,safety,1249.5374880507056,894
gender,woman,5,safety,1874.553464672481,550
gender,woman,6,safety,1921.1923414252458,832
gender,woman,7,safety,1765.170323275154,886
gender,woman,8,safety,1172.7711232185313,758
gender,other,0,living,1535.4628308622425,21
gender,other,1,living,1499.9712963231975,12
gender,other,2,living,1510.9769138061642,9
gender,other,3,living,1560.1116734744503,13
gender,other,4,living,1468.706569484363,19
gender,other,5,living,1438.8666725371281,9
gender,other,6,living,1575.772737349116,9
gender,other,7,living,1483.1980194076534,23
gender,other,8,living,1414.1028034259396,17
gender,other,0,biodiversity,1567.1971947184188,17
gender,other,1,biodiversity,1546.225027613843,8
gender,other,2,biodiversity,1478.9129847281501,6
gender,other,3,biodiversity,1502.5400542295877,16
gender,other,4,biodiversity,1527.1252852625375,14
gender,other,5,biodiversity,1488.2761857099515,17
gender,other,6,biodiversity,1447.9759815957425,12
gender,other,7,biodiversity,1424.492299943996,14
gender,other,8,biodiversity,1521.0027437067718,16
gender,other,0,safety,1464.0021142312808,7
gender,other,1,safety,1535.928645553626,9
gender,other,2,safety,1437.8464879731714,9
gender,other,3,safety,1501.7111076797062,12
gender,other,4,safety,1524.7477715569664,12
gender,other,5,safety,1560.7976020421686,11
gender,other,6,safety,1487.9409009653984,11
gender,other,7,safety,1477.9409416468097,6
gender,other,8,safety,1512.0333117311236,9
age,younger,0,living,1894.7430046867769,644
age,younger,1,living,582.05078282174,455
age,younger,2,living,1412.0045361184707,628
age,younger,3,living,1230.1390787819075,771
age,younger,4,living,1954.5524902967766,744
age,younger,5,living,1331.804849159464,623
age,younger,6,living,1576.3143096147737,712
age,younger,7,living,1707.7950489965283,859
age,younger,8,living,1182.4926646179663,728
age,younger,0,biodiversity,1446.1880180688486,678
age,younger,1,biodiversity,1850.160144441034,746
