demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1694.839235591328,2638
global,global,1,living,714.5748327961102,2499
global,global,2,living,1240.3349284601989,1470
global,global,3,living,1844.1826434348068,2287
global,global,4,living,2008.9521834102975,2482
global,global,5,living,1553.5971821322591,2272
global,global,6,living,1053.6692933866645,2791
global,global,7,living,2091.903123184987,1416
global,global,8,living,2226.0674335226518,2255
global,global,0,biodiversity,1595.6818301677556,2469
global,global,1,biodiversity,1751.9264274628272,2417
global,global,2,biodiversity,1099.1031713204789,2651
global,global,3,biodiversity,1750.4967051266233,2542
global,global,4,biodiversity,1813.9643005646892,2827
global,global,5,biodiversity,1889.8055198854893,1867
global,global,6,biodiversity,908.4134587545791,2259
global,global,7,biodiversity,2068.1928465732776,2982
global,global,8,biodiversity,2281.7553402626813,1268
global,global,0,safety,1282.1100056506286,2390
global,global,1,safety,1513.2389036535978,2630
global,global,2,safety,2063.318638898535,2020
global,global,3,safety,2020.3039657558688,2876
global,global,4,safety,1385.6535992782335,2364
global,global,5,safety,2234.567580345829,1702
global,global,6,safety,1885.5673660930734,2551
global,global,7,safety,1708.955178204759,2339
global,global,8,safety,2140.1496733038916,3036
gender,man,0,living,1304.2640183307508,1399
gender,man,1,living,1556.4568960489166,1321
gender,man,2,living,600.5767921090644,739
gender,man,3,living,1914.9100818481536,1123
gender,man,4,living,1864.3638148278142,1202
gender,man,5,living,1740.4891712382594,1110
gender,man,6,living,1591.0618920744687,1395
gender,man,7,living,1630.4653466775862,773
gender,man,8,living,2097.821239939701,1126
gender,man,0,biodiversity,1718.52297745301,1255
gender,man,1,biodiversity,738.7920790035398,1150
gender,man,2,biodiversity,1460.6386535784213,1355
gender,man,3,biodiversity,1530.6347224056883,1353
gender,man,4,biodiversity,973.7173228590834,1415
gender,man,5,biodiversity,1927.8427657113111,918
gender,man,6,biodiversity,1897.1476672789818,1079
gender,man,7,biodiversity,1299.0500835099037,1534
gender,man,8,biodiversity,1858.7500847672693,661
gender,man,0,safety,1762.1745295728426,1329
gender,man,1,safety,1482.0892407395825,1398
gender,man,2,safety,1591.1686684668607,1038
gender,man,3,safety,1801.6736294077618,1436
gender,man,4,safety,548.6406362715987,1196
gender,man,5,safety,1635.4085334310007,963
gender,man,6,safety,2073.977240265953,1271
gender,man,7,safety,2047.9131914856475,1241
gender,man,8,safety,1926.8713609715571,1644
gender,woman,0,living,1794.2138190942185,1019
gender,woman,1,living,1305.3518472632684,969
gender,woman,2,living,1937.657739153203,683
gender,woman,3,living,1435.3224703155358,937
gender,woman,4,living,1756.2756530753013,1105
gender,woman,5,living,1462.1348061863853,967
gender,woman,6,living,1725.2015656899189,1205
gender,woman,7,living,1888.7426860440228,573
gender,woman,8,living,1844.1338148134723,962
gender,woman,0,biodiversity,1417.3154521731412,1027
gender,woman,1,biodiversity,1501.4018545173599,964
gender,woman,2,biodiversity,1096.572099016312,1140
gender,woman,3,biodiversity,1869.752416002752,1006
gender,woman,4,biodiversity,1794.658834721385,1157
gender,woman,5,biodiversity,1218.229008531912,748
gender,woman,6,biodiversity,1443.5134384577325,926
gender,woman,7,biodiversity,1398.767833677711,1186
gender,woman,8,biodiversity,1987.4440206281981,498
gender,woman,0,safety,1656.5383798602886,942
gender,woman,1,safety,1578.363068154811,994
gender,woman,2,safety,914.6604384961356,712
gender,woman,3,safety,1502.515041328466,1092
gender,woman,4,safety,1836.3803746466608,905
gender,woman,5,safety,1976.7532637387008,669
gender,woman,6,safety,1732.8112085874316,979
gender,woman,7,safety,1218.3025198656694,955
gender,woman,8,safety,1807.8758488987185,1148
gender,other,0,living,1486.281431446513,11
gender,other,1,living,1426.3679026142872,6
gender,other,2,living,1547.9999339189358,8
gender,other,3,living,1475.571389985092,8
gender,other,4,living,1499.9401318612338,12
gender,other,5,living,1463.6000088421538,11
gender,other,6,living,1511.9979327976812,7
gender,other,7,living,1559.9999846382502,15
gender,other,8,living,1524.0000029332264,8
gender,other,0,biodiversity,1549.1265702712208,20
gender,other,1,biodiversity,1463.6813777938999,15
gender,other,2,biodiversity,1528.5335266444201,22
gender,other,3,biodiversity,1500.6836522283206,14
