demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1982.3967496950477,1396
global,global,1,living,1043.2487883051429,2232
global,global,2,living,1226.4609938081035,2465
global,global,3,living,1868.9656286042873,1875
global,global,4,living,1726.2966597177217,2376
global,global,5,living,1493.560823628577,2410
global,global,6,living,650.2486445244722,2017
global,global,7,living,527.8979867028388,1731
global,global,8,living,2281.820627285955,2152
global,global,0,biodiversity,1158.1738118853461,2366
global,global,1,biodiversity,1731.5262157367406,2892
global,global,2,biodiversity,1536.8699217588262,2085
global,global,3,biodiversity,1084.970008170119,2008
global,global,4,biodiversity,2134.3873130604334,1974
global,global,5,biodiversity,934.7779096331725,2790
global,global,6,biodiversity,1825.7083541398458,2481
global,global,7,biodiversity,1262.0665125145188,2417
global,global,8,biodiversity,2021.8545720261466,1519
global,global,0,safety,1967.5795129566063,2662
global,global,1,safety,1559.4118735027557,3061
global,global,2,safety,1821.5000522291118,2949
global,global,3,safety,2239.3599286918998,1822
global,global,4,safety,1352.3870873421686,3005
global,global,5,safety,1749.5293247031052,3012
global,global,6,safety,1217.1732199503049,2648
global,global,7,safety,1463.017117250456,2884
global,global,8,safety,2153.2844868751663,2071
gender,man,0,living,1952.270622326917,706
gender,man,1,living,1586.6216879917326,1129
gender,man,2,living,1525.5184805838155,1291
gender,man,3,living,1909.7613418528324,974
gender,man,4,living,1993.571872631074,1294
gender,man,5,living,1829.6402004439535,1261
gender,man,6,living,619.1297098653413,941
gender,man,7,living,351.06570847909893,880
gender,man,8,living,1883.9801029825073,1148
gender,man,0,biodiversity,762.0658070453674,1224
gender,man,1,biodiversity,1445.4491711771236,1442
gender,man,2,biodiversity,1569.4735814956766,1147
gender,man,3,biodiversity,1998.8803921225337,1082
gender,man,4,biodiversity,1972.996248720764,994
gender,man,5,biodiversity,1472.930799884741,1489
gender,man,6,biodiversity,1914.7372347862672,1290
gender,man,7,biodiversity,1234.4782816318152,1204
gender,man,8,biodiversity,1786.2926603071246,790
gender,man,0,safety,1895.1732277015203,1330
gender,man,1,safety,1650.592617057528,1486
gender,man,2,safety,1244.0235497549356,1584
gender,man,3,safety,2047.3502591363244,920
gender,man,4,safety,1178.9326422846166,1540
gender,man,5,safety,1870.0068253719237,1526
gender,man,6,safety,1387.0644756178567,1297
gender,man,7,safety,787.4473623338016,1355
gender,man,8,safety,1303.7158890983944,1100
gender,woman,0,living,1632.4162518884873,574
gender,woman,1,living,1389.8615509910758,878
gender,woman,2,living,1831.5911874901199,947
gender,woman,3,living,1888.6283558429075,745
gender,woman,4,living,1165.6988255744136,896
gender,woman,5,living,1008.4005667699846,903
gender,woman,6,living,1063.6065482130027,836
gender,woman,7,living,1507.4448820900604,723
gender,woman,8,living,1925.9564707981183,864
gender,woman,0,biodiversity,1460.0347847563883,989
gender,woman,1,biodiversity,1568.4769215208867,1160
gender,woman,2,biodiversity,1792.0282444265915,766
gender,woman,3,biodiversity,280.21378784323724,791
gender,woman,4,biodiversity,1921.3926344048189,827
gender,woman,5,biodiversity,1012.2999237255365,1130
gender,woman,6,biodiversity,1859.5211026876357,941
gender,woman,7,biodiversity,1647.293867469438,994
gender,woman,8,biodiversity,1610.0964149500226,640
gender,woman,0,safety,1043.893762399622,1134
gender,woman,1,safety,1198.075602693306,1239
gender,woman,2,safety,2014.3957464808884,1153
gender,woman,3,safety,1701.9600272841244,751
gender,woman,4,safety,1746.7428879326562,1270
gender,woman,5,safety,1253.4390411770507,1203
gender,woman,6,safety,1476.8715456796795,1098
gender,woman,7,safety,1533.1266767912396,1181
gender,woman,8,safety,1901.180374326419,835
gender,other,0,living,1536.8989909696077,11
gender,other,1,living,1464.0000833833456,9
gender,other,2,living,1440.8572190298178,9
gender,other,3,living,1488.0698989216373,7
gender,other,4,living,1512.0,7
gender,other,5,living,1498.8038270229222,12
gender,other,6,living,1524.827614673444,8
gender,other,7,living,1558.8324111607005,9
gender,other,8,living,1476.825200463668,8
gender,other,0,biodiversity,1476.0261800490218,8
gender,other,1,biodiversity,1441.8421945507412,13
gender,other,2,biodiversity,1487.94174811959,9
gender,other,3,biodiversity,1571.3055956034314,16
gender,other,4,biodiversity,1513.6556885246293,21
gender,other,5,biodiversity,1551.5905502909109,10
gender,other,6,biodiversity,1489.4747240655163,19
gender,other,7,biodiversity,1452.8334989902742,18
gender,other,8,biodiversity,1525.5457816135734,16
gender,other,0,safety,1423.8656979850903,20
gender,other,1,safety,1522.8998646188388,20
gender,other,2,safety,1581.5608779046538,7
gender,other,3,safety,1499.8549519711853,14
gender,other,4,safety,1546.4948334786766,20
gender,other,5,safety,1527.7770349591283,14
gender,other,6,safety,1472.6507966597474,14
gender,other,7,safety,1427.704702918887,8
gender,other,8,safety,1487.9338424370853,11
age,younger,0,living,1762.9145189870653,374
age,younger,1,living,1598.1802370819157,633
age,younger,2,living,887.5435220454871,653
age,younger,3,living,1880.9851059914783,484
age,younger,4,living,1507.5679154731454,685
age,younger,5,living,1466.3553271974158,659
age,younger,6,living,1545.445752117621,533
age,younger,7,living,1369.2712885082512,479
age,younger,8,living,1650.7986957161415,620
age,younger,0,biodiversity,995.6698324042632,664
age,younger,1,biodiversity,1352.1053968202752,822
age,younger,2,biodiversity,1653.2041914159715,580
age,younger,3,biodiversity,1219.333687382061,610
age,younger,4,biodiversity,1785.121841186966,609
age,younger,5,biodiversity,878.1530374216865,805
age,younger,6,biodiversity,1215.4518623322601,718
age,younger,7,biodiversity,1867.251645150363,698
age,younger,8,biodiversity,1825.2272419382984,496
age,younger,0,safety,1627.5030011726194,794
age,younger,1,safety,1889.022208213964,786
age,younger,2,safety,1448.9523192888491,828
age,younger,3,safety,1859.7455751901841,511
age,younger,4,safety,1694.7959024385448,807
age,younger,5,safety,831.805140398304,834
age,younger,6,safety,390.28767515858846,741
age,younger,7,safety,905.4440439670275,727
age,younger,8,safety,1347.199631399934,632
age,middle,0,living,1898.113141538874,564
age,middle,1,living,892.3914375554527,918
age,middle,2,living,1954.2015841279804,1028
age,middle,3,living,1582.5023349127343,789
age,middle,4,living,1760.4244541628293,1004
age,middle,5,living,1693.983703466873,1019
age,middle,6,living,651.7442765566525,806
age,middle,7,living,556.7465927574287,704
age,middle,8,living,1837.9038318067828,930
age,middle,0,biodiversity,902.4146862957269,996
age,middle,1,biodiversity,1243.6931107391727,1179
age,middle,2,biodiversity,1610.8592616851365,839
age,middle,3,biodiversity,1199.989796163115,820
age,middle,4,biodiversity,1935.4785371468363,862
age,middle,5,biodiversity,1585.7206777476129,1204
age,middle,6,biodiversity,1797.0066885957324,1009
