demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1184.0185212693207,2018
global,global,1,living,2266.180373591211,1670
global,global,2,living,-173.12294799782853,1500
global,global,3,living,1740.2079948806286,2318
global,global,4,living,828.0724403785526,1322
global,global,5,living,1477.876006058748,1945
global,global,6,living,760.5944136521207,1635
global,global,7,living,2145.0020197202075,1730
global,global,8,living,2065.0739895230668,1964
global,global,0,biodiversity,585.5669083480578,2836
global,global,1,biodiversity,1720.8366760574409,3353
global,global,2,biodiversity,1171.55469944016,3123
global,global,3,biodiversity,2354.942860323822,3022
global,global,4,biodiversity,1888.72287533243,2114
global,global,5,biodiversity,1062.0178434623233,3088
global,global,6,biodiversity,1631.274137055966,2011
global,global,7,biodiversity,1850.6815879017424,3235
global,global,8,biodiversity,2229.496051530437,2032
global,global,0,safety,1703.156420085731,2638
global,global,1,safety,166.22029471071752,2484
global,global,2,safety,1567.9079618804165,2847
global,global,3,safety,2233.7097996708094,1433
global,global,4,safety,1444.0019003574903,2893
global,global,5,safety,2046.6810971200246,2447
global,global,6,safety,1261.8094605258652,2250
global,global,7,safety,1831.1933749274842,2565
global,global,8,safety,2143.9463267763103,2827
gender,man,0,living,1391.5333135294504,1052
gender,man,1,living,1965.599342731755,849
gender,man,2,living,667.228158291889,788
gender,man,3,living,1217.5410670280994,1143
gender,man,4,living,1164.7771089845928,706
gender,man,5,living,1783.5139006679908,970
gender,man,6,living,997.6766040397079,849
gender,man,7,living,2004.8524017816835,860
gender,man,8,living,1633.110821671533,995
gender,man,0,biodiversity,1285.9261513810343,1464
gender,man,1,biodiversity,905.5948252130675,1671
gender,man,2,biodiversity,1870.0087663040456,1727
gender,man,3,biodiversity,1822.2035899724624,1581
gender,man,4,biodiversity,1749.0438837372062,1041
gender,man,5,biodiversity,1669.1033247598925,1623
gender,man,6,biodiversity,1910.6935709673082,1046
gender,man,7,biodiversity,938.8233057743097,1676
gender,man,8,biodiversity,2052.4379283486664,1019
gender,man,0,safety,715.3471894337968,1245
gender,man,1,safety,338.5452191982642,1273
gender,man,2,safety,1708.3242121792719,1433
gender,man,3,safety,1929.634997609707,719
gender,man,4,safety,1284.3796869368948,1494
gender,man,5,safety,2022.1419659183116,1167
gender,man,6,safety,1585.3527613894846,1163
gender,man,7,safety,1847.610938189666,1421
gender,man,8,safety,1169.4440927009903,1449
gender,woman,0,living,1887.0540324235028,796
gender,woman,1,living,1851.401049586278,705
gender,woman,2,living,978.582807230007,642
gender,woman,3,living,1919.1467578482677,954
gender,woman,4,living,1492.529539755257,574
gender,woman,5,living,733.5866264286651,821
gender,woman,6,living,1607.268995178234,700
gender,woman,7,living,1706.0365270763064,725
gender,woman,8,living,1641.714436033536,783
gender,woman,0,biodiversity,846.7228523799961,1161
gender,woman,1,biodiversity,1915.7530683936238,1293
gender,woman,2,biodiversity,1106.1794392505494,1242
gender,woman,3,biodiversity,2011.6416229098068,1190
gender,woman,4,biodiversity,1564.5539181096476,835
gender,woman,5,biodiversity,440.3211599346214,1180
gender,woman,6,biodiversity,1374.609219932207,812
gender,woman,7,biodiversity,1588.7428793162142,1197
gender,woman,8,biodiversity,1820.8055570115398,814
gender,woman,0,safety,1920.8753808608806,1055
gender,woman,1,safety,1807.3774865452501,1035
gender,woman,2,safety,1692.285967015501,1135
gender,woman,3,safety,1859.5428181766636,622
gender,woman,4,safety,1668.1117164532734,1193
gender,woman,5,safety,1890.1391653503683,964
gender,woman,6,safety,862.2249900737002,915
gender,woman,7,safety,566.6662191944819,967
gender,woman,8,safety,1772.3504584372274,1158
gender,other,0,living,1512.827595836361,11
gender,other,1,living,1475.542805362851,8
gender,other,2,living,1439.571389985092,11
gender,other,3,living,1523.9990457005438,6
gender,other,4,living,1560.0009213391209,5
gender,other,5,living,1463.9856905714691,7
gender,other,6,living,1536.0275968389178,9
gender,other,7,living,1488.8118238667037,13
gender,other,8,living,1499.9994546076955,10
gender,other,0,biodiversity,1460.7876907830114,17
gender,other,1,biodiversity,1536.7438625736806,15
gender,other,2,biodiversity,1430.1681425925806,12
gender,other,3,biodiversity,1569.2215701359682,14
gender,other,4,biodiversity,1453.1664695862348,10
gender,other,5,biodiversity,1522.6536252061996,18
gender,other,6,biodiversity,1475.7315943472126,14
gender,other,7,biodiversity,1499.481560972128,18
gender,other,8,biodiversity,1551.9730623505152,12
gender,other,0,safety,1585.4730825825195,9
gender,other,1,safety,1483.7492947658807,19
gender,other,2,safety,1520.4826485883632,16
gender,other,3,safety,1503.1701410942671,8
gender,other,4,safety,1425.4507035829324,14
gender,other,5,safety,1439.235593147672,15
gender,other,6,safety,1520.7614757721128,14
gender,other,7,safety,1462.2692434997805,15
gender,other,8,safety,1549.8696064740584,18
age,younger,0,living,768.1205831083082,576
age,younger,1,living,1867.2972135143427,487
age,younger,2,living,571.9479129155872,433
age,younger,3,living,1493.5640780276287,632
age,younger,4,living,1586.2349124523791,393
age,younger,5,living,1650.5616228589606,576
age,younger,6,living,1525.2214105815974,433
age,younger,7,living,1803.8060415979205,480
age,younger,8,living,1702.7035686589065,574
age,younger,0,biodiversity,1209.6128970118548,858
age,younger,1,biodiversity,1096.0543521476843,831
age,younger,2,biodiversity,1349.1137441770177,961
age,younger,3,biodiversity,1669.227538371321,796
age,younger,4,biodiversity,1318.6411971408963,534
age,younger,5,biodiversity,926.2580105457871,896
age,younger,6,biodiversity,1903.8625690570627,549
age,younger,7,biodiversity,1258.4558078543598,888
age,younger,8,biodiversity,1867.9407800611352,521
age,younger,0,safety,1255.968177566015,705
age,younger,1,safety,1065.0444625805053,732
age,younger,2,safety,1395.4334737544796,779
age,younger,3,safety,1644.8883917618873,459
age,younger,4,safety,1497.2431476744316,799
age,younger,5,safety,1789.3069488820443,657
age,younger,6,safety,1682.3909420900557,655
age,younger,7,safety,1956.61744101554,720
age,younger,8,safety,1124.030472069602,858
age,middle,0,living,1827.3370298437442,868
age,middle,1,living,1893.410258367063,695
age,middle,2,living,184.9110371305759,626
age,middle,3,living,874.4622302458401,967
age,middle,4,living,1100.8490559986658,570
age,middle,5,living,1502.4401882271675,795
age,middle,6,living,1319.8975671907417,743
age,middle,7,living,1689.0069594514744,744
age,middle,8,living,1934.2709979700876,822
age,middle,0,biodiversity,753.4012118487108,1198
age,middle,1,biodiversity,1798.0997345748772,1391
age,middle,2,biodiversity,1555.936188612612,1310
age,middle,3,biodiversity,2081.6823315018087,1316
age,middle,4,biodiversity,1883.6988799633145,897
age,middle,5,biodiversity,1742.860581059706,1313
age,middle,6,biodiversity,1116.6653421838719,912
age,middle,7,biodiversity,1584.755940251581,1332
age,middle,8,biodiversity,1773.9353181114097,851
age,middle,0,safety,948.2868828365232,1054
age,middle,1,safety,1651.5894341020914,1089
age,middle,2,safety,1944.086445579668,1165
age,middle,3,safety,1860.078164386401,614
age,middle,4,safety,1610.437624939535,1237
