demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1811.6022875012766,2678
global,global,1,living,1757.2553211567454,2713
global,global,2,living,1546.3854062853582,2488
global,global,3,living,1290.2967303039713,2643
global,global,4,living,1168.468844741116,2921
global,global,5,living,2136.7920061875093,2624
global,global,6,living,-4.954464498868628,1639
global,global,7,living,1960.053469324624,2462
global,global,8,living,2327.5146458357644,1588
global,global,0,biodiversity,1593.18024233731,2260
global,global,1,biodiversity,1787.2590259643077,2449
global,global,2,biodiversity,1334.468669869543,1917
global,global,3,biodiversity,580.3618554986796,1821
global,global,4,biodiversity,2224.095923218877,2355
global,global,5,biodiversity,2283.588000142759,2004
global,global,6,biodiversity,-634.1024548877239,1558
global,global,7,biodiversity,1746.8388142497308,2403
global,global,8,biodiversity,1730.6252584894075,2023
global,global,0,safety,2267.6471074434235,2397
global,global,1,safety,1871.4360714910642,2964
global,global,2,safety,2326.364001715489,2143
global,global,3,safety,2011.918941275406,2720
global,global,4,safety,919.3993056190661,2335
global,global,5,safety,1136.6037935194856,2573
global,global,6,safety,1208.5484486313478,3004
global,global,7,safety,1932.8495592096351,2137
global,global,8,safety,985.0205307656803,2481
gender,man,0,living,1776.4543447160959,1400
gender,man,1,living,1963.490401185863,1332
gender,man,2,living,1856.8467608283381,1214
gender,man,3,living,1631.0629541241078,1351
gender,man,4,living,1414.5031650380597,1504
gender,man,5,living,1122.6836708470828,1302
gender,man,6,living,1374.9736561650943,823
gender,man,7,living,1995.5608323327344,1319
gender,man,8,living,2060.107439724092,883
gender,man,0,biodiversity,361.9426481025949,1114
gender,man,1,biodiversity,1977.0808155219188,1239
gender,man,2,biodiversity,1274.1156732049662,994
gender,man,3,biodiversity,1742.9694384450681,937
gender,man,4,biodiversity,1597.1353157933193,1189
gender,man,5,biodiversity,1936.98896227227,1007
gender,man,6,biodiversity,694.7028022827783,800
gender,man,7,biodiversity,674.0672863158052,1222
gender,man,8,biodiversity,1837.3679561071772,1030
