demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,2197.568245905197,1374
global,global,1,living,1965.2672550464335,1553
global,global,2,living,-74.68342278099279,1772
global,global,3,living,1758.9976846583422,2302
global,global,4,living,-475.73518077095906,911
global,global,5,living,1211.256933434043,1711
global,global,6,living,309.875724413724,1617
global,global,7,living,2079.877495978684,1769
global,global,8,living,1232.3369444941604,2109
global,global,0,biodiversity,1292.8881473117005,3093
global,global,1,biodiversity,1928.8666669636345,3253
global,global,2,biodiversity,818.0748273687428,2609
global,global,3,biodiversity,2365.404265257714,2379
global,global,4,biodiversity,-736.8860621370131,2106
global,global,5,biodiversity,2184.0721608046824,2635
global,global,6,biodiversity,2106.6916156233806,3058
global,global,7,biodiversity,972.1077623965624,2475
global,global,8,biodiversity,345.3810736283032,2490
global,global,0,safety,-408.8502683828733,1644
global,global,1,safety,2365.4150231715284,3193
global,global,2,safety,2394.6783186512425,2566
global,global,3,safety,1934.7838288217054,2660
global,global,4,safety,1456.3191892770683,2534
global,global,5,safety,1627.6574297589138,3099
global,global,6,safety,1349.3135969443845,3157
global,global,7,safety,1029.2695462464385,2355
global,global,8,safety,2130.095640890826,2876
gender,man,0,living,1984.7983124307104,686
gender,man,1,living,1641.239923599148,764
gender,man,2,living,931.4538625023416,897
gender,man,3,living,1855.6518797836452,1125
gender,man,4,living,1192.144432331083,523
gender,man,5,living,1581.9834576660571,890
gender,man,6,living,1440.4433019415583,869
gender,man,7,living,1249.4532604135236,884
gender,man,8,living,1734.260366992411,1012
gender,man,0,biodiversity,1886.5399201328025,1578
gender,man,1,biodiversity,2110.1031654327926,1665
gender,man,2,biodiversity,1760.7908883003151,1304
gender,man,3,biodiversity,2057.5916646868623,1229
gender,man,4,biodiversity,1040.8659390047421,1116
gender,man,5,biodiversity,1942.6434370389475,1474
gender,man,6,biodiversity,1564.355709517125,1567
gender,man,7,biodiversity,1810.5637631613617,1256
gender,man,8,biodiversity,468.8586284929685,1295
gender,man,0,safety,494.8035862595895,944
