demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,2057.439146762037,2179
global,global,1,living,1498.63244663444,2384
global,global,2,living,1705.9291127459278,2110
global,global,3,living,1951.345298100585,1433
global,global,4,living,463.97667411669283,1102
global,global,5,living,2205.3266482307567,1489
global,global,6,living,1624.6051690484037,2104
global,global,7,living,-8.379995166954963,1684
global,global,8,living,679.807227299532,2391
global,global,0,biodiversity,2192.264364970626,2556
global,global,1,biodiversity,2271.1307857091265,2285
global,global,2,biodiversity,1656.6830246131715,2709
global,global,3,biodiversity,1171.9783795134654,2289
global,global,4,biodiversity,1621.1588766930336,2830
global,global,5,biodiversity,1287.3925843436734,2578
global,global,6,biodiversity,-229.57156034255797,2379
global,global,7,biodiversity,1064.5073143779478,2642
global,global,8,biodiversity,1439.6548118106373,2590
global,global,0,safety,735.9474967547885,2608
global,global,1,safety,1281.451710614633,3406
global,global,2,safety,1817.4320320083737,2945
global,global,3,safety,576.0701915529713,2300
global,global,4,safety,2298.604724890071,2938
global,global,5,safety,632.2255677039565,2431
global,global,6,safety,1110.670640849771,2591
global,global,7,safety,2011.8194626453069,2415
global,global,8,safety,2068.110563469906,1932
gender,man,0,living,1809.2679864898416,1147
gender,man,1,living,1725.7794085608296,1167
gender,man,2,living,410.9586207207971,1086
gender,man,3,living,1596.4531368160647,758
gender,man,4,living,1115.9998227191459,583
gender,man,5,living,1980.5240739461801,789
gender,man,6,living,1934.711670506715,960
gender,man,7,living,1351.358637900465,840
gender,man,8,living,1539.8792971555158,1210
gender,man,0,biodiversity,2053.7161903773613,1318
gender,man,1,biodiversity,1723.653254399924,1130
gender,man,2,biodiversity,1791.2943770980805,1389
gender,man,3,biodiversity,1777.5197869748333,1220
gender,man,4,biodiversity,1909.012377049571,1432
gender,man,5,biodiversity,1221.4538902270683,1274
gender,man,6,biodiversity,549.2029998473057,1292
gender,man,7,biodiversity,1368.6074954888381,1369
gender,man,8,biodiversity,1970.1915471643304,1348
gender,man,0,safety,1709.487013699583,1373
gender,man,1,safety,1504.567221460907,1663
gender,man,2,safety,1547.3379686887706,1523
gender,man,3,safety,982.0639901598222,1227
gender,man,4,safety,2132.4676014810393,1446
gender,man,5,safety,113.92471799976232,1143
gender,man,6,safety,1365.4175904163587,1357
gender,man,7,safety,1924.2056065364638,1261
gender,man,8,safety,1624.0300284420443,1119
gender,woman,0,living,1692.5122285549523,846
gender,woman,1,living,1261.0934915001249,893
gender,woman,2,living,1732.8017891110458,752
gender,woman,3,living,1812.7762374710385,525
gender,woman,4,living,1019.1596836887696,450
gender,woman,5,living,1919.6550102084582,570
gender,woman,6,living,981.9233994688605,891
gender,woman,7,living,957.5638826897077,769
gender,woman,8,living,1056.9684965045367,1004
gender,woman,0,biodiversity,1870.7688809711544,976
gender,woman,1,biodiversity,2042.4846121088897,882
gender,woman,2,biodiversity,1662.8104694463548,1091
gender,woman,3,biodiversity,970.7532162628269,890
gender,woman,4,biodiversity,1248.1954413797107,1126
gender,woman,5,biodiversity,1752.3122924938903,1089
gender,woman,6,biodiversity,1177.4842908118521,981
gender,woman,7,biodiversity,1574.1706648221675,1050
gender,woman,8,biodiversity,947.8697820440264,1085
gender,woman,0,safety,1484.126160219223,1024
gender,woman,1,safety,1450.3310035945144,1468
gender,woman,2,safety,1815.3854570902135,1163
gender,woman,3,safety,1267.4262341337346,974
gender,woman,4,safety,1902.8143281242712,1241
gender,woman,5,safety,1141.1263980821614,978
gender,woman,6,safety,1575.389621513069,1020
gender,woman,7,safety,1192.6232739026048,1020
gender,woman,8,safety,2011.8508747749222,710
gender,other,0,living,1499.9682433597852,10
gender,other,1,living,1423.4173241370866,12
gender,other,2,living,1530.4317107268141,15
gender,other,3,living,1520.8495653619127,10
gender,other,4,living,1548.184881562334,14
gender,other,5,living,1463.5615850163804,13
gender,other,6,living,1451.8336088644476,8
gender,other,7,living,1479.0944290517443,14
gender,other,8,living,1571.8064513297593,8
gender,other,0,biodiversity,1452.402985249597,10
gender,other,1,biodiversity,1463.9720504322108,13
gender,other,2,biodiversity,1489.5733741906333,13
gender,other,3,biodiversity,1524.451407341711,14
gender,other,4,biodiversity,1439.585699413623,11
gender,other,5,biodiversity,1571.8754617689153,14
gender,other,6,biodiversity,1499.2329090795863,12
gender,other,7,biodiversity,1512.2335697724666,15
gender,other,8,biodiversity,1549.5961919045142,14
gender,other,0,safety,1425.4776996749704,10
gender,other,1,safety,1503.0013337750154,14
gender,other,2,safety,1547.6675811432372,6
gender,other,3,safety,1567.317444240087,12
gender,other,4,safety,1502.5220833235608,20
gender,other,5,safety,1501.1644908937099,14
gender,other,6,safety,1455.223745124598,14
gender,other,7,safety,1525.6879210665857,12
gender,other,8,safety,1475.603995856251,16
age,younger,0,living,1782.4491057052678,680
age,younger,1,living,1500.3066128861378,650
age,younger,2,living,1742.8906339538303,550
age,younger,3,living,1697.5244251655206,368
age,younger,4,living,1340.3347406189687,284
age,younger,5,living,1840.2990066573195,419
age,younger,6,living,1608.2911222041516,534
age,younger,7,living,1460.7105384984848,586
age,younger,8,living,1384.6904229892084,683
age,younger,0,biodiversity,1713.3041237764103,753
age,younger,1,biodiversity,1555.1684209187006,621
age,younger,2,biodiversity,1639.569920504209,770
age,younger,3,biodiversity,1228.055903920347,629
age,younger,4,biodiversity,1729.6420799437965,762
age,younger,5,biodiversity,1666.1398201463392,721
age,younger,6,biodiversity,903.2705174649727,705
age,younger,7,biodiversity,1379.5614188301072,745
age,younger,8,biodiversity,1982.3076994661317,698
age,younger,0,safety,1761.1850346167798,795
age,younger,1,safety,1729.8136470919994,904
age,younger,2,safety,1546.6399501140575,799
age,younger,3,safety,1306.5134528681297,679
age,younger,4,safety,1712.754281225269,806
age,younger,5,safety,1375.6656726325793,646
age,younger,6,safety,1515.9579966860836,767
age,younger,7,safety,1267.796341401736,687
age,younger,8,safety,1988.9313172255274,541
age,middle,0,living,1524.562721700799,927
age,middle,1,living,1893.155097902932,969
age,middle,2,living,1329.0251392768307,823
