demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,2045.5518272228746,1862
global,global,1,living,2207.7681506657373,1806
global,global,2,living,-418.5748409837628,890
global,global,3,living,682.6594255653733,2011
global,global,4,living,1892.0710051843569,2031
global,global,5,living,1629.2275634036657,2067
global,global,6,living,603.2708556391943,1425
global,global,7,living,343.8630295825846,1512
global,global,8,living,1783.3631565732455,2340
global,global,0,biodiversity,1732.1666357362947,2679
global,global,1,biodiversity,2008.350336673601,3264
global,global,2,biodiversity,2198.1233634530727,2901
global,global,3,biodiversity,1294.0732136189554,3392
global,global,4,biodiversity,2402.708779624571,2316
global,global,5,biodiversity,1956.8937458851406,2648
global,global,6,biodiversity,1203.3324855709568,2686
global,global,7,biodiversity,1349.7459209710962,2773
global,global,8,biodiversity,2116.9274384408195,3441
global,global,0,safety,701.8843263463763,2502
global,global,1,safety,1570.785413322689,2524
global,global,2,safety,1158.4648995774241,2226
global,global,3,safety,-1131.5444743674232,1437
global,global,4,safety,2152.8809394809896,2293
global,global,5,safety,1848.7685213868015,2811
global,global,6,safety,1648.7985979512343,3098
global,global,7,safety,2171.5508870996146,2003
global,global,8,safety,2331.5409611311493,2362
gender,man,0,living,1859.1481038986792,1050
gender,man,1,living,1988.1644090650254,927
gender,man,2,living,619.5260726304978,507
gender,man,3,living,1810.7281625352937,971
gender,man,4,living,1944.5391115753648,1019
gender,man,5,living,1790.7853360985805,1023
gender,man,6,living,478.85461648954055,695
gender,man,7,living,1053.3857049324952,789
gender,man,8,living,1711.7919793737735,1197
gender,man,0,biodiversity,1886.7524285987909,1370
gender,man,1,biodiversity,1559.9486405975595,1649
gender,man,2,biodiversity,1337.4324424023232,1462
gender,man,3,biodiversity,989.4524595009251,1726
gender,man,4,biodiversity,2125.5690088925585,1174
gender,man,5,biodiversity,1617.9439556987809,1315
gender,man,6,biodiversity,51.933346533464146,1360
gender,man,7,biodiversity,-167.53865861871037,1352
gender,man,8,biodiversity,1655.1285577312044,1776
gender,man,0,safety,1428.1534719445294,1321
gender,man,1,safety,1699.2330655070634,1261
gender,man,2,safety,1013.2763375207993,1256
