demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1689.6954227675424,2703
global,global,1,living,2263.133785103561,1538
global,global,2,living,2173.233638506292,2610
global,global,3,living,1918.0077793362527,2438
global,global,4,living,1521.7031788699478,2651
global,global,5,living,1966.7647924779874,2704
global,global,6,living,1600.6103970999661,2665
global,global,7,living,1167.3755201167146,2140
global,global,8,living,702.4109687173047,2737
global,global,0,biodiversity,1564.4888136111383,2784
global,global,1,biodiversity,1323.8397664794552,2482
global,global,2,biodiversity,580.9065126123099,1913
global,global,3,biodiversity,942.033996348055,2631
global,global,4,biodiversity,2182.0946258865138,1132
global,global,5,biodiversity,1932.9546082423533,2124
global,global,6,biodiversity,1689.5441946265644,2553
global,global,7,biodiversity,1800.8142357473694,1999
global,global,8,biodiversity,819.7955746080848,2452
global,global,0,safety,1570.3587760698438,2517
global,global,1,safety,1721.1811675566446,2560
global,global,2,safety,2217.6226016489113,2576
global,global,3,safety,374.7550016421291,1916
global,global,4,safety,2044.9805201307927,1405
global,global,5,safety,1995.6701870462018,2651
global,global,6,safety,1670.7359192598412,2047
global,global,7,safety,1030.0883470413473,2302
global,global,8,safety,1185.8778801068586,3070
gender,man,0,living,1159.934388380782,1347
gender,man,1,living,1823.0216769076437,838
gender,man,2,living,1999.8073984612254,1332
gender,man,3,living,1267.464285026908,1263
gender,man,4,living,1636.3580098211444,1350
gender,man,5,living,2121.7758664455805,1358
gender,man,6,living,1008.04090555032,1377
gender,man,7,living,1491.846634683749,1126
gender,man,8,living,693.737978516996,1383
gender,man,0,biodiversity,2029.5783779641902,1417
gender,man,1,biodiversity,1811.2532242779237,1252
gender,man,2,biodiversity,795.113355527933,932
gender,man,3,biodiversity,1405.068217623559,1423
gender,man,4,biodiversity,1918.781509070014,587
gender,man,5,biodiversity,1698.2328895686271,1034
gender,man,6,biodiversity,1624.4804177582066,1278
gender,man,7,biodiversity,1120.375688901367,1138
gender,man,8,biodiversity,1004.2977415739066,1205
gender,man,0,safety,1550.499237150886,1252
gender,man,1,safety,1484.9668809932875,1292
gender,man,2,safety,1042.4873949749713,1379
gender,man,3,safety,1361.6907183890582,1039
gender,man,4,safety,1955.195913023328,694
gender,man,5,safety,1808.4532014000183,1378
gender,man,6,safety,1833.1941598803414,1028
gender,man,7,safety,730.765103738817,1147
gender,man,8,safety,956.2745039308363,1575
gender,woman,0,living,1613.713769290794,1129
gender,woman,1,living,1991.0877645951168,545
gender,woman,2,living,1112.886508468943,1053
gender,woman,3,living,1725.0112945221192,991
gender,woman,4,living,1441.350514150463,1058
gender,woman,5,living,1806.1542679899446,1095
gender,woman,6,living,1751.0044383654983,1002
gender,woman,7,living,1344.7368728743984,895
gender,woman,8,living,1363.8196700641313,1154
gender,woman,0,biodiversity,1837.7450149112838,1157
gender,woman,1,biodiversity,503.7357648721928,951
gender,woman,2,biodiversity,966.4980098445046,744
gender,woman,3,biodiversity,1348.8349043696148,1071
gender,woman,4,biodiversity,1899.7239843034715,448
gender,woman,5,biodiversity,1503.624280162338,935
gender,woman,6,biodiversity,1648.8966465835977,961
gender,woman,7,biodiversity,1939.2113611724037,705
gender,woman,8,biodiversity,1708.2803261976248,1030
gender,woman,0,safety,1682.7869611170527,1011
