demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1997.0179285470517,2667
global,global,1,living,1572.291668335403,2574
global,global,2,living,2052.8116649523254,2731
global,global,3,living,1939.376959735873,3073
global,global,4,living,2350.438230249239,1628
global,global,5,living,1537.2092595463496,2869
global,global,6,living,1257.439331300012,2637
global,global,7,living,928.6529053060956,2194
global,global,8,living,2132.3515498868364,2507
global,global,0,biodiversity,2263.5926515687725,1902
global,global,1,biodiversity,1793.2292040201178,1921
global,global,2,biodiversity,1973.647253544768,2036
global,global,3,biodiversity,902.8552604530147,2156
global,global,4,biodiversity,1461.5620582930887,2858
global,global,5,biodiversity,1934.1163899455591,1891
global,global,6,biodiversity,1339.225763731369,1826
global,global,7,biodiversity,648.379947765469,1620
global,global,8,biodiversity,1826.3926309332724,2184
global,global,0,safety,2160.595211655516,2892
global,global,1,safety,675.2528975296952,1610
global,global,2,safety,1778.4822307851825,2099
global,global,3,safety,2404.8715600077235,2066
global,global,4,safety,2301.737399302882,3246
global,global,5,safety,1073.6523573068166,2791
global,global,6,safety,1895.6684696710481,2462
global,global,7,safety,1639.3240745261303,2657
global,global,8,safety,908.2368842330328,2203
gender,man,0,living,1947.7508120039688,1393
gender,man,1,living,2000.385825391951,1309
gender,man,2,living,1728.3137081020827,1349
gender,man,3,living,1783.4242860691113,1577
gender,man,4,living,2057.7998772873348,839
gender,man,5,living,1504.2047009327807,1440
gender,man,6,living,353.5282376276851,1332
gender,man,7,living,-77.58027381829592,1120
gender,man,8,living,1117.1859863294844,1253
gender,man,0,biodiversity,1882.6085673251348,972
gender,man,1,biodiversity,1559.225636920459,985
gender,man,2,biodiversity,2021.716842171836,1021
gender,man,3,biodiversity,1540.69964444072,1110
gender,man,4,biodiversity,1498.7359474656394,1459
gender,man,5,biodiversity,667.3435498519568,985
gender,man,6,biodiversity,1787.1425373331365,943
gender,man,7,biodiversity,1350.4084360182244,869
gender,man,8,biodiversity,1739.7702670261604,1120
gender,man,0,safety,1582.900345927287,1508
gender,man,1,safety,1710.6059064203828,860
gender,man,2,safety,1999.5729337298126,1012
gender,man,3,safety,1826.793375831317,1065
gender,man,4,safety,1560.1052769808448,1667
gender,man,5,safety,1644.48084348915,1439
gender,man,6,safety,1143.8849916953066,1302
gender,man,7,safety,1050.7209460140402,1354
gender,man,8,safety,1749.1424791353845,1141
gender,woman,0,living,1704.2735907781514,1088
gender,woman,1,living,1209.0024896125726,1018
gender,woman,2,living,1575.6462912665565,1104
gender,woman,3,living,1324.8318179226637,1224
gender,woman,4,living,1985.2077380034284,676
gender,woman,5,living,1159.2123284419633,1193
gender,woman,6,living,1827.3587805815164,1129
gender,woman,7,living,1913.0415474617823,867
gender,woman,8,living,1748.0330786614181,1045
gender,woman,0,biodiversity,1672.932604141299,785
gender,woman,1,biodiversity,1641.390350080754,784
gender,woman,2,biodiversity,1823.0472473478503,777
gender,woman,3,biodiversity,976.8795542162651,833
gender,woman,4,biodiversity,1574.103740874972,1152
