demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,654.6187747766576,2523
global,global,1,living,423.9519858331132,1728
global,global,2,living,2071.6571059671105,2354
global,global,3,living,1316.0521885168287,2568
global,global,4,living,2188.651367392307,1255
global,global,5,living,554.2898971646451,2148
global,global,6,living,1068.328103640548,3088
global,global,7,living,1234.8695587395766,2490
global,global,8,living,1681.9810525102685,2328
global,global,0,biodiversity,1480.2691899295903,2335
global,global,1,biodiversity,2105.5550964212666,2030
global,global,2,biodiversity,2286.979362294788,2633
global,global,3,biodiversity,1782.1491158590188,2975
global,global,4,biodiversity,2227.1447453149144,3106
global,global,5,biodiversity,1041.251478600505,2727
global,global,6,biodiversity,2416.2845820580474,1962
global,global,7,biodiversity,1544.9958636068448,2509
global,global,8,biodiversity,1996.5416250552944,2495
global,global,0,safety,1542.2145101681654,2286
global,global,1,safety,1888.8285837970325,2701
global,global,2,safety,1360.753894797266,1662
global,global,3,safety,1183.6317438325502,2043
global,global,4,safety,2256.2303681432627,1205
global,global,5,safety,1977.643837035361,2502
global,global,6,safety,2075.404323881178,2537
global,global,7,safety,1445.042282711767,2899
global,global,8,safety,-118.98886800841925,2211
gender,man,0,living,1202.566289682108,1309
gender,man,1,living,428.351010459109,898
gender,man,2,living,1389.3025464256777,1315
gender,man,3,living,1716.3959016114115,1287
gender,man,4,living,1965.314722520941,623
gender,man,5,living,1623.91164326565,1087
gender,man,6,living,1525.09822657899,1584
gender,man,7,living,1756.0555870984783,1293
gender,man,8,living,1941.3268194006805,1222
gender,man,0,biodiversity,1680.4673296861843,1190
gender,man,1,biodiversity,1510.4749971027948,1011
gender,man,2,biodiversity,2060.7449968517276,1273
gender,man,3,biodiversity,1438.3695805832615,1560
gender,man,4,biodiversity,2003.0762906595994,1551
gender,man,5,biodiversity,1298.2874814800966,1408
gender,man,6,biodiversity,1820.6296197247989,1001
gender,man,7,biodiversity,1593.3361005752001,1313
gender,man,8,biodiversity,1885.3960030663256,1197
gender,man,0,safety,530.1884483567892,1100
gender,man,1,safety,1843.844080287683,1404
gender,man,2,safety,882.9756869613808,899
gender,man,3,safety,1928.2091868032308,1121
gender,man,4,safety,1973.7314021634877,570
gender,man,5,safety,1350.600953191219,1218
gender,man,6,safety,289.1529768593171,1278
gender,man,7,safety,1147.0548920668978,1489
gender,man,8,safety,1412.5752361946243,1223
gender,woman,0,living,1695.3443466214399,1010
gender,woman,1,living,1558.6671956938735,706
gender,woman,2,living,1954.447871068758,953
gender,woman,3,living,1163.6438486929273,1068
gender,woman,4,living,1973.9425070959055,585
gender,woman,5,living,833.2282917881981,835
gender,woman,6,living,1411.414548828662,1212
gender,woman,7,living,651.7163868982675,1010
gender,woman,8,living,1826.3342984101714,955
gender,woman,0,biodiversity,1325.847231879169,987
gender,woman,1,biodiversity,1910.9358738635215,860
gender,woman,2,biodiversity,1709.797724565496,1086
gender,woman,3,biodiversity,1866.7649703195289,1087
gender,woman,4,biodiversity,1652.133617155764,1283
gender,woman,5,biodiversity,1405.7371890579734,1144
gender,woman,6,biodiversity,2044.5209782692752,726
gender,woman,7,biodiversity,572.0528312284276,995
gender,woman,8,biodiversity,1433.4906653446276,1018
gender,woman,0,safety,1868.6251908121137,891
gender,woman,1,safety,1063.7132393978413,1047
gender,woman,2,safety,1595.2894362488028,638
gender,woman,3,safety,467.4698965621116,833
gender,woman,4,safety,1672.37868938436,536
gender,woman,5,safety,1387.9559997314013,993
gender,woman,6,safety,1997.305718478712,1013
gender,woman,7,safety,1341.8724018634507,1138
gender,woman,8,safety,1454.5851795411086,859
gender,other,0,living,1452.2789039279146,14
gender,other,1,living,1513.5842578399597,17
gender,other,2,living,1465.2208861230984,13
gender,other,3,living,1560.384765763237,13
gender,other,4,living,1500.4507754479594,16
gender,other,5,living,1439.585699413623,7
gender,other,6,living,1489.2158682406725,13
gender,other,7,living,1534.8115030567142,11
gender,other,8,living,1549.158741187733,10
gender,other,0,biodiversity,1546.0342906533633,10
gender,other,1,biodiversity,1428.0369847494112,12
gender,other,2,biodiversity,1438.163050164182,11
gender,other,3,biodiversity,1522.155274147487,20
gender,other,4,biodiversity,1539.7458679021634,15
gender,other,5,biodiversity,1582.6243618852914,11
gender,other,6,biodiversity,1464.4173115965916,19
gender,other,7,biodiversity,1474.5888303678892,14
gender,other,8,biodiversity,1496.1288560007933,22
gender,other,0,safety,1500.868204264827,10
gender,other,1,safety,1512.0412088781015,15
gender,other,2,safety,1524.041451285102,6
gender,other,3,safety,1487.956176441481,9
gender,other,4,safety,1559.999046817433,7
gender,other,5,safety,1546.8422961797276,12
gender,other,6,safety,1475.6319611501199,8
gender,other,7,safety,1452.0427383750816,14
gender,other,8,safety,1439.9989786186034,9
age,younger,0,living,1724.8084983598417,648
age,younger,1,living,1662.4701192041964,546
age,younger,2,living,1844.7012498134998,717
age,younger,3,living,1488.410942444141,741
age,younger,4,living,1424.9252370690433,410
age,younger,5,living,1018.1315545017234,534
age,younger,6,living,1551.6788777587674,865
age,younger,7,living,1541.533967551083,792
age,younger,8,living,1920.6546120622172,637
age,younger,0,biodiversity,1325.2913915881525,702
age,younger,1,biodiversity,1656.4078908979527,570
age,younger,2,biodiversity,1926.3651786997798,701
age,younger,3,biodiversity,1406.4516004017282,852
age,younger,4,biodiversity,572.6807831415629,823
age,younger,5,biodiversity,1495.1667741013248,717
age,younger,6,biodiversity,1457.1062035088487,515
age,younger,7,biodiversity,1849.2892641469043,749
age,younger,8,biodiversity,848.0507265863141,677
age,younger,0,safety,1854.6075582139374,615
age,younger,1,safety,1518.1259563259305,783
age,younger,2,safety,1035.3328402710026,459
age,younger,3,safety,1428.2956227470227,634
age,younger,4,safety,1828.446274465931,338
age,younger,5,safety,1558.183304983427,646
age,younger,6,safety,1794.1548028012685,683
age,younger,7,safety,1686.4825376502522,719
age,younger,8,safety,1165.1417995527365,709
age,middle,0,living,1592.7204961507057,1113
age,middle,1,living,-73.24486310253167,648
age,middle,2,living,1800.9271035220854,1059
age,middle,3,living,1879.2829286344586,1036
age,middle,4,living,2002.7302355395555,504
age,middle,5,living,1464.156467711505,972
age,middle,6,living,1478.395569709713,1286
age,middle,7,living,727.4825329360035,1019
age,middle,8,living,1718.5386300350679,1009
age,middle,0,biodiversity,1717.71525071036,1058
age,middle,1,biodiversity,1019.1823640182254,849
