demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1894.3582412254023,2151
global,global,1,living,1349.5247524411466,2386
global,global,2,living,2049.9869085790224,1616
global,global,3,living,1838.4828878430128,2092
global,global,4,living,2173.0252437192094,1703
global,global,5,living,1713.267818119789,2103
global,global,6,living,592.8298939828368,1988
global,global,7,living,1191.521798954134,2466
global,global,8,living,446.48325603985836,1673
global,global,0,biodiversity,2074.1271560961236,1599
global,global,1,biodiversity,2259.3911273288745,2495
global,global,2,biodiversity,1931.4279785867031,2425
global,global,3,biodiversity,1857.464728659782,2842
global,global,4,biodiversity,92.12500079323728,2544
global,global,5,biodiversity,1592.8922343213126,2626
global,global,6,biodiversity,623.8204276958902,2637
global,global,7,biodiversity,1067.2007340219095,2566
global,global,8,biodiversity,1796.0696818906833,2412
global,global,0,safety,1564.0971093830617,2915
global,global,1,safety,1910.2245398417149,2544
global,global,2,safety,2347.635943921964,1717
global,global,3,safety,76.16701604447259,2764
global,global,4,safety,2144.2256082509994,2728
global,global,5,safety,1345.0814435485045,2728
global,global,6,safety,1985.74479494643,2757
global,global,7,safety,-312.13566091125483,1997
global,global,8,safety,1773.5177416780518,2826
gender,man,0,living,2008.367889069093,1034
gender,man,1,living,1564.7998450937623,1201
gender,man,2,living,1881.88935911542,790
gender,man,3,living,1902.9978046539004,1054
gender,man,4,living,1612.3956502471012,906
gender,man,5,living,1695.041780263013,1012
gender,man,6,living,1109.100764017595,1020
gender,man,7,living,1225.070169129793,1284
gender,man,8,living,673.2580694362218,881
gender,man,0,biodiversity,1777.0303710543717,845
gender,man,1,biodiversity,2054.1484039426523,1279
gender,man,2,biodiversity,1917.5238591956504,1260
gender,man,3,biodiversity,1638.5829271047648,1478
gender,man,4,biodiversity,1787.2497880838375,1302
gender,man,5,biodiversity,1475.6051232190223,1388
gender,man,6,biodiversity,1201.6437897697347,1461
gender,man,7,biodiversity,1611.886216228117,1327
gender,man,8,biodiversity,1737.4330761669044,1182
gender,man,0,safety,1719.5937821407779,1389
gender,man,1,safety,1966.3182498361602,1323
gender,man,2,safety,2017.561927578341,926
gender,man,3,safety,2086.119254276433,1471
gender,man,4,safety,1781.4182340092657,1382
gender,man,5,safety,1671.741655837972,1309
gender,man,6,safety,1857.9973836371857,1445
gender,man,7,safety,1072.3836876286168,1014
gender,man,8,safety,1100.3415724937981,1461
gender,woman,0,living,1657.8937346316013,885
gender,woman,1,living,1429.415856583582,968
gender,woman,2,living,1882.7187471321752,688
gender,woman,3,living,1314.7117346268524,819
gender,woman,4,living,1937.626185722839,629
gender,woman,5,living,1593.9830155829384,850
gender,woman,6,living,1256.2922746412246,796
gender,woman,7,living,1728.7954663022501,965
gender,woman,8,living,1343.3635581489395,614
gender,woman,0,biodiversity,1868.0061803951903,626
gender,woman,1,biodiversity,1904.0335148652857,1024
gender,woman,2,biodiversity,1763.0531221389676,976
gender,woman,3,biodiversity,1723.3119138504749,1074
gender,woman,4,biodiversity,707.8189399357253,1066
gender,woman,5,biodiversity,1846.4507096775092,1010
gender,woman,6,biodiversity,965.0207658979651,1003
gender,woman,7,biodiversity,127.47237351169385,993
gender,woman,8,biodiversity,1450.35337574894,1024
gender,woman,0,safety,1389.017957870654,1248
gender,woman,1,safety,1549.9273379142423,1069
gender,woman,2,safety,1921.5693017396275,653
gender,woman,3,safety,51.270068194528655,1124
gender,woman,4,safety,1816.4259273395169,1105
