demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,2113.7434006663043,2421
global,global,1,living,1286.915914601409,2587
global,global,2,living,538.55850657429,2625
global,global,3,living,1454.0014260337691,2598
global,global,4,living,1884.2651204385377,2532
global,global,5,living,1916.9279153778475,2263
global,global,6,living,1481.3135574718924,1797
global,global,7,living,694.5979649212052,2246
global,global,8,living,2177.604229108603,1903
global,global,0,biodiversity,118.35172404256619,2169
global,global,1,biodiversity,1406.8192481021347,1725
global,global,2,biodiversity,1073.52207842736,2189
global,global,3,biodiversity,2049.381380197058,2844
global,global,4,biodiversity,2124.9662407593455,3050
global,global,5,biodiversity,2271.985965604134,3087
global,global,6,biodiversity,903.7931165455025,3024
global,global,7,biodiversity,2315.242324382163,2413
global,global,8,biodiversity,1590.680013476518,2375
global,global,0,safety,1663.128589941503,2212
global,global,1,safety,693.5088358628489,2323
global,global,2,safety,1406.8616840077316,2431
global,global,3,safety,337.6381749650457,1320
global,global,4,safety,2285.2909801092055,2387
global,global,5,safety,1559.9538840807454,2417
global,global,6,safety,1898.249262281117,2174
global,global,7,safety,804.8489288891625,2417
global,global,8,safety,2178.7266040270924,1771
gender,man,0,living,1332.560850734917,1276
gender,man,1,living,1649.6284066627957,1284
gender,man,2,living,1771.1741721726767,1345
gender,man,3,living,1224.0337290582074,1342
gender,man,4,living,2020.098482974899,1280
gender,man,5,living,1575.906668129904,1136
gender,man,6,living,1839.5450909747285,930
gender,man,7,living,1227.7174290484922,1178
gender,man,8,living,1934.5113971444105,965
gender,man,0,biodiversity,-982.0104162708602,1141
gender,man,1,biodiversity,1708.940611440939,972
gender,man,2,biodiversity,1184.9533809335974,1140
gender,man,3,biodiversity,1914.8502546198347,1432
gender,man,4,biodiversity,2056.386612903521,1463
gender,man,5,biodiversity,1996.7779176646334,1563
gender,man,6,biodiversity,1117.2983826675706,1489
gender,man,7,biodiversity,1845.7404314273929,1227
gender,man,8,biodiversity,1483.8078738606214,1245
gender,man,0,safety,1454.3423468288129,1168
gender,man,1,safety,1825.3440744919826,1199
gender,man,2,safety,1371.389123031013,1232
gender,man,3,safety,379.83594902755146,659
gender,man,4,safety,1898.461223911553,1200
gender,man,5,safety,1764.5703208639266,1240
gender,man,6,safety,2019.4477978927619,1066
gender,man,7,safety,1742.4306369520427,1286
gender,man,8,safety,1947.983335084562,966
gender,woman,0,living,1773.984783228593,942
gender,woman,1,living,1877.5454122169613,1040
gender,woman,2,living,960.1667787948761,1070
gender,woman,3,living,1464.3331018207014,1036
gender,woman,4,living,998.9731388860982,1002
gender,woman,5,living,1421.1014875340966,887
gender,woman,6,living,1627.0668697212807,752
gender,woman,7,living,1181.677173336077,881
gender,woman,8,living,1962.7025378878545,760
gender,woman,0,biodiversity,1798.1628683367944,855
gender,woman,1,biodiversity,658.0458084333022,677
gender,woman,2,biodiversity,1440.7936457196636,938
gender,woman,3,biodiversity,1457.6877433233165,1131
gender,woman,4,biodiversity,1851.1908193789384,1279
gender,woman,5,biodiversity,1914.2894618175187,1174
gender,woman,6,biodiversity,1555.2215023329832,1209
gender,woman,7,biodiversity,1718.7141801273026,990
gender,woman,8,biodiversity,2006.3632654329972,905
gender,woman,0,safety,1813.2175097031711,894
gender,woman,1,safety,1247.4588296972856,957
gender,woman,2,safety,1717.824796079551,1011
gender,woman,3,safety,1530.30015740363,605
gender,woman,4,safety,1852.7190206071782,992
gender,woman,5,safety,1489.5089331011948,993
gender,woman,6,safety,1629.4675815345845,900
gender,woman,7,safety,905.8219806543907,971
gender,woman,8,safety,1968.1200972797783,617
gender,other,0,living,1538.5315375922046,17
gender,other,1,living,1487.9352820022236,9
gender,other,2,living,1461.733095703601,15
gender,other,3,living,1536.0637178444777,9
gender,other,4,living,1499.8760967082956,12
gender,other,5,living,1560.085095826905,13
gender,other,6,living,1451.1294370798475,10
gender,other,7,living,1440.029572020368,7
gender,other,8,living,1526.5445637298,12
gender,other,0,biodiversity,1560.0019166635666,5
gender,other,1,biodiversity,1476.9359251791907,16
gender,other,2,biodiversity,1548.588615837404,14
gender,other,3,biodiversity,1525.7143501701776,16
gender,other,4,biodiversity,1459.725349381175,18
gender,other,5,biodiversity,1499.8493186185644,16
gender,other,6,biodiversity,1449.7153768147136,10
gender,other,7,biodiversity,1516.387700751184,13
gender,other,8,biodiversity,1476.8122274919972,12
gender,other,0,safety,1511.65760454607,11
gender,other,1,safety,1490.3017264132602,9
gender,other,2,safety,1501.8291146998176,14
gender,other,3,safety,1560.0305535275,9
gender,other,4,safety,1451.4732351405144,12
gender,other,5,safety,1536.8834100963927,9
gender,other,6,safety,1547.7661186673656,16
gender,other,7,safety,1465.2500492497804,19
gender,other,8,safety,1439.9003791324822,15
age,younger,0,living,1435.0615296772003,746
age,younger,1,living,1015.6587419844864,765
age,younger,2,living,1333.60388933004,743
age,younger,3,living,1953.469689881308,660
age,younger,4,living,1170.3318974840909,675
age,younger,5,living,1749.1553153008765,596
age,younger,6,living,1581.9090670943044,498
age,younger,7,living,1347.5318323498877,681
age,younger,8,living,1658.1854132572118,562
age,younger,0,biodiversity,979.7504661285044,635
age,younger,1,biodiversity,1380.5310194180588,483
age,younger,2,biodiversity,1883.307250564069,627
age,younger,3,biodiversity,1645.152806746809,862
age,younger,4,biodiversity,1910.980391925786,770
age,younger,5,biodiversity,1479.231590005628,815
age,younger,6,biodiversity,1153.6093514073964,811
age,younger,7,biodiversity,1533.6734736130256,633
age,younger,8,biodiversity,1617.685824778521,656
age,younger,0,safety,1843.01219377353,651
age,younger,1,safety,1679.577658745494,695
age,younger,2,safety,1372.2699676274003,714
age,younger,3,safety,1183.996788638683,407
age,younger,4,safety,1033.5451379584688,650
age,younger,5,safety,1887.206537101939,615
age,younger,6,safety,1821.8077599542187,651
age,younger,7,safety,1583.533545439132,693
age,younger,8,safety,1411.0917474167495,488
age,middle,0,living,1905.1626727833957,956
age,middle,1,living,1868.235944586749,1064
age,middle,2,living,1571.033364016323,1119
age,middle,3,living,1444.6124426414892,1149
age,middle,4,living,1412.6949162334279,1069
age,middle,5,living,1479.6757249334312,920
age,middle,6,living,1654.524061682395,769
age,middle,7,living,1318.717459929553,893
age,middle,8,living,1974.5444098949683,787
age,middle,0,biodiversity,1683.430869681954,890
age,middle,1,biodiversity,1195.4290324519923,804
age,middle,2,biodiversity,953.2905973230731,960
age,middle,3,biodiversity,1900.775709703033,1114
age,middle,4,biodiversity,1591.9253240280993,1340
age,middle,5,biodiversity,1824.8401420917119,1305
age,middle,6,biodiversity,1671.9574237082654,1271
age,middle,7,biodiversity,1752.934078652847,1064
age,middle,8,biodiversity,2010.3115676422278,984
age,middle,0,safety,1262.114032531376,976
age,middle,1,safety,1543.5174864487194,1001
age,middle,2,safety,1817.5769370026242,1020
age,middle,3,safety,1753.6267118312753,563
age,middle,4,safety,1898.0570795312624,1007
age,middle,5,safety,1382.5574885991116,1098
age,middle,6,safety,1618.2123169091276,856
age,middle,7,safety,1017.3282658574419,1043
age,middle,8,safety,1958.1600420565999,726
age,older,0,living,1487.4435108829528,528
age,older,1,living,1693.1236262082432,499
age,older,2,living,1017.4030315401325,559
age,older,3,living,1245.3613039015595,568
age,older,4,living,1817.0266287372406,540
age,older,5,living,1203.6004700965375,516
age,older,6,living,1669.8493422896033,421
age,older,7,living,1559.2415000796545,476
age,older,8,living,1779.4291674662416,387
age,older,0,biodiversity,1377.0293815962264,469
age,older,1,biodiversity,1642.3221930146037,372
age,older,2,biodiversity,1271.974407309759,497
age,older,3,biodiversity,890.1215242414594,595
age,older,4,biodiversity,1763.7117066249066,647
age,older,5,biodiversity,1743.993259868742,630
age,older,6,biodiversity,1577.42880847345,621
age,older,7,biodiversity,1888.2409152389962,525
age,older,8,biodiversity,1567.5295910610632,510
age,older,0,safety,1684.3414303620302,441
age,older,1,safety,1268.0492939185208,465
age,older,2,safety,1503.6963221370231,516
age,older,3,safety,891.8210004319552,301
age,older,4,safety,1715.125185441264,543
age,older,5,safety,1137.9851978677843,516
age,older,6,safety,1746.0153871091509,469
age,older,7,safety,1773.6131126138432,540
age,older,8,safety,1803.6506086273432,377
ethnicity,white,0,living,1938.2174742861625,1952
ethnicity,white,1,living,1145.761463475394,2060
ethnicity,white,2,living,919.661411022657,2070
ethnicity,white,3,living,1226.3022894623382,2062
ethnicity,white,4,living,1971.788737809593,2000
ethnicity,white,5,living,1882.043385649429,1767
ethnicity,white,6,living,1272.691735966125,1470
ethnicity,white,7,living,641.1126029378776,1740
ethnicity,white,8,living,2133.2813217840376,1513
ethnicity,white,0,biodiversity,960.6015189007753,1759
ethnicity,white,1,biodiversity,887.889883772903,1409
