demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1763.8363692533376,2400
global,global,1,living,450.9538995668314,2681
global,global,2,living,540.9426694329973,2088
global,global,3,living,1974.154304000306,2538
global,global,4,living,2257.3444037648737,1453
global,global,5,living,918.7658325887343,2548
global,global,6,living,2102.4488978750405,1743
global,global,7,living,1024.5762287164837,2154
global,global,8,living,1852.7402216260623,2115
global,global,0,biodiversity,2216.1279671808215,2284
global,global,1,biodiversity,1182.8127940238574,1301
global,global,2,biodiversity,2256.221447698964,1926
global,global,3,biodiversity,1304.6478338758438,1531
global,global,4,biodiversity,2044.9167971827194,2259
global,global,5,biodiversity,1504.3391296297211,2109
global,global,6,biodiversity,1134.5081027678202,2004
global,global,7,biodiversity,600.817701250466,1947
global,global,8,biodiversity,2154.478461898361,2105
global,global,0,safety,1585.6620513349885,2967
global,global,1,safety,1968.441922044604,3140
global,global,2,safety,2044.4670309165988,2962
global,global,3,safety,1290.0687683944027,2910
global,global,4,safety,1101.4225138549914,2767
global,global,5,safety,760.5002118570166,2918
global,global,6,safety,1728.3164591988802,3063
global,global,7,safety,2379.08227004519,2570
global,global,8,safety,2256.7752260516377,2817
gender,man,0,living,1726.1566093481076,1240
gender,man,1,living,463.8163203714575,1342
gender,man,2,living,627.5414401121468,1049
gender,man,3,living,1544.4655676496309,1306
gender,man,4,living,1689.4288298629347,765
gender,man,5,living,1800.2555868785823,1327
gender,man,6,living,1984.046220348007,874
gender,man,7,living,1174.9206134116776,1105
gender,man,8,living,1954.5833827277474,1106
gender,man,0,biodiversity,1782.978811899012,1118
gender,man,1,biodiversity,1659.665433354273,746
gender,man,2,biodiversity,1949.496495652891,1051
gender,man,3,biodiversity,1161.9020044697495,841
gender,man,4,biodiversity,1041.3217915855041,1139
gender,man,5,biodiversity,1911.6489606593302,1055
gender,man,6,biodiversity,1539.2050844292191,1049
gender,man,7,biodiversity,1415.0874870308876,1095
gender,man,8,biodiversity,2047.9058721583917,1054
gender,man,0,safety,1911.104426804499,1427
gender,man,1,safety,1755.4783462624425,1579
gender,man,2,safety,1527.5086432747019,1518
gender,man,3,safety,546.7380968956606,1487
gender,man,4,safety,1321.5441370819572,1408
gender,man,5,safety,1882.4976774173674,1435
gender,man,6,safety,2076.2559406287464,1561
gender,man,7,safety,1843.3278178904,1393
gender,man,8,safety,1982.813559143051,1354
gender,woman,0,living,1628.4818348795334,971
gender,woman,1,living,1108.1764522490619,1146
gender,woman,2,living,1772.9929388372364,915
gender,woman,3,living,1800.9039635012975,1021
gender,woman,4,living,1927.744840571573,558
gender,woman,5,living,814.6668886245357,1019
gender,woman,6,living,1173.2968086108865,726
gender,woman,7,living,1884.5822279279612,893
gender,woman,8,living,1485.5762655134786,887
gender,woman,0,biodiversity,1991.0591364160066,757
gender,woman,1,biodiversity,1029.0080536462049,478
gender,woman,2,biodiversity,1620.8360895831618,721
gender,woman,3,biodiversity,1464.4243183165825,597
gender,woman,4,biodiversity,1802.5326786138467,794
gender,woman,5,biodiversity,1680.3479911892107,733
gender,woman,6,biodiversity,1336.9055810470475,800
gender,woman,7,biodiversity,843.1511967177145,720
gender,woman,8,biodiversity,1315.0810046715258,736
gender,woman,0,safety,1106.6780644706064,1215
gender,woman,1,safety,1351.6955004514098,1299
gender,woman,2,safety,2009.6765356177732,1204
gender,woman,3,safety,1255.1539092319636,1240
gender,woman,4,safety,1603.870325447799,1194
gender,woman,5,safety,1064.2072270383449,1225
gender,woman,6,safety,1629.0137935034659,1277
gender,woman,7,safety,1729.402371944447,1087
gender,woman,8,safety,2133.2667086804504,1255
