demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1069.6725157559385,3477
global,global,1,living,1836.191446022757,3346
global,global,2,living,1970.9288810148255,3094
global,global,3,living,2064.9620575600384,2990
global,global,4,living,661.0686500308694,2013
global,global,5,living,2353.9341496775087,2309
global,global,6,living,2236.2324713060716,2589
global,global,7,living,2034.027489160647,2744
global,global,8,living,1770.5951496764228,3682
global,global,0,biodiversity,1593.8051475078503,2258
global,global,1,biodiversity,-729.8206045885394,2060
global,global,2,biodiversity,2028.5427446897954,1899
global,global,3,biodiversity,2132.5152068482316,1816
global,global,4,biodiversity,1883.1726952435592,2096
global,global,5,biodiversity,2216.9211769213257,2003
global,global,6,biodiversity,1181.80264890427,2251
global,global,7,biodiversity,1508.934169831556,2040
global,global,8,biodiversity,657.0011571478451,2299
global,global,0,safety,984.3923486615167,1906
global,global,1,safety,670.0658959631255,2214
global,global,2,safety,2232.3059525960475,1044
global,global,3,safety,1833.546085039326,2257
global,global,4,safety,1191.2007803340616,2363
global,global,5,safety,787.8362138064327,2285
global,global,6,safety,1544.364838939027,2200
global,global,7,safety,192.87682444043745,1931
global,global,8,safety,2056.8976104411886,2134
gender,man,0,living,2012.66570012401,1838
gender,man,1,living,2029.2987084794315,1654
gender,man,2,living,2057.662563143201,1584
gender,man,3,living,1457.91944622017,1368
gender,man,4,living,1042.8980273364675,980
gender,man,5,living,2072.828418688491,1203
gender,man,6,living,1970.4984151164865,1358
gender,man,7,living,2094.8479369460915,1439
gender,man,8,living,1895.9067680136716,1920
gender,man,0,biodiversity,1759.420796048658,1261
gender,man,1,biodiversity,1081.3590020549486,1097
gender,man,2,biodiversity,1022.0932984085696,991
gender,man,3,biodiversity,1895.265389149471,860
gender,man,4,biodiversity,1163.9310571558503,1092
gender,man,5,biodiversity,1961.886058183689,1008
gender,man,6,biodiversity,1134.6663796657544,1112
gender,man,7,biodiversity,1824.1400966561573,1098
gender,man,8,biodiversity,290.62264721418313,1175
gender,man,0,safety,500.446940613941,876
gender,man,1,safety,1503.7467971071296,1122
gender,man,2,safety,1995.6805369548285,547
gender,man,3,safety,1915.38531771703,1141
gender,man,4,safety,1542.7481853653846,1234
gender,man,5,safety,1599.2814959061307,1170
gender,man,6,safety,1424.5621588119495,1176
gender,man,7,safety,1474.4612304452505,1018
gender,man,8,safety,1954.8162103422546,1102
gender,woman,0,living,1593.1455738398136,1359
gender,woman,1,living,1175.413739708655,1335
gender,woman,2,living,1727.5818310204513,1144
gender,woman,3,living,1478.2383309323166,1241
gender,woman,4,living,1089.6343971424224,920
gender,woman,5,living,1931.3789554425964,898
gender,woman,6,living,1995.5570196322067,1002
gender,woman,7,living,1734.3548177177506,1029
gender,woman,8,living,1813.6467632267102,1432
gender,woman,0,biodiversity,1008.267822686072,879
gender,woman,1,biodiversity,518.8101701129822,824
gender,woman,2,biodiversity,1983.9531283402355,684
gender,woman,3,biodiversity,1630.144476012804,773
gender,woman,4,biodiversity,1778.6225618241378,828
gender,woman,5,biodiversity,1531.4130829907685,800
gender,woman,6,biodiversity,1596.3553115591408,984
gender,woman,7,biodiversity,1069.0881979980893,823
gender,woman,8,biodiversity,1706.2783683376783,1031
gender,woman,0,safety,1869.5750774361884,839
gender,woman,1,safety,1078.3153768114896,879
gender,woman,2,safety,1973.288488787225,418
gender,woman,3,safety,1454.1555521490468,1003
gender,woman,4,safety,1592.628732295086,919
gender,woman,5,safety,1340.8544859657625,873
gender,woman,6,safety,1773.097500326155,877
gender,woman,7,safety,939.088790285164,774
gender,woman,8,safety,1708.051546182612,900
gender,other,0,living,1517.9621097833342,15
gender,other,1,living,1479.044647275675,18
gender,other,2,living,1555.1259228723934,17
gender,other,3,living,1464.2417431993063,15
gender,other,4,living,1451.9997770126924,8
gender,other,5,living,1570.0765773619837,20
gender,other,6,living,1427.9927547387306,14
gender,other,7,living,1536.6110423099306,11
gender,other,8,living,1499.1268990087087,18
gender,other,0,biodiversity,1451.6443504164913,10
gender,other,1,biodiversity,1466.1413478746908,17
gender,other,2,biodiversity,1549.9935146691653,8
gender,other,3,biodiversity,1439.9994143164722,5
gender,other,4,biodiversity,1561.826159372488,11
gender,other,5,biodiversity,1477.5583478424394,22
gender,other,6,biodiversity,1536.317762538656,15
gender,other,7,biodiversity,1500.2548628548725,16
gender,other,8,biodiversity,1522.0570146119767,18
gender,other,0,safety,1513.2704648819606,9
gender,other,1,safety,1476.742132368806,12
gender,other,2,safety,1500.0,10
gender,other,3,safety,1462.3269752005272,7
gender,other,4,safety,1560.346079443672,7
gender,other,5,safety,1488.827614673444,7
gender,other,6,safety,1534.370853775123,11
gender,other,7,safety,1440.0598509103731,7
gender,other,8,safety,1524.9426326186197,10
age,younger,0,living,1852.1396668325924,1019
age,younger,1,living,1062.5315359110023,947
age,younger,2,living,490.01432582103604,796
age,younger,3,living,1684.21387362945,752
age,younger,4,living,1187.052438601902,558
age,younger,5,living,1776.2328466368895,591
age,younger,6,living,1849.5065484244712,744
age,younger,7,living,1915.655734005203,796
age,younger,8,living,1224.844584618451,1029
age,younger,0,biodiversity,1556.455268128612,639
age,younger,1,biodiversity,1098.549916367361,639
age,younger,2,biodiversity,1672.5306292076052,540
age,younger,3,biodiversity,1157.558130562734,531
age,younger,4,biodiversity,966.7947520174583,573
age,younger,5,biodiversity,1910.2751344958283,476
age,younger,6,biodiversity,1461.9044533942651,663
age,younger,7,biodiversity,1836.3692304057154,597
age,younger,8,biodiversity,1505.2030152728378,678
age,younger,0,safety,1449.7156185202846,511
age,younger,1,safety,1130.7799622541172,615
age,younger,2,safety,1844.362730982563,263
age,younger,3,safety,1661.2682671409254,688
age,younger,4,safety,1533.1469529007534,673
age,younger,5,safety,1682.5649814593698,661
age,younger,6,safety,1339.750841632481,685
age,younger,7,safety,981.3711122605366,523
age,younger,8,safety,1874.090760811005,595
age,middle,0,living,944.6740653068099,1431
age,middle,1,living,1735.6773303807106,1405
age,middle,2,living,1892.5214133743957,1280
age,middle,3,living,127.66799120090981,1220
age,middle,4,living,1172.304919158578,935
age,middle,5,living,1835.9889053970833,1013
age,middle,6,living,1850.2530676145152,1086
age,middle,7,living,1969.568770327615,1114
age,middle,8,living,979.2018506698225,1554
age,middle,0,biodiversity,1055.3627402680238,1024
age,middle,1,biodiversity,838.218991614077,851
age,middle,2,biodiversity,1958.1656121050569,733
age,middle,3,biodiversity,1763.215482802249,749
age,middle,4,biodiversity,1580.0135909256421,890
age,middle,5,biodiversity,1081.4708057666603,928
age,middle,6,biodiversity,1624.3477706991355,933
age,middle,7,biodiversity,-189.91861854562853,884
age,middle,8,biodiversity,1303.8094724210987,988
age,middle,0,safety,1579.2057073288245,737
age,middle,1,safety,1278.2354084907286,960
age,middle,2,safety,1879.6453204497818,469
age,middle,3,safety,1931.1366405179679,956
age,middle,4,safety,1342.615259020212,997
age,middle,5,safety,623.0484791355092,872
age,middle,6,safety,1834.3414364049117,917
age,middle,7,safety,1747.1825482804065,860
age,middle,8,safety,1695.29678434647,962
age,older,0,living,1500.389257502199,754
age,older,1,living,1388.4114428975643,642
age,older,2,living,1761.8171834050422,667
age,older,3,living,1542.6764881791883,651
age,older,4,living,711.4389220131676,413
age,older,5,living,1656.782240648121,512
age,older,6,living,1864.6781691280278,535
age,older,7,living,1280.7062915982644,556
age,older,8,living,1906.7967012442089,778
age,older,0,biodiversity,1479.0158457446362,478
age,older,1,biodiversity,1122.792486006797,445
age,older,2,biodiversity,1238.9661059416312,403
age,older,3,biodiversity,1883.1607499380498,352
age,older,4,biodiversity,1619.111331171807,460
age,older,5,biodiversity,1655.9686020756956,423
age,older,6,biodiversity,1378.730325105855,508
age,older,7,biodiversity,1715.2672369027873,444
age,older,8,biodiversity,1397.8356087328752,555
age,older,0,safety,1498.5243256993922,468
age,older,1,safety,1633.662245598069,433
age,older,2,safety,1797.7046392419752,241
age,older,3,safety,938.2402448927141,500
age,older,4,safety,1752.79462064795,487
age,older,5,safety,1700.470624643878,508
age,older,6,safety,1658.1817381453573,455
age,older,7,safety,1264.09844542008,406
age,older,8,safety,1472.8427600743305,454
ethnicity,white,0,living,1815.110928084249,2738
ethnicity,white,1,living,400.54374045910777,2572
ethnicity,white,2,living,1427.2992078451814,2388
ethnicity,white,3,living,1688.105242689528,2325
ethnicity,white,4,living,248.18954159877734,1624
ethnicity,white,5,living,2288.0772697894827,1819
ethnicity,white,6,living,2028.3896375631562,2020
ethnicity,white,7,living,2009.9345103266864,2076
ethnicity,white,8,living,2104.77260859595,2902
ethnicity,white,0,biodiversity,1258.167222894356,1884
ethnicity,white,1,biodiversity,619.2466346529916,1712
ethnicity,white,2,biodiversity,1779.0081144731007,1447
ethnicity,white,3,biodiversity,2064.83998694786,1416
ethnicity,white,4,biodiversity,2098.3965123357034,1633
ethnicity,white,5,biodiversity,1877.9878061456657,1578
ethnicity,white,6,biodiversity,1389.367356343141,1847
ethnicity,white,7,biodiversity,832.668825186676,1635
ethnicity,white,8,biodiversity,711.6291903489024,1924
ethnicity,white,0,safety,830.4871734085887,1470
ethnicity,white,1,safety,889.4774734889355,1733
ethnicity,white,2,safety,2149.454221851296,828
ethnicity,white,3,safety,1974.4272104217926,1836
ethnicity,white,4,safety,1033.9040195337384,1896
ethnicity,white,5,safety,1401.2304764488777,1784
ethnicity,white,6,safety,1819.060465957592,1737
ethnicity,white,7,safety,119.6497652324302,1583
ethnicity,white,8,safety,1774.1617779532285,1753
ethnicity,other,0,living,1613.9365604952272,346
ethnicity,other,1,living,1668.9533637588113,325
ethnicity,other,2,living,1769.2787211525401,238
ethnicity,other,3,living,1279.8056004296125,206
ethnicity,other,4,living,1481.4581449346606,204
ethnicity,other,5,living,1330.5283485586965,222
ethnicity,other,6,living,1564.1253255930676,258
ethnicity,other,7,living,1649.2544326129128,294
ethnicity,other,8,living,1627.0383163402994,333
ethnicity,other,0,biodiversity,1215.0170728576727,164
ethnicity,other,1,biodiversity,1109.6091252204799,154
ethnicity,other,2,biodiversity,1628.9645047027072,148
ethnicity,other,3,biodiversity,1564.4580441357398,156
ethnicity,other,4,biodiversity,1309.5946781033297,216
ethnicity,other,5,biodiversity,1678.885738036539,184
ethnicity,other,6,biodiversity,1531.5059158340966,179
ethnicity,other,7,biodiversity,1745.4808328651595,209
ethnicity,other,8,biodiversity,1463.1453698122373,230
ethnicity,other,0,safety,1438.863256501947,188
ethnicity,other,1,safety,1352.0854432968754,192
ethnicity,other,2,safety,1589.3366837102794,95
ethnicity,other,3,safety,1247.8684626442162,225
ethnicity,other,4,safety,1686.7292682036332,185
ethnicity,other,5,safety,1399.6637574273034,171
ethnicity,other,6,safety,1378.2014873807789,233
ethnicity,other,7,safety,1548.0260305291968,156
ethnicity,other,8,safety,1753.098976640297,169
education,sixteen,0,living,1435.7420631815478,226
education,sixteen,1,living,1414.2560629017687,227
education,sixteen,2,living,1763.3345086587217,180
education,sixteen,3,living,1571.7457157794438,162
education,sixteen,4,living,1592.5435881029207,164
education,sixteen,5,living,1316.407905005505,180
education,sixteen,6,living,1620.6176915395142,136
education,sixteen,7,living,1488.2594799377075,169
education,sixteen,8,living,1477.4555055586422,266
education,sixteen,0,biodiversity,1328.3082399078207,141
education,sixteen,1,biodiversity,1456.5757394737343,137
education,sixteen,2,biodiversity,1399.1455639813726,109
education,sixteen,3,biodiversity,1694.2729464295583,111
education,sixteen,4,biodiversity,1671.2228679051925,132
education,sixteen,5,biodiversity,1573.090987075936,160
education,sixteen,6,biodiversity,1489.0217253462602,160
education,sixteen,7,biodiversity,1516.1598695277091,123
education,sixteen,8,biodiversity,1537.737126311865,207
education,sixteen,0,safety,1358.3427750748262,139
education,sixteen,1,safety,1491.8695533143139,108
education,sixteen,2,safety,1677.7750215529122,77
education,sixteen,3,safety,1575.072929830635,126
education,sixteen,4,safety,1333.1611696726372,159
education,sixteen,5,safety,1166.3554515288506,125
education,sixteen,6,safety,1628.1833911222795,116
education,sixteen,7,safety,1541.3348060645883,117
education,sixteen,8,safety,1603.5200710236368,115
education,eighteen,0,living,1342.2438831535558,571
education,eighteen,1,living,1689.1669322799767,502
education,eighteen,2,living,1623.114325820767,485
education,eighteen,3,living,1502.394211139974,505
education,eighteen,4,living,811.0547470740471,312
education,eighteen,5,living,1586.3273846649256,435
education,eighteen,6,living,1746.5627053045603,417
education,eighteen,7,living,1261.0055595671315,474
education,eighteen,8,living,1880.5050528248048,545
education,eighteen,0,biodiversity,1483.7115676297303,376
education,eighteen,1,biodiversity,883.1698292390951,307
education,eighteen,2,biodiversity,1778.934954809346,339
education,eighteen,3,biodiversity,1638.3324527779384,320
education,eighteen,4,biodiversity,1707.8402039134373,365
education,eighteen,5,biodiversity,1466.1101835594586,360
education,eighteen,6,biodiversity,1118.42813295866,377
education,eighteen,7,biodiversity,1741.9562033969898,375
education,eighteen,8,biodiversity,1539.5520738210569,427
education,eighteen,0,safety,1639.3883257452635,359
education,eighteen,1,safety,1447.281180973391,332
education,eighteen,2,safety,1606.7820174189249,190
education,eighteen,3,safety,1746.1764889904127,399
education,eighteen,4,safety,1567.805500412803,406
education,eighteen,5,safety,1316.5067814221093,388
education,eighteen,6,safety,1844.3475168663533,331
education,eighteen,7,safety,856.4852208538986,314
education,eighteen,8,safety,1493.639589886856,431
education,older,0,living,1749.605860383456,2372
education,older,1,living,940.3981166843894,2249
education,older,2,living,1193.412150791785,2042
education,older,3,living,988.8168526417086,1923
education,older,4,living,1307.2565222927876,1414
education,older,5,living,1962.869459039252,1477
education,older,6,living,2016.2549477745404,1779
education,older,7,living,2133.2522217164046,1804
education,older,8,living,1405.052487010536,2504
education,older,0,biodiversity,1591.5938093525097,1606
education,older,1,biodiversity,904.9398542314506,1463
education,older,2,biodiversity,1873.716802543962,1208
education,older,3,biodiversity,1743.5477015507965,1200
education,older,4,biodiversity,873.5134360791753,1415
education,older,5,biodiversity,2065.9650915183597,1293
education,older,6,biodiversity,1683.654453675715,1554
education,older,7,biodiversity,1307.2987908988569,1419
education,older,8,biodiversity,597.3164161303931,1560
education,older,0,safety,894.6817824704844,1206
education,older,1,safety,1246.5268176073905,1553
education,older,2,safety,2088.6853372881683,693
education,older,3,safety,1660.4621756774002,1604
education,older,4,safety,1557.06368173175,1555
education,older,5,safety,1627.859934860195,1506
education,older,6,safety,1469.9329556383798,1590
education,older,7,safety,1042.9480275978458,1352
education,older,8,safety,2046.1673784957673,1439
income,lower,0,living,1802.4199351723369,542
income,lower,1,living,971.6019929967849,527
income,lower,2,living,1450.874262824356,508
income,lower,3,living,1392.6730883068399,538
income,lower,4,living,1554.7543786130418,418
income,lower,5,living,1077.6635912401762,426
income,lower,6,living,1854.4204948832207,367
income,lower,7,living,1604.9108235156307,471
income,lower,8,living,1701.6901552586205,637
income,lower,0,biodiversity,1232.5231707438343,343
income,lower,1,biodiversity,962.4620251143862,337
income,lower,2,biodiversity,1679.4345259504169,288
income,lower,3,biodiversity,1373.003403187874,346
income,lower,4,biodiversity,1605.4312914744964,374
income,lower,5,biodiversity,1628.2065329762436,345
income,lower,6,biodiversity,1703.1570032974284,435
income,lower,7,biodiversity,1801.5371808324237,364
income,lower,8,biodiversity,1569.7542701069142,436
income,lower,0,safety,1584.802130714181,377
income,lower,1,safety,1211.6024920580273,333
income,lower,2,safety,1779.8414640571289,170
income,lower,3,safety,1623.743856486706,421
income,lower,4,safety,1705.7061911590613,369
income,lower,5,safety,916.7846374111896,326
income,lower,6,safety,1649.9156711570247,352
income,lower,7,safety,1467.9744396277924,300
income,lower,8,safety,1513.3477668602127,370
income,middle,0,living,777.4178943930864,1056
income,middle,1,living,1666.1595204188147,931
income,middle,2,living,1272.10265586216,887
income,middle,3,living,1923.431652189583,790
income,middle,4,living,1435.020071212567,594
income,middle,5,living,1836.6337228088453,621
income,middle,6,living,1750.5897602934922,714
income,middle,7,living,1219.5811515324167,814
income,middle,8,living,1702.7722799627743,1051
income,middle,0,biodiversity,1688.89895054038,688
income,middle,1,biodiversity,1554.1603920926223,603
income,middle,2,biodiversity,1901.599854544979,527
income,middle,3,biodiversity,1731.5671410373284,523
income,middle,4,biodiversity,707.4200055994114,661
income,middle,5,biodiversity,1787.295230145824,567
income,middle,6,biodiversity,1024.8655816683738,699
income,middle,7,biodiversity,1165.4072242582877,632
income,middle,8,biodiversity,956.0160195220823,700
income,middle,0,safety,473.4222197792323,516
income,middle,1,safety,929.2678205627785,631
income,middle,2,safety,1856.7538287047935,313
income,middle,3,safety,1277.2537379173393,691
income,middle,4,safety,1723.5040932881343,713
income,middle,5,safety,1643.4577776258704,696
income,middle,6,safety,1761.6910934940195,655
income,middle,7,safety,1235.7914718731633,588
income,middle,8,safety,1813.221076054939,673
income,higher,0,living,1793.1912091206693,1042
income,higher,1,living,1264.1139267532606,1038
income,higher,2,living,1389.7619386031765,858
income,higher,3,living,519.7891292225397,828
income,higher,4,living,744.8545983438038,599
income,higher,5,living,1836.1429759939256,649
income,higher,6,living,1574.233714369928,845
income,higher,7,living,1984.0638510794101,763
income,higher,8,living,1547.7989638883964,1088
income,higher,0,biodiversity,1182.2769153746733,743
income,higher,1,biodiversity,1154.101678998604,651
income,higher,2,biodiversity,1524.4134778366163,533
income,higher,3,biodiversity,1900.7051974874478,478
income,higher,4,biodiversity,1855.5754441721863,559
income,higher,5,biodiversity,1459.0499395909785,601
income,higher,6,biodiversity,1614.566137411503,634
income,higher,7,biodiversity,1267.1439574699114,583
income,higher,8,biodiversity,1301.5463782779573,726
income,higher,0,safety,1750.6116701792669,510
income,higher,1,safety,1192.6644804350728,698
income,higher,2,safety,1871.6777680042042,296
income,higher,3,safety,1461.0822677004537,702
income,higher,4,safety,725.342480922375,672
income,higher,5,safety,1249.7863558317315,639
