demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1391.4684287436799,2629
global,global,1,living,2029.89851388302,2060
global,global,2,living,1483.8751135189616,2228
global,global,3,living,2277.7145599514192,1918
global,global,4,living,1208.8207577555975,2367
global,global,5,living,2127.702915524226,2227
global,global,6,living,1762.6507601805022,2215
global,global,7,living,1011.2105261864529,2361
global,global,8,living,1576.5591321487652,2591
global,global,0,biodiversity,2377.7371385798874,3465
global,global,1,biodiversity,2255.7975198931763,2802
global,global,2,biodiversity,2114.4371378320175,3221
global,global,3,biodiversity,1683.71134982654,3680
global,global,4,biodiversity,1385.1611388033248,3279
global,global,5,biodiversity,1222.3957613856005,2526
global,global,6,biodiversity,2199.9160702529625,2988
global,global,7,biodiversity,1683.2769262471106,2311
global,global,8,biodiversity,2042.2952349733105,3298
global,global,0,safety,791.2810810857571,1754
global,global,1,safety,2028.5403989797296,1326
global,global,2,safety,1239.1059801751417,1892
global,global,3,safety,1694.856879341915,1584
global,global,4,safety,44.83248785621135,1918
global,global,5,safety,1307.8474772914599,1617
global,global,6,safety,995.4022276258453,2027
global,global,7,safety,1432.4739888029176,1824
global,global,8,safety,2135.2851683287668,1192
gender,man,0,living,1828.498682467342,1342
gender,man,1,living,1998.4711604459942,1047
gender,man,2,living,753.0532251700084,1063
gender,man,3,living,1775.7385991636968,975
gender,man,4,living,1424.7422345149882,1167
gender,man,5,living,1300.4978877369101,1154
gender,man,6,living,2046.5240025430467,1191
gender,man,7,living,510.0161097509764,1178
gender,man,8,living,1683.4447068853049,1297
gender,man,0,biodiversity,2209.6342341919803,1770
gender,man,1,biodiversity,1793.8129997810909,1406
gender,man,2,biodiversity,1993.2623257160149,1718
gender,man,3,biodiversity,1707.3722068146014,1929
gender,man,4,biodiversity,1462.2832748564688,1715
gender,man,5,biodiversity,1860.158053636421,1302
gender,man,6,biodiversity,1607.5755688359495,1544
gender,man,7,biodiversity,1941.6573899488246,1168
gender,man,8,biodiversity,1319.8470329297097,1668
gender,man,0,safety,1593.7701586123549,931
gender,man,1,safety,1998.1478323238064,632
gender,man,2,safety,834.6877733178629,1027
gender,man,3,safety,1695.1236096720859,765
gender,man,4,safety,1155.4457952524092,976
gender,man,5,safety,1038.9074144739286,827
gender,man,6,safety,1290.0005624622665,1001
gender,man,7,safety,1261.2848038399661,994
gender,man,8,safety,1777.1961708349238,637
gender,woman,0,living,950.0205082559187,1066
gender,woman,1,living,1986.7006264248128,800
gender,woman,2,living,1716.5087567448868,894
gender,woman,3,living,1743.5457719763444,772
gender,woman,4,living,1136.5765397475416,1011
gender,woman,5,living,1848.9085104385485,884
gender,woman,6,living,1323.9526362734932,810
gender,woman,7,living,1538.2048964263345,957
gender,woman,8,living,1649.4750397529738,1054
gender,woman,0,biodiversity,1239.3094464380774,1450
gender,woman,1,biodiversity,1897.1615912284358,1130
gender,woman,2,biodiversity,1979.2491863975413,1282
gender,woman,3,biodiversity,1439.2819885142655,1384
gender,woman,4,biodiversity,1726.3275507264798,1260
gender,woman,5,biodiversity,999.6636660040105,1028
gender,woman,6,biodiversity,1503.9932560455454,1200
gender,woman,7,biodiversity,1651.5068652173375,955
gender,woman,8,biodiversity,1994.715456061476,1327
gender,woman,0,safety,817.0820339974739,702
gender,woman,1,safety,1510.5286899124383,572
gender,woman,2,safety,1847.1058162626493,672
gender,woman,3,safety,1607.4904013118933,679
gender,woman,4,safety,996.7540312895572,813
gender,woman,5,safety,1640.3054653169584,679
gender,woman,6,safety,1427.009540703933,877
gender,woman,7,safety,1741.3858599332857,739
gender,woman,8,safety,1914.760954608567,471
gender,other,0,living,1488.344384896251,17
gender,other,1,living,1451.9274852757114,8
gender,other,2,living,1571.4300007565216,14
gender,other,3,living,1477.5039348959742,12
gender,other,4,living,1557.8560096732726,15
gender,other,5,living,1460.8861358148556,17
gender,other,6,living,1425.5856090001364,14
gender,other,7,living,1512.7440816164888,17
gender,other,8,living,1544.935090250991,10
gender,other,0,biodiversity,1463.2432717666943,11
gender,other,1,biodiversity,1560.8503930177974,11
gender,other,2,biodiversity,1524.0960369722216,10
gender,other,3,biodiversity,1504.5642895287951,20
gender,other,4,biodiversity,1524.6286996527144,14
gender,other,5,biodiversity,1452.3585589093748,16
gender,other,6,biodiversity,1500.3506440729063,16
gender,other,7,biodiversity,1425.1021742249513,8
gender,other,8,biodiversity,1549.4250739488812,16
gender,other,0,safety,1536.8989909696077,11
gender,other,1,safety,1427.8102914217955,10
gender,other,2,safety,1457.2575644483634,13
gender,other,3,safety,1499.8892102904217,8
gender,other,4,safety,1476.0648236263055,10
gender,other,5,safety,1569.3137371158778,12
gender,other,6,safety,1491.8348116487575,13
gender,other,7,safety,1524.827614673444,6
gender,other,8,safety,1512.0,9
age,younger,0,living,1870.2114271449116,728
age,younger,1,living,1686.673432815817,556
age,younger,2,living,1647.9400031747075,661
age,younger,3,living,1845.076838549684,550
age,younger,4,living,1379.9431304728562,677
age,younger,5,living,1228.1458123488426,667
age,younger,6,living,1469.6814541831113,639
age,younger,7,living,1609.334408866276,642
age,younger,8,living,1803.1632361697586,734
age,younger,0,biodiversity,1956.0697528283063,935
age,younger,1,biodiversity,1476.1717906911854,763
age,younger,2,biodiversity,1879.3446099456187,933
age,younger,3,biodiversity,1446.2100024173733,1011
age,younger,4,biodiversity,1771.7708183203854,947
age,younger,5,biodiversity,1222.5094647019484,675
age,younger,6,biodiversity,1631.8930604917246,832
age,younger,7,biodiversity,1698.0690752247988,632
age,younger,8,biodiversity,1830.1625113405696,966
age,younger,0,safety,1618.6628196296795,520
age,younger,1,safety,1819.4803712056676,333
age,younger,2,safety,1430.7952746615447,540
age,younger,3,safety,1694.561767688207,401
age,younger,4,safety,1487.1811413111354,570
age,younger,5,safety,1518.1108359667994,479
age,younger,6,safety,1595.967333710121,581
age,younger,7,safety,723.0067414920723,450
age,younger,8,safety,1775.5823350824467,360
age,middle,0,living,1478.9069364562877,1119
age,middle,1,living,1972.8707826002349,822
age,middle,2,living,1448.6885018780931,839
age,middle,3,living,1837.421762429463,797
age,middle,4,living,560.696712619896,986
age,middle,5,living,1917.7455324270943,896
age,middle,6,living,1702.9769811603107,918
age,middle,7,living,1225.6106086500079,977
age,middle,8,living,1516.9987805260387,1092
age,middle,0,biodiversity,1548.9333080913536,1518
age,middle,1,biodiversity,1186.2811686653417,1216
age,middle,2,biodiversity,2011.763213497179,1367
age,middle,3,biodiversity,1375.9346739011473,1559
age,middle,4,biodiversity,1966.7791694663033,1390
age,middle,5,biodiversity,721.3334708411061,1100
age,middle,6,biodiversity,1686.4715012406796,1300
age,middle,7,biodiversity,1871.0092870154403,949
age,middle,8,biodiversity,1809.7845413663836,1333
age,middle,0,safety,1223.4881162815263,723
age,middle,1,safety,1774.7300400169904,590
age,middle,2,safety,1698.0490089825746,799
age,middle,3,safety,1523.00858029601,710
age,middle,4,safety,1090.93351545642,797
age,middle,5,safety,1917.7519610973754,693
age,middle,6,safety,1587.2710101380715,852
age,middle,7,safety,1721.7251433062454,870
age,middle,8,safety,1803.1532912483124,536
age,older,0,living,1312.5672026854807,572
age,older,1,living,1783.2286750138965,470
age,older,2,living,1365.5104539757028,465
age,older,3,living,1497.1428858861973,406
age,older,4,living,1823.8706322590695,514
age,older,5,living,1676.006472024875,473
age,older,6,living,1399.2940196285101,453
age,older,7,living,1554.2559502654037,530
age,older,8,living,1723.5630905002529,519
age,older,0,biodiversity,1162.175051557012,771
age,older,1,biodiversity,1858.722923026389,557
age,older,2,biodiversity,1803.037746194533,707
age,older,3,biodiversity,1430.9823547716196,754
age,older,4,biodiversity,1036.0712839659052,646
age,older,5,biodiversity,1768.0616932322837,571
age,older,6,biodiversity,1732.8638297757404,619
age,older,7,biodiversity,720.0961703899267,548
age,older,8,biodiversity,1053.3382041806765,709
age,older,0,safety,1223.5175120219308,398
age,older,1,safety,1800.2799475533257,290
age,older,2,safety,1147.0263413946234,367
age,older,3,safety,1473.9263425617926,343
age,older,4,safety,701.7129253022202,420
age,older,5,safety,1110.333817115045,338
age,older,6,safety,1594.4543965622172,459
age,older,7,safety,1693.7742102392137,412
age,older,8,safety,1755.0451905580533,217
ethnicity,white,0,living,1298.7327384215985,2072
ethnicity,white,1,living,2151.2516693460443,1599
ethnicity,white,2,living,1801.8260831337204,1700
ethnicity,white,3,living,2120.7366762007605,1484
ethnicity,white,4,living,1181.011908321723,1850
ethnicity,white,5,living,1719.1762776718747,1754
ethnicity,white,6,living,1644.4931855855891,1727
ethnicity,white,7,living,937.5711841611214,1833
ethnicity,white,8,living,1244.6306316042812,2057
ethnicity,white,0,biodiversity,1347.311985813116,2792
ethnicity,white,1,biodiversity,2095.2516382555636,2225
ethnicity,white,2,biodiversity,1724.009523136032,2594
ethnicity,white,3,biodiversity,1248.8241737455146,2895
ethnicity,white,4,biodiversity,2206.9088020501986,2574
ethnicity,white,5,biodiversity,1884.6320091420698,2011
ethnicity,white,6,biodiversity,1998.868219236748,2365
ethnicity,white,7,biodiversity,2123.611579755929,1859
ethnicity,white,8,biodiversity,1322.880463040513,2623
ethnicity,white,0,safety,742.5481607739132,1415
ethnicity,white,1,safety,1983.1205948746242,1043
ethnicity,white,2,safety,1332.3472734069967,1429
ethnicity,white,3,safety,1503.5275460338803,1253
ethnicity,white,4,safety,1048.5171162271404,1547
ethnicity,white,5,safety,1673.1436051499165,1338
ethnicity,white,6,safety,1632.2666431246032,1635
ethnicity,white,7,safety,1168.229140698231,1522
ethnicity,white,8,safety,2092.1390415308983,964
ethnicity,other,0,living,1536.4461286009844,273
ethnicity,other,1,living,1334.9392104059132,180
ethnicity,other,2,living,1665.8489306422275,192
ethnicity,other,3,living,1587.747761653513,192
ethnicity,other,4,living,1566.355017986885,254
ethnicity,other,5,living,1607.66329255922,206
ethnicity,other,6,living,1492.4796134859475,206
ethnicity,other,7,living,1371.869717897635,240
ethnicity,other,8,living,1716.914096070953,215
ethnicity,other,0,biodiversity,1565.2379027289883,301
ethnicity,other,1,biodiversity,1455.260763646471,239
ethnicity,other,2,biodiversity,1769.2305772866093,301
ethnicity,other,3,biodiversity,1255.9605572507417,302
ethnicity,other,4,biodiversity,1396.7978744918714,289
ethnicity,other,5,biodiversity,1112.8711853152727,239
ethnicity,other,6,biodiversity,1357.1855234460454,263
ethnicity,other,7,biodiversity,1535.5357668977242,190
ethnicity,other,8,biodiversity,1782.200302575307,260
ethnicity,other,0,safety,1674.239584488106,161
ethnicity,other,1,safety,1304.7962582624564,128
ethnicity,other,2,safety,1518.5192853454043,182
ethnicity,other,3,safety,1537.3416940136785,145
ethnicity,other,4,safety,1340.0739075164786,179
ethnicity,other,5,safety,1373.0752839179886,120
ethnicity,other,6,safety,1260.2890226576553,169
ethnicity,other,7,safety,1716.2177999917542,147
ethnicity,other,8,safety,1631.3272632758096,107
education,sixteen,0,living,1534.338859415421,161
education,sixteen,1,living,1658.0941531856688,142
education,sixteen,2,living,1571.611163428223,138
education,sixteen,3,living,1492.44870364001,126
education,sixteen,4,living,1291.7719073802366,154
education,sixteen,5,living,1704.595309625785,151
education,sixteen,6,living,1425.2726561778325,119
education,sixteen,7,living,1225.4031131606266,145
education,sixteen,8,living,1609.523186829078,152
education,sixteen,0,biodiversity,1250.5090790206916,221
education,sixteen,1,biodiversity,1571.8424138260668,184
education,sixteen,2,biodiversity,1592.7148306002716,252
education,sixteen,3,biodiversity,1703.2685941120224,229
education,sixteen,4,biodiversity,1300.8179996278373,218
education,sixteen,5,biodiversity,1625.757578995132,153
education,sixteen,6,biodiversity,1648.0210081272637,214
education,sixteen,7,biodiversity,1503.566845847976,164
education,sixteen,8,biodiversity,1585.0178584448042,233
education,sixteen,0,safety,1475.3963020221502,118
education,sixteen,1,safety,1624.826847284967,88
education,sixteen,2,safety,1544.6417214060489,115
