demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,705.8850759183917,3072
global,global,1,living,2102.8711305338134,1968
global,global,2,living,1247.6181703317116,2625
global,global,3,living,973.4075898365105,2338
global,global,4,living,281.60794230209024,2498
global,global,5,living,1499.0669354758934,2849
global,global,6,living,1751.8226544521594,2419
global,global,7,living,1540.3788194941114,2654
global,global,8,living,2290.219262643083,2091
global,global,0,biodiversity,2237.387302230883,1683
global,global,1,biodiversity,-87.80248686625151,2076
global,global,2,biodiversity,1727.30814513496,1946
global,global,3,biodiversity,2135.8239094623796,1825
global,global,4,biodiversity,407.44687852586065,2310
global,global,5,biodiversity,1278.190076237439,2122
global,global,6,biodiversity,-88.91742734928681,1017
global,global,7,biodiversity,1966.0678342987217,2092
global,global,8,biodiversity,1384.0184613698852,1797
global,global,0,safety,1472.5931653161501,3103
global,global,1,safety,393.2066163516005,2117
global,global,2,safety,1701.8818376914992,3150
global,global,3,safety,2114.5974575629816,2596
global,global,4,safety,1571.839254637451,2821
global,global,5,safety,2228.054308472503,2885
global,global,6,safety,115.66538392255562,2514
global,global,7,safety,1245.6006341771897,2927
global,global,8,safety,2023.5400543903927,1805
gender,man,0,living,1185.9744226925366,1634
gender,man,1,living,1916.7238076806107,1017
gender,man,2,living,2005.0738483217758,1311
gender,man,3,living,1478.1391411524899,1223
gender,man,4,living,1558.9555853455377,1364
gender,man,5,living,1567.396990578163,1477
gender,man,6,living,996.5143832951677,1242
gender,man,7,living,1762.1538362145022,1467
gender,man,8,living,2058.2167807045375,1009
gender,man,0,biodiversity,1865.9735689188403,812
gender,man,1,biodiversity,1101.8177531365538,1114
gender,man,2,biodiversity,1603.4922242101236,975
gender,man,3,biodiversity,1941.2878080973735,885
gender,man,4,biodiversity,359.95351625685447,1170
gender,man,5,biodiversity,1496.5974453579947,1067
gender,man,6,biodiversity,792.8114403453482,542
gender,man,7,biodiversity,2000.1485784040312,1026
gender,man,8,biodiversity,1230.5480293839369,899
gender,man,0,safety,1988.7619512180522,1537
gender,man,1,safety,1607.9443717385625,1153
gender,man,2,safety,1660.4885750702897,1585
gender,man,3,safety,685.3033743021983,1220
gender,man,4,safety,1841.8612118906228,1428
gender,man,5,safety,1266.8396079936613,1503
gender,man,6,safety,1706.5555031071883,1357
gender,man,7,safety,1403.3898364060194,1508
gender,man,8,safety,2066.542033705613,899
gender,woman,0,living,902.4413749040388,1217
gender,woman,1,living,1811.610613363767,786
gender,woman,2,living,1338.315952106063,1099
gender,woman,3,living,643.060503409652,876
gender,woman,4,living,1140.1675087786884,997
gender,woman,5,living,1646.6886536023703,1201
gender,woman,6,living,1757.987621887816,991
gender,woman,7,living,1852.0304445646616,1065
gender,woman,8,living,2017.5506327299324,878
gender,woman,0,biodiversity,1823.94081430922,690
gender,woman,1,biodiversity,1417.7927322114142,826
gender,woman,2,biodiversity,1091.508519719901,747
gender,woman,3,biodiversity,1973.6876072651883,686
gender,woman,4,biodiversity,1615.2452566353627,954
gender,woman,5,biodiversity,1383.9102576042571,812
gender,woman,6,biodiversity,920.7097593126095,441
gender,woman,7,biodiversity,1707.9146210043257,822
gender,woman,8,biodiversity,1655.4558827105323,722
gender,woman,0,safety,1515.9315341961137,1255
gender,woman,1,safety,15.046221490170339,850
gender,woman,2,safety,1331.36534633816,1278
gender,woman,3,safety,1935.2228106727607,1121
gender,woman,4,safety,1637.0608152526413,1058
gender,woman,5,safety,1967.998357552267,1185
gender,woman,6,safety,585.4395433900628,1022
gender,woman,7,safety,1235.5391617355874,1121
gender,woman,8,safety,1810.7739799181984,768
gender,other,0,living,1499.7315382520567,10
gender,other,1,living,1487.8657110280863,9
gender,other,2,living,1437.5931720639144,11
gender,other,3,living,1452.0248091301892,10
gender,other,4,living,1547.9871202604816,12
gender,other,5,living,1535.8558562123353,9
gender,other,6,living,1559.9826161596084,15
gender,other,7,living,1511.7032652141202,15
