demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,2079.731124317286,2270
global,global,1,living,1738.4716851779992,2856
global,global,2,living,1839.5045268481988,2760
global,global,3,living,2297.9319979251454,1656
global,global,4,living,1078.1567090132185,1916
global,global,5,living,2189.4310863631595,2365
global,global,6,living,1722.2089797310439,2310
global,global,7,living,1310.2497148041502,3025
global,global,8,living,161.67623930575348,1184
global,global,0,biodiversity,1924.9667622805687,2987
global,global,1,biodiversity,2315.902756220913,2994
global,global,2,biodiversity,1720.7401723136934,2793
global,global,3,biodiversity,2003.7065531609744,2100
global,global,4,biodiversity,2428.6336670563755,2359
global,global,5,biodiversity,-288.173827103544,2582
global,global,6,biodiversity,588.9771191325872,2568
global,global,7,biodiversity,2142.3108084607506,3130
global,global,8,biodiversity,2084.90294833026,3151
global,global,0,safety,2136.1532510663446,1810
global,global,1,safety,833.2280647163539,2241
global,global,2,safety,2232.169025479095,1892
global,global,3,safety,2029.3945139223867,2236
global,global,4,safety,1388.4652272916924,2251
global,global,5,safety,1051.3543079073788,2028
global,global,6,safety,987.085051383371,2304
global,global,7,safety,-152.24429713085425,1332
global,global,8,safety,376.3941196212922,2200
gender,man,0,living,1582.8890841884813,1154
gender,man,1,living,2048.8156322798936,1403
gender,man,2,living,1680.9554988769337,1405
gender,man,3,living,1981.3288147009143,859
gender,man,4,living,1225.052263427024,948
gender,man,5,living,1898.9088063824518,1194
gender,man,6,living,590.898562869853,1196
gender,man,7,living,1460.9820623863568,1632
gender,man,8,living,-0.8115365599240718,577
gender,man,0,biodiversity,1956.21076715167,1596
gender,man,1,biodiversity,1943.684332401711,1499
gender,man,2,biodiversity,517.3735436341807,1360
gender,man,3,biodiversity,1756.9413139229864,1142
gender,man,4,biodiversity,2103.53047556418,1235
gender,man,5,biodiversity,-368.9667894943687,1319
gender,man,6,biodiversity,1493.261868981157,1387
gender,man,7,biodiversity,1508.5368500667983,1573
gender,man,8,biodiversity,1298.0786387237263,1569
gender,man,0,safety,2018.7427213172107,854
gender,man,1,safety,1729.0255724983847,1173
gender,man,2,safety,1369.5096997442452,1029
gender,man,3,safety,1953.5200219350745,1106
gender,man,4,safety,1295.8944600876112,1149
gender,man,5,safety,1132.5955263023914,1016
gender,man,6,safety,975.6883650023307,1172
gender,man,7,safety,1042.8016618896936,781
gender,man,8,safety,324.0450606454687,1096
gender,woman,0,living,1931.4164303310883,910
gender,woman,1,living,819.1945095657878,1143
gender,woman,2,living,1421.265901951605,1123
gender,woman,3,living,1849.9580110722277,654
gender,woman,4,living,1663.9594847694832,806
gender,woman,5,living,1711.6406153213845,952
gender,woman,6,living,1764.4402307423327,895
gender,woman,7,living,601.5337092073946,1162
gender,woman,8,living,1502.0500241655384,511
gender,woman,0,biodiversity,1874.2845555284675,1173
gender,woman,1,biodiversity,1207.9023398887418,1150
