demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,2233.270385501778,1821
global,global,1,living,1663.1927386254172,2610
global,global,2,living,856.4361601676854,2757
global,global,3,living,1998.1887171907724,2640
global,global,4,living,1522.7893909389884,2590
global,global,5,living,1963.8205330331741,2242
global,global,6,living,312.471975485205,2162
global,global,7,living,1932.813318289869,2895
global,global,8,living,1712.8737581961825,2963
global,global,0,biodiversity,862.3372982031525,2418
global,global,1,biodiversity,1647.1219920294643,2143
global,global,2,biodiversity,1238.7575262903554,2264
global,global,3,biodiversity,938.773274135429,1900
global,global,4,biodiversity,673.7266121212762,2091
global,global,5,biodiversity,2240.523739043256,2224
global,global,6,biodiversity,1977.5835412545734,1966
global,global,7,biodiversity,2093.805498182584,2402
global,global,8,biodiversity,1709.044851543028,2154
global,global,0,safety,2112.245576456739,1647
global,global,1,safety,1377.6062629803528,2594
global,global,2,safety,1197.9825196415118,2695
global,global,3,safety,1590.9658645903623,3225
global,global,4,safety,1604.5249375572866,2819
global,global,5,safety,909.8761280561517,2298
global,global,6,safety,517.8729540993216,2231
global,global,7,safety,1998.9879984783076,1535
global,global,8,safety,1627.273142226851,2014
gender,man,0,living,1768.5236179011404,955
gender,man,1,living,2043.6576975748815,1347
gender,man,2,living,1965.0869711793428,1403
gender,man,3,living,1039.5022955418347,1353
gender,man,4,living,1893.9652941963782,1339
gender,man,5,living,1347.387208458773,1203
gender,man,6,living,728.0339706751737,1083
gender,man,7,living,1216.1282969370352,1487
gender,man,8,living,1483.801459415741,1490
gender,man,0,biodiversity,1366.5607454644955,1190
gender,man,1,biodiversity,584.3563710555146,1081
gender,man,2,biodiversity,1558.565428325305,1235
gender,man,3,biodiversity,1794.2700135468758,1028
gender,man,4,biodiversity,1191.344171092463,1092
gender,man,5,biodiversity,1674.9638887080896,1154
gender,man,6,biodiversity,1970.2508719903003,1016
gender,man,7,biodiversity,2051.552588986231,1184
gender,man,8,biodiversity,1828.3098621164968,1074
gender,man,0,safety,2029.0400729337757,818
gender,man,1,safety,970.8797725625,1271
gender,man,2,safety,1551.5619921003372,1382
gender,man,3,safety,1820.5742747200568,1649
gender,man,4,safety,1510.7447616308143,1425
gender,man,5,safety,1601.5421330905456,1157
gender,man,6,safety,833.3611015585568,1103
gender,man,7,safety,1886.7393389501462,780
gender,man,8,safety,1776.3641370812395,1125
gender,woman,0,living,1976.5472128931199,744
gender,woman,1,living,1400.660442428678,989
gender,woman,2,living,1490.7836572931797,1120
gender,woman,3,living,1723.8857432456678,1058
gender,woman,4,living,1109.1032639887665,1030
gender,woman,5,living,868.9175105515536,905
gender,woman,6,living,1141.7761799250625,929
gender,woman,7,living,1900.61415418772,1085
gender,woman,8,living,1204.719723972039,1146
gender,woman,0,biodiversity,1037.5406766216588,947
gender,woman,1,biodiversity,1332.3932784946803,835
gender,woman,2,biodiversity,1139.3961110654884,875
gender,woman,3,biodiversity,1202.0782018840985,781
gender,woman,4,biodiversity,1520.46048224479,837
gender,woman,5,biodiversity,1981.3437260630383,902
gender,woman,6,biodiversity,1813.925194305703,762
gender,woman,7,biodiversity,1920.2081984002039,1023
gender,woman,8,biodiversity,1587.5704395097518,806
gender,woman,0,safety,1397.3202558704866,733
gender,woman,1,safety,1765.4351546583587,1119
gender,woman,2,safety,1374.3354975303507,1113
gender,woman,3,safety,1675.5085672967336,1295
gender,woman,4,safety,1960.5698388355486,1142
gender,woman,5,safety,1221.2548103640027,964
gender,woman,6,safety,1849.151743889891,959
gender,woman,7,safety,1817.5661711480554,602
gender,woman,8,safety,1663.8768944779101,767
gender,other,0,living,1466.739274935123,7
gender,other,1,living,1535.6208875853733,15
gender,other,2,living,1537.8492823496592,15
gender,other,3,living,1478.3930737573808,14
gender,other,4,living,1500.473599155511,14
gender,other,5,living,1573.2054540473266,8
gender,other,6,living,1486.1070165419558,11
gender,other,7,living,1510.944767368009,21
gender,other,8,living,1410.4738468711942,15
gender,other,0,biodiversity,1500.304324372301,12
gender,other,1,biodiversity,1450.295708068743,14
gender,other,2,biodiversity,1568.6885905873564,10
gender,other,3,biodiversity,1525.0136036944239,12
gender,other,4,biodiversity,1436.7661599587443,7
gender,other,5,biodiversity,1515.5794227323313,15
gender,other,6,biodiversity,1464.0682989120141,7
gender,other,7,biodiversity,1546.6068940662617,12
gender,other,8,biodiversity,1487.7891411594192,7
gender,other,0,safety,1500.8511947827642,14
gender,other,1,safety,1466.0844575878737,9
gender,other,2,safety,1504.4152435886608,18
gender,other,3,safety,1489.6419754633823,11
gender,other,4,safety,1554.5710201982934,16
gender,other,5,safety,1528.1912179390106,18
gender,other,6,safety,1502.0642351712738,16
gender,other,7,safety,1527.7542100455876,14
gender,other,8,safety,1456.0780689873245,6
age,younger,0,living,1945.8903874189486,511
age,younger,1,living,1841.5194398606543,756
age,younger,2,living,1693.0372574671367,750
age,younger,3,living,1568.3977601799115,714
age,younger,4,living,1078.038227269344,717
age,younger,5,living,1389.467348949906,696
age,younger,6,living,1631.136348065765,668
age,younger,7,living,1492.0709839006786,791
age,younger,8,living,814.3188606131318,775
age,younger,0,biodiversity,1546.8721497601896,673
age,younger,1,biodiversity,1817.8463687655287,550
age,younger,2,biodiversity,853.7539560171458,651
age,younger,3,biodiversity,797.346589394411,552
age,younger,4,biodiversity,1575.6700479823219,589
