demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1156.6522928888457,2655
global,global,1,living,1105.5069938914858,3809
global,global,2,living,1382.6046003724928,3130
global,global,3,living,1935.3614383594206,3151
global,global,4,living,2277.465788291635,2856
global,global,5,living,692.1012931512786,2917
global,global,6,living,2455.9504323668343,1776
global,global,7,living,2056.144043310256,2943
global,global,8,living,1367.0223507785329,2947
global,global,0,biodiversity,960.1158711071257,2628
global,global,1,biodiversity,1785.6296797267726,2101
global,global,2,biodiversity,1658.9609755054566,2451
global,global,3,biodiversity,1999.835650802875,2436
global,global,4,biodiversity,494.4186415144831,1436
global,global,5,biodiversity,2177.7756538997555,2225
global,global,6,biodiversity,1034.8433053787312,2383
global,global,7,biodiversity,2288.6906010116945,2274
global,global,8,biodiversity,2220.2467874109166,2052
global,global,0,safety,1053.4636130197148,1733
global,global,1,safety,2158.7066882139334,1356
global,global,2,safety,668.9295850450014,1948
global,global,3,safety,1606.1690713770986,2202
global,global,4,safety,2041.7514550988612,2455
global,global,5,safety,1939.799956852086,1600
global,global,6,safety,-268.1384233723439,1811
global,global,7,safety,1401.3261501369225,2021
global,global,8,safety,1515.8711453224996,2004
gender,man,0,living,1483.2405802367703,1263
gender,man,1,living,1604.9394101308674,1949
gender,man,2,living,1182.8102490063993,1645
gender,man,3,living,1939.4200743113636,1660
gender,man,4,living,1978.851759121312,1507
gender,man,5,living,132.62856303448024,1515
gender,man,6,living,2086.0568021721338,922
gender,man,7,living,1326.6718194067455,1491
gender,man,8,living,1506.4189269050614,1526
gender,man,0,biodiversity,700.06439831056,1299
gender,man,1,biodiversity,2065.3018052409216,1069
gender,man,2,biodiversity,1710.8969697118914,1338
gender,man,3,biodiversity,1569.783155119787,1228
gender,man,4,biodiversity,964.7327317660814,735
gender,man,5,biodiversity,1887.4260875694001,1126
gender,man,6,biodiversity,1776.3816346849826,1273
gender,man,7,biodiversity,1560.6072473411584,1118
gender,man,8,biodiversity,1818.5886049438805,1044
gender,man,0,safety,1368.2841816569764,931
gender,man,1,safety,1874.6570940667045,703
gender,man,2,safety,602.8933345680032,953
gender,man,3,safety,1767.4554870865898,1108
gender,man,4,safety,2004.7940552317657,1197
gender,man,5,safety,1523.422644083351,825
gender,man,6,safety,967.2858813301044,1013
gender,man,7,safety,732.8285167508294,922
gender,man,8,safety,1167.7659710732476,1064
gender,woman,0,living,146.64180469146993,1024
gender,woman,1,living,1170.0153297588554,1521
gender,woman,2,living,2027.434389635642,1161
gender,woman,3,living,1354.7124608683591,1212
gender,woman,4,living,1729.9340649350495,1142
gender,woman,5,living,1834.2373253116666,1194
gender,woman,6,living,1772.309517090386,740
gender,woman,7,living,1700.1964367199103,1249
gender,woman,8,living,1323.0754826983366,1133
gender,woman,0,biodiversity,1677.613188609893,1136
gender,woman,1,biodiversity,1171.8321040589665,837
gender,woman,2,biodiversity,206.65531130607826,918
gender,woman,3,biodiversity,1756.7807278676626,953
gender,woman,4,biodiversity,989.79532300039,651
gender,woman,5,biodiversity,1951.699769211283,855
gender,woman,6,biodiversity,1655.0507020519656,1015
gender,woman,7,biodiversity,1830.8050878150839,872
gender,woman,8,biodiversity,1884.7419483602994,807
gender,woman,0,safety,1136.476870337624,682
gender,woman,1,safety,1703.3601325456334,556
gender,woman,2,safety,1580.8646248936532,856
gender,woman,3,safety,1480.7647811080558,896
gender,woman,4,safety,1931.0471174690288,1086
gender,woman,5,safety,1745.5257983279098,641
gender,woman,6,safety,907.6481837383857,699
gender,woman,7,safety,1895.250357116331,875
gender,woman,8,safety,1770.5707695278393,757
gender,other,0,living,1511.9970156107647,9
gender,other,1,living,1503.0764670924052,16
gender,other,2,living,1546.1495405804599,14
gender,other,3,living,1491.0808974266376,11
gender,other,4,living,1452.1739316368842,10
gender,other,5,living,1442.1303256847564,20
gender,other,6,living,1520.515035552506,12
gender,other,7,living,1425.903323845659,8
gender,other,8,living,1590.0900583303126,14
gender,other,0,biodiversity,1440.156705618,13
gender,other,1,biodiversity,1564.786797712914,11
gender,other,2,biodiversity,1476.4126128919934,12
gender,other,3,biodiversity,1550.5410532693581,18
gender,other,4,biodiversity,1488.3426821626713,11
gender,other,5,biodiversity,1456.4961440196375,18
gender,other,6,biodiversity,1502.133309927805,14
gender,other,7,biodiversity,1522.5793862522976,16
gender,other,8,biodiversity,1511.1563022929981,11
gender,other,0,safety,1560.8400636517142,17
gender,other,1,safety,1545.84222177647,10
gender,other,2,safety,1476.1530609154315,10
gender,other,3,safety,1466.9390285920474,11
gender,other,4,safety,1424.621972797721,6
gender,other,5,safety,1500.827822120793,10
gender,other,6,safety,1514.1488716602657,9
gender,other,7,safety,1487.726612210701,13
gender,other,8,safety,1524.818694755795,14
age,younger,0,living,1440.3783025705254,679
age,younger,1,living,1227.0850103586672,1021
age,younger,2,living,737.4658772986323,872
