demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1855.2394181728205,2382
global,global,1,living,1481.6866580944895,2030
global,global,2,living,1555.2415519712329,2379
global,global,3,living,1136.4974833120011,2031
global,global,4,living,1924.2426466364748,2034
global,global,5,living,1259.0809344891845,1839
global,global,6,living,2290.6732824127726,1467
global,global,7,living,762.3322112204822,2099
global,global,8,living,835.7413926709337,2293
global,global,0,biodiversity,1029.3761073974586,2473
global,global,1,biodiversity,2128.144535063025,3389
global,global,2,biodiversity,1666.074709495055,3414
global,global,3,biodiversity,1738.2887609753134,3509
global,global,4,biodiversity,2029.5460112022984,2977
global,global,5,biodiversity,2266.781824488053,2680
global,global,6,biodiversity,1883.3983945830419,3700
global,global,7,biodiversity,2588.8081706153666,3199
global,global,8,biodiversity,2309.728902832507,2679
global,global,0,safety,2200.3608832685586,2174
global,global,1,safety,1732.8884721577085,1853
global,global,2,safety,1652.8183224630382,2371
global,global,3,safety,1388.8787228173794,1760
global,global,4,safety,1003.5261023781785,2219
global,global,5,safety,-89.3063769992245,1399
global,global,6,safety,422.85681174088364,1215
global,global,7,safety,2051.2313407272563,2327
global,global,8,safety,2127.0832108011996,1408
gender,man,0,living,1810.3081462969083,1248
gender,man,1,living,1422.4015547640072,1108
gender,man,2,living,1983.7724349046518,1195
gender,man,3,living,1211.0735628999466,1051
gender,man,4,living,1941.3749598086606,1031
gender,man,5,living,1048.6215623815272,999
gender,man,6,living,2063.8784706185234,793
gender,man,7,living,881.6213970726059,1113
gender,man,8,living,705.4039200675974,1138
gender,man,0,biodiversity,1709.8950558975803,1309
gender,man,1,biodiversity,1776.3559184624635,1690
gender,man,2,biodiversity,1358.71135017935,1698
gender,man,3,biodiversity,2034.887979200645,1707
gender,man,4,biodiversity,1043.2476049130848,1444
gender,man,5,biodiversity,1493.1716082080977,1280
gender,man,6,biodiversity,1740.8617736992644,1896
gender,man,7,biodiversity,675.0844684691353,1594
gender,man,8,biodiversity,2081.645271462888,1286
gender,man,0,safety,2018.8663754805455,1111
gender,man,1,safety,1824.652346176213,932
gender,man,2,safety,1237.3333188163847,1279
