demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,2027.7536642965265,2222
global,global,1,living,713.8564776959863,2422
global,global,2,living,822.3841457768896,1646
global,global,3,living,2393.613905192396,2729
global,global,4,living,1924.5933179305619,2685
global,global,5,living,1427.6582953503464,2058
global,global,6,living,1752.882860335531,1652
global,global,7,living,2101.8896818951384,2723
global,global,8,living,2266.7932402274096,2581
global,global,0,biodiversity,1861.6675257430513,1747
global,global,1,biodiversity,1680.6215939484614,2402
global,global,2,biodiversity,2029.0051860594617,2235
global,global,3,biodiversity,592.7199682375884,1812
global,global,4,biodiversity,53.77528260894783,2601
global,global,5,biodiversity,2247.1564812186252,1952
global,global,6,biodiversity,1401.266072713303,2783
global,global,7,biodiversity,915.0080345129516,2299
global,global,8,biodiversity,2166.9354981641995,2617
global,global,0,safety,1232.1804171390938,2893
global,global,1,safety,2371.374499349236,2048
global,global,2,safety,336.25268434294435,1783
global,global,3,safety,1256.8291252466934,2200
global,global,4,safety,1587.3933111696897,2390
global,global,5,safety,2132.948429955857,2761
global,global,6,safety,1848.7438419497978,2760
global,global,7,safety,1432.4553662605358,2455
global,global,8,safety,2162.2167909036075,2844
gender,man,0,living,1850.1413492385811,1074
gender,man,1,living,1401.4378749530324,1255
gender,man,2,living,1373.811495384703,870
gender,man,3,living,1916.301980584616,1337
gender,man,4,living,1085.1024353596356,1371
gender,man,5,living,1465.683698371351,1020
gender,man,6,living,1811.446061116952,820
gender,man,7,living,2019.893037174689,1408
gender,man,8,living,1992.919134573754,1313
gender,man,0,biodiversity,1632.0099465504709,929
gender,man,1,biodiversity,1963.1933533340414,1260
gender,man,2,biodiversity,1891.8187869971687,1147
gender,man,3,biodiversity,955.3305464397645,915
gender,man,4,biodiversity,104.54256111120387,1320
gender,man,5,biodiversity,2028.0117798397594,978
gender,man,6,biodiversity,1390.729531175107,1410
gender,man,7,biodiversity,1610.740829210547,1225
gender,man,8,biodiversity,1757.6367059187896,1362
gender,man,0,safety,1698.1960877664555,1549
gender,man,1,safety,2079.6015074411102,1036
gender,man,2,safety,361.9480880091674,886
gender,man,3,safety,1169.026527444032,1138
gender,man,4,safety,1756.3721526059082,1245
gender,man,5,safety,1741.9279784382757,1422
gender,man,6,safety,808.0650585912183,1326
gender,man,7,safety,1788.016832927164,1306
gender,man,8,safety,1990.3519286816465,1502
gender,woman,0,living,1847.086022942286,867
gender,woman,1,living,782.8091535972604,995
gender,woman,2,living,1112.0423326701186,697
gender,woman,3,living,1765.4926404889861,1099
gender,woman,4,living,2008.159652036427,1056
gender,woman,5,living,1269.539860435241,820
gender,woman,6,living,1824.770154965992,707
gender,woman,7,living,1413.054065880547,1102
gender,woman,8,living,1563.6011880343558,1065
gender,woman,0,biodiversity,1932.348643020857,701
gender,woman,1,biodiversity,1006.9262227814788,985
gender,woman,2,biodiversity,1657.853371402915,903
gender,woman,3,biodiversity,1516.1955087523722,768
gender,woman,4,biodiversity,1458.6211461241421,1099
gender,woman,5,biodiversity,1896.683300858997,769
gender,woman,6,biodiversity,1751.1630623091382,1146
gender,woman,7,biodiversity,1368.6737632269803,904
gender,woman,8,biodiversity,1813.2179539371207,1033
gender,woman,0,safety,1117.6303242881265,1155
gender,woman,1,safety,1770.7336140039952,845
gender,woman,2,safety,1768.3929121689114,810
gender,woman,3,safety,1228.548176713512,866
gender,woman,4,safety,671.5679214678064,862
gender,woman,5,safety,1794.0002589668134,1127
gender,woman,6,safety,1626.0327577912099,1054
gender,woman,7,safety,1685.2784783776722,903
gender,woman,8,safety,2033.982432812591,1130
gender,other,0,living,1503.4398420683485,20
gender,other,1,living,1536.0695604770808,17
gender,other,2,living,1452.4347959847946,14
gender,other,3,living,1511.4751345677635,17
gender,other,4,living,1439.9706032835486,5
gender,other,5,living,1549.4794997670924,12
gender,other,6,living,1561.1212673073114,7
gender,other,7,living,1464.016760324841,11
gender,other,8,living,1488.7127229525497,15
gender,other,0,biodiversity,1439.97183037854,7
gender,other,1,biodiversity,1573.642741116709,18
gender,other,2,biodiversity,1491.15047474797,11
gender,other,3,biodiversity,1546.6522413888333,16
gender,other,4,biodiversity,1461.4558178006569,19
gender,other,5,biodiversity,1514.8718157618453,15
gender,other,6,biodiversity,1528.727807045649,14
gender,other,7,biodiversity,1451.950810562712,16
gender,other,8,biodiversity,1499.150041712938,14
gender,other,0,safety,1514.4303579129564,11
gender,other,1,safety,1440.0148036579558,5
gender,other,2,safety,1510.7181461969144,9
gender,other,3,safety,1537.5790286604667,11
gender,other,4,safety,1524.829009107947,14
