demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,2282.0653124574687,3475
global,global,1,living,2371.8647280457803,3973
global,global,2,living,1086.1453930446003,1850
global,global,3,living,2014.0796240249535,2706
global,global,4,living,945.6095083819109,3794
global,global,5,living,2421.874707273989,3442
global,global,6,living,1689.3170098686153,3914
global,global,7,living,1616.3349825777168,2846
global,global,8,living,599.679395090823,3234
global,global,0,biodiversity,1113.2596606029772,2160
global,global,1,biodiversity,2178.4670879484374,1463
global,global,2,biodiversity,662.0727175163652,1676
global,global,3,biodiversity,1797.3473630958533,2396
global,global,4,biodiversity,1349.000179159384,2232
global,global,5,biodiversity,1774.8892308537213,2556
global,global,6,biodiversity,1872.0785899944294,2267
global,global,7,biodiversity,762.2149013183188,1553
global,global,8,biodiversity,2067.8118724591745,1965
global,global,0,safety,1387.39131035295,1371
global,global,1,safety,1615.586453223201,1786
global,global,2,safety,855.0230881023015,2112
global,global,3,safety,1875.6395056107172,1610
global,global,4,safety,1522.077449721608,2384
global,global,5,safety,2058.915972323511,1134
global,global,6,safety,2183.4140850439817,1869
global,global,7,safety,354.6603493106395,1899
global,global,8,safety,938.3384880063496,1633
gender,man,0,living,1964.1369602685506,1799
gender,man,1,living,2048.4577524411484,1950
gender,man,2,living,841.1151843729032,943
gender,man,3,living,1675.4318530338026,1408
gender,man,4,living,2089.718657276995,1987
gender,man,5,living,2010.6045169363395,1730
gender,man,6,living,1611.914141729289,1973
gender,man,7,living,1792.117074217272,1423
gender,man,8,living,346.82223329377945,1643
gender,man,0,biodiversity,1223.524859792058,1005
gender,man,1,biodiversity,1892.850586247171,720
gender,man,2,biodiversity,1641.9468509291737,880
gender,man,3,biodiversity,1847.1009558801143,1243
gender,man,4,biodiversity,92.44468081271691,1077
gender,man,5,biodiversity,1669.4971619958783,1310
gender,man,6,biodiversity,1864.494311880878,1124
gender,man,7,biodiversity,716.1768833318063,853
gender,man,8,biodiversity,1946.9746742144155,1038
gender,man,0,safety,1296.7386966299298,758
gender,man,1,safety,1840.4313487235324,896
gender,man,2,safety,863.6264105594134,1093
gender,man,3,safety,1688.951902689489,838
gender,man,4,safety,1775.6408747483274,1257
gender,man,5,safety,1970.3051884810475,586
gender,man,6,safety,1736.641190799942,1050
gender,man,7,safety,1260.9057476398993,992
gender,man,8,safety,1552.0202349083177,848
gender,woman,0,living,1910.2997041501958,1372
gender,woman,1,living,1856.235888886005,1553
gender,woman,2,living,1485.9010264693914,782
gender,woman,3,living,2091.613599213447,1036
gender,woman,4,living,1826.7199626939678,1562
gender,woman,5,living,1749.9021238104785,1381
gender,woman,6,living,2028.2704355813366,1689
gender,woman,7,living,934.8134093295647,1217
gender,woman,8,living,1551.3968762750815,1320
gender,woman,0,biodiversity,793.4985791904335,847
gender,woman,1,biodiversity,1782.7130207033051,599
gender,woman,2,biodiversity,1061.416669760391,675
gender,woman,3,biodiversity,1883.9663913331572,987
gender,woman,4,biodiversity,1485.7303765150343,872
gender,woman,5,biodiversity,1806.0728714413683,1021
gender,woman,6,biodiversity,1363.5648140086232,894
gender,woman,7,biodiversity,774.1891851923099,625
gender,woman,8,biodiversity,1924.6568995658954,776
gender,woman,0,safety,1567.1907343984874,544
gender,woman,1,safety,803.3372407698325,731
gender,woman,2,safety,1452.0358529405032,857
gender,woman,3,safety,1760.3015697044425,625
gender,woman,4,safety,904.3200907267725,976
gender,woman,5,safety,1731.8599845786923,442
gender,woman,6,safety,1928.9593551919868,641
gender,woman,7,safety,1207.0555002994956,788
gender,woman,8,safety,545.3865401758809,656
gender,other,0,living,1576.114593002311,15
gender,other,1,living,1529.7088775062361,19
gender,other,2,living,1487.6329695572294,19
gender,other,3,living,1500.4989753179452,16
gender,other,4,living,1429.5746398288939,14
gender,other,5,living,1542.4272836743744,15
gender,other,6,living,1557.8326867740952,15
gender,other,7,living,1446.8224025897118,18
gender,other,8,living,1411.2782581943347,15
gender,other,0,biodiversity,1495.3807746180028,16
gender,other,1,biodiversity,1511.102502807501,11
gender,other,2,biodiversity,1409.5081434063047,9
gender,other,3,biodiversity,1450.2957828928838,12
gender,other,4,biodiversity,1463.6051022007148,11
gender,other,5,biodiversity,1579.6218722673034,7
gender,other,6,biodiversity,1476.04483926637,14
gender,other,7,biodiversity,1555.966056585514,13
gender,other,8,biodiversity,1533.967811550323,9
gender,other,0,safety,1439.9999994104194,7
gender,other,1,safety,1487.657165402659,9
gender,other,2,safety,1559.627162080808,13
gender,other,3,safety,1487.9862001231238,11
gender,other,4,safety,1522.8157028862252,12
gender,other,5,safety,1475.6142677207608,12
gender,other,6,safety,1547.9875987530943,8
gender,other,7,safety,1452.013816396822,10
gender,other,8,safety,1524.0142588466035,8
age,younger,0,living,1660.1898130516852,1000
age,younger,1,living,1752.301092455758,1081
age,younger,2,living,686.9202706571796,457
age,younger,3,living,1861.4910564162124,649
age,younger,4,living,1283.1474219644974,1100
age,younger,5,living,2017.7628894733953,927
age,younger,6,living,1713.98750311037,1070
age,younger,7,living,1588.6767699302982,862
age,younger,8,living,1455.3252794636292,936
age,younger,0,biodiversity,1119.4758680542268,587
age,younger,1,biodiversity,1778.312004916474,341
age,younger,2,biodiversity,1703.1812290325522,459
age,younger,3,biodiversity,1203.5620492585142,682
age,younger,4,biodiversity,354.42461326512756,558
age,younger,5,biodiversity,1758.2042842258215,753
