demographic,demographic_value,habitat_id,question_id,mu,rankings
gender,other,5,living,1440.0295720261636,9
gender,other,2,living,1503.145152916337,12
gender,other,0,safety,1514.2133831666704,19
ethnicity,other,1,safety,1457.6061294418105,229
gender,other,4,living,1523.9827862094103,8
education,sixteen,3,safety,1442.4049503128053,142
education,sixteen,1,safety,1730.5489063185298,141
gender,other,3,safety,1499.3186510188393,14
garden,no,5,safety,1624.985095294185,205
garden,no,6,safety,1418.819053876657,314
gender,other,8,safety,1424.282323155634,12
education,sixteen,0,safety,1493.6402098289889,175
ethnicity,other,5,safety,1676.9384500295425,204
gender,other,3,biodiversity,1559.9457821705923,5
ethnicity,other,4,safety,1564.551086427535,234
gender,other,1,safety,1462.9208809320237,13
gender,other,6,safety,1451.6208123141898,14
age,older,1,safety,1312.5136169292225,549
garden,no,8,safety,1723.2520973396574,203
income,higher,5,safety,2024.588872158377,690
gender,other,1,living,1463.865895142095,11
income,middle,5,safety,1824.234522553301,642
gender,other,0,biodiversity,1425.5656333190109,10
gender,other,7,biodiversity,1452.0339986560855,12
education,sixteen,8,safety,1629.121715076676,155
education,sixteen,6,safety,1661.0145079533024,162
education,older,5,safety,2302.7461492659063,1556
gender,other,7,safety,1474.5273213286484,16
gender,other,8,biodiversity,1547.9592001715237,6
gender,other,8,living,1513.6930910324425,17
gender,other,3,living,1487.6924920510387,13
gender,other,1,biodiversity,1487.4404908213844,13
garden,no,7,living,1647.5990743578432,305
gender,other,7,living,1560.5602680028626,13
gender,other,4,safety,1581.1233151921153,11
gender,other,5,biodiversity,1536.382286475634,11
gender,other,2,safety,1534.2777338516585,11
gender,other,5,safety,1550.328737016246,18
education,sixteen,4,living,1497.0292277289868,197
gender,other,0,living,1538.0787687786335,13
age,younger,5,safety,1975.3667546321649,560
children,yes,5,safety,1534.8917095841182,377
education,sixteen,4,safety,1098.5991127767425,128
garden,no,2,safety,1294.175532438674,314
movement,yes,6,living,1793.9077614314785,456
children,yes,2,safety,1261.7638132864065,501
education,sixteen,7,safety,1045.7919633002355,176
ethnicity,other,0,safety,1539.5865549671198,255
age,older,5,safety,1455.3228348993937,504
education,sixteen,5,safety,1571.8703192863925,138
education,sixteen,2,safety,1311.4681683949275,173
gender,man,5,safety,1829.3239406176674,1179
dog,no,5,safety,1853.199836980855,1386
movement,no,5,safety,2165.3384494208112,1579
age,younger,6,safety,1582.0408189621462,887
ethnicity,other,6,safety,1263.440025762463,271
age,older,6,living,1758.1058890746297,568
children,yes,4,living,1813.448331571375,406
garden,no,4,living,1173.3733949469515,221
dog,yes,2,safety,1003.3888692102985,1027
gender,other,6,living,1479.7745500391648,8
education,sixteen,1,living,1445.8741165846086,126
ethnicity,other,7,living,1440.9556563844255,260
garden,no,6,living,1737.9253994557976,182
education,eighteen,1,living,1671.7970679985328,398
education,sixteen,8,living,1663.9905975525055,90
children,yes,7,living,1321.7343736593534,460
age,older,4,living,690.8952582320302,639
dog,yes,4,living,1410.2351643219438,947
movement,yes,4,living,1352.8766597089582,621
children,yes,8,living,1273.3719518522757,334
ethnicity,other,3,safety,1382.8998860502313,207
ethnicity,other,7,safety,1344.38374355334,284
age,middle,3,safety,1357.4275402539074,838
children,yes,3,safety,1490.9211320830518,370
age,younger,3,safety,743.6587262997666,619
income,lower,4,living,1662.3823794468153,439
garden,no,5,living,1308.7000012064834,198
education,older,7,living,523.3483933608923,2060
age,younger,6,living,1952.5964553132787,537
gender,woman,4,living,1901.6641681422816,1186
income,middle,4,living,846.0902128136725,875
ethnicity,other,7,biodiversity,1397.8393662217584,185
dog,yes,8,safety,1541.2970126998755,863
movement,yes,6,safety,1388.8394820769095,526
garden,no,4,safety,1707.3512374518339,234
children,yes,8,safety,1316.027853867625,386
children,yes,6,safety,1736.8618630363017,425
income,higher,6,safety,1462.3226046991467,846
income,higher,8,safety,1829.075791968085,833
education,eighteen,8,safety,1599.7458277065941,417
garden,no,3,safety,1221.1080257639844,264
movement,yes,3,safety,942.960213940115,377
education,sixteen,3,biodiversity,1532.1192022267478,113
dog,yes,3,safety,896.7898160143317,570
dog,yes,6,safety,1771.1236941407858,937
children,yes,1,safety,1684.9128285431482,372
children,yes,0,safety,1869.0162204581459,383
age,younger,1,safety,1719.3009235045151,683
education,older,1,safety,606.7799034673124,1746
garden,no,1,safety,1570.923450159099,206
garden,no,0,safety,1644.7931189716187,261
gender,woman,1,safety,1802.9877072617999,1103
income,lower,1,safety,1541.8125947107865,448
age,middle,5,safety,2057.8974997777727,1020
children,no,5,safety,2297.0698152371833,1695
dog,yes,5,safety,1943.70176365276,677
dog,yes,1,safety,1651.1388927780317,827
education,eighteen,5,safety,1436.6069546492567,355
ethnicity,white,5,safety,2372.8461328806447,1782
garden,yes,5,safety,2304.2068965598555,1880
gender,woman,5,safety,2056.3938082034106,878
global,global,5,safety,2410.6046629138564,2311
income,lower,5,safety,1569.4922134701765,381
movement,yes,1,safety,1863.9383511447431,454
movement,yes,5,safety,1782.6471875987675,447
age,middle,1,safety,1756.3037232270233,1082
children,no,1,safety,1567.402444802107,1930
dog,no,1,safety,978.5083323643738,1468
income,higher,1,safety,1096.739604024483,740
education,eighteen,1,safety,1800.6734762531178,394
ethnicity,white,1,safety,1792.7652359535152,2004
garden,yes,1,safety,1655.0241398040978,2116
movement,no,1,safety,481.8665887234302,1812
age,middle,0,safety,1891.0874480059335,1139
gender,man,1,safety,1550.0620631411969,1197
global,global,1,safety,1530.5784555857335,2519
income,middle,1,safety,1774.3822982584416,719
dog,yes,0,safety,1187.7794971454864,848
income,higher,0,safety,1283.0026767573022,804
education,eighteen,3,safety,696.6529511762844,287
income,lower,3,safety,1408.473218786472,364
gender,woman,3,safety,568.6203895544945,811
income,higher,3,safety,631.4196380573777,604
education,sixteen,1,biodiversity,1571.3123298137439,135
garden,no,5,biodiversity,1660.844904665718,176
children,yes,7,biodiversity,1781.0274090752548,277
gender,other,4,biodiversity,1499.0423598536177,20
gender,other,2,biodiversity,1513.9069783759019,17
children,yes,2,living,1684.8594029521046,444
age,middle,0,living,1684.379805984034,1245
age,younger,4,living,1267.312799437489,747
education,older,4,living,1423.244570088635,1879
ethnicity,white,4,living,634.4476285009397,2303
income,higher,4,living,1678.7658514958641,806
age,older,8,living,1723.4228069404626,459
movement,no,4,living,1195.9549304100942,1952
garden,no,3,living,1686.0356361176932,311
age,middle,4,living,1911.4951774717388,1222
children,no,4,living,1055.9000139057564,2190
dog,no,4,living,1963.7785461119536,1638
education,eighteen,4,living,1572.8579803602636,503
ethnicity,other,4,living,1721.0397044056144,212
garden,yes,4,living,1666.341671558865,2390
gender,man,4,living,717.643917271783,1423
global,global,4,living,1264.5147669146625,2835
ethnicity,other,8,living,1552.9617760565322,207
ethnicity,other,2,living,1581.446865441026,251
garden,no,8,living,1490.5875511683698,228
gender,woman,8,living,1418.5787037514528,839
children,yes,6,living,1779.631807930132,300
children,yes,5,living,1457.3379003017712,357
income,lower,6,living,1808.9938925873648,345
garden,no,2,living,1563.36119087745,294
movement,yes,1,living,1829.7083670126683,411
education,sixteen,2,living,1538.7381787607571,229
income,higher,2,living,1830.511173725587,911
age,middle,3,living,1964.4134364017648,1092
age,middle,1,living,1776.1973074677549,826
education,sixteen,3,living,1423.071969378462,227
education,sixteen,0,living,1331.4650552305295,229
dog,yes,1,living,1801.4504701142832,651
income,higher,1,living,1788.545339882624,568
age,older,1,living,1579.551598999041,427
children,yes,1,living,1658.501291407537,318
ethnicity,other,1,living,1318.7923141366994,156
garden,yes,1,living,2280.3285395172647,1608
income,lower,1,living,1771.7302419378268,317
ethnicity,other,3,living,1646.473225235818,259
income,lower,3,living,960.8182724975306,478
gender,man,3,living,1822.3810872273923,1424
income,lower,0,living,1541.8922548455826,532
age,older,3,living,1071.8114790254624,620
income,higher,0,living,1928.3241202449262,873
income,higher,3,living,1890.1909699193493,810
children,no,3,living,1978.7082854631835,2140
dog,no,3,living,1322.3095134199355,1669
education,older,3,living,1499.2141951727167,1869
movement,no,3,living,2109.9535186246057,1990
gender,woman,0,living,2079.074948713937,1172
dog,no,6,living,2052.656623474872,1329
age,older,0,living,1887.6112452756886,622
ethnicity,other,0,living,1675.2171109547514,241
ethnicity,other,5,living,1397.455757082099,194
age,younger,3,living,1700.735707659864,823
children,yes,0,living,1104.8453508975977,455
children,yes,3,living,1364.691040890646,392
dog,yes,3,living,1763.7853254261797,856
education,eighteen,3,living,1712.9694174282376,413
education,eighteen,0,living,1608.121740359693,530
ethnicity,white,3,living,1792.2211562878888,2180
garden,yes,3,living,1796.7192727339204,2239
gender,woman,3,living,1600.9236838234515,1108
global,global,3,living,2005.4036020680169,2807
dog,yes,0,living,1897.0401230306293,892
ethnicity,white,0,living,1850.7921338255112,2354
income,middle,3,living,1864.2065691062564,845
movement,yes,3,living,756.9156877512428,506
education,eighteen,6,living,1759.239435416489,428
income,higher,8,living,1087.5426098831215,566
dog,no,0,living,1655.5770143896116,1809
garden,no,0,living,1530.447038765202,291
