demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,-470.32162720153605,1856
global,global,1,living,1444.0223347043366,2618
global,global,2,living,2389.02485416079,2440
global,global,3,living,1822.1040019736863,2932
global,global,4,living,695.0264276433245,3605
global,global,5,living,2163.001268487076,2991
global,global,6,living,1948.3620948944533,2082
global,global,7,living,843.889462500704,2956
global,global,8,living,1607.4485533259392,2968
global,global,0,biodiversity,1928.8563217318504,1652
global,global,1,biodiversity,1178.8764535359246,1940
global,global,2,biodiversity,1792.0099657671767,2189
global,global,3,biodiversity,714.9004513818951,2168
global,global,4,biodiversity,346.9166338740151,1762
global,global,5,biodiversity,1317.1316524652084,1515
global,global,6,biodiversity,1032.1223900520408,1634
global,global,7,biodiversity,2067.9047034640453,1704
global,global,8,biodiversity,2198.6615458431465,1502
global,global,0,safety,2149.7528570846844,1516
global,global,1,safety,2239.935113190603,2139
global,global,2,safety,1130.1967772127534,2743
global,global,3,safety,1760.6486928822897,2774
global,global,4,safety,1569.035536766548,3256
global,global,5,safety,922.6941690329875,2625
global,global,6,safety,778.3640622561725,2063
global,global,7,safety,2127.59586769181,2488
global,global,8,safety,1271.001162753454,3182
gender,man,0,living,1692.9713098620223,1090
gender,man,1,living,1641.636363607247,1332
gender,man,2,living,1869.1836409224995,1301
gender,man,3,living,1927.260957756618,1510
gender,man,4,living,1756.428355961706,1893
gender,man,5,living,2164.5689644520185,1508
gender,man,6,living,1786.6224788659135,1072
gender,man,7,living,1260.4051240839422,1521
gender,man,8,living,787.8880061849741,1493
gender,man,0,biodiversity,1694.8940609210235,797
gender,man,1,biodiversity,1173.5044150709941,1052
gender,man,2,biodiversity,1854.4718516641406,1036
gender,man,3,biodiversity,1309.921245664475,1130
gender,man,4,biodiversity,1206.461181638307,939
gender,man,5,biodiversity,1269.1728739733283,777
gender,man,6,biodiversity,976.0004333298423,826
gender,man,7,biodiversity,1920.7475055924838,860
gender,man,8,biodiversity,1969.566041356407,753
gender,man,0,safety,1949.8221102675652,804
gender,man,1,safety,2003.91703760452,1054
gender,man,2,safety,461.6240262551387,1356
gender,man,3,safety,1813.7373514281112,1370
gender,man,4,safety,1903.1547425772133,1682
gender,man,5,safety,1183.203982052626,1360
gender,man,6,safety,840.1852196254897,1070
gender,man,7,safety,1758.4615617436707,1245
gender,man,8,safety,952.3623527214761,1593
gender,woman,0,living,-105.899166776843,698
gender,woman,1,living,1254.2536727961972,1043
gender,woman,2,living,1767.4256538941518,894
gender,woman,3,living,1386.170147023405,1158
gender,woman,4,living,635.4674166475779,1442
gender,woman,5,living,1537.9679953648365,1188
gender,woman,6,living,2051.814451563249,820
gender,woman,7,living,1076.7080116460556,1215
gender,woman,8,living,1724.3602308007462,1196
gender,woman,0,biodiversity,1772.1126002672218,657
gender,woman,1,biodiversity,1499.3223037466892,777
gender,woman,2,biodiversity,1805.5718290990958,896
gender,woman,3,biodiversity,1078.4742025137714,892
gender,woman,4,biodiversity,862.583243978719,737
gender,woman,5,biodiversity,1691.4695431708797,633
gender,woman,6,biodiversity,1719.3741629210754,714
gender,woman,7,biodiversity,1913.1526672043512,676
gender,woman,8,biodiversity,1601.4186272887102,622
gender,woman,0,safety,1810.1096127601852,609
gender,woman,1,safety,1830.16039946132,878
gender,woman,2,safety,1298.2288588359727,1133
gender,woman,3,safety,1595.468045791514,1135
gender,woman,4,safety,1421.667153549917,1269
gender,woman,5,safety,1524.9118713913413,1123
gender,woman,6,safety,1318.4426380243465,808
gender,woman,7,safety,2041.0094178781121,996
gender,woman,8,safety,1886.5544328456563,1259
gender,other,0,living,1455.3728865403025,16
gender,other,1,living,1558.3463488920866,27
gender,other,2,living,1578.1097731720665,13
gender,other,3,living,1486.4188918587859,19
gender,other,4,living,1520.9568911219385,22
gender,other,5,living,1538.0823310919825,9
gender,other,6,living,1502.9998292928603,16
gender,other,7,living,1437.9892309454103,15
gender,other,8,living,1412.9772808784517,15
gender,other,0,biodiversity,1500.38620775932,8
gender,other,1,biodiversity,1436.7661599587443,7
gender,other,2,biodiversity,1487.9168224395994,7
gender,other,3,biodiversity,1545.1396841663234,8
gender,other,4,biodiversity,1535.186627862611,7
gender,other,5,biodiversity,1558.3215559194557,9
gender,other,6,biodiversity,1449.8771600620337,8
gender,other,7,biodiversity,1463.5605297113734,15
gender,other,8,biodiversity,1512.0,7
gender,other,0,safety,1478.7835325660237,12
gender,other,1,safety,1558.6503488618484,13
gender,other,2,safety,1526.8776038949673,12
gender,other,3,safety,1464.4987280602188,19
gender,other,4,safety,1539.5372033303777,15
gender,other,5,safety,1487.9009287987215,11
gender,other,6,safety,1439.982158326626,7
gender,other,7,safety,1517.0261544146895,9
gender,other,8,safety,1500.3329614243917,12
age,younger,0,living,262.68328120445,550
age,younger,1,living,1171.7622810077676,765
