demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1493.2829698490812,2693
global,global,1,living,1757.1643249287945,3125
global,global,2,living,2057.9813490191973,3064
global,global,3,living,2013.4822526494645,2522
global,global,4,living,1935.5760394430934,3285
global,global,5,living,2321.4544525606416,1977
global,global,6,living,1259.3598890402984,2801
global,global,7,living,1880.4587694245763,2684
global,global,8,living,408.52364741625934,2741
global,global,0,biodiversity,1314.6057208079299,1755
global,global,1,biodiversity,861.0048076784701,1975
global,global,2,biodiversity,2179.51162728015,1243
global,global,3,biodiversity,1421.6109913779396,1971
global,global,4,biodiversity,334.6252821607061,1716
global,global,5,biodiversity,2020.8216344423884,1546
global,global,6,biodiversity,690.3869716333003,1456
global,global,7,biodiversity,627.4059068953574,2223
global,global,8,biodiversity,1620.838330918889,2091
global,global,0,safety,1480.436312249156,2606
global,global,1,safety,862.0188066955346,2903
global,global,2,safety,-142.08440099285934,2841
global,global,3,safety,1098.4433505923196,2836
global,global,4,safety,751.1594760295081,2312
global,global,5,safety,1535.3713105652225,2525
global,global,6,safety,1617.4610964256094,2596
global,global,7,safety,2199.784203439445,1603
global,global,8,safety,1947.5895511220788,2210
gender,man,0,living,1661.8769782651555,1385
gender,man,1,living,1345.030624323783,1552
gender,man,2,living,2110.5934186283007,1494
gender,man,3,living,1886.3644535684116,1258
gender,man,4,living,1312.3709469509567,1691
gender,man,5,living,1816.0768929599817,1046
gender,man,6,living,1228.476909257258,1436
gender,man,7,living,1545.9279342088098,1408
gender,man,8,living,-296.0250742801252,1486
gender,man,0,biodiversity,995.4048967072872,918
gender,man,1,biodiversity,667.479280803281,967
gender,man,2,biodiversity,2006.9009615990472,641
gender,man,3,biodiversity,1758.8743781568148,967
gender,man,4,biodiversity,951.3281845886178,891
gender,man,5,biodiversity,1625.3688806887455,840
gender,man,6,biodiversity,1420.6245699633605,820
gender,man,7,biodiversity,727.6281875550015,1108
gender,man,8,biodiversity,1767.5566823902755,1010
gender,man,0,safety,1581.5486908527773,1298
gender,man,1,safety,1147.1361765363915,1539
gender,man,2,safety,1051.9675826948305,1443
gender,man,3,safety,1327.006744667531,1490
gender,man,4,safety,1139.2131770035367,1258
gender,man,5,safety,1255.176082326152,1233
gender,man,6,safety,1780.024595941357,1209
gender,man,7,safety,2034.9190297473838,818
gender,man,8,safety,1689.3671799755048,1218
gender,woman,0,living,1367.8176658559287,1088
gender,woman,1,living,1375.6822692764486,1306
gender,woman,2,living,1712.5581218467219,1243
gender,woman,3,living,519.0186135200387,957
gender,woman,4,living,1826.505732956047,1274
gender,woman,5,living,1970.0361188207805,774
gender,woman,6,living,1435.6029620578265,1176
gender,woman,7,living,1731.4838376167172,1080
gender,woman,8,living,1937.3105160693183,1144
gender,woman,0,biodiversity,1473.5728827642452,693
gender,woman,1,biodiversity,1443.9453658650853,810
gender,woman,2,biodiversity,1919.1362564021504,474
gender,woman,3,biodiversity,1396.5615667197603,831
gender,woman,4,biodiversity,1032.5038588504635,714
gender,woman,5,biodiversity,1845.9792261158018,568
gender,woman,6,biodiversity,372.5119645940672,532
gender,woman,7,biodiversity,1458.5457521836315,893
gender,woman,8,biodiversity,905.3266343286418,863
gender,woman,0,safety,1422.1724606241555,1058
gender,woman,1,safety,1862.774922168834,1128
gender,woman,2,safety,1054.701576973111,1226
gender,woman,3,safety,1816.0720039525565,1112
gender,woman,4,safety,1481.9458771717543,910
gender,woman,5,safety,1732.239014969988,1014
gender,woman,6,safety,1631.08263606763,1101
gender,woman,7,safety,1210.3644847727805,717
gender,woman,8,safety,1981.74900273617,782
gender,other,0,living,1477.950168399841,12
gender,other,1,living,1534.938887263112,11
gender,other,2,living,1561.1724641105397,7
gender,other,3,living,1502.4611574236335,18
gender,other,4,living,1514.551058188433,23
gender,other,5,living,1547.9718783605767,16
gender,other,6,living,1427.6316428327837,8
gender,other,7,living,1489.2391282512738,17
gender,other,8,living,1451.3425145183373,14
gender,other,0,biodiversity,1500.092769527662,12
gender,other,1,biodiversity,1465.3463138940733,15
gender,other,2,biodiversity,1438.352606594792,5
gender,other,3,biodiversity,1451.9995782546773,10
gender,other,4,biodiversity,1537.638795532453,17
gender,other,5,biodiversity,1559.5912670334872,9
gender,other,6,biodiversity,1523.2958523483258,12
gender,other,7,biodiversity,1548.246665936205,18
gender,other,8,biodiversity,1477.147433130674,12
gender,other,0,safety,1464.0079964991926,7
gender,other,1,safety,1524.8257999064074,12
gender,other,2,safety,1463.7466140097713,11
gender,other,3,safety,1409.4614772973723,11
gender,other,4,safety,1487.7764740999999,9
gender,other,5,safety,1548.8765349771168,18
gender,other,6,safety,1509.4704035762795,15
gender,other,7,safety,1512.722262252738,11
gender,other,8,safety,1568.739722502409,8
age,younger,0,living,1641.8932318250536,739
age,younger,1,living,1821.1420648187247,854
age,younger,2,living,1692.921257924245,878
age,younger,3,living,946.8234053445642,639
age,younger,4,living,1763.0239997353774,1001
age,younger,5,living,1961.68487588391,554
age,younger,6,living,907.6821834157441,718
age,younger,7,living,1340.24902917219,783
age,younger,8,living,1158.9582371149431,808
age,younger,0,biodiversity,1427.6575359813444,532
age,younger,1,biodiversity,926.9686463513215,549
age,younger,2,biodiversity,1844.7711416664768,349
age,younger,3,biodiversity,1813.5015849337751,522
age,younger,4,biodiversity,1587.011968089764,556
age,younger,5,biodiversity,1721.955756706807,418
age,younger,6,biodiversity,1134.1747804831514,464
