demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,2017.525414002402,2250
global,global,1,living,1769.9156719120015,2075
global,global,2,living,1591.529873479932,3188
global,global,3,living,2119.356822299278,3202
global,global,4,living,1764.9442228353284,3219
global,global,5,living,2189.329070147779,2753
global,global,6,living,1498.520557480396,2938
global,global,7,living,138.856251670523,1469
global,global,8,living,2257.323989966206,2122
global,global,0,biodiversity,1984.00983493213,2880
global,global,1,biodiversity,2273.7377197701985,1780
global,global,2,biodiversity,2100.4500374884283,2672
global,global,3,biodiversity,469.45151282927367,2154
global,global,4,biodiversity,1827.6382237429673,2560
global,global,5,biodiversity,2380.825244293995,2861
global,global,6,biodiversity,1609.700079776066,2695
global,global,7,biodiversity,1381.9242935320628,2619
global,global,8,biodiversity,288.09874325625833,2083
global,global,0,safety,1291.2427296455594,2020
global,global,1,safety,724.5656348053294,1324
global,global,2,safety,2296.5282354965693,2601
global,global,3,safety,2123.9244067446625,2151
global,global,4,safety,1810.6539639846408,2433
global,global,5,safety,1427.6420638851807,2410
global,global,6,safety,2029.2220058278679,1318
global,global,7,safety,1033.316345728916,1907
global,global,8,safety,9.731431945310945,1616
gender,man,0,living,1488.424137576861,1208
gender,man,1,living,1908.360656271214,933
gender,man,2,living,741.769270735206,1656
gender,man,3,living,2006.1650168039284,1667
gender,man,4,living,1801.1094042072534,1596
gender,man,5,living,1171.0494294716693,1403
gender,man,6,living,1090.6868978364319,1504
gender,man,7,living,1127.5680168422982,826
gender,man,8,living,1803.5264913956714,1133
gender,man,0,biodiversity,674.7180301773155,1465
gender,man,1,biodiversity,2035.822012303652,866
gender,man,2,biodiversity,1430.0775658876344,1445
gender,man,3,biodiversity,1170.4947484975264,1152
gender,man,4,biodiversity,1296.759820439303,1397
gender,man,5,biodiversity,1519.8839974070643,1461
gender,man,6,biodiversity,1950.1784077513275,1345
gender,man,7,biodiversity,1273.657676346228,1321
gender,man,8,biodiversity,1582.2057911302772,1044
gender,man,0,safety,758.3763368971626,968
gender,man,1,safety,1467.8537199844122,763
gender,man,2,safety,2020.8757730877567,1287
gender,man,3,safety,1617.980285531874,1120
gender,man,4,safety,1963.937044557312,1217
gender,man,5,safety,1540.73011167639,1211
gender,man,6,safety,1734.7363480101044,641
gender,man,7,safety,1365.7448630777155,950
gender,man,8,safety,993.7599635895673,845
gender,woman,0,living,1796.7553979357547,860
gender,woman,1,living,1269.039414858222,927
gender,woman,2,living,1679.0375286556234,1266
gender,woman,3,living,962.0574477190639,1297
gender,woman,4,living,1021.2520757224356,1279
gender,woman,5,living,1974.291192697826,1134
gender,woman,6,living,1985.6421256129008,1154
gender,woman,7,living,1166.6684648612857,617
gender,woman,8,living,1730.1358035450176,838
gender,woman,0,biodiversity,1808.8669986835973,1176
gender,woman,1,biodiversity,1693.2196792272289,730
gender,woman,2,biodiversity,1280.0634051622503,1016
gender,woman,3,biodiversity,1258.7004269393135,923
gender,woman,4,biodiversity,1909.6559484353631,996
gender,woman,5,biodiversity,1931.2046745783437,1132
gender,woman,6,biodiversity,1448.4038994743744,1132
gender,woman,7,biodiversity,1977.408447043481,1019
gender,woman,8,biodiversity,518.9750563016632,846
gender,woman,0,safety,1540.5139078897953,806
gender,woman,1,safety,905.300103505755,495
gender,woman,2,safety,1789.0634544457346,1023
gender,woman,3,safety,1949.717700878425,802
gender,woman,4,safety,1305.2338667142578,1021
gender,woman,5,safety,1727.9237703626127,975
gender,woman,6,safety,1923.5950984035214,534
gender,woman,7,safety,1516.2413863376325,806
gender,woman,8,safety,1504.9382530507705,664
gender,other,0,living,1535.4819318434838,19
gender,other,1,living,1435.4020013445797,17
gender,other,2,living,1577.3024385282288,23
gender,other,3,living,1561.608201437008,15
gender,other,4,living,1485.0916859520917,13
gender,other,5,living,1502.7208249918785,12
gender,other,6,living,1514.1669158632421,11
gender,other,7,living,1464.9204050230276,13
gender,other,8,living,1407.6571508500501,9
gender,other,0,biodiversity,1526.0519682881234,8
gender,other,1,biodiversity,1536.0637789806271,11
gender,other,2,biodiversity,1502.8065776515812,8
gender,other,3,biodiversity,1475.929128350157,8
gender,other,4,biodiversity,1464.0,9
gender,other,5,biodiversity,1488.7809260513707,11
gender,other,6,biodiversity,1512.0237873255792,9
gender,other,7,biodiversity,1548.0,4
gender,other,8,biodiversity,1452.0,6
gender,other,0,safety,1465.8711541190569,13
gender,other,1,safety,1570.1512705286798,20
gender,other,2,safety,1525.2499476812434,14
gender,other,3,safety,1500.0467237537578,14
gender,other,4,safety,1543.8607311594103,11
gender,other,5,safety,1513.467561176486,17
gender,other,6,safety,1491.4308393899223,13
gender,other,7,safety,1453.8998726190607,18
gender,other,8,safety,1452.17192252995,12
age,younger,0,living,1536.132403729951,689
age,younger,1,living,1655.6162126653037,542
age,younger,2,living,1029.6258109867142,907
