demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,1678.3492011709814,2640
global,global,1,living,621.0943444079792,2411
global,global,2,living,1894.4859054074057,2411
global,global,3,living,-276.1224191135626,1557
global,global,4,living,2121.071873767464,2905
global,global,5,living,1100.0552497038036,2986
global,global,6,living,2191.585834116525,1680
global,global,7,living,70.11003681960011,1686
global,global,8,living,1795.4590917372266,1926
global,global,0,biodiversity,883.1741117554859,2834
global,global,1,biodiversity,2393.989540925273,1680
global,global,2,biodiversity,790.2632074791868,2779
global,global,3,biodiversity,1932.976826949333,2327
global,global,4,biodiversity,1624.0927235796373,2766
global,global,5,biodiversity,1648.0679944247865,2721
global,global,6,biodiversity,2111.602194364978,2764
global,global,7,biodiversity,737.1869827875025,2411
global,global,8,biodiversity,2134.521528991052,2764
global,global,0,safety,2309.017023758573,2156
global,global,1,safety,23.21413707255877,1275
global,global,2,safety,1800.8255241221825,2103
global,global,3,safety,1384.228230829691,2365
global,global,4,safety,2118.6221106840353,2010
global,global,5,safety,1290.4799872499536,2980
global,global,6,safety,1585.3618341307351,2289
global,global,7,safety,1951.9093496987714,2318
global,global,8,safety,1649.61066817673,2556
gender,man,0,living,1622.940746845451,1407
gender,man,1,living,965.067523993989,1257
gender,man,2,living,1870.1695361797242,1196
gender,man,3,living,560.9471454222561,864
gender,man,4,living,1961.9817711970643,1412
gender,man,5,living,1682.2138322757987,1519
gender,man,6,living,2013.4958850338467,848
gender,man,7,living,796.6945102838075,873
gender,man,8,living,1731.1771738088014,1078
gender,man,0,biodiversity,1641.5535330922742,1469
gender,man,1,biodiversity,2001.322471137162,831
gender,man,2,biodiversity,393.53574115263666,1396
gender,man,3,biodiversity,1528.975924570938,1276
gender,man,4,biodiversity,1943.1797318589277,1384
gender,man,5,biodiversity,1225.576212910695,1396
gender,man,6,biodiversity,1887.9923215356712,1413
gender,man,7,biodiversity,1437.328273999492,1281
gender,man,8,biodiversity,1822.3225086996758,1382
gender,man,0,safety,1351.25752290677,1155
