demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,2128.4934539164174,3041
global,global,1,living,1646.2764286856575,2819
global,global,2,living,623.0581931846165,2936
global,global,3,living,1987.0418699904974,1911
global,global,4,living,1718.377752770722,3196
global,global,5,living,1422.6243681517233,2903
global,global,6,living,2352.7865027142097,2697
global,global,7,living,2208.034955159288,2778
global,global,8,living,559.2488536953027,2523
global,global,0,biodiversity,1213.8876102952906,1842
global,global,1,biodiversity,1633.2525816394532,2055
global,global,2,biodiversity,767.5342541767502,1503
global,global,3,biodiversity,1812.8685957185587,2108
global,global,4,biodiversity,-62.94293503857461,1633
global,global,5,biodiversity,2075.417521528594,1899
global,global,6,biodiversity,2267.894747726707,2007
global,global,7,biodiversity,2185.7740510400877,2371
global,global,8,biodiversity,625.0828146575127,1174
global,global,0,safety,2030.078530194956,2772
global,global,1,safety,1942.0300965576519,2955
global,global,2,safety,2135.0097600775116,2533
global,global,3,safety,2079.82998315455,2764
global,global,4,safety,-395.9300615159367,2304
global,global,5,safety,2347.4350567342444,2495
global,global,6,safety,756.011324665543,2301
global,global,7,safety,94.24628222818203,1896
global,global,8,safety,1876.2533094028656,1884
gender,man,0,living,1287.065835156774,1552
gender,man,1,living,1990.5289580589601,1394
gender,man,2,living,596.6560113630911,1515
gender,man,3,living,1581.39344716465,997
gender,man,4,living,1927.2167724255876,1710
gender,man,5,living,619.3687760665744,1449
gender,man,6,living,2097.9041313105827,1334
gender,man,7,living,1569.3908066638255,1404
gender,man,8,living,-123.76351994052956,1259
gender,man,0,biodiversity,1513.2966977179133,978
gender,man,1,biodiversity,1376.5001844322294,1106
gender,man,2,biodiversity,1222.2404705823697,813
gender,man,3,biodiversity,1896.1420472183186,1149
gender,man,4,biodiversity,-56.08536202115778,853
gender,man,5,biodiversity,1777.0679268159708,1011
gender,man,6,biodiversity,2034.099797103671,994
gender,man,7,biodiversity,1991.346253916585,1280
gender,man,8,biodiversity,1001.6036436307556,652
gender,man,0,safety,1926.6912904352725,1312
gender,man,1,safety,1734.2984292344408,1457
gender,man,2,safety,1604.6753168510604,1253
gender,man,3,safety,1296.959226581474,1358
gender,man,4,safety,823.9724521266004,1177
gender,man,5,safety,2079.0872768036816,1339
gender,man,6,safety,997.456914710228,1195
gender,man,7,safety,-137.08120561535935,935
gender,man,8,safety,1836.9595725479905,948
gender,woman,0,living,2076.010982970948,1256
gender,woman,1,living,1576.1455703441534,1196
gender,woman,2,living,1959.2156304346533,1284
gender,woman,3,living,1518.8773742209098,775
gender,woman,4,living,221.32558615484533,1274
gender,woman,5,living,1483.9107661458213,1213
