demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,986.9204880847527,2469
global,global,1,living,2180.463276900139,2966
global,global,2,living,1533.2227314707113,2604
global,global,3,living,429.69452780968265,2209
global,global,4,living,2056.455002341851,2713
global,global,5,living,1647.5722419244926,2706
global,global,6,living,2265.5034972368426,1347
global,global,7,living,1325.6520899605787,2926
global,global,8,living,1918.210673824736,2580
global,global,0,biodiversity,1358.94399780487,2966
global,global,1,biodiversity,-68.25181654737642,2135
global,global,2,biodiversity,2095.460735671439,2395
global,global,3,biodiversity,2245.3785174562477,2821
global,global,4,biodiversity,2077.526920146094,3016
global,global,5,biodiversity,984.1746955504146,2433
global,global,6,biodiversity,2193.3968275711395,2083
global,global,7,biodiversity,612.1823643585967,1970
global,global,8,biodiversity,2047.3549340020875,2655
global,global,0,safety,1711.0393096862297,2429
global,global,1,safety,322.3772098669674,1774
global,global,2,safety,1200.4045865898352,2231
global,global,3,safety,518.8821023172103,1876
global,global,4,safety,1661.2434648917158,2316
global,global,5,safety,1563.4154426593163,2220
global,global,6,safety,862.4774757456528,2510
global,global,7,safety,2225.6536597080326,1044
global,global,8,safety,2030.5830315774012,1906
gender,man,0,living,1882.8037370179256,1278
gender,man,1,living,2042.2318893175247,1485
gender,man,2,living,1599.4501139139884,1294
gender,man,3,living,1484.8034131084355,1202
gender,man,4,living,1803.862039120004,1461
gender,man,5,living,1407.3312296330148,1332
gender,man,6,living,1938.0733333670664,680
gender,man,7,living,1715.8025293986682,1544
gender,man,8,living,1991.5246126529505,1388
gender,man,0,biodiversity,1928.6158728657906,1505
gender,man,1,biodiversity,1119.0105603526713,1083
gender,man,2,biodiversity,1778.156560208348,1251
gender,man,3,biodiversity,1858.1041889382004,1398
gender,man,4,biodiversity,1804.134351594182,1476
gender,man,5,biodiversity,1569.5337329097902,1278
gender,man,6,biodiversity,2004.9967210838995,1016
gender,man,7,biodiversity,603.1065139769395,980
gender,man,8,biodiversity,1718.1727514684874,1293
gender,man,0,safety,1454.291151819009,1250
gender,man,1,safety,1223.5033463339248,903
gender,man,2,safety,1994.924565306785,1151
gender,man,3,safety,1670.6053575094666,976
gender,man,4,safety,1168.129162600686,1165
gender,man,5,safety,1498.0487699278722,1124
gender,man,6,safety,1572.4839699948295,1314
gender,man,7,safety,1887.5331342552968,599
gender,man,8,safety,1953.1268289263646,998
gender,woman,0,living,741.6755288359427,978
gender,woman,1,living,1239.1614091272318,1191
gender,woman,2,living,1340.2480432250345,1090
gender,woman,3,living,1066.218962168609,871
gender,woman,4,living,1755.1819185933834,1020
gender,woman,5,living,1303.24987683514,1107
gender,woman,6,living,1903.0199047719518,601
gender,woman,7,living,1607.2387207921854,1085
gender,woman,8,living,2009.535426858103,951
gender,woman,0,biodiversity,1224.7963717309246,1173
gender,woman,1,biodiversity,-116.64113739816806,828
gender,woman,2,biodiversity,1888.332816288437,941
gender,woman,3,biodiversity,1589.6108975144462,1100
gender,woman,4,biodiversity,2009.8150105125865,1215
gender,woman,5,biodiversity,1555.3637169978913,998
gender,woman,6,biodiversity,1738.797838891428,862
gender,woman,7,biodiversity,1476.2288467787114,927
gender,woman,8,biodiversity,1997.5768322111035,1128
gender,woman,0,safety,1817.3777915196401,954
