demographic,demographic_value,habitat_id,question_id,mu,rankings
global,global,0,living,374.298873890408,2348
global,global,1,living,1268.5623521571936,2928
global,global,2,living,1369.6554996889674,2760
global,global,3,living,706.9304440281445,2953
global,global,4,living,2013.3519870005732,3103
global,global,5,living,267.62466170818476,2287
global,global,6,living,1170.282922067694,2675
global,global,7,living,2191.0770173331125,1391
global,global,8,living,1842.1041963622777,2307
global,global,0,biodiversity,-484.9096776921228,1711
global,global,1,biodiversity,2269.2731957578612,1794
global,global,2,biodiversity,1501.4657115713367,2349
global,global,3,biodiversity,1866.3935287761428,2558
global,global,4,biodiversity,1781.1819869775566,2251
global,global,5,biodiversity,1978.0046140753539,2002
global,global,6,biodiversity,-262.8743709371652,2127
global,global,7,biodiversity,-440.89801108958295,1776
global,global,8,biodiversity,1572.596799985116,2706
global,global,0,safety,2026.28034568497,2209
global,global,1,safety,1911.7364723514688,2352
global,global,2,safety,810.9386591414656,3180
global,global,3,safety,1415.7432240464784,2967
global,global,4,safety,2226.6105950731603,1278
global,global,5,safety,1076.6059299948843,2373
global,global,6,safety,701.947694038605,2311
global,global,7,safety,454.48847946877595,1828
global,global,8,safety,1840.5167587533547,2776
gender,man,0,living,1000.8693283238222,1142
gender,man,1,living,1646.0194458551312,1521
gender,man,2,living,1718.2445595180566,1408
gender,man,3,living,1758.4650804100797,1538
gender,man,4,living,1925.3110457608054,1605
gender,man,5,living,782.5307380913864,1156
gender,man,6,living,1584.2931772041536,1371
gender,man,7,living,1853.661708367655,816
gender,man,8,living,2089.6885835892654,1165
gender,man,0,biodiversity,1424.4495963116997,915
gender,man,1,biodiversity,1755.9001671138644,961
gender,man,2,biodiversity,1176.0731582311878,1227
gender,man,3,biodiversity,1610.113567368617,1316
gender,man,4,biodiversity,1840.7516647670727,1122
gender,man,5,biodiversity,2067.1528947401434,982
gender,man,6,biodiversity,761.8382492864646,1081
gender,man,7,biodiversity,510.5752518810489,935
gender,man,8,biodiversity,1693.7463627566954,1395
gender,man,0,safety,1384.2495531318973,1162
gender,man,1,safety,1743.8570491517846,1128
gender,man,2,safety,864.6626286202447,1633
gender,man,3,safety,1848.5122090977407,1447
gender,man,4,safety,1999.3789020429117,592
gender,man,5,safety,1162.6533759278846,1249
gender,man,6,safety,625.0463632837842,1112
gender,man,7,safety,1730.6861775676598,976
gender,man,8,safety,1622.197461532763,1469
gender,woman,0,living,1701.207887364622,964
gender,woman,1,living,1883.0429375103167,1137
gender,woman,2,living,1546.5678689703914,1120
gender,woman,3,living,1089.3811738446066,1166
gender,woman,4,living,1736.2766159829434,1256
gender,woman,5,living,1247.156092054354,937
gender,woman,6,living,1614.8168432759758,1132
gender,woman,7,living,1969.6856490589232,504
gender,woman,8,living,1434.2377875291036,982
gender,woman,0,biodiversity,-158.65150449043256,673
gender,woman,1,biodiversity,1987.0942410410548,681
gender,woman,2,biodiversity,1770.0879192270547,892
gender,woman,3,biodiversity,1673.9808005300188,1089
gender,woman,4,biodiversity,1860.180301801854,947
gender,woman,5,biodiversity,1110.0507504733525,812
gender,woman,6,biodiversity,1034.0300733490685,882
gender,woman,7,biodiversity,1197.322932744636,722
gender,woman,8,biodiversity,1700.6869072546717,1178
gender,woman,0,safety,1908.4519724553847,863
gender,woman,1,safety,1892.0885402028337,932
gender,woman,2,safety,1580.9441759371805,1259
gender,woman,3,safety,1738.1942533096483,1128
gender,woman,4,safety,1929.7289737229755,520
gender,woman,5,safety,1488.2302989040713,914
gender,woman,6,safety,1459.7039792101702,997
gender,woman,7,safety,-31.306531426583323,690
gender,woman,8,safety,779.9417085972682,1091
gender,other,0,living,1552.0335517027063,14
gender,other,1,living,1488.412229721951,19
gender,other,2,living,1569.7704662873766,14
gender,other,3,living,1438.7763330589974,7
gender,other,4,living,1501.966169182699,14
gender,other,5,living,1463.255077032452,13
gender,other,6,living,1514.2451625326344,19
gender,other,7,living,1451.953037834363,10
gender,other,8,living,1524.761288048748,12
gender,other,0,biodiversity,1499.943101473951,8
gender,other,1,biodiversity,1524.0428616278257,6
gender,other,2,biodiversity,1558.352606594792,7
gender,other,3,biodiversity,1438.1129477113043,13
gender,other,4,biodiversity,1546.8018851204376,8
gender,other,5,biodiversity,1451.981196754669,6
gender,other,6,biodiversity,1474.7015651079082,14
gender,other,7,biodiversity,1487.896311874772,7
gender,other,8,biodiversity,1512.0,9
gender,other,0,safety,1464.7148149610541,19
gender,other,1,safety,1511.5705831826583,13
gender,other,2,safety,1500.816790282252,16
gender,other,3,safety,1488.2735847745585,21
gender,other,4,safety,1535.3201401363324,11
gender,other,5,safety,1437.3503556665291,13
gender,other,6,safety,1427.6425556209392,10
gender,other,7,safety,1583.0385422985744,23
gender,other,8,safety,1548.39700945929,12
age,younger,0,living,1589.9189603479501,607
age,younger,1,living,1798.6029661965651,757
age,younger,2,living,1680.2358486112291,798
age,younger,3,living,1489.4400868145763,813
age,younger,4,living,685.1635309436863,869
age,younger,5,living,576.0284499917987,689
age,younger,6,living,1723.6032117318982,701
age,younger,7,living,1848.3909061580555,437
age,younger,8,living,1183.1255686814388,653
age,younger,0,biodiversity,1620.4625503145148,517
age,younger,1,biodiversity,1735.0340313180977,557
age,younger,2,biodiversity,990.7385524973499,686
age,younger,3,biodiversity,1693.587420819121,769
age,younger,4,biodiversity,1837.7249262477824,638
age,younger,5,biodiversity,1369.274354133181,571
age,younger,6,biodiversity,1506.986574027131,604
age,younger,7,biodiversity,1117.8045014736724,526
age,younger,8,biodiversity,1930.0902186809612,720
age,younger,0,safety,1113.2465659708105,644
age,younger,1,safety,1795.7015332324,611
age,younger,2,safety,964.6035852544188,924
age,younger,3,safety,1759.6978913675375,754
age,younger,4,safety,1691.3167715527604,362
age,younger,5,safety,1297.9887761828006,704
age,younger,6,safety,1502.6647230807444,613
age,younger,7,safety,940.4505100902437,531
age,younger,8,safety,1845.82934820782,727
age,middle,0,living,1260.7089471716572,1010
age,middle,1,living,1564.606484780809,1261
age,middle,2,living,1324.7228119011756,1155
age,middle,3,living,345.28169123185694,1197
age,middle,4,living,1893.9228709933388,1269
age,middle,5,living,564.4314581053169,862
age,middle,6,living,1228.6113231008608,1188
age,middle,7,living,2009.2551537162,574
age,middle,8,living,1624.3400643928526,1010
age,middle,0,biodiversity,840.5808964807387,721
age,middle,1,biodiversity,2017.2627525449032,705
age,middle,2,biodiversity,1606.9826426653622,979
age,middle,3,biodiversity,1665.4676006256439,1140
age,middle,4,biodiversity,1707.42957279579,943
age,middle,5,biodiversity,1801.231182788495,836
age,middle,6,biodiversity,1023.4898011785906,886
age,middle,7,biodiversity,1157.5492744808691,815
age,middle,8,biodiversity,1297.5661165520478,1237
age,middle,0,safety,1955.727557780237,962
age,middle,1,safety,1586.1607611575207,962
age,middle,2,safety,1628.4632713824205,1313
age,middle,3,safety,860.8256217819533,1229
age,middle,4,safety,1991.188511863165,545
age,middle,5,safety,1363.9292754849712,969
age,middle,6,safety,990.3252658901583,992
age,middle,7,safety,1466.4827700019555,760
age,middle,8,safety,454.05826838380256,1228
age,older,0,living,812.2575271996606,502
age,older,1,living,1386.668724173416,654
age,older,2,living,1764.995651704346,565
age,older,3,living,1627.088468314893,696
age,older,4,living,1810.1609585848994,726
age,older,5,living,1709.8569756291179,544
age,older,6,living,1416.3815165059716,631
age,older,7,living,1285.70866646581,313
age,older,8,living,1839.2772838301257,489
age,older,0,biodiversity,1423.2861292312757,350
age,older,1,biodiversity,1602.8062853492543,380
age,older,2,biodiversity,1726.8681802138283,452
age,older,3,biodiversity,1669.5039828180404,512
age,older,4,biodiversity,1517.0868131191385,497
age,older,5,biodiversity,1907.5868730425586,385
age,older,6,biodiversity,1162.6799563205952,480
age,older,7,biodiversity,1144.3634497387259,317
age,older,8,biodiversity,1383.722225969853,625
age,older,0,safety,1722.8586651582036,421
age,older,1,safety,1498.3108138178961,499
age,older,2,safety,1597.9801516270131,657
age,older,3,safety,1579.1798217093715,606
age,older,4,safety,1820.578368976999,210
age,older,5,safety,1664.1826979641694,500
age,older,6,safety,1355.1047137853932,513
age,older,7,safety,1442.279713254653,393
age,older,8,safety,1053.3934705298655,611
ethnicity,white,0,living,1238.8607361414997,1832
ethnicity,white,1,living,1461.777918632503,2330
ethnicity,white,2,living,1353.872727823038,2151
ethnicity,white,3,living,1546.016977920284,2369
ethnicity,white,4,living,2084.4077197218226,2474
ethnicity,white,5,living,715.9303127226168,1779
ethnicity,white,6,living,1374.690051284772,2189
ethnicity,white,7,living,2157.9088151058045,1116
ethnicity,white,8,living,1984.3956002118746,1906
ethnicity,white,0,biodiversity,-649.3083785938995,1349
ethnicity,white,1,biodiversity,2158.7494016317432,1403
ethnicity,white,2,biodiversity,1110.4696676173398,1823
ethnicity,white,3,biodiversity,2008.7634265863164,2073
ethnicity,white,4,biodiversity,1298.4099983566978,1846
ethnicity,white,5,biodiversity,1706.5568062815985,1546
ethnicity,white,6,biodiversity,292.74258336084847,1743
ethnicity,white,7,biodiversity,339.5244937418762,1428
ethnicity,white,8,biodiversity,2109.5077801593247,2281
ethnicity,white,0,safety,1756.4476926296381,1667
ethnicity,white,1,safety,1850.375193263244,1776
ethnicity,white,2,safety,15.808553961581307,2510
ethnicity,white,3,safety,488.5050434349368,2232
ethnicity,white,4,safety,2115.086423414031,951
ethnicity,white,5,safety,1475.996233645827,1867
ethnicity,white,6,safety,968.7618634273881,1863
ethnicity,white,7,safety,1047.3721449894315,1448
ethnicity,white,8,safety,1445.2095663171363,2208
ethnicity,other,0,living,1433.0351776119924,188
ethnicity,other,1,living,1699.3321142973393,257
ethnicity,other,2,living,1615.1101570640228,266
ethnicity,other,3,living,1356.9964638217502,245
ethnicity,other,4,living,1204.0776625979686,277
ethnicity,other,5,living,1496.9549148762069,233
ethnicity,other,6,living,1571.3639228131797,244
ethnicity,other,7,living,1415.8634880241368,150
ethnicity,other,8,living,1752.4610078990072,160
ethnicity,other,0,biodiversity,1539.390661738401,174
ethnicity,other,1,biodiversity,1677.1225392297795,162
ethnicity,other,2,biodiversity,1717.5303000404053,204
ethnicity,other,3,biodiversity,1460.0019922451363,248
ethnicity,other,4,biodiversity,1645.5171057610912,174
ethnicity,other,5,biodiversity,1604.4971717591386,184
ethnicity,other,6,biodiversity,555.8238301361841,137
ethnicity,other,7,biodiversity,1375.8605020408186,159
ethnicity,other,8,biodiversity,1056.2717523816293,214
ethnicity,other,0,safety,1669.4592429250292,284
